Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Lainnya,Jerat Lanjeng,4.4,85,Farizi Hibatul Hakim,5,2026-05-01T18:29:12.793Z,"Pantai yang indah dengan suasana yang tenang. Paling pas dikunjungi saat sore hari, karena pemandangan sunset-nya benar-benar memanjakan mata. 🌅 #Baweanesia2025",pantai yang indah dengan suasana yang tenang paling pas dikunjungi saat sore hari karena pemandangan sunset nya benar benar memanjakan mata,pantai yang indah dengan suasana yang tenang paling pas dikunjungi saat sore hari karena pemandangan sunset nya benar benar memanjakan mata,pantai indah suasana tenang paling pas dikunjungi sore hari pemandangan sunset benar benar memanjakan mata,Lainnya,Negatif,0.9978
Lainnya,Jerat Lanjeng,4.4,85,ZAINUL ALIM NISSAN SURABAYA,5,2025-10-26T09:06:17.861Z,Tempat yang nyaman untuk berwisata bersama keluarga. Nyaman untuk menghilangkan penat dan menemukan inspirasi.,tempat yang nyaman untuk berwisata bersama keluarga nyaman untuk menghilangkan penat dan menemukan inspirasi,tempat yang nyaman untuk berwisata bersama keluarga nyaman untuk menghilangkan penat dan menemukan inspirasi,tempat nyaman berwisata bersama keluarga nyaman menghilangkan penat menemukan inspirasi,Fasilitas,Negatif,0.9876
Lainnya,Jerat Lanjeng,4.4,85,Setyo,2,2025-09-24T22:41:49.614Z,Banyak sampah..!!!!!,banyak sampah,banyak sampah,banyak sampah,Lainnya,Positif,0.9981
Lainnya,Jerat Lanjeng,4.4,85,Raymond Lind,3,2025-07-07T03:25:23.841Z,"The main claim to fame of this area is the long grave of a legendary figure from Javanese history, who died around here defending royal weaponry. His grave still attracts the occasional pilgrim today. The surrounding area has mangroves and lovely coastline. The main drawback is the huge amounts of plastic lying around. If they tidied it up, the rating would be higher.",the main claim to fame of this area is the long grave of a legendary figure from javanese history who died around here defending royal weaponry his grave still attracts the occasional pilgrim today the surrounding area has mangroves and lovely coastline the main drawback is the huge amounts of plastic lying around if they tidied it up the rating would be higher,the main claim to fame of this area is the long grave of a legendary figure from javanese history who died around here defending royal weaponry his grave still attracts the occasional pilgrim today the surrounding area has mangroves and lovely coastline the main drawback is the huge amounts of plastic lying around if they tidied it up the rating would be higher,the main claim to fame of this area is the long grave of legendary figure from javanese history who died around here defending royal weaponry his grave still attracts the occasional pilgrim today the surrounding area has mangroves and lovely coastline the main drawback is the huge amounts of plastic lying around if they tidied it up the rating would be higher,Fasilitas,Netral,0.5427
Lainnya,Jerat Lanjeng,4.4,85,aman syah,5,2025-06-29T04:07:03.389Z,Alami,alami,alami,alami,Lainnya,Negatif,0.9911
Lainnya,Jerat Lanjeng,4.4,85,Adi Al Banna,4,2025-06-17T10:46:58.872Z,Pantai wisata alam,pantai wisata alam,pantai wisata alam,pantai wisata alam,Lainnya,Negatif,0.9885
Lainnya,Jerat Lanjeng,4.4,85,Siti Hasanah,5,2025-04-04T10:11:26.154Z,"Tempat wisata di daerah kami,yg menjadi favorit BG wisata luar atau domistik",tempat wisata di daerah kami yg menjadi favorit bg wisata luar atau domistik,tempat wisata di daerah kami yang menjadi favorit bg wisata luar atau domistik,tempat wisata daerah menjadi favorit bg wisata luar domistik,Lainnya,Negatif,0.9902
Lainnya,Jerat Lanjeng,4.4,85,Saleh Keaz,5,2025-02-16T12:35:20.145Z,"Pastinya seruuu bangettt,rugii ga kesanaa dongg",pastinya seruuu bangettt rugii ga kesanaa dongg,pastinya seruuu bangettt rugii tidak kesanaa dongg,pastinya seruuu bangettt rugii kesanaa dongg,Lainnya,Negatif,0.692
Lainnya,Jerat Lanjeng,4.4,85,Imam Adi,5,2024-06-18T08:29:05.305Z,"Pantai, sunset & sunrise Top banget",pantai sunset sunrise top banget,pantai sunset sunrise top banget,pantai sunset sunrise top banget,Lainnya,Negatif,0.9976
Lainnya,Jerat Lanjeng,4.4,85,Ahmad Fahmi,5,2023-06-26T06:02:24.851Z,pemandangan sore menjelang malam indah banget,pemandangan sore menjelang malam indah banget,pemandangan sore menjelang malam indah banget,pemandangan sore menjelang malam indah banget,Lainnya,Negatif,0.9974
Lainnya,Jerat Lanjeng,4.4,85,Khairatun Nisa',5,2022-09-01T09:13:45.226Z,Memiliki tempat makam yang gak bisa diukur,memiliki tempat makam yang gak bisa diukur,memiliki tempat makam yang tidak bisa diukur,memiliki tempat makam diukur,Lainnya,Netral,0.6572
Lainnya,Jerat Lanjeng,4.4,85,Channel Inspirasi Bersama,5,2022-08-15T21:48:12.314Z,Pantai berupa semenanjung menjorok ke laut Di tempat ini ada makam panjang ukurannya sangat panjang hingga beberapa meter Ukurannya tidak seperti makam pada umumnya Masuk ke sini free tidak perlu bayar tiket Pantai nya tenang indah dan bisa melihat kapal yang berangkat dan datang dari jawa Pohon kelapa ada banyak tumbuh liar,pantai berupa semenanjung menjorok ke laut di tempat ini ada makam panjang ukurannya sangat panjang hingga beberapa meter ukurannya tidak seperti makam pada umumnya masuk ke sini free tidak perlu bayar tiket pantai nya tenang indah dan bisa melihat kapal yang berangkat dan datang dari jawa pohon kelapa ada banyak tumbuh liar,pantai berupa semenanjung menjorok ke laut di tempat ini ada makam panjang ukurannya sangat panjang hingga beberapa meter ukurannya tidak seperti makam pada umumnya masuk ke sini free tidak perlu bayar tiket pantai nya tenang indah dan bisa melihat kapal yang berangkat dan datang dari jawa pohon kelapa ada banyak tumbuh liar,pantai berupa semenanjung menjorok laut tempat makam panjang ukurannya panjang hingga beberapa meter ukurannya seperti makam umumnya masuk sini free perlu bayar tiket pantai tenang indah melihat kapal berangkat datang jawa pohon kelapa banyak tumbuh liar,Lainnya,Negatif,0.9917
Lainnya,Jerat Lanjeng,4.4,85,Nessa nofelin,2,2022-05-08T13:11:23.112Z,"Pantai ini berada di tanjung, jadi kalian bisa melihat laut dari sisi kanan dan kiri. Kalian bisa melihat sunset di sini. Sebenarnya pantai nya bagus, memiliki khas tersendiri dari pohon"" kelapa serta kapal kapal yang sandar sebagai pemercantik view. Sayang nya pantai ini termasuk pantai yang kotor, banyak sekali sampah sampah plastik berserakan di bibir pantai.",pantai ini berada di tanjung jadi kalian bisa melihat laut dari sisi kanan dan kiri kalian bisa melihat sunset di sini sebenarnya pantai nya bagus memiliki khas tersendiri dari pohon kelapa serta kapal kapal yang sandar sebagai pemercantik view sayang nya pantai ini termasuk pantai yang kotor banyak sekali sampah sampah plastik berserakan di bibir pantai,pantai ini berada di tanjung jadi kalian bisa melihat laut dari sisi kanan dan kiri kalian bisa melihat sunset di sini sebenarnya pantai nya bagus memiliki khas tersendiri dari pohon kelapa serta kapal kapal yang sandar sebagai pemercantik view sayang nya pantai ini termasuk pantai yang kotor banyak sekali sampah sampah plastik berserakan di bibir pantai,pantai berada tanjung jadi kalian melihat laut sisi kanan kiri kalian melihat sunset sini sebenarnya pantai bagus memiliki khas tersendiri pohon kelapa serta kapal kapal sandar sebagai pemercantik view sayang pantai termasuk pantai kotor banyak sampah sampah plastik berserakan bibir pantai,Fasilitas,Negatif,0.7801
