Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Wisata,Kampung Kemasan,4.7,105,Danang Ari,5,2026-08-04T10:41:16.432Z,Kampung yang warganya ramah,kampung yang warganya ramah,kampung yang warganya ramah,kampung warganya ramah,Pelayanan,Positif,0.9961
Wisata,Kampung Kemasan,4.7,105,woelly william,4,2026-05-16T02:11:51.126Z,"Charming traditional village with heritage buildings, local crafts, and authentic local culture. Some buildings dated back to 1800s.",charming traditional village with heritage buildings local crafts and authentic local culture some buildings dated back to 1800s,charming traditional village with heritage buildings local crafts and authentic local culture some buildings dated back to 1800s,charming traditional village with heritage buildings local crafts and authentic local culture some buildings dated back to 1800s,Fasilitas,Netral,0.8549
Wisata,Kampung Kemasan,4.7,105,ismail shoji ismail,5,2026-02-02T02:12:30.918Z,"Nuansa vintage dan historis yang masih terjaga, semoga tetap di pertahankan dan dirawat untuk menjaga nilai historisnya",nuansa vintage dan historis yang masih terjaga semoga tetap di pertahankan dan dirawat untuk menjaga nilai historisnya,nuansa vintage dan historis yang masih terjaga semoga tetap di pertahankan dan dirawat untuk menjaga nilai historisnya,nuansa vintage historis terjaga semoga tetap pertahankan dirawat menjaga nilai historisnya,Kesehatan,Positif,0.9894
Wisata,Kampung Kemasan,4.7,105,iz_m 88,4,2025-09-23T12:02:31.329Z,"Kampung yang dulu biasa saya lewati. kampunya adem, apalagi jalan di kampungnya dulu masih tanah belum di paving, bangunan terlihat kokoh dan ada kesan bangunan belanda.",kampung yang dulu biasa saya lewati kampunya adem apalagi jalan di kampungnya dulu masih tanah belum di paving bangunan terlihat kokoh dan ada kesan bangunan belanda,kampung yang dulu biasa saya lewati kampunya adem apalagi jalan di kampungnya dulu masih tanah belum di paving bangunan terlihat kokoh dan ada kesan bangunan belanda,kampung dulu biasa lewati kampunya adem apalagi jalan kampungnya dulu tanah paving bangunan terlihat kokoh kesan bangunan belanda,Infrastruktur,Positif,0.9936
Wisata,Kampung Kemasan,4.7,105,Cong Cat,5,2025-09-01T01:38:22.941Z,Sebagai lokasi Biennale Jatim di Gresik saat ini,sebagai lokasi biennale jatim di gresik saat ini,sebagai lokasi biennale jatim di gresik saat ini,sebagai lokasi biennale jatim gresik,Lainnya,Netral,0.9723
Wisata,Kampung Kemasan,4.7,105,Latifah Hanim,5,2025-06-26T23:33:52.967Z,Sangat bagus dan menunjukkan budaya dari kota Gresik,sangat bagus dan menunjukkan budaya dari kota gresik,sangat bagus dan menunjukkan budaya dari kota gresik,bagus menunjukkan budaya kota gresik,Administrasi,Positif,0.9946
Wisata,Kampung Kemasan,4.7,105,ida fah,5,2025-06-24T20:05:23.347Z,"Dari Pasar Kota kita jln kaki menuju Kampung Kemasan, bangunan kuno tapi bagus bgt. Seperti kota lama ya...",dari pasar kota kita jln kaki menuju kampung kemasan bangunan kuno tapi bagus bgt seperti kota lama ya,dari pasar kota kita jln kaki menuju kampung kemasan bangunan kuno tapi bagus banget seperti kota lama ya,pasar kota jln kaki menuju kampung kemasan bangunan kuno bagus banget seperti kota lama ya,Infrastruktur,Positif,0.9954
Wisata,Kampung Kemasan,4.7,105,Eresye Rosyidi,5,2025-03-03T14:19:32.764Z,Mengantarkan anak Berkunjung ke kampung kemasan dengan melihat cara membuat sarung / batik,mengantarkan anak berkunjung ke kampung kemasan dengan melihat cara membuat sarung batik,mengantarkan anak berkunjung ke kampung kemasan dengan melihat cara membuat sarung batik,mengantarkan anak berkunjung kampung kemasan melihat cara membuat sarung batik,Lainnya,Netral,0.9758
Wisata,Kampung Kemasan,4.7,105,Ayu Wulandari,1,2024-12-16T05:48:47.295Z,maaf apakah info trbaru? apakah bisa brfoto d sni?,maaf apakah info trbaru apakah bisa brfoto d sni,maaf apakah info trbaru apakah bisa brfoto d sni,maaf apakah info trbaru apakah brfoto sni,Lainnya,Netral,0.8493
Wisata,Kampung Kemasan,4.7,105,Irawan Prajitno,5,2024-11-02T11:57:47.042Z,Kampung yang sangat unik dan bersejarah.,kampung yang sangat unik dan bersejarah,kampung yang sangat unik dan bersejarah,kampung unik bersejarah,Administrasi,Positif,0.9924
