Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Pemerintahan,Kelurahan/Desa,Kantor Desa Sidomukti,4.7,51,Agus Sutrisno,4,2026-08-10T01:47:30.038Z,Alhamdulillah,alhamdulillah,alhamdulillah,alhamdulillah,Lainnya,Positif,0.9893
Pemerintahan,Kelurahan/Desa,Kantor Desa Sidomukti,4.7,51,ahmad fauzan,4,2026-08-02T22:54:20.934Z,Seru. Sejuk,seru sejuk,seru sejuk,seru sejuk,Lainnya,Positif,0.9972
Pemerintahan,Kelurahan/Desa,Kantor Desa Sidomukti,4.7,51,Boy Rafathar Akbar,5,2025-11-28T09:36:26.352Z,Tempatnya bersih,tempatnya bersih,tempatnya bersih,tempatnya bersih,Fasilitas,Positif,0.9967
Pemerintahan,Kelurahan/Desa,Kantor Desa Sidomukti,4.7,51,KerisKayu,5,2025-11-27T04:06:21.752Z,Pelayanan maksimal dan memuaskan,pelayanan maksimal dan memuaskan,pelayanan maksimal dan memuaskan,pelayanan maksimal memuaskan,Pelayanan,Positif,0.9947
Pemerintahan,Kelurahan/Desa,Kantor Desa Sidomukti,4.7,51,Ahmad Moelyadi,5,2025-07-09T05:57:52.747Z,Luar biasa pelayanannya,luar biasa pelayanannya,luar biasa pelayanannya,luar biasa pelayanannya,Pelayanan,Positif,0.9963
Pemerintahan,Kelurahan/Desa,Kantor Desa Sidomukti,4.7,51,Andri Wahyudi,5,2025-04-13T03:02:10.030Z,"Kepala desa dan perangkatnya keren dah, beneran gak takut istri 🔥🔥🔥  Angkat aku jadi wargamu SUHU!!! 😂",kepala desa dan perangkatnya keren dah beneran gak takut istri angkat aku jadi wargamu suhu,kepala desa dan perangkatnya bagus dah beneran tidak takut istri angkat aku jadi wargamu suhu,kepala desa perangkatnya bagus dah beneran takut istri angkat aku jadi wargamu suhu,Lainnya,Positif,0.6518
Pemerintahan,Kelurahan/Desa,Kantor Desa Sidomukti,4.7,51,Ristam mustakim,5,2025-04-13T01:41:32.608Z,"Pelayanan disini betul2 profesional. Kalo di kantor desa lain dateng jam 8 belum ada pegawai datang, disini dateng jam 6 pagi aja udah ada pegawai bahkan pak kades juga. Setelah saya tanya ternyata mereka memang tinggal di kantor desa karena ga dibolehin pulang ke rumah sama istrinya wkwkwk",pelayanan disini betul2 profesional kalo di kantor desa lain dateng jam belum ada pegawai datang disini dateng jam pagi aja udah ada pegawai bahkan pak kades juga setelah saya tanya ternyata mereka memang tinggal di kantor desa karena ga dibolehin pulang ke rumah sama istrinya wkwkwk,pelayanan disini betul2 profesional kalo di kantor desa lain dateng jam belum ada pegawai datang disini dateng jam pagi aja udah ada pegawai bahkan pak kades juga setelah saya tanya ternyata mereka memang tinggal di kantor desa karena tidak dibolehin pulang ke rumah sama istrinya,pelayanan disini betul2 profesional kalo kantor desa lain dateng jam pegawai datang disini dateng jam pagi aja udah pegawai bahkan pak kades tanya ternyata memang tinggal kantor desa dibolehin pulang rumah sama istrinya,Pelayanan,Positif,0.9832
Pemerintahan,Kelurahan/Desa,Kantor Desa Sidomukti,4.7,51,Rudi Gamers,5,2025-04-12T16:21:42.462Z,"Saya tidak perlu klarifikasi, saya menyatakan tidak takut istri. (karena saya belum menikah)",saya tidak perlu klarifikasi saya menyatakan tidak takut istri karena saya belum menikah,saya tidak perlu klarifikasi saya menyatakan tidak takut istri karena saya belum menikah,perlu klarifikasi menyatakan takut istri menikah,Administrasi,Netral,0.6978
Pemerintahan,Kelurahan/Desa,Kantor Desa Sidomukti,4.7,51,dodik hidayah,5,2025-04-12T12:37:12.384Z,"Ke sini gara"" klarifikasi tidak takut istri 😂",ke sini gara klarifikasi tidak takut istri,ke sini gara klarifikasi tidak takut istri,sini gara klarifikasi takut istri,Lainnya,Positif,0.9942
Pemerintahan,Kelurahan/Desa,Kantor Desa Sidomukti,4.7,51,Leo Govin,5,2024-02-26T11:50:56.742Z,mantaaap,mantaaap,mantaaap,mantaaap,Lainnya,Positif,0.9965
Pemerintahan,Kelurahan/Desa,Kantor Desa Sidomukti,4.7,51,Ega Dwi Permana,5,2023-12-11T16:51:10.198Z,The Best,the best,the best,the best,Lainnya,Positif,0.996
Pemerintahan,Kelurahan/Desa,Kantor Desa Sidomukti,4.7,51,Yuliatin Yuliatin,5,2023-10-28T01:17:25.609Z,Senam pagi bersama,senam pagi bersama,senam pagi bersama,senam pagi bersama,Lainnya,Netral,0.8907
