Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Pemerintahan,Kelurahan/Desa,Kantor Desa Suci,3.8,20,Andi 26,2,2026-06-12T10:59:29.320Z,"Beberapa kali ke sana, dan ada beberapa momen yang buat saya tidak nyaman, dari pihak kantor desa nya sendiri, maupun aturan yang berlaku, bikin ribet yang mau ngurus.",beberapa kali ke sana dan ada beberapa momen yang buat saya tidak nyaman dari pihak kantor desa nya sendiri maupun aturan yang berlaku bikin ribet yang mau ngurus,beberapa kali ke sana dan ada beberapa momen yang buat saya tidak nyaman dari pihak kantor desa nya sendiri maupun aturan yang berlaku bikin ribet yang mau ngurus,beberapa kali sana beberapa momen buat nyaman pihak kantor desa sendiri maupun aturan berlaku bikin ribet mau ngurus,Fasilitas,Negatif,0.9643
Pemerintahan,Kelurahan/Desa,Kantor Desa Suci,3.8,20,muslimatul hamidah,5,2024-10-16T03:34:35.193Z,"Izin berbagi cerita ya ges, saya urus surat domisili disini, saratnya kalian harus membawa surat pengantar dari RT RW dengan biaya oprasional senilai 50.000, kemudian tadi di kantor kelurahan petugasnya sangat ramah dan baik hati, ketika kita kesana beliau lagi telfonan dan masih melanjutkan telfonnya, pelayanan cepat dan mudah, biayanya juga sangat murah hanya 100.000 ribu tapi sayangnya kita tidak dikasih nota, mungkin notanya habis, overall sangat puas dengan pelayanannya",izin berbagi cerita ya ges saya urus surat domisili disini saratnya kalian harus membawa surat pengantar dari rt rw dengan biaya oprasional senilai kemudian tadi di kantor kelurahan petugasnya sangat ramah dan baik hati ketika kita kesana beliau lagi telfonan dan masih melanjutkan telfonnya pelayanan cepat dan mudah biayanya juga sangat murah hanya ribu tapi sayangnya kita tidak dikasih nota mungkin notanya habis overall sangat puas dengan pelayanannya,izin berbagi cerita ya ges saya urus surat domisili disini saratnya kalian harus membawa surat pengantar dari rt rw dengan biaya oprasional senilai kemudian tadi di kantor kelurahan petugasnya sangat ramah dan baik hati ketika kita kesana beliau lagi telfonan dan masih melanjutkan telfonnya pelayanan cepat dan mudah biayanya juga sangat murah hanya ribu tapi sayangnya kita tidak dikasih nota mungkin notanya habis overall sangat puas dengan pelayanannya,izin berbagi cerita ya ges urus surat domisili disini saratnya kalian harus membawa surat pengantar rt rw biaya oprasional senilai kemudian tadi kantor kelurahan petugasnya ramah baik hati kesana beliau telfonan melanjutkan telfonnya pelayanan cepat mudah biayanya murah hanya ribu sayangnya dikasih nota mungkin notanya habis overall puas pelayanannya,Pelayanan,Positif,0.9941
Pemerintahan,Kelurahan/Desa,Kantor Desa Suci,3.8,20,wasis lukito,4,2024-02-26T03:27:38.453Z,Parkiran luas👍,parkiran luas,parkiran luas,parkiran luas,Fasilitas,Positif,0.9934
Pemerintahan,Kelurahan/Desa,Kantor Desa Suci,3.8,20,Ahmad Dhurun Nafis,5,2023-07-20T02:57:46.194Z,"Terima kasih atas pelayanan dan falitasnya  Petugas Rama baik di tunjukkan alur proses""nya",terima kasih atas pelayanan dan falitasnya petugas rama baik di tunjukkan alur proses nya,terima kasih atas pelayanan dan falitasnya petugas rama baik di tunjukkan alur proses nya,terima kasih atas pelayanan falitasnya petugas rama baik tunjukkan alur proses,Pelayanan,Netral,0.939
Pemerintahan,Kelurahan/Desa,Kantor Desa Suci,3.8,20,Lailatul Faridah,5,2023-06-01T11:54:31.701Z,Alhamdulillah....,alhamdulillah,alhamdulillah,alhamdulillah,Lainnya,Positif,0.9893
Pemerintahan,Kelurahan/Desa,Kantor Desa Suci,3.8,20,Akhmad Fauzi,5,2022-09-06T07:39:10.441Z,Lengkap dan nyaman,lengkap dan nyaman,lengkap dan nyaman,lengkap nyaman,Fasilitas,Positif,0.9967
Pemerintahan,Kelurahan/Desa,Kantor Desa Suci,3.8,20,Roni Candra,1,2022-02-25T06:21:43.943Z,Jam operasional seenaknya sendiri,jam operasional seenaknya sendiri,jam operasional seenaknya sendiri,jam operasional seenaknya sendiri,Lainnya,Negatif,0.9977
Pemerintahan,Kelurahan/Desa,Kantor Desa Suci,3.8,20,Moh. Nurul Ali,3,2020-04-03T00:04:21.877Z,Layanan lumayan bagus,layanan lumayan bagus,layanan lumayan bagus,layanan lumayan bagus,Pelayanan,Negatif,0.9959
Pemerintahan,Kelurahan/Desa,Kantor Desa Suci,3.8,20,Ipunk 55,3,2018-05-10T14:44:56.117Z,Kesini pas ada acara rebo wekasan klo gak salah nama acaranya,kesini pas ada acara rebo wekasan klo gak salah nama acaranya,kesini pas ada acara rebo wekasan kalau tidak salah nama acaranya,kesini pas acara rebo wekasan salah nama acaranya,Fasilitas,Netral,0.7498
Pemerintahan,Kelurahan/Desa,Kantor Desa Suci,3.8,20,Jamal PMJ,1,2017-09-12T17:39:43.255Z,"Pernah disini dalam giat PMJ kota Kediri bertempat disebelah balai desa, atau lapangan sebelah...",pernah disini dalam giat pmj kota kediri bertempat disebelah balai desa atau lapangan sebelah,pernah disini dalam giat pmj kota kediri bertempat disebelah balai desa atau lapangan sebelah,pernah disini giat pmj kota kediri bertempat disebelah balai desa lapangan sebelah,Lainnya,Netral,0.9931
Pemerintahan,Kelurahan/Desa,Kantor Desa Suci,3.8,20,reineer sandi yudha,5,2015-10-18T15:02:59.966Z,Jl Berlian IV No 9 Suci,jl berlian iv no suci,jl berlian iv no suci,jl berlian iv no suci,Lainnya,Netral,0.9899
