Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Pemerintahan,KANTOR DINAS PENDAPATAN PROVINSI JAWA TIMUR GRESIK,4.5,21,Wishnu E. W.,5,2022-07-19T11:18:00.797Z,Di sini bisa mengurus perpanjangan STNK dengan mudah dan cepat. Tempat publik/antri bersih dan ber AC.,di sini bisa mengurus perpanjangan stnk dengan mudah dan cepat tempat publik antri bersih dan ber ac,di sini bisa mengurus perpanjangan stnk dengan mudah dan cepat tempat publik antrian bersih dan ber ac,sini mengurus perpanjangan stnk mudah cepat tempat publik antrian bersih ber ac,Pelayanan,Negatif,0.9639
Pemerintahan,KANTOR DINAS PENDAPATAN PROVINSI JAWA TIMUR GRESIK,4.5,21,adinda khasana,5,2022-07-06T03:49:10.546Z,Tempat menunggu nyaman dan ber ac Pelayanan cepat Hanya untuk parkiran mobil kurang jadi bisa parkir disamping gedung di gang depan SMP 3,tempat menunggu nyaman dan ber ac pelayanan cepat hanya untuk parkiran mobil kurang jadi bisa parkir disamping gedung di gang depan smp,tempat menunggu nyaman dan ber ac pelayanan cepat hanya untuk parkiran mobil kurang jadi bisa parkir disamping gedung di gang depan smp,tempat menunggu nyaman ber ac pelayanan cepat hanya parkiran mobil kurang jadi parkir disamping gedung gang depan smp,Pelayanan,Negatif,0.9674
Pemerintahan,KANTOR DINAS PENDAPATAN PROVINSI JAWA TIMUR GRESIK,4.5,21,Kenzo Jovan,5,2021-10-04T14:38:23.217Z,Pengurusan pembayaran pajak jadi mudah dan cepat ditempat ini pelayanannya pun juga ramah tempatnya bersih rapi sarana lengkap parkirnnya pun ada,pengurusan pembayaran pajak jadi mudah dan cepat ditempat ini pelayanannya pun juga ramah tempatnya bersih rapi sarana lengkap parkirnnya pun ada,pengurusan pembayaran pajak jadi mudah dan cepat ditempat ini pelayanannya pun juga ramah tempatnya bersih rapi sarana lengkap parkirnnya pun ada,pengurusan pembayaran pajak jadi mudah cepat ditempat pelayanannya ramah tempatnya bersih rapi sarana lengkap parkirnnya,Pelayanan,Negatif,0.9964
Pemerintahan,KANTOR DINAS PENDAPATAN PROVINSI JAWA TIMUR GRESIK,4.5,21,Rica Unyuxietha,5,2021-09-29T07:15:48.532Z,"Yang berada digresik bagian timur bisa neh akses untuk pengurusan pajak kendaraan bermotor, tempatnya mudah dicari, pelayanan juga cepat dan ramah, gak pakai antri dan gak pake berlama lama.",yang berada digresik bagian timur bisa neh akses untuk pengurusan pajak kendaraan bermotor tempatnya mudah dicari pelayanan juga cepat dan ramah gak pakai antri dan gak pake berlama lama,yang berada digresik bagian timur bisa neh akses untuk pengurusan pajak kendaraan bermotor tempatnya mudah dicari pelayanan juga cepat dan ramah tidak pakai antrian dan tidak pake berlama lama,berada digresik bagian timur neh akses pengurusan pajak kendaraan bermotor tempatnya mudah dicari pelayanan cepat ramah pakai antrian pake berlama lama,Pelayanan,Negatif,0.9961
Pemerintahan,KANTOR DINAS PENDAPATAN PROVINSI JAWA TIMUR GRESIK,4.5,21,JENOVA,5,2020-03-22T22:31:56.851Z,Apakah hari ini buka seperti biasa?? Mohon dijawab,apakah hari ini buka seperti biasa mohon dijawab,apakah hari ini buka seperti biasa mohon dijawab,apakah hari buka seperti biasa mohon dijawab,Lainnya,Netral,0.9951
Pemerintahan,KANTOR DINAS PENDAPATAN PROVINSI JAWA TIMUR GRESIK,4.5,21,Laili Riziiq Ma'rufaa,5,2020-02-18T16:14:44.013Z,Bayar Pajak di kantor ini untuk pelayanan bagus pegawai juga ramah pas bayar disana kebetulan lagi ramai jadi harus antri tapi tidak masalah karena tempatnya ber AC 😁👌👍🏻 jadi nyaman disediakan air putih kemasan juga untuk tempat parkir motor ada tempatnya pinggir jalan strategis pas depan SMPN 3 Gresik,bayar pajak di kantor ini untuk pelayanan bagus pegawai juga ramah pas bayar disana kebetulan lagi ramai jadi harus antri tapi tidak masalah karena tempatnya ber ac jadi nyaman disediakan air putih kemasan juga untuk tempat parkir motor ada tempatnya pinggir jalan strategis pas depan smpn gresik,bayar pajak di kantor ini untuk pelayanan bagus pegawai juga ramah pas bayar disana kebetulan lagi ramai jadi harus antrian tapi tidak masalah karena tempatnya ber ac jadi nyaman disediakan air putih kemasan juga untuk tempat parkir motor ada tempatnya pinggir jalan strategis pas depan smpn gresik,bayar pajak kantor pelayanan bagus pegawai ramah pas bayar disana kebetulan ramai jadi harus antrian masalah tempatnya ber ac jadi nyaman disediakan air putih kemasan tempat parkir motor tempatnya pinggir jalan strategis pas depan smpn gresik,Pelayanan,Negatif,0.9969
Pemerintahan,KANTOR DINAS PENDAPATAN PROVINSI JAWA TIMUR GRESIK,4.5,21,anies syofyan,3,2019-10-19T01:29:47.640Z,"Cukup memudahkan jika bayar pajak kendaraan bermotor, mudah dijangkau karena berada di tengah kota",cukup memudahkan jika bayar pajak kendaraan bermotor mudah dijangkau karena berada di tengah kota,cukup memudahkan jika bayar pajak kendaraan bermotor mudah dijangkau karena berada di tengah kota,cukup memudahkan bayar pajak kendaraan bermotor mudah dijangkau berada tengah kota,Lainnya,Negatif,0.9852
Pemerintahan,KANTOR DINAS PENDAPATAN PROVINSI JAWA TIMUR GRESIK,4.5,21,Didin Setyawan,5,2019-07-02T02:43:19.582Z,"Pelayanan cepat untuk bayar pajak STNK, cepat+ringkas, tidak perlu antri di Samsat",pelayanan cepat untuk bayar pajak stnk cepat ringkas tidak perlu antri di samsat,pelayanan cepat untuk bayar pajak stnk cepat ringkas tidak perlu antrian di samsat,pelayanan cepat bayar pajak stnk cepat ringkas perlu antrian samsat,Pelayanan,Negatif,0.9405
Pemerintahan,KANTOR DINAS PENDAPATAN PROVINSI JAWA TIMUR GRESIK,4.5,21,Arif Dito,5,2019-03-27T11:11:50.903Z,"Saya sangat kagum dengam tempat ini . Karna pelayanan yang sangat cepat dan tempat yang nyaman , ada tempat tunggu dan bermain untuk anak anak . Ditambah lagi    ada minuman geratis yang disajikan untuk yang datang disana .",saya sangat kagum dengam tempat ini karna pelayanan yang sangat cepat dan tempat yang nyaman ada tempat tunggu dan bermain untuk anak anak ditambah lagi ada minuman geratis yang disajikan untuk yang datang disana,saya sangat kagum dengam tempat ini karna pelayanan yang sangat cepat dan tempat yang nyaman ada tempat tunggu dan bermain untuk anak anak ditambah lagi ada minuman geratis yang disajikan untuk yang datang disana,kagum dengam tempat karna pelayanan cepat tempat nyaman tempat tunggu bermain anak anak ditambah minuman geratis disajikan datang disana,Pelayanan,Negatif,0.9976
Pemerintahan,KANTOR DINAS PENDAPATAN PROVINSI JAWA TIMUR GRESIK,4.5,21,muhammad miftahul ulum,5,2019-01-25T08:18:24.182Z,"Bisa perpanjang pajak tahunan motor, parkir bayar 2rb. Siapkan ktp asli stnk asli motor",bisa perpanjang pajak tahunan motor parkir bayar 2rb siapkan ktp asli stnk asli motor,bisa perpanjang pajak tahunan motor parkir bayar 2rb siapkan ktp asli stnk asli motor,perpanjang pajak tahunan motor parkir bayar 2rb siapkan ktp asli stnk asli motor,Fasilitas,Netral,0.9979
