Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Pemerintahan,Kantor Imigrasi Kelas I Non TPI Jakarta Pusat,4.1,1109,thofaa 61,5,2026-07-22T05:53:46.091Z,"Customer Service yang luar biasa, kalau ada bintang 10 pantas diberikan. Sangat membantu menavigasi evisa portal dan dalam setiap tahapan proses permohonan kami. Terima kasih banyak.",customer service yang luar biasa kalau ada bintang pantas diberikan sangat membantu menavigasi evisa portal dan dalam setiap tahapan proses permohonan kami terima kasih banyak,customer service yang luar biasa kalau ada bintang pantas diberikan sangat membantu menavigasi evisa portal dan dalam setiap tahapan proses permohonan kami terima kasih banyak,customer service luar biasa bintang pantas diberikan membantu menavigasi evisa portal setiap tahapan proses permohonan terima kasih banyak,Lainnya,Positif,0.6543
Pemerintahan,Kantor Imigrasi Kelas I Non TPI Jakarta Pusat,4.1,1109,luna lovegood,5,2026-07-21T02:40:16.385Z,"bagus kantornya, nyaman, dan cepet juga pelayanannya. puas deh",bagus kantornya nyaman dan cepet juga pelayanannya puas deh,bagus kantornya nyaman dan cepet juga pelayanannya puas deh,bagus kantornya nyaman cepet pelayanannya puas,Pelayanan,Positif,0.9972
Pemerintahan,Kantor Imigrasi Kelas I Non TPI Jakarta Pusat,4.1,1109,raya teb,5,2026-07-21T02:38:38.253Z,"pelayanannya cepet bangettt puas deh ngurus paspor di sini, semangat buat mbak dan mas yang di kantor imigrasi jakpus ngurusin pemohon yg sangat amat banyak itu🤯",pelayanannya cepet bangettt puas deh ngurus paspor di sini semangat buat mbak dan mas yang di kantor imigrasi jakpus ngurusin pemohon yg sangat amat banyak itu,pelayanannya cepet bangettt puas deh ngurus paspor di sini semangat buat mbak dan mas yang di kantor imigrasi jakpus ngurusin pemohon yang sangat amat banyak itu,pelayanannya cepet bangettt puas ngurus paspor sini semangat buat mbak mas kantor imigrasi jakpus ngurusin pemohon amat banyak,Pelayanan,Positif,0.9917
Pemerintahan,Kantor Imigrasi Kelas I Non TPI Jakarta Pusat,4.1,1109,Gheriya Tabina,5,2026-07-21T02:33:15.037Z,"puas dengan pelayanan di kantor imigrasi jakarta pusat, informasinya mudah dimengerti dan ramah ramah sekali pegawainya. terima kasih kantor imigrasi jakarta pusat🙌🏻🙌🏻🙌🏻",puas dengan pelayanan di kantor imigrasi jakarta pusat informasinya mudah dimengerti dan ramah ramah sekali pegawainya terima kasih kantor imigrasi jakarta pusat,puas dengan pelayanan di kantor imigrasi jakarta pusat informasinya mudah dimengerti dan ramah ramah sekali pegawainya terima kasih kantor imigrasi jakarta pusat,puas pelayanan kantor imigrasi jakarta pusat informasinya mudah dimengerti ramah ramah pegawainya terima kasih kantor imigrasi jakarta pusat,Pelayanan,Positif,0.987
Pemerintahan,Kantor Imigrasi Kelas I Non TPI Jakarta Pusat,4.1,1109,Alexander,4,2026-07-20T00:49:38.682Z,"Pelayanan sudah banyak berubah kearah lebih baik, perbaiki terus 👍",pelayanan sudah banyak berubah kearah lebih baik perbaiki terus,pelayanan sudah banyak berubah kearah lebih baik perbaiki terus,pelayanan banyak berubah kearah baik perbaiki terus,Pelayanan,Positif,0.9861
Pemerintahan,Kantor Imigrasi Kelas I Non TPI Jakarta Pusat,4.1,1109,Michael Green Lauridsen,5,2026-07-18T11:08:09.845Z,Professional and Friendly.,professional and friendly,professional and friendly,professional and friendly,Lainnya,Positif,0.9905
Pemerintahan,Kantor Imigrasi Kelas I Non TPI Jakarta Pusat,4.1,1109,Mohan Ram,5,2026-07-17T08:34:29.467Z,pelayanan lantai 4 sangat bagus petugas rido dan bang geryy,pelayanan lantai sangat bagus petugas rido dan bang geryy,pelayanan lantai sangat bagus petugas rido dan bang geryy,pelayanan lantai bagus petugas rido bang geryy,Pelayanan,Positif,0.9936
Pemerintahan,Kantor Imigrasi Kelas I Non TPI Jakarta Pusat,4.1,1109,Lisa,5,2026-07-17T02:43:50.941Z,Pelayanan nya cepat. Dibantu oleh mas Dimas di lantai 2,pelayanan nya cepat dibantu oleh mas dimas di lantai,pelayanan nya cepat dibantu oleh mas dimas di lantai,pelayanan cepat dibantu mas dimas lantai,Pelayanan,Positif,0.8434
Pemerintahan,Kantor Imigrasi Kelas I Non TPI Jakarta Pusat,4.1,1109,pan xiang,5,2026-07-16T08:09:19.152Z,"Pelayanan lantai 4 sangat.bagus, petugas rido.dan.pak.dimas di.depan",pelayanan lantai sangat bagus petugas rido dan pak dimas di depan,pelayanan lantai sangat bagus petugas rido dan pak dimas di depan,pelayanan lantai bagus petugas rido pak dimas depan,Pelayanan,Positif,0.991
Pemerintahan,Kantor Imigrasi Kelas I Non TPI Jakarta Pusat,4.1,1109,Tmr,4,2026-07-15T14:52:29.273Z,"Pelayanan cepat, recommended buat passport disini, tinggal daftar online dan datang,",pelayanan cepat recommended buat passport disini tinggal daftar online dan datang,pelayanan cepat recommended buat passport disini tinggal daftar online dan datang,pelayanan cepat recommended buat passport disini tinggal daftar online datang,Pelayanan,Positif,0.9958
