Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Pemerintahan,Kantor Kecamatan Driyorejo,3.4,25,Afif Machrus,5,2022-07-28T00:50:19.355Z,Nice,nice,nice,nice,Lainnya,Negatif,0.9923
Pemerintahan,Kantor Kecamatan Driyorejo,3.4,25,Isti Komah,3,2022-06-28T03:05:19.133Z,kantor kecamatan tutup jm brp ya?,kantor kecamatan tutup jm brp ya,kantor kecamatan tutup jm brp ya,kantor kecamatan tutup jm brp ya,Lainnya,Netral,0.9946
Pemerintahan,Kantor Kecamatan Driyorejo,3.4,25,Davin Vhiolensia,1,2022-04-07T03:16:37.687Z,PELAYANAN RUWET DAN TIDAK INFORMATIF PECAT SAJA SELURUH KARYAWAN DISITU!!  GRESIK SELATAN PELAYAN CATATAN SIPIL SELURUHNYA RUWET,pelayanan ruwet dan tidak informatif pecat saja seluruh karyawan disitu gresik selatan pelayan catatan sipil seluruhnya ruwet,pelayanan ruwet dan tidak informatif pecat saja seluruh karyawan disitu gresik selatan pelayan catatan sipil seluruhnya ruwet,pelayanan ruwet informatif pecat saja seluruh karyawan disitu gresik selatan pelayan catatan sipil seluruhnya ruwet,Pelayanan,Positif,0.9976
Pemerintahan,Kantor Kecamatan Driyorejo,3.4,25,Tatara Qu,4,2022-04-06T22:21:16.130Z,Pelayanan petugas tolong diperbaiki. Lebih ramah tukang parkirnya,pelayanan petugas tolong diperbaiki lebih ramah tukang parkirnya,pelayanan petugas tolong diperbaiki lebih ramah tukang parkirnya,pelayanan petugas tolong diperbaiki ramah tukang parkirnya,Pelayanan,Positif,0.9459
Pemerintahan,Kantor Kecamatan Driyorejo,3.4,25,Yesya _36,1,2021-06-15T06:56:57.178Z,Pelayanannya buruk . Pegawainya tukang marah marah terus terutama yang melayani pembuatan KTP,pelayanannya buruk pegawainya tukang marah marah terus terutama yang melayani pembuatan ktp,pelayanannya buruk pegawainya tukang marah marah terus terutama yang melayani pembuatan ktp,pelayanannya buruk pegawainya tukang marah marah terus terutama melayani pembuatan ktp,Pelayanan,Positif,0.9982
Pemerintahan,Kantor Kecamatan Driyorejo,3.4,25,Didik Brewok.,4,2021-02-08T05:25:54.413Z,Pelayanan penuh perhatian dan menyenangkan.,pelayanan penuh perhatian dan menyenangkan,pelayanan penuh perhatian dan menyenangkan,pelayanan penuh perhatian menyenangkan,Pelayanan,Negatif,0.9967
Pemerintahan,Kantor Kecamatan Driyorejo,3.4,25,Seto Awan,1,2021-01-24T08:47:44.529Z,"Memang dengan adanya kemajuan teknologi yg sedang berkembang di tengah era menuju peradapan baru sekarang ini, , sistem online sangatlah menjanjikan, , namun kekurangannya adalah dimana pemerataan SDM yang membuat kondisi ini menjadi kurang berasahabat,, seharusnya pada masa transisi sekarang ini tetaplah diupayakan maksimal dalam pelayanannya, , jadi khususnya dalam era transisi harus tetap diberikan pelayanan dengan sistem yg lebih tepat guna, untuk menghindari terjadi adanya makelar.. terima kasih",memang dengan adanya kemajuan teknologi yg sedang berkembang di tengah era menuju peradapan baru sekarang ini sistem online sangatlah menjanjikan namun kekurangannya adalah dimana pemerataan sdm yang membuat kondisi ini menjadi kurang berasahabat seharusnya pada masa transisi sekarang ini tetaplah diupayakan maksimal dalam pelayanannya jadi khususnya dalam era transisi harus tetap diberikan pelayanan dengan sistem yg lebih tepat guna untuk menghindari terjadi adanya makelar terima kasih,memang dengan adanya kemajuan teknologi yang sedang berkembang di tengah era menuju peradapan baru sekarang ini sistem online sangatlah menjanjikan namun kekurangannya adalah dimana pemerataan sdm yang membuat kondisi ini menjadi kurang berasahabat seharusnya pada masa transisi sekarang ini tetaplah diupayakan maksimal dalam pelayanannya jadi khususnya dalam era transisi harus tetap diberikan pelayanan dengan sistem yang lebih tepat guna untuk menghindari terjadi adanya makelar terima kasih,memang adanya kemajuan teknologi sedang berkembang tengah era menuju peradapan sekarang sistem online sangatlah menjanjikan kekurangannya dimana pemerataan sdm membuat kondisi menjadi kurang berasahabat seharusnya masa transisi sekarang tetaplah diupayakan maksimal pelayanannya jadi khususnya era transisi harus tetap diberikan pelayanan sistem tepat guna menghindari terjadi adanya makelar terima kasih,Pelayanan,Negatif,0.8186
Pemerintahan,Kantor Kecamatan Driyorejo,3.4,25,Bian Netral,1,2020-09-22T02:15:00.913Z,Masa iya bikin ktp gabisa alasanya trouble.malah disuruh ke kantor kecamatan kedamaean,masa iya bikin ktp gabisa alasanya trouble malah disuruh ke kantor kecamatan kedamaean,masa iya bikin ktp gabisa alasanya trouble malah disuruh ke kantor kecamatan kedamaean,masa iya bikin ktp gabisa alasanya trouble malah disuruh kantor kecamatan kedamaean,Administrasi,Positif,0.969
Pemerintahan,Kantor Kecamatan Driyorejo,3.4,25,Anggi Pramono,1,2020-03-18T05:12:12.995Z,Bikin E-KTP main lempar sana lempar sini. 👎🏽,bikin e ktp main lempar sana lempar sini,bikin e ktp main lempar sana lempar sini,bikin ktp main lempar sana lempar sini,Administrasi,Positif,0.9923
Pemerintahan,Kantor Kecamatan Driyorejo,3.4,25,Nanik Muasaroh,1,2020-03-16T05:44:57.727Z,Ruwet berkas udah ada TTD malah d tahan pelayanan nol,ruwet berkas udah ada ttd malah d tahan pelayanan nol,ruwet berkas udah ada ttd malah d tahan pelayanan nol,ruwet berkas udah ttd malah tahan pelayanan nol,Pelayanan,Positif,0.9979
