Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Pemerintahan,Kecamatan,Kantor Kecamatan Dukun Gresik,3.7,32,Iwan Cencen,5,2025-12-16T18:06:58.275Z,Kopi th 500 th,kopi th th,kopi th th,kopi th th,Lainnya,Netral,0.6848
Pemerintahan,Kecamatan,Kantor Kecamatan Dukun Gresik,3.7,32,apriliya familiy,2,2025-04-30T02:33:18.646Z,sumpah ngurus kk aja 2minggu lbih blom jadi² alasanya troble apa lah pkok lelet,sumpah ngurus kk aja 2minggu lbih blom jadi alasanya troble apa lah pkok lelet,sumpah ngurus kk aja 2minggu lbih blom jadi alasanya troble apa lah pkok lelet,sumpah ngurus kk aja 2minggu lbih blom jadi alasanya troble apa pkok lelet,Administrasi,Negatif,0.9958
Pemerintahan,Kecamatan,Kantor Kecamatan Dukun Gresik,3.7,32,Ardan Nia,1,2023-10-31T05:02:12.602Z,Pelayanan ceweknya satu tua satu muda sangat tidak ramah,pelayanan ceweknya satu tua satu muda sangat tidak ramah,pelayanan ceweknya satu tua satu muda sangat tidak ramah,pelayanan ceweknya satu tua satu muda ramah,Pelayanan,Negatif,0.9919
Pemerintahan,Kecamatan,Kantor Kecamatan Dukun Gresik,3.7,32,Muhammad Musaddad,1,2023-10-22T15:11:14.718Z,Pelayanan sangat sangat tidak ramah.........mohon diperbaiki karena ini termasuk pelayanan masyarakat,pelayanan sangat sangat tidak ramah mohon diperbaiki karena ini termasuk pelayanan masyarakat,pelayanan sangat sangat tidak ramah mohon diperbaiki karena ini termasuk pelayanan masyarakat,pelayanan ramah mohon diperbaiki termasuk pelayanan masyarakat,Pelayanan,Negatif,0.5468
Pemerintahan,Kecamatan,Kantor Kecamatan Dukun Gresik,3.7,32,Daffah Rahmatillah,1,2023-10-22T14:58:51.686Z,Pelayanan tidak ramah,pelayanan tidak ramah,pelayanan tidak ramah,pelayanan ramah,Pelayanan,Negatif,0.996
Pemerintahan,Kecamatan,Kantor Kecamatan Dukun Gresik,3.7,32,Yanuar Gilang Erik Prasetyo,5,2022-09-25T13:40:11.215Z,"Pelayanan cukup bagus, pegawainya respon cepat jadi kalau ada dokumen yang kurang lengkap bisa langsung dilengkapi tanpa menunggu lama",pelayanan cukup bagus pegawainya respon cepat jadi kalau ada dokumen yang kurang lengkap bisa langsung dilengkapi tanpa menunggu lama,pelayanan cukup bagus pegawainya respon cepat jadi kalau ada dokumen yang kurang lengkap bisa langsung dilengkapi tanpa menunggu lama,pelayanan cukup bagus pegawainya respon cepat jadi dokumen kurang lengkap langsung dilengkapi tanpa menunggu lama,Pelayanan,Positif,0.9951
Pemerintahan,Kecamatan,Kantor Kecamatan Dukun Gresik,3.7,32,Kholid,4,2021-11-03T05:00:40.514Z,Pelayanan tanpa pungli.,pelayanan tanpa pungli,pelayanan tanpa pungli,pelayanan tanpa pungli,Pelayanan,Positif,0.9772
Pemerintahan,Kecamatan,Kantor Kecamatan Dukun Gresik,3.7,32,Mohammad Aly,5,2021-06-02T09:30:36.186Z,Pelayanan mantap,pelayanan mantap,pelayanan bagus,pelayanan bagus,Pelayanan,Positif,0.9969
Pemerintahan,Kecamatan,Kantor Kecamatan Dukun Gresik,3.7,32,Rifaus . ID,5,2021-05-10T21:38:54.692Z,Petugas pelayanan ramah2,petugas pelayanan ramah2,petugas pelayanan ramah2,petugas pelayanan ramah2,Pelayanan,Positif,0.9955
Pemerintahan,Kecamatan,Kantor Kecamatan Dukun Gresik,3.7,32,Ali Syahbana,1,2020-02-13T03:43:35.431Z,Baru pukul 10.30 pelayanan sudah tutup,baru pukul pelayanan sudah tutup,baru pukul pelayanan sudah tutup,pukul pelayanan tutup,Pelayanan,Netral,0.503
Pemerintahan,Kecamatan,Kantor Kecamatan Dukun Gresik,3.7,32,Mas Arief86,5,2019-01-11T02:19:47.538Z,Kantor layanan publik kecamatan dukun,kantor layanan publik kecamatan dukun,kantor layanan publik kecamatan dukun,kantor layanan publik kecamatan dukun,Pelayanan,Netral,0.9973
Pemerintahan,Kecamatan,Kantor Kecamatan Dukun Gresik,3.7,32,Nita Mafulah,3,2018-09-23T10:44:53.229Z,Kalau mau cetak E-ktp yang hilang bisakah pak??,kalau mau cetak e ktp yang hilang bisakah pak,kalau mau cetak e ktp yang hilang bisakah pak,mau cetak ktp hilang bisakah pak,Administrasi,Netral,0.9796
Pemerintahan,Kecamatan,Kantor Kecamatan Dukun Gresik,3.7,32,cak har,4,2018-02-15T04:54:09.293Z,"Dapat rekomendasi dari kecamatan Ujungpangkah, untuk cetak e-KTP di sini. Untuk pelayanannya baik antrian juga tertib. Ruang tunggu masih kurang, tempat duduk terbatas, banyak yang berdiri dan nunggu di luar ruangan. Semoga pelayanan makin oke dan masyarakat makin nyaman dalam pengurusan berkas2. Salam terimakasih buat pak Jarot.",dapat rekomendasi dari kecamatan ujungpangkah untuk cetak e ktp di sini untuk pelayanannya baik antrian juga tertib ruang tunggu masih kurang tempat duduk terbatas banyak yang berdiri dan nunggu di luar ruangan semoga pelayanan makin oke dan masyarakat makin nyaman dalam pengurusan berkas2 salam terimakasih buat pak jarot,dapat rekomendasi dari kecamatan ujungpangkah untuk cetak e ktp di sini untuk pelayanannya baik antrian juga tertib ruang tunggu masih kurang tempat duduk terbatas banyak yang berdiri dan nunggu di luar ruangan semoga pelayanan makin oke dan masyarakat makin nyaman dalam pengurusan berkas2 salam terimakasih buat pak jarot,rekomendasi kecamatan ujungpangkah cetak ktp sini pelayanannya baik antrian tertib ruang tunggu kurang tempat duduk terbatas banyak berdiri nunggu luar ruangan semoga pelayanan makin oke masyarakat makin nyaman pengurusan berkas2 salam terimakasih buat pak jarot,Pelayanan,Positif,0.9615
Pemerintahan,Kecamatan,Kantor Kecamatan Dukun Gresik,3.7,32,Wahyu Ridiansyah,4,2017-02-09T05:50:32.183Z,Lumayan pelayanannya,lumayan pelayanannya,lumayan pelayanannya,lumayan pelayanannya,Pelayanan,Positif,0.9975
Pemerintahan,Kecamatan,Kantor Kecamatan Dukun Gresik,3.7,32,EM Farih,5,2017-01-19T01:39:06.477Z,Tempat pelayanan masyarakat dukun,tempat pelayanan masyarakat dukun,tempat pelayanan masyarakat dukun,tempat pelayanan masyarakat dukun,Pelayanan,Netral,0.9154
Pemerintahan,Kecamatan,Kantor Kecamatan Dukun Gresik,3.7,32,Mas Maksum,3,2016-11-07T11:50:57.881Z,Kecamatan Dukun Kabupaten Gresik,kecamatan dukun kabupaten gresik,kecamatan dukun kabupaten gresik,kecamatan dukun kabupaten gresik,Lainnya,Netral,0.9893
