Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Pemerintahan,Kantor Kecamatan Gresik,4.1,26,354 Jokam,3,2025-12-11T08:15:43.913Z,tolong pelayanannya kelurahan sukorame di sidak,tolong pelayanannya kelurahan sukorame di sidak,tolong pelayanannya kelurahan sukorame di sidak,tolong pelayanannya kelurahan sukorame sidak,Pelayanan,Netral,0.992
Pemerintahan,Kantor Kecamatan Gresik,4.1,26,Ahmad Rahman Budiman,5,2024-10-13T06:23:45.473Z,Pelayanan Kecamatan Gresik terus meningkat semakin baik dan berorientasi melayani masyarakat,pelayanan kecamatan gresik terus meningkat semakin baik dan berorientasi melayani masyarakat,pelayanan kecamatan gresik terus meningkat semakin baik dan berorientasi melayani masyarakat,pelayanan kecamatan gresik terus meningkat semakin baik berorientasi melayani masyarakat,Pelayanan,Negatif,0.919
Pemerintahan,Kantor Kecamatan Gresik,4.1,26,C. Dia,5,2024-05-13T23:44:18.120Z,"Tempat nya sebelum lampu merah perlimaan Untuk urusan KTP, KK, di sebelah kiri pintu masuk Tempat nya bagus, adem, ada ac nya, ada playground buat anak anak juga Pelayanannya cepet bagus, petugas nya juga sigap Untuk parkiran motor ada di dalam kantor, untuk parkiran mobil ada di luar kantor, agak susah karena dekat banget sama lampu merah",tempat nya sebelum lampu merah perlimaan untuk urusan ktp kk di sebelah kiri pintu masuk tempat nya bagus adem ada ac nya ada playground buat anak anak juga pelayanannya cepet bagus petugas nya juga sigap untuk parkiran motor ada di dalam kantor untuk parkiran mobil ada di luar kantor agak susah karena dekat banget sama lampu merah,tempat nya sebelum lampu merah perlimaan untuk urusan ktp kk di sebelah kiri pintu masuk tempat nya bagus adem ada ac nya ada playground buat anak anak juga pelayanannya cepet bagus petugas nya juga sigap untuk parkiran motor ada di dalam kantor untuk parkiran mobil ada di luar kantor agak susah karena dekat banget sama lampu merah,tempat lampu merah perlimaan urusan ktp kk sebelah kiri pintu masuk tempat bagus adem ac playground buat anak anak pelayanannya cepet bagus petugas sigap parkiran motor kantor parkiran mobil luar kantor agak susah dekat banget sama lampu merah,Pelayanan,Negatif,0.9936
Pemerintahan,Kantor Kecamatan Gresik,4.1,26,ahmad artha (Artha),5,2024-05-07T03:21:41.260Z,Harusnya ada nomer antrian,harusnya ada nomer antrian,harusnya ada nomer antrian,harusnya nomer antrian,Pelayanan,Netral,0.7009
Pemerintahan,Kantor Kecamatan Gresik,4.1,26,UMMIMAH MAMA,5,2023-10-30T02:18:34.605Z,Kantor Kecamatan Gresik Good Jobdisk,kantor kecamatan gresik good jobdisk,kantor kecamatan gresik good jobdisk,kantor kecamatan gresik good jobdisk,Lainnya,Negatif,0.9591
Pemerintahan,Kantor Kecamatan Gresik,4.1,26,Sandy Febriansyah,1,2023-06-14T01:50:03.191Z,"Pelayanan lambat butuh ttd pak camat gak mari"" kakean acara tolong diperbaiki pelayanannya bos",pelayanan lambat butuh ttd pak camat gak mari kakean acara tolong diperbaiki pelayanannya bos,pelayanan lambat butuh ttd pak camat tidak mari kakean acara tolong diperbaiki pelayanannya bos,pelayanan lambat butuh ttd pak camat mari kakean acara tolong diperbaiki pelayanannya bos,Pelayanan,Positif,0.9284
Pemerintahan,Kantor Kecamatan Gresik,4.1,26,yandi wiryawicaksana,4,2023-05-30T02:42:02.143Z,"Untuk mengurus perubahan data KK bisa di sini. Antri nya cukup singkat tapi rawan diserobot orang karena nomor antrian tidak diberlakukan, mungkin akan diberlakukan nomor antrian kalau ramai pengunjung.  Tukang parkirnya baik. Ada sudut baca dan mainan anak-anak. Ada sedikit minuman yang dijual di kulkas.",untuk mengurus perubahan data kk bisa di sini antri nya cukup singkat tapi rawan diserobot orang karena nomor antrian tidak diberlakukan mungkin akan diberlakukan nomor antrian kalau ramai pengunjung tukang parkirnya baik ada sudut baca dan mainan anak anak ada sedikit minuman yang dijual di kulkas,untuk mengurus perubahan data kk bisa di sini antrian nya cukup singkat tapi rawan diserobot orang karena nomor antrian tidak diberlakukan mungkin akan diberlakukan nomor antrian kalau ramai pengunjung tukang parkirnya baik ada sudut baca dan mainan anak anak ada sedikit minuman yang dijual di kulkas,mengurus perubahan data kk sini antrian cukup singkat rawan diserobot orang nomor antrian diberlakukan mungkin diberlakukan nomor antrian ramai pengunjung tukang parkirnya baik sudut baca mainan anak anak sedikit minuman dijual kulkas,Pelayanan,Positif,0.9635
Pemerintahan,Kantor Kecamatan Gresik,4.1,26,pohong keju,1,2023-03-21T05:31:41.573Z,Udah Nunggu 2jam Malah trobel hadeh,udah nunggu 2jam malah trobel hadeh,udah nunggu 2jam malah trobel hadeh,udah nunggu 2jam malah trobel hadeh,Lainnya,Positif,0.9965
Pemerintahan,Kantor Kecamatan Gresik,4.1,26,Rafhazza,5,2022-05-13T03:17:16.873Z,Pelayanan Malam harinya keren,pelayanan malam harinya keren,pelayanan malam harinya bagus,pelayanan malam harinya bagus,Pelayanan,Negatif,0.9968
Pemerintahan,Kantor Kecamatan Gresik,4.1,26,Rifqi Abdillah,5,2020-10-06T03:20:45.812Z,"Tempat pelayanan nyaman, pelayanan ok. Rimbun, sejuk",tempat pelayanan nyaman pelayanan ok rimbun sejuk,tempat pelayanan nyaman pelayanan oke rimbun sejuk,tempat pelayanan nyaman pelayanan oke rimbun sejuk,Pelayanan,Negatif,0.9967
