Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Pemerintahan,Kantor Kecamatan Kebomas,4.5,18,Febria Aura Regina,1,2026-04-30T11:07:16.466Z,"Sumpah demi Allah benci banget sama yang urus ktp aku sama temen ku bikin ktp di hari yang sama cuman beda beberapa menit tapi pelayanan beda, teman ku pas foto di arahin biar pas di kamera nggk miring tapi aku? sama sekali ga di arahin disuruh duduk hadap kamera udah langsung di foto mana orang e ga ngenak in. Saran di ganti aja org e bikin emosi mana ktp se umur hidup",sumpah demi allah benci banget sama yang urus ktp aku sama temen ku bikin ktp di hari yang sama cuman beda beberapa menit tapi pelayanan beda teman ku pas foto di arahin biar pas di kamera nggk miring tapi aku sama sekali ga di arahin disuruh duduk hadap kamera udah langsung di foto mana orang e ga ngenak in saran di ganti aja org e bikin emosi mana ktp se umur hidup,sumpah demi allah benci banget sama yang urus ktp aku sama temen ku bikin ktp di hari yang sama cuman beda beberapa menit tapi pelayanan beda teman ku pas foto di arahin biar pas di kamera nggk miring tapi aku sama sekali tidak di arahin disuruh duduk hadap kamera udah langsung di foto mana orang e tidak ngenak in saran di ganti aja org e bikin emosi mana ktp se umur hidup,sumpah demi allah benci banget sama urus ktp aku sama temen ku bikin ktp hari sama cuman beda beberapa menit pelayanan beda teman ku pas foto arahin biar pas kamera nggk miring aku sama arahin disuruh duduk hadap kamera udah langsung foto mana orang ngenak in saran ganti aja org bikin emosi mana ktp se umur hidup,Pelayanan,Negatif,0.9976
Pemerintahan,Kantor Kecamatan Kebomas,4.5,18,muhammad wildan,5,2026-04-23T04:14:53.945Z,Pelayan ok..,pelayan ok,pelayan oke,pelayan oke,Lainnya,Positif,0.994
Pemerintahan,Kantor Kecamatan Kebomas,4.5,18,wawan pager,5,2025-12-19T05:13:09.608Z,Kirim gapuro,kirim gapuro,kirim gapuro,kirim gapuro,Lainnya,Netral,0.929
Pemerintahan,Kantor Kecamatan Kebomas,4.5,18,Achmad Sulthoni,5,2025-11-28T06:44:55.541Z,pengurusan KTP sangat cepat Mas nya bagian KTP sangat sat set mantap 👌,pengurusan ktp sangat cepat mas nya bagian ktp sangat sat set mantap,pengurusan ktp sangat cepat mas nya bagian ktp sangat sat set bagus,pengurusan ktp cepat mas bagian ktp sat set bagus,Pelayanan,Netral,0.9965
Pemerintahan,Kantor Kecamatan Kebomas,4.5,18,Aditya Hermawan,5,2025-11-24T01:23:14.298Z,Pelayanan cepat petugas tanggap dan informatif cetak ulang ktp yg rusak tidak smpai 10 mnit selesai di pandu juga untuk instal apk di hp,pelayanan cepat petugas tanggap dan informatif cetak ulang ktp yg rusak tidak smpai mnit selesai di pandu juga untuk instal apk di hp,pelayanan cepat petugas tanggap dan informatif cetak ulang ktp yang rusak tidak smpai mnit selesai di pandu juga untuk instal apk di hp,pelayanan cepat petugas tanggap informatif cetak ulang ktp rusak smpai mnit selesai pandu instal apk hp,Pelayanan,Netral,0.9899
Pemerintahan,Kantor Kecamatan Kebomas,4.5,18,Mohammad Masofii,5,2025-09-30T11:14:36.929Z,"Staff ramah, buat ktp baru cepat sekali prosesnya dan mudah. Terimakasih banyak",staff ramah buat ktp baru cepat sekali prosesnya dan mudah terimakasih banyak,staff ramah buat ktp baru cepat sekali prosesnya dan mudah terimakasih banyak,staff ramah buat ktp cepat prosesnya mudah terimakasih banyak,Pelayanan,Positif,0.9407
Pemerintahan,Kantor Kecamatan Kebomas,4.5,18,IVANtastic,1,2025-08-22T00:26:26.315Z,Kantor pelayanan kenapa sabtu minggu tutup?,kantor pelayanan kenapa sabtu minggu tutup,kantor pelayanan kenapa sabtu minggu tutup,kantor pelayanan kenapa sabtu minggu tutup,Pelayanan,Netral,0.9411
Pemerintahan,Kantor Kecamatan Kebomas,4.5,18,MOCH Zainudin,5,2025-07-02T05:13:14.021Z,"merubah data kependudukan ksk maupun ktp sangat mudah,cepat,ramah...sungguh abdi negara yg penuh dedikasi..",merubah data kependudukan ksk maupun ktp sangat mudah cepat ramah sungguh abdi negara yg penuh dedikasi,merubah data kependudukan ksk maupun ktp sangat mudah cepat ramah sungguh abdi negara yang penuh dedikasi,merubah data kependudukan ksk maupun ktp mudah cepat ramah sungguh abdi negara penuh dedikasi,Pelayanan,Positif,0.9232
Pemerintahan,Kantor Kecamatan Kebomas,4.5,18,Hendra Wahyu saputra,5,2024-12-07T10:59:04.520Z,Pelayanan administrasi kependudukan langsung kesini,pelayanan administrasi kependudukan langsung kesini,pelayanan administrasi kependudukan langsung kesini,pelayanan administrasi kependudukan langsung kesini,Pelayanan,Netral,0.9947
Pemerintahan,Kantor Kecamatan Kebomas,4.5,18,Just For My Phone,5,2024-11-03T10:11:53.847Z,"Kebomas adalah salah satu kecamatan yang ada di gresik. Kecamatan ini berdekatan dengan pusat pemerintahan kota Gresik. Meski Kecamatan Gresik adalah Pusat pemerintahan, Kantor Bupati dan beberapa Kantor Kedinasan juga terletak di kecamatan Kebomas. Kecamatan ini dapat dibilang kecamatan yang maju, karena kecamatan ini merupakan salah satu bagian dari pusat dari Kabupaten Gresik karena terdapat 2 bangunan mall, yaitu Icon Mall Gresik dan Gress Mall, serta memiliki beberapa bangunan-bangunan penting, seperti Polres Gresik, Mal Pelayanan Publik, Pabrik Semen Gresik, RSUD Ibnu Sina Gresik (Bunder), Masjid Agung Gresik, makam Sunan Giri, perumahan-perumahan diantaranya Gresik Kota Baru, Griya Kembangan Asri, Alam Bukit Raya, Graha Bunder Asri, Rusunami dan Rusunawa di daerah Prambangan.",kebomas adalah salah satu kecamatan yang ada di gresik kecamatan ini berdekatan dengan pusat pemerintahan kota gresik meski kecamatangresikadalah pusat pemerintahan kantor bupati dan beberapa kantor kedinasan juga terletak di kecamatan kebomas kecamatan ini dapat dibilang kecamatan yang maju karena kecamatan ini merupakan salah satu bagian dari pusat dari kabupaten gresik karena terdapat bangunan mall yaitu icon mall gresik dan gress mall serta memiliki beberapa bangunan bangunan penting seperti polres gresik mal pelayanan publik pabriksemen gresik rsud ibnu sina gresik bunder masjid agung gresik makamsunan giri perumahan perumahan diantaranya gresik kota baru griya kembangan asri alam bukit raya graha bunder asri rusunami dan rusunawa di daerah prambangan,kebomas adalah salah satu kecamatan yang ada di gresik kecamatan ini berdekatan dengan pusat pemerintahan kota gresik meski kecamatangresikadalah pusat pemerintahan kantor bupati dan beberapa kantor kedinasan juga terletak di kecamatan kebomas kecamatan ini dapat dibilang kecamatan yang maju karena kecamatan ini merupakan salah satu bagian dari pusat dari kabupaten gresik karena terdapat bangunan mall yaitu icon mall gresik dan gress mall serta memiliki beberapa bangunan bangunan penting seperti polres gresik mal pelayanan publik pabriksemen gresik rsud ibnu sina gresik bunder masjid agung gresik makamsunan giri perumahan perumahan diantaranya gresik kota baru griya kembangan asri alam bukit raya graha bunder asri rusunami dan rusunawa di daerah prambangan,kebomas salah satu kecamatan gresik kecamatan berdekatan pusat pemerintahan kota gresik meski kecamatangresikadalah pusat pemerintahan kantor bupati beberapa kantor kedinasan terletak kecamatan kebomas kecamatan dibilang kecamatan maju kecamatan merupakan salah satu bagian pusat kabupaten gresik terdapat bangunan mall yaitu icon mall gresik gress mall serta memiliki beberapa bangunan bangunan penting seperti polres gresik mal pelayanan publik pabriksemen gresik rsud ibnu sina gresik bunder masjid agung gresik makamsunan giri perumahan perumahan diantaranya gresik kota griya kembangan asri alam bukit raya graha bunder asri rusunami rusunawa daerah prambangan,Pelayanan,Positif,0.7969
Pemerintahan,Kantor Kecamatan Kebomas,4.5,18,masning rosidah,5,2024-07-17T02:37:38.913Z,"urus status ktp dan kk cepat sekali, pelayanan baik dan ramah",urus status ktp dan kk cepat sekali pelayanan baik dan ramah,urus status ktp dan kk cepat sekali pelayanan baik dan ramah,urus status ktp kk cepat pelayanan baik ramah,Pelayanan,Positif,0.978
