Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Pemerintahan,Kecamatan,Kantor Kecamatan Kedamean,3.9,28,MAS T,2,2021-04-08T09:09:26.272Z,untuk cetak e KTP sudah bisa atau belum..sudah daftar online dan datang ke kecamatan dua kali katanya eror..,untuk cetak e ktp sudah bisa atau belum sudah daftar online dan datang ke kecamatan dua kali katanya eror,untuk cetak e ktp sudah bisa atau belum sudah daftar online dan datang ke kecamatan dua kali katanya eror,cetak ktp daftar online datang kecamatan dua kali katanya eror,Administrasi,Negatif,0.9329
Pemerintahan,Kecamatan,Kantor Kecamatan Kedamean,3.9,28,khadijah azarine,5,2020-09-22T02:09:14.166Z,"Staaf nya sangat membantu,dan pelayanannya cepat,terima kasih",staaf nya sangat membantu dan pelayanannya cepat terima kasih,staaf nya sangat membantu dan pelayanannya cepat terima kasih,staaf membantu pelayanannya cepat terima kasih,Pelayanan,Positif,0.9855
Pemerintahan,Kecamatan,Kantor Kecamatan Kedamean,3.9,28,Aisyah Rahmah,2,2020-07-01T03:28:33.075Z,"MINTA TOLONG UNTUK PELAYANAN PEMBUATAN KTP, KHUSUSNYA PEREMPUAN (IBU) YANG MELAYANI SAYA DAN TEMAN SAYA TOLONG LEBIH RAMAH LAGI. KAN SAYA NDAK TAHU CARA MEMBUAT KTP DAN PERTAMA KALI JUGA. BISA NDAK TIDAK PAKE NYENTAK.  MAAF ATAS SARAN DAN KRITIKAN SAYA",minta tolong untuk pelayanan pembuatan ktp khususnya perempuan ibu yang melayani saya dan teman saya tolong lebih ramah lagi kan saya ndak tahu cara membuat ktp dan pertama kali juga bisa ndak tidak pake nyentak maaf atas saran dan kritikan saya,minta tolong untuk pelayanan pembuatan ktp khususnya perempuan ibu yang melayani saya dan teman saya tolong lebih ramah lagi kan saya ndak tahu cara membuat ktp dan pertama kali juga bisa ndak tidak pake nyentak maaf atas saran dan kritikan saya,minta tolong pelayanan pembuatan ktp khususnya perempuan ibu melayani teman tolong ramah kan ndak tahu cara membuat ktp pertama kali ndak pake nyentak maaf atas saran kritikan,Pelayanan,Negatif,0.9706
Pemerintahan,Kecamatan,Kantor Kecamatan Kedamean,3.9,28,Wandi 123,3,2020-05-07T03:47:47.321Z,apakah saat ini masih melayani pembuatan e-ktp,apakah saat ini masih melayani pembuatan e ktp,apakah saat ini masih melayani pembuatan e ktp,apakah melayani pembuatan ktp,Administrasi,Netral,0.9813
Pemerintahan,Kecamatan,Kantor Kecamatan Kedamean,3.9,28,Amin Thohari,1,2020-03-17T08:00:04.485Z,Pelayan lemot,pelayan lemot,pelayan lemot,pelayan lemot,Lainnya,Negatif,0.9982
Pemerintahan,Kecamatan,Kantor Kecamatan Kedamean,3.9,28,Vika Aisy,2,2020-02-20T01:50:48.270Z,"Pengurusan cetak KTP ngantri mulai pukul 06.30 sampi 09.00 belum di mulai juga yg antri ful, masih harus kena biaya parkir",pengurusan cetak ktp ngantri mulai pukul sampi belum di mulai juga yg antri ful masih harus kena biaya parkir,pengurusan cetak ktp antrian mulai pukul sampi belum di mulai juga yang antrian ful masih harus kena biaya parkir,pengurusan cetak ktp antrian mulai pukul sampi mulai antrian ful harus kena biaya parkir,Pelayanan,Netral,0.9849
Pemerintahan,Kecamatan,Kantor Kecamatan Kedamean,3.9,28,Nur Lailiyah,5,2020-01-29T15:13:52.816Z,tempat cukup luas,tempat cukup luas,tempat cukup luas,tempat cukup luas,Lainnya,Positif,0.989
Pemerintahan,Kecamatan,Kantor Kecamatan Kedamean,3.9,28,Yahya M Aji,5,2019-09-20T07:10:07.544Z,Nais,nais,nais,nais,Lainnya,Positif,0.9856
Pemerintahan,Kecamatan,Kantor Kecamatan Kedamean,3.9,28,Suku Maya,5,2019-04-04T10:47:41.998Z,Ramah layanan cepat,ramah layanan cepat,ramah layanan cepat,ramah layanan cepat,Pelayanan,Positif,0.9941
Pemerintahan,Kecamatan,Kantor Kecamatan Kedamean,3.9,28,Cak So,5,2019-02-07T22:49:02.012Z,pelayanan publik,pelayanan publik,pelayanan publik,pelayanan publik,Pelayanan,Netral,0.4963
Pemerintahan,Kecamatan,Kantor Kecamatan Kedamean,3.9,28,Fajar Kumala,3,2018-10-26T06:44:33.273Z,Ngurus rekomendasi buat penelitian nya lumayan lama.,ngurus rekomendasi buat penelitian nya lumayan lama,ngurus rekomendasi buat penelitian nya lumayan lama,ngurus rekomendasi buat penelitian lumayan lama,Lainnya,Positif,0.8541
Pemerintahan,Kecamatan,Kantor Kecamatan Kedamean,3.9,28,MUNTIAH,5,2018-04-15T23:44:25.982Z,"Untuk Pembukaan pendaftaran E-KTP baru daftarnya jam berapa ya,.  Saya mau urus KTP baru .",untuk pembukaan pendaftaran e ktp baru daftarnya jam berapa ya saya mau urus ktp baru,untuk pembukaan pendaftaran e ktp baru daftarnya jam berapa ya saya mau urus ktp baru,pembukaan pendaftaran ktp daftarnya jam berapa ya mau urus ktp,Administrasi,Netral,0.9891
Pemerintahan,Kecamatan,Kantor Kecamatan Kedamean,3.9,28,Khusni Rofiah,4,2018-02-19T09:16:45.354Z,"Luas, pelayanan memuaskan",luas pelayanan memuaskan,luas pelayanan memuaskan,luas pelayanan memuaskan,Pelayanan,Positif,0.9956
Pemerintahan,Kecamatan,Kantor Kecamatan Kedamean,3.9,28,Andreyas Crystivian Dani,5,2018-02-08T06:49:50.603Z,"PROSEDUR PENGURUSAN KTP di driyorejo, kedamean, wringinanom, dan menganti (dijamin tidak nunggu lama jadi)  1. Datang ke kantor kecamatan masing2 terlebih dahulu (driyo/wringinanom dll)  Telah berusia 17 tahun.  Surat Pengantar RT/RW.  Fotokopi KK.  Fotokopi Akta Kelahiran  Surat Keterangan Pindah yang diterbitkan oleh pemerintah Kabupaten/Kota dari daerah asal.  Surat Keterangan Datang dari Luar Negeri yang diterbitkan oleh Instansi Pelaksana bagi WNI yang datang dari Luar Negeri karena pindah.  Datang langsung untuk di foto (E-KTP) atau melampirkan pas foto terbaru ukuran 3×4 sebanyak 2 lembar (KTP Lama)  2. Setelah selesai, anda akan mendapat surat rekomendasi untuk pencetakan KTP di kantor kecamatan Kedamean, sebanyak 2 lembar  .  Anda harus melampirkan fotocopy kk sekali lagi untuk diurus ke kedamean  3. Datang membawa berkas yg disebutkan tadi ke kantor kecamatan kedamean, (kalau bisa subuh datang dulu untuk mengambil nomor antrian, taruh berkas2 anda di atas meja didepan kantor pelayanan, disitu ada tertulis papan (driyorejo, wringinanom, menganti, kedamean dll) Taruh berkas anda sesuai kecamatan anda  .  Jangan lupa untuk mengingat nomor antrian  4. Silahkan ditinggal dulu / pulang kerumah dulu, saya mendapat nomor antrian 53 dan itu katanya bisa diambil sekitar pukul 11-12 siang. Nah itu dihitung sendiri ya  5. Datang kembali ke kantor kecamatan kedamean untuk mengambil KTP dan perekaman sidik jari  Tips : jam 12-1 siang itu kantornya masih istirahat biasanya sangat sepi tidak ada orang,  disarankan untuk datang setelah atau sebelum jam tersebut  JIKA ULASAN INI BERMANFAAT, tolong di klik tombol suka dan tombol berguna yaaa.  Terima kasih..!",prosedur pengurusan ktp di driyorejo kedamean wringinanom dan menganti dijamin tidak nunggu lama jadi datang ke kantor kecamatan masing2 terlebih dahulu driyo wringinanom dll telah berusia tahun surat pengantar rt rw fotokopi kk fotokopi akta kelahiran surat keterangan pindahyang diterbitkan oleh pemerintah kabupaten kota dari daerah asal surat keterangan datang dari luar negeriyang diterbitkan oleh instansi pelaksana bagi wni yang datang dari luar negeri karena pindah datang langsung untuk di foto e ktp atau melampirkan pas foto terbaru ukuran sebanyak lembar ktp lama setelah selesai anda akan mendapat surat rekomendasi untuk pencetakan ktp di kantor kecamatan kedamean sebanyak lembar anda harus melampirkan fotocopy kk sekali lagi untuk diurus ke kedamean datang membawa berkas yg disebutkan tadi ke kantor kecamatan kedamean kalau bisa subuh datang dulu untuk mengambil nomor antrian taruh berkas2 anda di atas meja didepan kantor pelayanan disitu ada tertulis papan driyorejo wringinanom menganti kedamean dll taruh berkas anda sesuai kecamatan anda jangan lupa untuk mengingat nomor antrian silahkan ditinggal dulu pulang kerumah dulu saya mendapat nomor antrian dan itu katanya bisa diambil sekitar pukul siang nah itu dihitung sendiri ya datang kembali ke kantor kecamatan kedamean untuk mengambil ktp dan perekaman sidik jari tips jam siang itu kantornya masih istirahat biasanya sangat sepi tidak ada orang disarankan untuk datang setelah atau sebelum jam tersebut jika ulasan ini bermanfaat tolong di klik tombol suka dan tombol berguna yaaa terima kasih,prosedur pengurusan ktp di driyorejo kedamean wringinanom dan menganti dijamin tidak nunggu lama jadi datang ke kantor kecamatan masing2 terlebih dahulu driyo wringinanom dll telah berusia tahun surat pengantar rt rw fotokopi kk fotokopi akta kelahiran surat keterangan pindahyang diterbitkan oleh pemerintah kabupaten kota dari daerah asal surat keterangan datang dari luar negeriyang diterbitkan oleh instansi pelaksana bagi wni yang datang dari luar negeri karena pindah datang langsung untuk di foto e ktp atau melampirkan pas foto terbaru ukuran sebanyak lembar ktp lama setelah selesai anda akan mendapat surat rekomendasi untuk pencetakan ktp di kantor kecamatan kedamean sebanyak lembar anda harus melampirkan fotocopy kk sekali lagi untuk diurus ke kedamean datang membawa berkas yang disebutkan tadi ke kantor kecamatan kedamean kalau bisa subuh datang dulu untuk mengambil nomor antrian taruh berkas2 anda di atas meja didepan kantor pelayanan disitu ada tertulis papan driyorejo wringinanom menganti kedamean dll taruh berkas anda sesuai kecamatan anda jangan lupa untuk mengingat nomor antrian silahkan ditinggal dulu pulang kerumah dulu saya mendapat nomor antrian dan itu katanya bisa diambil sekitar pukul siang nah itu dihitung sendiri ya datang kembali ke kantor kecamatan kedamean untuk mengambil ktp dan perekaman sidik jari tips jam siang itu kantornya masih istirahat biasanya sangat sepi tidak ada orang disarankan untuk datang setelah atau sebelum jam tersebut jika ulasan ini bermanfaat tolong di klik tombol suka dan tombol berguna yaaa terima kasih,prosedur pengurusan ktp driyorejo kedamean wringinanom menganti dijamin nunggu lama jadi datang kantor kecamatan masing2 terlebih dahulu driyo wringinanom dll telah berusia tahun surat pengantar rt rw fotokopi kk fotokopi akta kelahiran surat keterangan pindahyang diterbitkan pemerintah kabupaten kota daerah asal surat keterangan datang luar negeriyang diterbitkan instansi pelaksana bagi wni datang luar negeri pindah datang langsung foto ktp melampirkan pas foto terbaru ukuran sebanyak lembar ktp lama selesai mendapat surat rekomendasi pencetakan ktp kantor kecamatan kedamean sebanyak lembar harus melampirkan fotocopy kk diurus kedamean datang membawa berkas disebutkan tadi kantor kecamatan kedamean subuh datang dulu mengambil nomor antrian taruh berkas2 atas meja didepan kantor pelayanan disitu tertulis papan driyorejo wringinanom menganti kedamean dll taruh berkas sesuai kecamatan jangan lupa mengingat nomor antrian silahkan ditinggal dulu pulang kerumah dulu mendapat nomor antrian katanya diambil sekitar pukul siang nah dihitung sendiri ya datang kembali kantor kecamatan kedamean mengambil ktp perekaman sidik jari tips jam siang kantornya istirahat biasanya sepi orang disarankan datang jam tersebut ulasan bermanfaat tolong klik tombol suka tombol berguna yaaa terima kasih,Pelayanan,Netral,0.9709
Pemerintahan,Kecamatan,Kantor Kecamatan Kedamean,3.9,28,Rahman Yusri Aftian ꦫꦃꦩꦤ꧀ꦪꦸꦱꦿꦀꦄꦥ꦳ꦶꦠꦶꦪꦤ꧀,4,2017-12-20T08:33:43.696Z,Kantor yang sangat strategis,kantor yang sangat strategis,kantor yang sangat strategis,kantor strategis,Lainnya,Positif,0.9949
Pemerintahan,Kecamatan,Kantor Kecamatan Kedamean,3.9,28,yudi oke,5,2017-10-16T01:25:23.052Z,Kantor Kecamatan Kedamean.,kantor kecamatan kedamean,kantor kecamatan kedamean,kantor kecamatan kedamean,Lainnya,Netral,0.9967
Pemerintahan,Kecamatan,Kantor Kecamatan Kedamean,3.9,28,"wereng cs tukang amen arpil , werengcs",5,2015-12-28T09:00:08.898Z,tmpt rayap sgm dpn kecamatan kedamean,tmpt rayap sgm dpn kecamatan kedamean,tmpt rayap sgm dpn kecamatan kedamean,tmpt rayap sgm dpn kecamatan kedamean,Lainnya,Netral,0.9682
