Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Pemerintahan,Instansi Vertikal,Kantor Kementerian Agama Kabupaten Gresik,4.4,198,ccnurain,5,2026-08-15T13:58:47.347Z,"Tempatnya strategis dan mudah ditemukan. Bersih, rapi, dan dekat dengan masjid.",tempatnya strategis dan mudah ditemukan bersih rapi dan dekat dengan masjid,tempatnya strategis dan mudah ditemukan bersih rapi dan dekat dengan masjid,tempatnya strategis mudah ditemukan bersih rapi dekat masjid,Fasilitas,Positif,0.9965
Pemerintahan,Instansi Vertikal,Kantor Kementerian Agama Kabupaten Gresik,4.4,198,Alby Ziggy,5,2026-08-04T23:16:03.394Z,Apakah di kantor tersebut melayani pembukaan rekening tabungan haji..?? Bank Syariah apa saja yang tersedia disana  ???,apakah di kantor tersebut melayani pembukaan rekening tabungan haji bank syariah apa saja yang tersedia disana,apakah di kantor tersebut melayani pembukaan rekening tabungan haji bank syariah apa saja yang tersedia disana,apakah kantor tersebut melayani pembukaan rekening tabungan haji bank syariah apa saja tersedia disana,Lainnya,Netral,0.9961
Pemerintahan,Instansi Vertikal,Kantor Kementerian Agama Kabupaten Gresik,4.4,198,Irfan Fanani,5,2026-07-31T04:28:03.007Z,Pelayanan sangat cepat dan ramah,pelayanan sangat cepat dan ramah,pelayanan sangat cepat dan ramah,pelayanan cepat ramah,Pelayanan,Positif,0.9955
Pemerintahan,Instansi Vertikal,Kantor Kementerian Agama Kabupaten Gresik,4.4,198,Amronah Ro,5,2026-07-30T02:15:11.868Z,"Saya kesini untuk meng informasikan tentang siaga saya di sambut dengan baik sekali ,terimakasih bapak atas pelayanannya sangat baik sekali",saya kesini untuk meng informasikan tentang siaga saya di sambut dengan baik sekali terimakasih bapak atas pelayanannya sangat baik sekali,saya kesini untuk meng informasikan tentang siaga saya di sambut dengan baik sekali terimakasih bapak atas pelayanannya sangat baik sekali,kesini meng informasikan tentang siaga sambut baik terimakasih bapak atas pelayanannya baik,Pelayanan,Positif,0.548
Pemerintahan,Instansi Vertikal,Kantor Kementerian Agama Kabupaten Gresik,4.4,198,Muhammad ihyar,5,2026-07-30T00:57:31.144Z,"Pelayanan yang sangat puas, org nya ramah"" , penyampaian yang sangat bijak.",pelayanan yang sangat puas org nya ramah penyampaian yang sangat bijak,pelayanan yang sangat puas org nya ramah penyampaian yang sangat bijak,pelayanan puas org ramah penyampaian bijak,Pelayanan,Positif,0.9859
Pemerintahan,Instansi Vertikal,Kantor Kementerian Agama Kabupaten Gresik,4.4,198,Ahmad Ubaidillah Rizky,5,2026-07-29T04:09:41.969Z,Alhamdulillah pelayanan nya sangat baik,alhamdulillah pelayanan nya sangat baik,alhamdulillah pelayanan nya sangat baik,alhamdulillah pelayanan baik,Pelayanan,Positif,0.9926
Pemerintahan,Instansi Vertikal,Kantor Kementerian Agama Kabupaten Gresik,4.4,198,Faras Fatik,5,2026-07-29T04:09:35.657Z,Sangat bagus sekali pelayananya Rama Rama Bapaknya,sangat bagus sekali pelayananya rama rama bapaknya,sangat bagus sekali pelayananya rama rama bapaknya,bagus pelayananya rama rama bapaknya,Pelayanan,Positif,0.9949
Pemerintahan,Instansi Vertikal,Kantor Kementerian Agama Kabupaten Gresik,4.4,198,Faizul Umam,5,2026-07-24T04:11:30.070Z,pelayanan kemenag bagus,pelayanan kemenag bagus,pelayanan kemenag bagus,pelayanan kemenag bagus,Pelayanan,Positif,0.9965
Pemerintahan,Instansi Vertikal,Kantor Kementerian Agama Kabupaten Gresik,4.4,198,Siti Asiyah,5,2026-07-23T07:25:29.052Z,operator pais kemenag gresik jossss,operator pais kemenag gresik jossss,operator pais kemenag gresik jossss,operator pais kemenag gresik jossss,Lainnya,Positif,0.9736
Pemerintahan,Instansi Vertikal,Kantor Kementerian Agama Kabupaten Gresik,4.4,198,Ana Kutiyandri,5,2026-07-23T07:21:27.519Z,Kemenag gresik is the best 👍👍,kemenag gresik is the best,kemenag gresik is the best,kemenag gresik is the best,Lainnya,Positif,0.9771
