Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Pemerintahan,Kantor Kepala Desa Petiken,4.2,95,Jahlil Mayo,1,2026-01-21T05:34:58.684Z,"Pelayanan Lama Masa iyaaa ngurus KK Aja Harus nunggu bagian nya sendiri"" emang yang lain ngapain??? Kalau Emang keluar ya bilang ke rekan kerja nya minta tolong atau apa gitu hanya ambil aja kenapa harus menunggu?",pelayanan lama masa iyaaa ngurus kk aja harus nunggu bagian nya sendiri emang yang lain ngapain kalau emang keluar ya bilang ke rekan kerja nya minta tolong atau apa gitu hanya ambil aja kenapa harus menunggu,pelayanan lama masa iyaaa ngurus kk aja harus nunggu bagian nya sendiri emang yang lain ngapain kalau emang keluar ya bilang ke rekan kerja nya minta tolong atau apa gitu hanya ambil aja kenapa harus menunggu,pelayanan lama masa iyaaa ngurus kk aja harus nunggu bagian sendiri emang lain ngapain emang keluar ya bilang rekan kerja minta tolong apa gitu hanya ambil aja kenapa harus menunggu,Pelayanan,Positif,0.9957
Pemerintahan,Kantor Kepala Desa Petiken,4.2,95,Abdullah Sidiq,1,2025-12-12T15:07:57.076Z,Saya ngurus pembaharuan KK Barcode Saya bawa KK lama seng plastik KK ada logo nya Pemkab Gresik dan Tulisan Kecamatan Driyorejo setelah sudah jadi plastik KKnya sudah tidak ada,saya ngurus pembaharuan kk barcode saya bawa kk lama seng plastik kk ada logo nya pemkab gresik dan tulisan kecamatan driyorejo setelah sudah jadi plastik kknya sudah tidak ada,saya ngurus pembaharuan kk barcode saya bawa kk lama seng plastik kk ada logo nya pemkab gresik dan tulisan kecamatan driyorejo setelah sudah jadi plastik kknya sudah tidak ada,ngurus pembaharuan kk barcode bawa kk lama seng plastik kk logo pemkab gresik tulisan kecamatan driyorejo jadi plastik kknya,Administrasi,Netral,0.5482
Pemerintahan,Kantor Kepala Desa Petiken,4.2,95,Soffya Ranti,1,2025-12-11T15:01:18.020Z,"Jalan rusak ibu bapak kbd, udah lapor sampai dpupr tp belum ditangani. Katanya “antri sudah masuk list” (raya granit kumala dan sering banyak yg jatuh apalagi ujan gini)",jalan rusak ibu bapak kbd udah lapor sampai dpupr tp belum ditangani katanya antri sudah masuk list raya granit kumala dan sering banyak yg jatuh apalagi ujan gini,jalan rusak ibu bapak kbd udah lapor sampai dpupr tapi belum ditangani katanya antrian sudah masuk list raya granit kumala dan sering banyak yang jatuh apalagi ujan gini,jalan rusak ibu bapak kbd udah lapor sampai dpupr ditangani katanya antrian masuk list raya granit kumala sering banyak jatuh apalagi ujan gini,Pelayanan,Positif,0.996
Pemerintahan,Kantor Kepala Desa Petiken,4.2,95,Samuel Monica,5,2025-11-20T02:48:32.804Z,Terimakasih banyak untuk Bapak. Lurah Mardi Utomo selalu membantu dan menolong dalam pemberkasan. Sehat selalu,terimakasih banyak untuk bapak lurah mardi utomo selalu membantu dan menolong dalam pemberkasan sehat selalu,terimakasih banyak untuk bapak lurah mardi utomo selalu membantu dan menolong dalam pemberkasan sehat selalu,terimakasih banyak bapak lurah mardi utomo selalu membantu menolong pemberkasan sehat selalu,Administrasi,Negatif,0.6673
Pemerintahan,Kantor Kepala Desa Petiken,4.2,95,Mustaqi Bilal,5,2025-11-06T03:36:25.873Z,Bagus,bagus,bagus,bagus,Lainnya,Negatif,0.9961
Pemerintahan,Kantor Kepala Desa Petiken,4.2,95,Sugiarti Giarti,5,2025-07-18T07:24:15.031Z,Lomba senam PERWOSI juara 1,lomba senam perwosi juara,lomba senam perwosi juara,lomba senam perwosi juara,Lainnya,Netral,0.5672
Pemerintahan,Kantor Kepala Desa Petiken,4.2,95,Afif Machrus,5,2025-05-15T09:37:05.594Z,Good,good,good,good,Lainnya,Negatif,0.9942
Pemerintahan,Kantor Kepala Desa Petiken,4.2,95,Muhammad Akbar dzaki Nur akhila pranaja,4,2024-10-02T06:37:13.661Z,Lumayan,lumayan,lumayan,lumayan,Lainnya,Negatif,0.9946
Pemerintahan,Kantor Kepala Desa Petiken,4.2,95,Ahmad Murad,1,2024-08-28T09:06:20.605Z,Pelayanan pembuatan KK baru sangat tidak profesional. Pelayanan ruwet. Penjelasan ruwet. Pegawainya kurang profesional,pelayanan pembuatan kk baru sangat tidak profesional pelayanan ruwet penjelasan ruwet pegawainya kurang profesional,pelayanan pembuatan kk baru sangat tidak profesional pelayanan ruwet penjelasan ruwet pegawainya kurang profesional,pelayanan pembuatan kk profesional pelayanan ruwet penjelasan ruwet pegawainya kurang profesional,Pelayanan,Positif,0.9974
Pemerintahan,Kantor Kepala Desa Petiken,4.2,95,arif mustofa,4,2024-08-19T11:26:45.076Z,Gelap gelapan,gelap gelapan,gelap gelapan,gelap gelapan,Lainnya,Positif,0.9972
