Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Pemerintahan,Kantor Pos Balongpanggang,2.5,17,Mohammad Arya Arya,3,2026-04-04T13:51:53.579Z,ada nomer wa nya ta,ada nomer wa nya ta,ada nomer wa nya ta,nomer wa ta,Lainnya,Netral,0.9745
Pemerintahan,Kantor Pos Balongpanggang,2.5,17,Achmad Fathoni,1,2026-02-18T03:43:29.809Z,Barang sudah nyampai dari kemarin tgl 17 belum dikirim kerja yang bener soalnya butuh barangnya rusak petugas pos balongpanggang kurang kinerjanya,barang sudah nyampai dari kemarin tgl belum dikirim kerja yang bener soalnya butuh barangnya rusak petugas pos balongpanggang kurang kinerjanya,barang sudah nyampai dari kemarin tgl belum dikirim kerja yang bener soalnya butuh barangnya rusak petugas pos balongpanggang kurang kinerjanya,barang nyampai kemarin tgl dikirim kerja bener soalnya butuh barangnya rusak petugas pos balongpanggang kurang kinerjanya,Pelayanan,Positif,0.9954
Pemerintahan,Kantor Pos Balongpanggang,2.5,17,intan yasinta,1,2023-10-30T03:59:42.274Z,Barang kelamaan di kantor gak dikirim,barang kelamaan di kantor gak dikirim,barang kelamaan di kantor tidak dikirim,barang kelamaan kantor dikirim,Lainnya,Positif,0.974
Pemerintahan,Kantor Pos Balongpanggang,2.5,17,Yessy Nindi Pratiwi,1,2020-06-20T08:38:30.980Z,Pengantaran lama sekali. Padahal lagi penting dan butuh2 nya. Barang mau di ambil ternyata sudah di kurir. Lalu lama banget ga dianter2 sampe kerumah sampe seminggu lebih. Mau nyamperin ke kantor tapi katanya mau dianter secepat mungkin . Kurir tidak ramah sama sekali dan tidak pernah balas chat.,pengantaran lama sekali padahal lagi penting dan butuh2 nya barang mau di ambil ternyata sudah di kurir lalu lama banget ga dianter2 sampe kerumah sampe seminggu lebih mau nyamperin ke kantor tapi katanya mau dianter secepat mungkin kurir tidak ramah sama sekali dan tidak pernah balas chat,pengantaran lama sekali padahal lagi penting dan butuh2 nya barang mau di ambil ternyata sudah di kurir lalu lama banget tidak dianter2 sampe kerumah sampe seminggu lebih mau nyamperin ke kantor tapi katanya mau dianter secepat mungkin kurir tidak ramah sama sekali dan tidak pernah balas chat,pengantaran lama padahal penting butuh2 barang mau ambil ternyata kurir lalu lama banget dianter2 sampe kerumah sampe seminggu mau nyamperin kantor katanya mau dianter secepat mungkin kurir ramah sama pernah balas chat,Pelayanan,Positif,0.9886
Pemerintahan,Kantor Pos Balongpanggang,2.5,17,Ainda Lazuardi,1,2020-04-30T02:31:40.518Z,"Pelayanan sama sekali tidak memuaskan klo ekspedisi swasta jika hari ini harus sampai ke rumah biar malam juga mereka antar karena harus sesuai jadwal, ini lokasi kantor dengan rumah hanya kurang lebih 500 m alamat jelas tapi gak mau nyari cuma tanya via wa sudah diberi tahu tetep gak dikirim karena sudah sore, besoknya ditunggu pagi juga gak datang2, bagaimana jika itu makanan??? Perbaiki klo tidak mau ditinggal. Pelanggan",pelayanan sama sekali tidak memuaskan klo ekspedisi swasta jika hari ini harus sampai ke rumah biar malam juga mereka antar karena harus sesuai jadwal ini lokasi kantor dengan rumah hanya kurang lebih m alamat jelas tapi gak mau nyari cuma tanya via wa sudah diberi tahu tetep gak dikirim karena sudah sore besoknya ditunggu pagi juga gak datang2 bagaimana jika itu makanan perbaiki klo tidak mau ditinggal pelanggan,pelayanan sama sekali tidak memuaskan kalau ekspedisi swasta jika hari ini harus sampai ke rumah biar malam juga mereka antar karena harus sesuai jadwal ini lokasi kantor dengan rumah hanya kurang lebih m alamat jelas tapi tidak mau nyari cuma tanya via wa sudah diberi tahu tetep tidak dikirim karena sudah sore besoknya ditunggu pagi juga tidak datang2 bagaimana jika itu makanan perbaiki kalau tidak mau ditinggal pelanggan,pelayanan sama memuaskan ekspedisi swasta hari harus sampai rumah biar malam antar harus sesuai jadwal lokasi kantor rumah hanya kurang alamat jelas mau nyari cuma tanya via wa diberi tahu tetep dikirim sore besoknya ditunggu pagi datang2 bagaimana makanan perbaiki mau ditinggal pelanggan,Pelayanan,Positif,0.7524
Pemerintahan,Kantor Pos Balongpanggang,2.5,17,Batik Selancar,1,2020-04-13T00:40:16.964Z,Dri tanggal 5 sampai tanggal 12 d kurir aja paketan nya gak d antar2.,dri tanggal sampai tanggal d kurir aja paketan nya gak d antar2,dri tanggal sampai tanggal d kurir aja paketan nya tidak d antar2,dri tanggal sampai tanggal kurir aja paketan antar2,Infrastruktur,Netral,0.8388
Pemerintahan,Kantor Pos Balongpanggang,2.5,17,Nissak Nn,1,2020-02-05T03:30:59.203Z,"Pelayanan kurang memuaskan,lambat sekali..saya kirim paket dari pare ke Balongpanggang belum juga diantar ke penerima, padahal cek resi sudah sampai kantor pos dari tanggal 31januari",pelayanan kurang memuaskan lambat sekali saya kirim paket dari pare ke balongpanggang belum juga diantar ke penerima padahal cek resi sudah sampai kantor pos dari tanggal 31januari,pelayanan kurang memuaskan lambat sekali saya kirim paket dari pare ke balongpanggang belum juga diantar ke penerima padahal cek resi sudah sampai kantor pos dari tanggal 31januari,pelayanan kurang memuaskan lambat kirim paket pare balongpanggang diantar penerima padahal cek resi sampai kantor pos tanggal 31januari,Pelayanan,Positif,0.991
Pemerintahan,Kantor Pos Balongpanggang,2.5,17,ade noviantoro,5,2018-05-20T03:42:03.723Z,"Kantorpos kecamatan Balongpanggang, kondisinya sudah agak lebih baik dari yang sebelumnya, cat nya sudah baru, jadi terlihat merah menyala lagi, Setidaknya menjaga marwah Pos Indonesia.",kantorpos kecamatan balongpanggang kondisinya sudah agak lebih baik dari yang sebelumnya cat nya sudah baru jadi terlihat merah menyala lagi setidaknya menjaga marwah pos indonesia,kantorpos kecamatan balongpanggang kondisinya sudah agak lebih baik dari yang sebelumnya cat nya sudah baru jadi terlihat merah menyala lagi setidaknya menjaga marwah pos indonesia,kantorpos kecamatan balongpanggang kondisinya agak baik sebelumnya cat jadi terlihat merah menyala setidaknya menjaga marwah pos indonesia,Lainnya,Netral,0.5481
Pemerintahan,Kantor Pos Balongpanggang,2.5,17,wanda melania,3,2018-04-12T14:02:59.579Z,karena banyak anak.yang nakal.dan tidak menghargai teman yang lawan jenis,karena banyak anak yang nakal dan tidak menghargai teman yang lawan jenis,karena banyak anak yang nakal dan tidak menghargai teman yang lawan jenis,banyak anak nakal menghargai teman lawan jenis,Lainnya,Positif,0.9978
Pemerintahan,Kantor Pos Balongpanggang,2.5,17,tony gunawan,4,2017-09-17T22:34:39.672Z,Kondisi bangunan seperti memerlukan renovasi.,kondisi bangunan seperti memerlukan renovasi,kondisi bangunan seperti memerlukan renovasi,kondisi bangunan seperti memerlukan renovasi,Infrastruktur,Netral,0.8208
