Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Pemerintahan,Kantor Pos Dukun,3.6,14,haiii. sayaa,1,2025-08-01T07:05:58.082Z,"kurir gamau kirim paket saya, gimana sih udah kerjaan dia malah gamau ngirim",kurir gamau kirim paket saya gimana sih udah kerjaan dia malah gamau ngirim,kurir gamau kirim paket saya gimana sih udah kerjaan dia malah gamau ngirim,kurir gamau kirim paket gimana udah kerjaan malah gamau ngirim,Lainnya,Positif,0.9944
Pemerintahan,Kantor Pos Dukun,3.6,14,Thisis Name,2,2025-07-09T04:26:28.608Z,"Pelayanan nya kurang, sangat lambat sekali",pelayanan nya kurang sangat lambat sekali,pelayanan nya kurang sangat lambat sekali,pelayanan kurang lambat,Pelayanan,Positif,0.9902
Pemerintahan,Kantor Pos Dukun,3.6,14,nurul wafiq,5,2025-01-24T02:03:58.198Z,cepat ramah,cepat ramah,cepat ramah,cepat ramah,Pelayanan,Negatif,0.993
Pemerintahan,Kantor Pos Dukun,3.6,14,Mxyzplk (mxyzplk),5,2023-04-19T23:31:34.439Z,Sangat bermanfaat untuk patokan google map pulang kampung,sangat bermanfaat untuk patokan google map pulang kampung,sangat bermanfaat untuk patokan google map pulang kampung,bermanfaat patokan google map pulang kampung,Lainnya,Negatif,0.9554
Pemerintahan,Kantor Pos Dukun,3.6,14,Evy HR,1,2020-12-08T07:43:07.491Z,"Cab dukun ini harga resinya kok gak sama kayak yang di website, udah gitu ngasih nomer resi kok nggak bisa di tracking, kalau bayar ongkir nggak dikasih kembalian, alasannya nggak pernah ada kembalian, emang bener2 gak beres nih kantor pos",cab dukun ini harga resinya kok gak sama kayak yang di website udah gitu ngasih nomer resi kok nggak bisa di tracking kalau bayar ongkir nggak dikasih kembalian alasannya nggak pernah ada kembalian emang bener2 gak beres nih kantor pos,cab dukun ini harga resinya kok tidak sama kayak yang di website udah gitu ngasih nomer resi kok tidak bisa di tracking kalau bayar ongkir tidak dikasih kembalian alasannya tidak pernah ada kembalian emang bener2 tidak beres nih kantor pos,cab dukun harga resinya kok sama kayak website udah gitu ngasih nomer resi kok tracking bayar ongkir dikasih kembalian alasannya pernah kembalian emang bener2 beres nih kantor pos,Fasilitas,Negatif,0.5562
Pemerintahan,Kantor Pos Dukun,3.6,14,Izza Faaizza,5,2020-09-04T04:27:41.594Z,Pegawai ramah👍🏻👍🏻👍🏻,pegawai ramah,pegawai ramah,pegawai ramah,Pelayanan,Negatif,0.996
Pemerintahan,Kantor Pos Dukun,3.6,14,Dionisius Johan Setiawan,5,2020-06-03T05:46:53.683Z,Mantab pelayanannya,mantab pelayanannya,mantab pelayanannya,mantab pelayanannya,Pelayanan,Negatif,0.9972
Pemerintahan,Kantor Pos Dukun,3.6,14,Putrieliza,1,2019-01-15T21:46:41.907Z,Barang aku udh 3 minggu numpuk disana. Padahal rumahku Tebuwung ngga dikirim kirim,barang aku udh minggu numpuk disana padahal rumahku tebuwung ngga dikirim kirim,barang aku udh minggu numpuk disana padahal rumahku tebuwung tidak dikirim kirim,barang aku udh minggu numpuk disana padahal rumahku tebuwung dikirim kirim,Lainnya,Positif,0.975
Pemerintahan,Kantor Pos Dukun,3.6,14,Mas Arief86,5,2019-01-10T07:20:53.500Z,Recomended,recomended,recomended,recomended,Lainnya,Negatif,0.9975
Pemerintahan,Kantor Pos Dukun,3.6,14,Ahmad Syauqi,1,2018-08-26T05:44:06.474Z,PAKAI THE NEXT DAY GA SAMPAI SAMPAI UDAH GITU KANG POS NYA TUKANG KIBUL MASA KIRIM BARANG SEHARGA 102K DIBILANG 162K DAN SAYA PAKAI PLUS ASURANSI TAPI GA D ASURANSIKAN!!!,pakai the next day ga sampai sampai udah gitu kang pos nya tukang kibul masa kirim barang seharga 102k dibilang 162k dan saya pakai plus asuransi tapi ga d asuransikan,pakai the next day tidak sampai sampai udah gitu kang pos nya tukang kibul masa kirim barang seharga 102k dibilang 162k dan saya pakai plus asuransi tapi tidak d asuransikan,pakai the next day sampai sampai udah gitu kang pos tukang kibul masa kirim barang seharga 102k dibilang 162k pakai plus asuransi asuransikan,Lainnya,Positif,0.9492
Pemerintahan,Kantor Pos Dukun,3.6,14,Wahyu Ridiansyah,4,2017-02-09T05:48:35.577Z,Kurang cepat dalam pengiriman,kurang cepat dalam pengiriman,kurang cepat dalam pengiriman,kurang cepat pengiriman,Pelayanan,Positif,0.9975
Pemerintahan,Kantor Pos Dukun,3.6,14,EM Farih,5,2017-01-06T12:40:45.042Z,Selalu sampai disini barang dari luar negeri,selalu sampai disini barang dari luar negeri,selalu sampai disini barang dari luar negeri,selalu sampai disini barang luar negeri,Lainnya,Negatif,0.9316
