Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Pemerintahan,Kantor Pos Sidayu,3.6,24,Silvi Safitri,5,2025-12-31T15:20:13.722Z,cepat,cepat,cepat,cepat,Pelayanan,Negatif,0.9794
Pemerintahan,Kantor Pos Sidayu,3.6,24,Kobrakid Ranger,5,2025-06-03T15:48:47.528Z,Pernah tinggal di sini pas pakde dinas di sedayu,pernah tinggal di sini pas pakde dinas di sedayu,pernah tinggal di sini pas pakde dinas di sedayu,pernah tinggal sini pas pakde dinas sedayu,Lainnya,Netral,0.9891
Pemerintahan,Kantor Pos Sidayu,3.6,24,iffah cothem,5,2024-11-11T14:00:30.704Z,"Satu-satunya kantor pos di kecamatan sidayu. Salah satu bangunan tua di sidayu. Pelayanan standard. Dari dulu pak pos selalu ramah. Sekarang banyak menerima pelayanan PPOB. Sedikit berubah mengikuti zaman, tapi tetap terbaik.",satu satunya kantor pos di kecamatan sidayu salah satu bangunan tua di sidayu pelayanan standard dari dulu pak pos selalu ramah sekarang banyak menerima pelayanan ppob sedikit berubah mengikuti zaman tapi tetap terbaik,satu satunya kantor pos di kecamatan sidayu salah satu bangunan tua di sidayu pelayanan standard dari dulu pak pos selalu ramah sekarang banyak menerima pelayanan ppob sedikit berubah mengikuti zaman tapi tetap terbaik,satu satunya kantor pos kecamatan sidayu salah satu bangunan tua sidayu pelayanan standard dulu pak pos selalu ramah sekarang banyak menerima pelayanan ppob sedikit berubah mengikuti zaman tetap terbaik,Pelayanan,Negatif,0.9928
Pemerintahan,Kantor Pos Sidayu,3.6,24,reno adiartha,5,2024-03-14T04:39:32.949Z,kirim dokumen dr Sidayu ke Bali aman,kirim dokumen dr sidayu ke bali aman,kirim dokumen dari sidayu ke bali aman,kirim dokumen sidayu bali aman,Administrasi,Netral,0.9029
Pemerintahan,Kantor Pos Sidayu,3.6,24,reezal,1,2023-03-22T17:10:58.303Z,"KERJA IKHLAS BOSSSS... WALAU G ADA BAYARANE ANTER BARANG KERUMAH, NIATI IBADAHHHHHHH... NEK GAK MAU ANTAR BARANG KERUMAH RESIGN AJA CARI KERJAAN LAIN DARIPADA DOSA PENGANGGURAN LEBIH MULIA DARIPADA ORANG GAK AMANAH",kerja ikhlas bossss walau g ada bayarane anter barang kerumah niati ibadahhhhhhh nek gak mau antar barang kerumah resign aja cari kerjaan lain daripada dosa pengangguran lebih mulia daripada orang gak amanah,kerja ikhlas bossss walau g ada bayarane anter barang kerumah niati ibadahhhhhhh nek tidak mau antar barang kerumah resign aja cari kerjaan lain daripada dosa pengangguran lebih mulia daripada orang tidak amanah,kerja ikhlas bossss walau bayarane anter barang kerumah niati ibadahhhhhhh nek mau antar barang kerumah resign aja cari kerjaan lain daripada dosa pengangguran mulia daripada orang amanah,Keamanan,Positif,0.6461
Pemerintahan,Kantor Pos Sidayu,3.6,24,Aziimatul Aliyyah,1,2023-02-09T00:27:22.936Z,Gag mau antar barang.a ke rumah ..,gag mau antar barang a ke rumah,gag mau antar barang a ke rumah,gag mau antar barang rumah,Lainnya,Positif,0.9965
Pemerintahan,Kantor Pos Sidayu,3.6,24,Andalusia Mayasari,5,2021-10-19T07:04:40.985Z,Pelayananya mantab,pelayananya mantab,pelayananya mantab,pelayananya mantab,Pelayanan,Negatif,0.9974
Pemerintahan,Kantor Pos Sidayu,3.6,24,Diyah Ayu Wijayanti,1,2020-07-21T00:49:29.747Z,"Merugikan pedangan online, saya kecewa.. Paketan sudah ditunggu customer saya dan pemilik rumah juga ada drumah tapi paket keterangannya rumah kosong,hari berikutnya keterangannya alamat tidak jelas.. Hellooooo tidak jelas bagaimana ya,itu customer beli di saya udah berkali-kali loh.. TrTr kl dicancel gini bgmn? Bener2 Merugikan.",merugikan pedangan online saya kecewa paketan sudah ditunggu customer saya dan pemilik rumah juga ada drumah tapi paket keterangannya rumah kosong hari berikutnya keterangannya alamat tidak jelas hellooooo tidak jelas bagaimana ya itu customer beli di saya udah berkali kali loh trtr kl dicancel gini bgmn bener2 merugikan,merugikan pedangan online saya kecewa paketan sudah ditunggu customer saya dan pemilik rumah juga ada drumah tapi paket keterangannya rumah kosong hari berikutnya keterangannya alamat tidak jelas hellooooo tidak jelas bagaimana ya itu customer beli di saya udah berkali kali loh trtr kalau dicancel gini bgmn bener2 merugikan,merugikan pedangan online kecewa paketan ditunggu customer pemilik rumah drumah paket keterangannya rumah kosong hari berikutnya keterangannya alamat jelas hellooooo jelas bagaimana ya customer beli udah berkali kali loh trtr dicancel gini bgmn bener2 merugikan,Lainnya,Positif,0.9974
Pemerintahan,Kantor Pos Sidayu,3.6,24,Ganita Rizki,1,2020-07-20T06:58:55.789Z,"Saya mengirim surat express,, tapi sudah dua minggu belum sampai, tidak ada pemberitahuan, saya sudah datang ke kantornya, tetapi masih dicarikan dan tidak memberi kepastian.. Surat yang saya kirimkan sangat penting dan tiap harinya terkena cas,, Saya sangat kecewa, mohon segera dikirimkan ke alamat tujuan,, saya tunggu,, dengan secepat cepatnya, terima kasih",saya mengirim surat express tapi sudah dua minggu belum sampai tidak ada pemberitahuan saya sudah datang ke kantornya tetapi masih dicarikan dan tidak memberi kepastian surat yang saya kirimkan sangat penting dan tiap harinya terkena cas saya sangat kecewa mohon segera dikirimkan ke alamat tujuan saya tunggu dengan secepat cepatnya terima kasih,saya mengirim surat express tapi sudah dua minggu belum sampai tidak ada pemberitahuan saya sudah datang ke kantornya tetapi masih dicarikan dan tidak memberi kepastian surat yang saya kirimkan sangat penting dan tiap harinya terkena cas saya sangat kecewa mohon segera dikirimkan ke alamat tujuan saya tunggu dengan secepat cepatnya terima kasih,mengirim surat express dua minggu sampai pemberitahuan datang kantornya dicarikan memberi kepastian surat kirimkan penting tiap harinya terkena cas kecewa mohon segera dikirimkan alamat tujuan tunggu secepat cepatnya terima kasih,Pelayanan,Positif,0.7177
Pemerintahan,Kantor Pos Sidayu,3.6,24,Ulfi Faqoth,1,2020-07-18T23:54:06.149Z,"Sangaatttt kecewaaaaaa! Saya mengirimkan surat dari malang ke sidayu butuh waktu 10 hari bahkan gak tau sekarang ada dimana, padahal saya pakai express... awalnya bilangnya gak ada orang d rumah pas diantar (knp gak telpon pdhl dstu ada no telpon), trus bilang lagi klo alamat tdk dikenali (pdhl saya berkali2 pakai alamat itu), trus bilang suruh ambil d pos sendiri ( setelah datang k kantor pos katanya masih dicarikan) intinya suratnya masih ada apa gak ( padahal itu bukan cuma surat tulisan tangan tp surat buat pembayaran penting) andaikan ada penilaian lebih rendah dari bintang satu pasti saya milih itu.. TIDAK BERTANGGUNG JAWAB SAMA SEKALI!",sangaatttt kecewaaaaaa saya mengirimkan surat dari malang ke sidayu butuh waktu hari bahkan gak tau sekarang ada dimana padahal saya pakai express awalnya bilangnya gak ada orang d rumah pas diantar knp gak telpon pdhl dstu ada no telpon trus bilang lagi klo alamat tdk dikenali pdhl saya berkali2 pakai alamat itu trus bilang suruh ambil d pos sendiri setelah datang k kantor pos katanya masih dicarikan intinya suratnya masih ada apa gak padahal itu bukan cuma surat tulisan tangan tp surat buat pembayaran penting andaikan ada penilaian lebih rendah dari bintang satu pasti saya milih itu tidak bertanggung jawab sama sekali,sangaatttt kecewaaaaaa saya mengirimkan surat dari malang ke sidayu butuh waktu hari bahkan tidak tau sekarang ada dimana padahal saya pakai express awalnya bilangnya tidak ada orang d rumah pas diantar knp tidak telpon pdhl dstu ada no telpon trus bilang lagi kalau alamat tidak dikenali pdhl saya berkali2 pakai alamat itu trus bilang suruh ambil d pos sendiri setelah datang k kantor pos katanya masih dicarikan intinya suratnya masih ada apa tidak padahal itu bukan cuma surat tulisan tangan tapi surat buat pembayaran penting andaikan ada penilaian lebih rendah dari bintang satu pasti saya milih itu tidak bertanggung jawab sama sekali,sangaatttt kecewaaaaaa mengirimkan surat malang sidayu butuh waktu hari bahkan tau sekarang dimana padahal pakai express awalnya bilangnya orang rumah pas diantar knp telpon pdhl dstu no telpon trus bilang alamat dikenali pdhl berkali2 pakai alamat trus bilang suruh ambil pos sendiri datang kantor pos katanya dicarikan intinya suratnya apa padahal bukan cuma surat tulisan tangan surat buat pembayaran penting andaikan penilaian rendah bintang satu pasti milih bertanggung jawab sama,Administrasi,Positif,0.9969
