Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Pemerintahan,Kantor Pusat Kawasan Industri Gresik,4.3,279,Jirjis Aje,3,2026-05-06T16:54:53.587Z,Berkesan,berkesan,berkesan,berkesan,Lainnya,Negatif,0.9965
Pemerintahan,Kantor Pusat Kawasan Industri Gresik,4.3,279,Magfi Firda,5,2025-10-08T08:24:16.293Z,Asri kalau pagi hari,asri kalau pagi hari,asri kalau pagi hari,asri pagi hari,Lainnya,Netral,0.8889
Pemerintahan,Kantor Pusat Kawasan Industri Gresik,4.3,279,muhammad wildan,4,2025-02-10T07:19:51.890Z,Lokasi yg strategis,lokasi yg strategis,lokasi yang strategis,lokasi strategis,Lainnya,Negatif,0.9955
Pemerintahan,Kantor Pusat Kawasan Industri Gresik,4.3,279,abid abdillah,5,2024-12-30T16:33:41.524Z,"dompet ketinggalan di atm, diamankan satpam. akhirnya minta uang rokok 50rb. terimakasih pak pengamanannya",dompet ketinggalan di atm diamankan satpam akhirnya minta uang rokok 50rb terimakasih pak pengamanannya,dompet ketinggalan di atm diamankan satpam akhirnya minta uang rokok 50rb terimakasih pak pengamanannya,dompet ketinggalan atm diamankan satpam akhirnya minta uang rokok 50rb terimakasih pak pengamanannya,Keamanan,Netral,0.9487
Pemerintahan,Kantor Pusat Kawasan Industri Gresik,4.3,279,Henri Koreyanto (Cak Hen),5,2024-10-18T17:00:59.292Z,Luas,luas,luas,luas,Lainnya,Negatif,0.9932
Pemerintahan,Kantor Pusat Kawasan Industri Gresik,4.3,279,Abi Yan,5,2024-09-30T01:26:00.162Z,Sangat puas skali,sangat puas skali,sangat puas skali,puas skali,Lainnya,Negatif,0.9966
Pemerintahan,Kantor Pusat Kawasan Industri Gresik,4.3,279,Wika Widayanti,2,2024-06-04T05:58:53.735Z,Operator telp nya tidak ramah,operator telp nya tidak ramah,operator telp nya tidak ramah,operator telp ramah,Pelayanan,Negatif,0.9932
Pemerintahan,Kantor Pusat Kawasan Industri Gresik,4.3,279,inuk banker,5,2024-05-28T20:05:40.247Z,Mantap kayak naik ijen,mantap kayak naik ijen,bagus kayak naik ijen,bagus kayak naik ijen,Lainnya,Negatif,0.9942
Pemerintahan,Kantor Pusat Kawasan Industri Gresik,4.3,279,Subagiyo Ahmad Yunus,5,2024-05-07T00:31:00.492Z,Good,good,good,good,Lainnya,Negatif,0.9942
Pemerintahan,Kantor Pusat Kawasan Industri Gresik,4.3,279,Sudarsono bin Amar,3,2023-10-21T03:06:04.182Z,"Kawasan Industri Gresik (KIG) dibanding dengan kawasan industri di tempat lain yang pernah saya lalui, terkesan kurang tertata dengan baik. Jalan-jalan terbilang sempit untuk lalu-lalang kendaraan besar, sanitasi kurang memadai, jarak bangunan-bangunan pabrik dan gudang dari sempadan jalan sangat dekat dan median jalan yang sempit. Bisa kurang aman bagi lalu-lintas pengguna jalan. Bisa dimaklumi KIG tidak dibangun dari nol (pada hamparan/kawasan tanah kosong), tapi tumbuh sejalan dengan perkembangan industri dan perdagangan di Gresik.",kawasan industri gresik kig dibanding dengan kawasan industri di tempat lain yang pernah saya lalui terkesan kurang tertata dengan baik jalan jalan terbilang sempit untuk lalu lalang kendaraan besar sanitasi kurang memadai jarak bangunan bangunan pabrik dan gudang dari sempadan jalan sangat dekat dan median jalan yang sempit bisa kurang aman bagi lalu lintas pengguna jalan bisa dimaklumi kig tidak dibangun dari nol pada hamparan kawasan tanah kosong tapi tumbuh sejalan dengan perkembangan industri dan perdagangan di gresik,kawasan industri gresik kig dibanding dengan kawasan industri di tempat lain yang pernah saya lalui terkesan kurang tertata dengan baik jalan jalan terbilang sempit untuk lalu lalang kendaraan besar sanitasi kurang memadai jarak bangunan bangunan pabrik dan gudang dari sempadan jalan sangat dekat dan median jalan yang sempit bisa kurang aman bagi lalu lintas pengguna jalan bisa dimaklumi kig tidak dibangun dari nol pada hamparan kawasan tanah kosong tapi tumbuh sejalan dengan perkembangan industri dan perdagangan di gresik,kawasan industri gresik kig dibanding kawasan industri tempat lain pernah lalui terkesan kurang tertata baik jalan jalan terbilang sempit lalu lalang kendaraan besar sanitasi kurang memadai jarak bangunan bangunan pabrik gudang sempadan jalan dekat median jalan sempit kurang aman bagi lalu lintas pengguna jalan dimaklumi kig dibangun nol hamparan kawasan tanah kosong tumbuh sejalan perkembangan industri perdagangan gresik,Infrastruktur,Negatif,0.8092
Pemerintahan,Kantor Pusat Kawasan Industri Gresik,4.3,279,MuhammadAli Sibaweh,5,2023-10-20T00:45:02.038Z,bagus,bagus,bagus,bagus,Lainnya,Negatif,0.9961
