Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Klinik & Praktek Dokter,Klinik Cipta Medika Driyorejo,4.1,98,Sahran Sahran,5,2026-08-20T09:19:37.826Z,Poli gigi nya enak,poli gigi nya enak,poli gigi nya enak,poli gigi enak,Lainnya,Positif,0.9975
Kesehatan,Klinik & Praktek Dokter,Klinik Cipta Medika Driyorejo,4.1,98,Eswandi Taurus,5,2026-08-18T03:18:19.497Z,Penanganan cepat,penanganan cepat,penanganan cepat,penanganan cepat,Pelayanan,Positif,0.7728
Kesehatan,Klinik & Praktek Dokter,Klinik Cipta Medika Driyorejo,4.1,98,Siti Anita,5,2026-08-07T02:53:54.997Z,"Dokter nya ramah"" ...",dokter nya ramah,dokter nya ramah,dokter ramah,Pelayanan,Positif,0.9942
Kesehatan,Klinik & Praktek Dokter,Klinik Cipta Medika Driyorejo,4.1,98,wahyu sainib,1,2026-07-28T02:04:46.398Z,"1. Ke poli umum, di pegang aja kagak, cuman di tanya² 2. Saya minta kwintasi + keterangan obat tidak bisa, saya bilang kwintasi biasa aja trus tulis nama obatnya, mbulet AE, sekalian minta stempel klinik di kwintasi Utuk klaim di perusahaan. Katanya tidak bisa, pdhal di surat dokter ada stempel klinik nya. Pdhal saya pakai umum 3. Sekali aja kapok",ke poli umum di pegang aja kagak cuman di tanya saya minta kwintasi keterangan obat tidak bisa saya bilang kwintasi biasa aja trus tulis nama obatnya mbulet ae sekalian minta stempel klinik di kwintasi utuk klaim di perusahaan katanya tidak bisa pdhal di surat dokter ada stempel klinik nya pdhal saya pakai umum sekali aja kapok,ke poli umum di pegang aja kagak cuman di tanya saya minta kwintasi keterangan obat tidak bisa saya bilang kwintasi biasa aja trus tulis nama obatnya mbulet ae sekalian minta stempel klinik di kwintasi utuk klaim di perusahaan katanya tidak bisa pdhal di surat dokter ada stempel klinik nya pdhal saya pakai umum sekali aja kapok,poli umum pegang aja kagak cuman tanya minta kwintasi keterangan obat bilang kwintasi biasa aja trus tulis nama obatnya mbulet ae sekalian minta stempel klinik kwintasi utuk klaim perusahaan katanya pdhal surat dokter stempel klinik pdhal pakai umum aja kapok,Kesehatan,Negatif,0.989
Kesehatan,Klinik & Praktek Dokter,Klinik Cipta Medika Driyorejo,4.1,98,zainudin achmad,5,2026-07-16T11:00:14.162Z,pelayanan bagus,pelayanan bagus,pelayanan bagus,pelayanan bagus,Pelayanan,Positif,0.9969
Kesehatan,Klinik & Praktek Dokter,Klinik Cipta Medika Driyorejo,4.1,98,Ferdyan Alya Ramadhani (Alya),5,2026-07-03T22:29:31.087Z,Sy sekeluarga berobat Klinik Cipta Medika mulai th 2012 Dokter umumnya 👍 terutama dr.Agatha Dokter giginya juga TOP terutama drg.Binti Apalagi perawat & Apotekernya semua Ramah² dan baik Terima kasih banyak sdh memberikan pelayanan pd kami selama ini dgn baik🙏,sy sekeluarga berobat klinik cipta medika mulai th dokter umumnya terutama dr agatha dokter giginya juga top terutama drg binti apalagi perawat apotekernya semua ramah dan baik terima kasih banyak sdh memberikan pelayanan pd kami selama ini dgn baik,saya sekeluarga berobat klinik cipta medika mulai th dokter umumnya terutama dari agatha dokter giginya juga top terutama drg binti apalagi perawat apotekernya semua ramah dan baik terima kasih banyak sudah memberikan pelayanan pada kami selama ini dengan baik,sekeluarga berobat klinik cipta medika mulai th dokter umumnya terutama agatha dokter giginya top terutama drg binti apalagi perawat apotekernya semua ramah baik terima kasih banyak memberikan pelayanan selama baik,Pelayanan,Positif,0.9804
Kesehatan,Klinik & Praktek Dokter,Klinik Cipta Medika Driyorejo,4.1,98,kezia mayang putri,5,2026-07-03T04:00:32.180Z,Cepat karena bisa ambil antrian online dan pelayanan dokter bagus juga ramah,cepat karena bisa ambil antrian online dan pelayanan dokter bagus juga ramah,cepat karena bisa ambil antrian online dan pelayanan dokter bagus juga ramah,cepat ambil antrian online pelayanan dokter bagus ramah,Pelayanan,Positif,0.9954
Kesehatan,Klinik & Praktek Dokter,Klinik Cipta Medika Driyorejo,4.1,98,Yanti Yanti,5,2026-07-01T10:27:14.193Z,Klinik gigi enak,klinik gigi enak,klinik gigi enak,klinik gigi enak,Administrasi,Positif,0.9974
Kesehatan,Klinik & Praktek Dokter,Klinik Cipta Medika Driyorejo,4.1,98,Yuli Ningsih,5,2026-06-22T09:27:57.436Z,klinik nya enak,klinik nya enak,klinik nya enak,klinik enak,Administrasi,Positif,0.9971
Kesehatan,Klinik & Praktek Dokter,Klinik Cipta Medika Driyorejo,4.1,98,Gunawan Eko,5,2026-06-02T02:43:41.938Z,Cocok berobat di sini,cocok berobat di sini,cocok berobat di sini,cocok berobat sini,Kesehatan,Positif,0.9954
