Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Klinik Cipta Medika GKB,4.6,158,hutan pala,4,2026-07-09T00:36:36.458Z,"""Pelayanan yang di Klinik cipta medika GKB ternyata lebih memuaskan ya dibandingkan yang di cipta medika Kedanyang.  dokter Sofi nya ramah, penjelasan penyakitnya mudah dipahami oleh pasien. Pemeriksaan Labnya juga di klinik tsb. Tidak seperti dokter keky yang kosong itu, tidak jelas pasiennya kenapa dan mau diapakan.  Mohon Evaluasi tenaga dokter nya, jangan asal rekrut ya. Saya ikut menyampaikan ke sekitar saya untuk rekomendasi klinik cipta medika GKB ini.  Namun untuk cipta medika Kedanyang, maaf saya sudah speechless. Terutama yang namanya sudah saya sebut ber kali kali itu.  Andaikan dokter keky masih berpraktek disitu dan masih berperilaku sama, tidak menutup kemungkinan saya sampaikan ke BPJS nya langsung di MJKN.",pelayanan yang di klinik cipta medika gkb ternyata lebih memuaskan ya dibandingkan yang di cipta medika kedanyang dokter sofi nya ramah penjelasan penyakitnya mudah dipahami oleh pasien pemeriksaan labnya juga di klinik tsb tidak seperti dokter keky yang kosong itu tidak jelas pasiennya kenapa dan mau diapakan mohon evaluasi tenaga dokter nya jangan asal rekrut ya saya ikut menyampaikan ke sekitar saya untuk rekomendasi klinik cipta medika gkb ini namun untuk cipta medika kedanyang maaf saya sudah speechless terutama yang namanya sudah saya sebut ber kali kali itu andaikan dokter keky masih berpraktek disitu dan masih berperilaku sama tidak menutup kemungkinan saya sampaikan ke bpjs nya langsung di mjkn,pelayanan yang di klinik cipta medika gkb ternyata lebih memuaskan ya dibandingkan yang di cipta medika kedanyang dokter sofi nya ramah penjelasan penyakitnya mudah dipahami oleh pasien pemeriksaan labnya juga di klinik tsb tidak seperti dokter keky yang kosong itu tidak jelas pasiennya kenapa dan mau diapakan mohon evaluasi tenaga dokter nya jangan asal rekrut ya saya ikut menyampaikan ke sekitar saya untuk rekomendasi klinik cipta medika gkb ini namun untuk cipta medika kedanyang maaf saya sudah speechless terutama yang namanya sudah saya sebut ber kali kali itu andaikan dokter keky masih berpraktek disitu dan masih berperilaku sama tidak menutup kemungkinan saya sampaikan ke bpjs nya langsung di mjkn,pelayanan klinik cipta medika gkb ternyata memuaskan ya dibandingkan cipta medika kedanyang dokter sofi ramah penjelasan penyakitnya mudah dipahami pasien pemeriksaan labnya klinik tsb seperti dokter keky kosong jelas pasiennya kenapa mau diapakan mohon evaluasi tenaga dokter jangan asal rekrut ya ikut menyampaikan sekitar rekomendasi klinik cipta medika gkb cipta medika kedanyang maaf speechless terutama namanya sebut ber kali kali andaikan dokter keky berpraktek disitu berperilaku sama menutup kemungkinan sampaikan bpjs langsung mjkn,Pelayanan,Negatif,0.5482
Kesehatan,Klinik Cipta Medika GKB,4.6,158,Pica Nutx,3,2026-07-03T06:38:15.079Z,"Pelayanannya tidak ramah. Di cabang klinik medika lain, surat keterangan sehatnya diketik rapi, sementara di cabang yang ini hanya berupa tulisan tangan",pelayanannya tidak ramah di cabang klinik medika lain surat keterangan sehatnya diketik rapi sementara di cabang yang ini hanya berupa tulisan tangan,pelayanannya tidak ramah di cabang klinik medika lain surat keterangan sehatnya diketik rapi sementara di cabang yang ini hanya berupa tulisan tangan,pelayanannya ramah cabang klinik medika lain surat keterangan sehatnya diketik rapi sementara cabang hanya berupa tulisan tangan,Pelayanan,Negatif,0.951
Kesehatan,Klinik Cipta Medika GKB,4.6,158,ADMIN PENAGIHAN,1,2026-06-27T04:29:56.654Z,"Ditujukan khusus kepada Bapak SLAMET SUPRIYANTO yang bekerja di Klinik Cipta Medika GKB.  Berhubung tidak ada respons sama sekali melalui kontak pribadi (telepon/pesan), mohon agar segera menghubungi pihak kami terkait kelanjutan urusan administrasi/keuangan nasabah Anda yang mendesak. Mohon kerja samanya untuk segera merespons. Terima kasih.",ditujukan khusus kepada bapak slamet supriyanto yang bekerja di klinik cipta medika gkb berhubung tidak ada respons sama sekali melalui kontak pribadi telepon pesan mohon agar segera menghubungi pihak kami terkait kelanjutan urusan administrasi keuangan nasabah anda yang mendesak mohon kerja samanya untuk segera merespons terima kasih,ditujukan khusus kepada bapak slamet supriyanto yang bekerja di klinik cipta medika gkb berhubung tidak ada respons sama sekali melalui kontak pribadi telepon pesan mohon agar segera menghubungi pihak kami terkait kelanjutan urusan administrasi keuangan nasabah anda yang mendesak mohon kerja samanya untuk segera merespons terima kasih,ditujukan khusus kepada bapak slamet supriyanto bekerja klinik cipta medika gkb berhubung respons sama melalui kontak pribadi telepon pesan mohon agar segera menghubungi pihak terkait kelanjutan urusan administrasi keuangan nasabah mendesak mohon kerja samanya segera merespons terima kasih,Pelayanan,Netral,0.9859
Kesehatan,Klinik Cipta Medika GKB,4.6,158,Aminullah Hidayat,5,2026-06-26T15:00:33.261Z,Ok juga utk berobat dn Rama tama dgn pasien',ok juga utk berobat dn rama tama dgn pasien,oke juga untuk berobat dn rama tama dengan pasien,oke berobat dn rama tama pasien,Kesehatan,Negatif,0.7048
Kesehatan,Klinik Cipta Medika GKB,4.6,158,Mas Galih,5,2026-06-22T11:42:01.305Z,"Pelayanan bagus, udah jadi faskes langganan keluarga",pelayanan bagus udah jadi faskes langganan keluarga,pelayanan bagus udah jadi faskes langganan keluarga,pelayanan bagus udah jadi faskes langganan keluarga,Pelayanan,Negatif,0.9951
Kesehatan,Klinik Cipta Medika GKB,4.6,158,Arif Budiono,5,2026-06-18T09:13:10.164Z,Terima kasih. Pelayanan pendaftaran dan Dr Sofia Aulina Ramah dan baik,terima kasih pelayanan pendaftaran dan dr sofia aulina ramah dan baik,terima kasih pelayanan pendaftaran dan dari sofia aulina ramah dan baik,terima kasih pelayanan pendaftaran sofia aulina ramah baik,Pelayanan,Negatif,0.9601
Kesehatan,Klinik Cipta Medika GKB,4.6,158,nur solichah,5,2026-05-14T10:05:03.076Z,pelayanan sangat baik,pelayanan sangat baik,pelayanan sangat baik,pelayanan baik,Pelayanan,Negatif,0.9952
Kesehatan,Klinik Cipta Medika GKB,4.6,158,Kemal Habiel,5,2026-05-13T06:09:02.173Z,Good,good,good,good,Lainnya,Negatif,0.9942
Kesehatan,Klinik Cipta Medika GKB,4.6,158,Elvi Herry,5,2026-05-13T01:37:07.205Z,"Pelayanannya cepet ga pake lama, Mantapz",pelayanannya cepet ga pake lama mantapz,pelayanannya cepet tidak pake lama mantapz,pelayanannya cepet pake lama mantapz,Pelayanan,Negatif,0.996
Kesehatan,Klinik Cipta Medika GKB,4.6,158,Abdul Latif,5,2026-05-12T06:29:52.928Z,"Sangat membantu sekali apalagi pelayanannya cepat dan tanggap, dekat dengan rumah lagi",sangat membantu sekali apalagi pelayanannya cepat dan tanggap dekat dengan rumah lagi,sangat membantu sekali apalagi pelayanannya cepat dan tanggap dekat dengan rumah lagi,membantu apalagi pelayanannya cepat tanggap dekat rumah,Pelayanan,Negatif,0.9951
