Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Klinik Cipta Medika Soetomo,4.8,238,Warsan Warsan,5,2026-07-03T11:31:38.874Z,Pelayanan sudah baik ditingkatkan lagi pelayanannya terbaik,pelayanan sudah baik ditingkatkan lagi pelayanannya terbaik,pelayanan sudah baik ditingkatkan lagi pelayanannya terbaik,pelayanan baik ditingkatkan pelayanannya terbaik,Pelayanan,Negatif,0.9917
Kesehatan,Klinik Cipta Medika Soetomo,4.8,238,Sumilah Sumilah,5,2026-07-03T11:30:18.722Z,Petugasnya baik dan sopan,petugasnya baik dan sopan,petugasnya baik dan sopan,petugasnya baik sopan,Pelayanan,Negatif,0.9869
Kesehatan,Klinik Cipta Medika Soetomo,4.8,238,Izzaa fh,5,2026-06-29T11:48:30.909Z,sudah baik,sudah baik,sudah baik,baik,Lainnya,Negatif,0.9844
Kesehatan,Klinik Cipta Medika Soetomo,4.8,238,Udik Sulistiono,5,2026-06-15T11:17:27.451Z,Alhamdulilah dapat pemeriksaan rutin,alhamdulilah dapat pemeriksaan rutin,alhamdulilah dapat pemeriksaan rutin,alhamdulilah pemeriksaan rutin,Lainnya,Negatif,0.9088
Kesehatan,Klinik Cipta Medika Soetomo,4.8,238,Nisrina. 3A,5,2026-06-12T09:42:18.951Z,Baik,baik,baik,baik,Lainnya,Negatif,0.9844
Kesehatan,Klinik Cipta Medika Soetomo,4.8,238,Titik Gak pakek koma,5,2026-06-11T10:16:47.562Z,Pelayanan bagus,pelayanan bagus,pelayanan bagus,pelayanan bagus,Pelayanan,Negatif,0.9969
Kesehatan,Klinik Cipta Medika Soetomo,4.8,238,Zaki Rahmat01,5,2026-06-11T08:10:17.138Z,Baik,baik,baik,baik,Lainnya,Negatif,0.9844
Kesehatan,Klinik Cipta Medika Soetomo,4.8,238,Ruby Paris,5,2026-06-10T09:31:43.113Z,Ramah baik dan gercep,ramah baik dan gercep,ramah baik dan gercep,ramah baik gercep,Pelayanan,Negatif,0.9937
Kesehatan,Klinik Cipta Medika Soetomo,4.8,238,zuhron arifin,2,2026-06-08T13:54:03.565Z,"Dokternya sekarang beda2 sama yg dulu,  sekarang dokternya tidak seramah dulu 😌",dokternya sekarang beda2 sama yg dulu sekarang dokternya tidak seramah dulu,dokternya sekarang beda2 sama yang dulu sekarang dokternya tidak seramah dulu,dokternya sekarang beda2 sama dulu sekarang dokternya seramah dulu,Pelayanan,Positif,0.9941
Kesehatan,Klinik Cipta Medika Soetomo,4.8,238,Erni Johan,5,2026-06-03T05:31:19.291Z,Pelayanan baik,pelayanan baik,pelayanan baik,pelayanan baik,Pelayanan,Negatif,0.9952
Kesehatan,Klinik Cipta Medika Soetomo,4.8,238,Muda Wamah,5,2026-05-30T09:51:16.509Z,Pelayanan baik,pelayanan baik,pelayanan baik,pelayanan baik,Pelayanan,Negatif,0.9952
Kesehatan,Klinik Cipta Medika Soetomo,4.8,238,Wignyo Prayugi,5,2026-05-26T07:02:35.118Z,Pelayanan sat set,pelayanan sat set,pelayanan sat set,pelayanan sat set,Pelayanan,Netral,0.9304
Kesehatan,Klinik Cipta Medika Soetomo,4.8,238,SHOLATUL HAFIDA,5,2026-05-22T09:40:21.044Z,Pelayanan ramah,pelayanan ramah,pelayanan ramah,pelayanan ramah,Pelayanan,Negatif,0.996
Kesehatan,Klinik Cipta Medika Soetomo,4.8,238,Nunuk Kristianingsih83,5,2026-05-21T07:47:27.791Z,Baik puas,baik puas,baik puas,baik puas,Lainnya,Negatif,0.9927
