Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Klinik Jamsostek 116,4.3,27,Chandra Breettd,5,2024-06-14T06:37:32.848Z,"Pelayanan nya cepatt , akuratt dokter nya ramah",pelayanan nya cepatt akuratt dokter nya ramah,pelayanan nya cepatt akuratt dokter nya ramah,pelayanan cepatt akuratt dokter ramah,Pelayanan,Negatif,0.9884
Kesehatan,Klinik Jamsostek 116,4.3,27,Wahyu Hidayatullah,5,2024-06-14T06:30:17.892Z,Memuaskan,memuaskan,memuaskan,memuaskan,Lainnya,Negatif,0.996
Kesehatan,Klinik Jamsostek 116,4.3,27,Agus eko Susanto,5,2024-06-13T09:31:48.839Z,Pelayanan yg memuaskan,pelayanan yg memuaskan,pelayanan yang memuaskan,pelayanan memuaskan,Pelayanan,Negatif,0.996
Kesehatan,Klinik Jamsostek 116,4.3,27,Hasan gaming,5,2024-06-13T04:51:39.905Z,Pelayanan cepat,pelayanan cepat,pelayanan cepat,pelayanan cepat,Pelayanan,Negatif,0.9954
Kesehatan,Klinik Jamsostek 116,4.3,27,Akhmad Yusuf,5,2024-06-13T02:05:41.543Z,"Alhamdulillah,semakin baik pelayanannya,dan perlu dipertahankan ato ditingkan lagi",alhamdulillah semakin baik pelayanannya dan perlu dipertahankan ato ditingkan lagi,alhamdulillah semakin baik pelayanannya dan perlu dipertahankan ato ditingkan lagi,alhamdulillah semakin baik pelayanannya perlu dipertahankan ato ditingkan,Pelayanan,Negatif,0.9738
Kesehatan,Klinik Jamsostek 116,4.3,27,Rifky.,5,2024-06-12T08:13:37.172Z,baikk,baikk,baikk,baikk,Administrasi,Negatif,0.976
Kesehatan,Klinik Jamsostek 116,4.3,27,Rooni Indra,5,2024-06-11T08:05:12.593Z,Pelayanannya sangat bagus,pelayanannya sangat bagus,pelayanannya sangat bagus,pelayanannya bagus,Pelayanan,Negatif,0.9974
Kesehatan,Klinik Jamsostek 116,4.3,27,Amir Mahmud,5,2024-06-11T03:33:24.372Z,Pelayanannya bagus dan cepat,pelayanannya bagus dan cepat,pelayanannya bagus dan cepat,pelayanannya bagus cepat,Pelayanan,Negatif,0.9971
Kesehatan,Klinik Jamsostek 116,4.3,27,Fedi Afandi,5,2024-06-10T07:41:39.721Z,Pelayan sangat memuaskan,pelayan sangat memuaskan,pelayan sangat memuaskan,pelayan memuaskan,Lainnya,Negatif,0.9961
Kesehatan,Klinik Jamsostek 116,4.3,27,Akhmad Junaedi,5,2024-06-10T03:39:58.584Z,Pelayanan bagus dan cepat. Petugas ramah👍,pelayanan bagus dan cepat petugas ramah,pelayanan bagus dan cepat petugas ramah,pelayanan bagus cepat petugas ramah,Pelayanan,Negatif,0.9961
Kesehatan,Klinik Jamsostek 116,4.3,27,Suhar Toyo,5,2024-06-10T02:06:37.595Z,Pelayanannya baik,pelayanannya baik,pelayanannya baik,pelayanannya baik,Pelayanan,Negatif,0.9965
Kesehatan,Klinik Jamsostek 116,4.3,27,Julek nafian,5,2024-06-10T01:56:06.459Z,Sangat bagus...,sangat bagus,sangat bagus,bagus,Lainnya,Negatif,0.9961
Kesehatan,Klinik Jamsostek 116,4.3,27,Akip Nipon,5,2024-06-10T01:51:38.422Z,Pelayahan bp jamsostek lebih cepat.,pelayahan bp jamsostek lebih cepat,pelayahan bp jamsostek lebih cepat,pelayahan bp jamsostek cepat,Pelayanan,Netral,0.9812
Kesehatan,Klinik Jamsostek 116,4.3,27,diahayu ajeng,5,2024-06-07T10:00:50.895Z,Pelayanannya bagus,pelayanannya bagus,pelayanannya bagus,pelayanannya bagus,Pelayanan,Negatif,0.9974
Kesehatan,Klinik Jamsostek 116,4.3,27,siti romlah,4,2024-06-07T09:53:35.332Z,pelayanan nya oke,pelayanan nya oke,pelayanan nya oke,pelayanan oke,Pelayanan,Negatif,0.9963
Kesehatan,Klinik Jamsostek 116,4.3,27,Vita Murti Ningsih,4,2024-06-07T09:41:38.452Z,Pelayanan klinik jamsostek 116 sangat memuaskan 👍,pelayanan klinik jamsostek sangat memuaskan,pelayanan klinik jamsostek sangat memuaskan,pelayanan klinik jamsostek memuaskan,Pelayanan,Negatif,0.9937
Kesehatan,Klinik Jamsostek 116,4.3,27,Masrukin 11,5,2024-06-07T09:15:02.603Z,Sip pelayanan obatnya cepat tingkatkan👍,sip pelayanan obatnya cepat tingkatkan,sip pelayanan obatnya cepat tingkatkan,sip pelayanan obatnya cepat tingkatkan,Pelayanan,Negatif,0.9773
Kesehatan,Klinik Jamsostek 116,4.3,27,Retno Meilawati,5,2024-06-07T02:21:48.967Z,"Semenjak akhir tahun 2023 sudah ada kemajuan, seperti dinding yg sudah di cat, alur pelayanan lebih teratur.",semenjak akhir tahun sudah ada kemajuan seperti dinding yg sudah di cat alur pelayanan lebih teratur,semenjak akhir tahun sudah ada kemajuan seperti dinding yang sudah di cat alur pelayanan lebih teratur,semenjak akhir tahun kemajuan seperti dinding cat alur pelayanan teratur,Pelayanan,Netral,0.7264
Kesehatan,Klinik Jamsostek 116,4.3,27,Adelia Fa,1,2023-02-06T02:07:11.186Z,Pelayanan buruk,pelayanan buruk,pelayanan buruk,pelayanan buruk,Pelayanan,Positif,0.998
Kesehatan,Klinik Jamsostek 116,4.3,27,Baihaqi Baihaqi,1,2022-07-25T10:12:19.303Z,"Pelayanan yang sangat menyedihkan,, lama bnget, dan selalu buat esmosi😄, ,,,, ,,, masa selamanya begitu,,,, 😩",pelayanan yang sangat menyedihkan lama bnget dan selalu buat esmosi masa selamanya begitu,pelayanan yang sangat menyedihkan lama bnget dan selalu buat esmosi masa selamanya begitu,pelayanan menyedihkan lama bnget selalu buat esmosi masa selamanya begitu,Pelayanan,Positif,0.9979
Kesehatan,Klinik Jamsostek 116,4.3,27,Yeni Masruroh,1,2020-10-24T12:05:50.192Z,"Bp Jamsostek 116 pelayanannya sangat sangat buruk,sangat tidak memuaskan pelanggan. Banyak pengalaman menyedihkan yg sy dpt😓😪 Lebih baik ke bp yg lain yg lebih berkualitas pelayanan nya.",bp jamsostek pelayanannya sangat sangat buruk sangat tidak memuaskan pelanggan banyak pengalaman menyedihkan yg sy dpt lebih baik ke bp yg lain yg lebih berkualitas pelayanan nya,bp jamsostek pelayanannya sangat sangat buruk sangat tidak memuaskan pelanggan banyak pengalaman menyedihkan yang saya dpt lebih baik ke bp yang lain yang lebih berkualitas pelayanan nya,bp jamsostek pelayanannya buruk memuaskan pelanggan banyak pengalaman menyedihkan dpt baik bp lain berkualitas pelayanan,Pelayanan,Positif,0.9973
