Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Puskesmas,Klinik Mabarrot Hasyimiyah NU Manyar,4.7,220,Cholisotun Nafsiyah,5,2026-08-18T03:25:04.790Z,"Alhamdulillah, pelayananya sangat bagus",alhamdulillah pelayananya sangat bagus,alhamdulillah pelayananya sangat bagus,alhamdulillah pelayananya bagus,Pelayanan,Positif,0.9965
Kesehatan,Puskesmas,Klinik Mabarrot Hasyimiyah NU Manyar,4.7,220,Laila Sari,5,2026-08-18T02:41:10.271Z,Bagus,bagus,bagus,bagus,Lainnya,Positif,0.9961
Kesehatan,Puskesmas,Klinik Mabarrot Hasyimiyah NU Manyar,4.7,220,Rasya Ganteng,5,2026-08-15T03:32:09.128Z,"Pelayanannya baik, dokternya juga ramah dan cantik. Kebetulan sama dokter kamelia orgnya baik, friendly juga",pelayanannya baik dokternya juga ramah dan cantik kebetulan sama dokter kamelia orgnya baik friendly juga,pelayanannya baik dokternya juga ramah dan cantik kebetulan sama dokter kamelia orgnya baik friendly juga,pelayanannya baik dokternya ramah cantik kebetulan sama dokter kamelia orgnya baik friendly,Pelayanan,Positif,0.9961
Kesehatan,Puskesmas,Klinik Mabarrot Hasyimiyah NU Manyar,4.7,220,Dyah Ahmad,5,2026-08-14T03:17:47.892Z,"Pindah faskes disini cocok sama obatnya dan pelayanannya, dibantu SM mas petugasnya jg diajari cara daftar online nya",pindah faskes disini cocok sama obatnya dan pelayanannya dibantu sm mas petugasnya jg diajari cara daftar online nya,pindah faskes disini cocok sama obatnya dan pelayanannya dibantu sama mas petugasnya juga diajari cara daftar online nya,pindah faskes disini cocok sama obatnya pelayanannya dibantu sama mas petugasnya diajari cara daftar online,Pelayanan,Netral,0.7465
Kesehatan,Puskesmas,Klinik Mabarrot Hasyimiyah NU Manyar,4.7,220,fauziyah faza,5,2026-08-14T02:17:52.906Z,"Disini ada layanan vaksin internasional juga, sekeluarga vaksin disini krn dekat dari rumah dan pelayanannya jg satset dan udah dapat free obat setelah vaksin",disini ada layanan vaksin internasional juga sekeluarga vaksin disini krn dekat dari rumah dan pelayanannya jg satset dan udah dapat free obat setelah vaksin,disini ada layanan vaksin internasional juga sekeluarga vaksin disini karena dekat dari rumah dan pelayanannya juga satset dan udah dapat free obat setelah vaksin,disini layanan vaksin internasional sekeluarga vaksin disini dekat rumah pelayanannya satset udah free obat vaksin,Pelayanan,Positif,0.5542
Kesehatan,Puskesmas,Klinik Mabarrot Hasyimiyah NU Manyar,4.7,220,Didik 86,3,2026-08-14T01:00:18.006Z,"Banyak yg perlu di evaluasi, terutama pelayanan🙏🙏🙏",banyak yg perlu di evaluasi terutama pelayanan,banyak yang perlu di evaluasi terutama pelayanan,banyak perlu evaluasi terutama pelayanan,Pelayanan,Netral,0.4636
Kesehatan,Puskesmas,Klinik Mabarrot Hasyimiyah NU Manyar,4.7,220,Nuruddin Ok,5,2026-08-13T02:21:20.012Z,"Pelayanannya josjis, tanggap, dan pindah putuskan pindah faskes disini",pelayanannya josjis tanggap dan pindah putuskan pindah faskes disini,pelayanannya josjis tanggap dan pindah putuskan pindah faskes disini,pelayanannya josjis tanggap pindah putuskan pindah faskes disini,Pelayanan,Positif,0.5162
Kesehatan,Puskesmas,Klinik Mabarrot Hasyimiyah NU Manyar,4.7,220,Bunga Nilam Palasari,5,2026-08-10T01:51:16.085Z,pelayanannya baik dan sarana prasarana juga memadai,pelayanannya baik dan sarana prasarana juga memadai,pelayanannya baik dan sarana prasarana juga memadai,pelayanannya baik sarana prasarana memadai,Pelayanan,Positif,0.9702
Kesehatan,Puskesmas,Klinik Mabarrot Hasyimiyah NU Manyar,4.7,220,Adel Raa,1,2026-07-23T11:55:58.994Z,"Kecewa semalem periksa kesini, mana gak diperiksa sama dokternya cuma ditanya2. Perawat aja yang tensi. Saya dari rumah sudah mengira kalo cacar, tapi dokternya malah gak yakin katanya kalo cacar jelas2 saya bilang sudah demam dari senin dan sempat periksa diklinik lain, karna ini urgent saya pilih klinik ini yg paling dekat. Mana mahal lagi, masak diharga obat saya hitung semua gak sampai 250, tapi diharga semua jadi 250, admin nya 50 jadi 300. Syok kali mending ke spesialis yg jelas2, gak lagi2 deh. Tadinya mau pindah bpjs sini kalo bagus, lah ini sengaja pake umum sambil cek gelombang malah zonk banget 😭",kecewa semalem periksa kesini mana gak diperiksa sama dokternya cuma ditanya2 perawat aja yang tensi saya dari rumah sudah mengira kalo cacar tapi dokternya malah gak yakin katanya kalo cacar jelas2 saya bilang sudah demam dari senin dan sempat periksa diklinik lain karna ini urgent saya pilih klinik ini yg paling dekat mana mahal lagi masak diharga obat saya hitung semua gak sampai tapi diharga semua jadi admin nya jadi syok kali mending ke spesialis yg jelas2 gak lagi2 deh tadinya mau pindah bpjs sini kalo bagus lah ini sengaja pake umum sambil cek gelombang malah zonk banget,kecewa semalem periksa kesini mana tidak diperiksa sama dokternya cuma ditanya2 perawat aja yang tensi saya dari rumah sudah mengira kalo cacar tapi dokternya malah tidak yakin katanya kalo cacar jelas2 saya bilang sudah demam dari senin dan sempat periksa diklinik lain karna ini urgent saya pilih klinik ini yang paling dekat mana mahal lagi masak diharga obat saya hitung semua tidak sampai tapi diharga semua jadi admin nya jadi syok kali mending ke spesialis yang jelas2 tidak lagi2 deh tadinya mau pindah bpjs sini kalo bagus lah ini sengaja pake umum sambil cek gelombang malah zonk banget,kecewa semalem periksa kesini mana diperiksa sama dokternya cuma ditanya2 perawat aja tensi rumah mengira kalo cacar dokternya malah yakin katanya kalo cacar jelas2 bilang demam senin sempat periksa diklinik lain karna urgent pilih klinik paling dekat mana mahal masak diharga obat hitung semua sampai diharga semua jadi admin jadi syok kali mending spesialis jelas2 lagi2 tadinya mau pindah bpjs sini kalo bagus sengaja pake umum sambil cek gelombang malah zonk banget,Fasilitas,Negatif,0.9957
Kesehatan,Puskesmas,Klinik Mabarrot Hasyimiyah NU Manyar,4.7,220,zalita food,5,2026-07-08T02:28:18.937Z,"Pindah faskes disini dibantu sama mas petugasnya, dijelaskan fitur aplikasi dari mobile jkn jg cara daftar online nya, kliniknya bersih dan ramah dokternya",pindah faskes disini dibantu sama mas petugasnya dijelaskan fitur aplikasi dari mobile jkn jg cara daftar online nya kliniknya bersih dan ramah dokternya,pindah faskes disini dibantu sama mas petugasnya dijelaskan fitur aplikasi dari mobile jkn juga cara daftar online nya kliniknya bersih dan ramah dokternya,pindah faskes disini dibantu sama mas petugasnya dijelaskan fitur aplikasi mobile jkn cara daftar online kliniknya bersih ramah dokternya,Pelayanan,Positif,0.9426
Kesehatan,Puskesmas,Klinik Mabarrot Hasyimiyah NU Manyar,4.7,220,Raden Siahaan,5,2026-07-07T04:28:58.142Z,"Layanannya cepat jg ramah, dokternya baik serta edukatif apalagi ketika kita kurang paham, akhirnya pindah faskes disini karena cocok sama obatnya juga",layanannya cepat jg ramah dokternya baik serta edukatif apalagi ketika kita kurang paham akhirnya pindah faskes disini karena cocok sama obatnya juga,layanannya cepat juga ramah dokternya baik serta edukatif apalagi ketika kita kurang paham akhirnya pindah faskes disini karena cocok sama obatnya juga,layanannya cepat ramah dokternya baik serta edukatif apalagi kurang paham akhirnya pindah faskes disini cocok sama obatnya,Pelayanan,Positif,0.9958
Kesehatan,Puskesmas,Klinik Mabarrot Hasyimiyah NU Manyar,4.7,220,Fita Wulandari,5,2026-07-03T03:24:50.873Z,"Pelayanannya super ramah dari, dokternya juga cara menjelaskannya juga detail dan baik, kliniknya bersih ber AC juga free wifi",pelayanannya super ramah dari dokternya juga cara menjelaskannya juga detail dan baik kliniknya bersih ber ac juga free wifi,pelayanannya super ramah dari dokternya juga cara menjelaskannya juga detail dan baik kliniknya bersih ber ac juga free wifi,pelayanannya super ramah dokternya cara menjelaskannya detail baik kliniknya bersih ber ac free wifi,Pelayanan,Positif,0.9961
