Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Klinik & Praktek Dokter,Klinik Mitra Medicare Driyorejo,4.2,134,miftakhul abidah,5,2026-08-08T02:55:58.089Z,"Pelayanannya sangat baik, ramah dan nyaman. Pertama kali scaling gigi disini, dokternya sangat amat ramah dan telaten dalam menangani",pelayanannya sangat baik ramah dan nyaman pertama kali scaling gigi disini dokternya sangat amat ramah dan telaten dalam menangani,pelayanannya sangat baik ramah dan nyaman pertama kali scaling gigi disini dokternya sangat amat ramah dan telaten dalam menangani,pelayanannya baik ramah nyaman pertama kali scaling gigi disini dokternya amat ramah telaten menangani,Pelayanan,Positif,0.9954
Kesehatan,Klinik & Praktek Dokter,Klinik Mitra Medicare Driyorejo,4.2,134,Ika Farosi,5,2026-08-08T01:52:22.167Z,Pelayanan sangat memuaskan,pelayanan sangat memuaskan,pelayanan sangat memuaskan,pelayanan memuaskan,Pelayanan,Positif,0.996
Kesehatan,Klinik & Praktek Dokter,Klinik Mitra Medicare Driyorejo,4.2,134,Waw Win,1,2026-07-06T23:42:29.031Z,"Saya masih gak iklas berobat disini malah di usir !! Petugas judes , antrian gak jelas !!",saya masih gak iklas berobat disini malah di usir petugas judes antrian gak jelas,saya masih tidak iklas berobat disini malah di usir petugas judes antrian tidak jelas,iklas berobat disini malah usir petugas judes antrian jelas,Pelayanan,Negatif,0.9978
Kesehatan,Klinik & Praktek Dokter,Klinik Mitra Medicare Driyorejo,4.2,134,Leny Wulanda,1,2026-06-09T12:14:10.460Z,"Penanganan lambat, masak istirahat 2 jam setengah,, orang yang tadinya sakit malah sekarat",penanganan lambat masak istirahat jam setengah orang yang tadinya sakit malah sekarat,penanganan lambat masak istirahat jam setengah orang yang tadinya sakit malah sekarat,penanganan lambat masak istirahat jam setengah orang tadinya sakit malah sekarat,Pelayanan,Negatif,0.9955
Kesehatan,Klinik & Praktek Dokter,Klinik Mitra Medicare Driyorejo,4.2,134,karpet cleanerr,5,2026-05-19T12:36:35.069Z,"Pembersihan karang gigi anak saya bagus, petugas dan dokternya ramah dan informatif",pembersihan karang gigi anak saya bagus petugas dan dokternya ramah dan informatif,pembersihan karang gigi anak saya bagus petugas dan dokternya ramah dan informatif,pembersihan karang gigi anak bagus petugas dokternya ramah informatif,Pelayanan,Positif,0.9957
Kesehatan,Klinik & Praktek Dokter,Klinik Mitra Medicare Driyorejo,4.2,134,alia,5,2026-05-18T12:26:24.791Z,"Baru pertama kali ikut scaling, nyaman, rapi dokter gigi nya sabar dan ramah.. Sukses selalu mmc driyorejo",baru pertama kali ikut scaling nyaman rapi dokter gigi nya sabar dan ramah sukses selalu mmc driyorejo,baru pertama kali ikut scaling nyaman rapi dokter gigi nya sabar dan ramah sukses selalu mmc driyorejo,pertama kali ikut scaling nyaman rapi dokter gigi sabar ramah sukses selalu mmc driyorejo,Pelayanan,Positif,0.8455
Kesehatan,Klinik & Praktek Dokter,Klinik Mitra Medicare Driyorejo,4.2,134,Iqbal Muallam,5,2026-05-12T12:48:05.102Z,"Alhamdulillah pilih Faskes disini dan baru pertama kali kesini dan Alhasil pelayanan sangat Ramah, Dokter melayani dengan baik. BPJS maupun Umum sama2 dilayani sebagai mana mestinya. Pertahankan dan sukses selalu untuk Klinik Mitra Medicare 🙏",alhamdulillah pilih faskes disini dan baru pertama kali kesini dan alhasil pelayanan sangat ramah dokter melayani dengan baik bpjs maupun umum sama2 dilayani sebagai mana mestinya pertahankan dan sukses selalu untuk klinik mitra medicare,alhamdulillah pilih faskes disini dan baru pertama kali kesini dan alhasil pelayanan sangat ramah dokter melayani dengan baik bpjs maupun umum sama2 dilayani sebagai mana mestinya pertahankan dan sukses selalu untuk klinik mitra medicare,alhamdulillah pilih faskes disini pertama kali kesini alhasil pelayanan ramah dokter melayani baik bpjs maupun umum sama2 dilayani sebagai mana mestinya pertahankan sukses selalu klinik mitra medicare,Pelayanan,Positif,0.9885
Kesehatan,Klinik & Praktek Dokter,Klinik Mitra Medicare Driyorejo,4.2,134,Hezzty Hezz,1,2026-02-21T03:03:25.428Z,"petugas JUDES"" ga ada ramah""nya ga ada senyum""nya, pelayanan juga lemot. tp dokternya ramah"" juga baik.",petugas judes ga ada ramah nya ga ada senyum nya pelayanan juga lemot tp dokternya ramah juga baik,petugas judes tidak ada ramah nya tidak ada senyum nya pelayanan juga lemot tapi dokternya ramah juga baik,petugas judes ramah senyum pelayanan lemot dokternya ramah baik,Pelayanan,Negatif,0.9947
Kesehatan,Klinik & Praktek Dokter,Klinik Mitra Medicare Driyorejo,4.2,134,Ferry Fery,5,2026-02-18T11:23:50.690Z,Nyaman bersih dan pelayanannya baik ramah,nyaman bersih dan pelayanannya baik ramah,nyaman bersih dan pelayanannya baik ramah,nyaman bersih pelayanannya baik ramah,Pelayanan,Positif,0.9965
Kesehatan,Klinik & Praktek Dokter,Klinik Mitra Medicare Driyorejo,4.2,134,Hermansyah Dwi Cahyo,5,2026-02-09T11:08:10.440Z,"Pelayanannya ramah semua tenaga medis sangat baik sekali, pertama scaling gigi dilayani dengan baik, cepat, dan tidak sakit",pelayanannya ramah semua tenaga medis sangat baik sekali pertama scaling gigi dilayani dengan baik cepat dan tidak sakit,pelayanannya ramah semua tenaga medis sangat baik sekali pertama scaling gigi dilayani dengan baik cepat dan tidak sakit,pelayanannya ramah semua tenaga medis baik pertama scaling gigi dilayani baik cepat sakit,Pelayanan,Positif,0.9932
Kesehatan,Klinik & Praktek Dokter,Klinik Mitra Medicare Driyorejo,4.2,134,Layla Sintha,5,2025-12-25T07:09:59.876Z,bagus ayu DM muda tobrut tobrut,bagus ayu dm muda tobrut tobrut,bagus ayu dm muda tobrut tobrut,bagus ayu dm muda tobrut tobrut,Lainnya,Positif,0.7873
Kesehatan,Klinik & Praktek Dokter,Klinik Mitra Medicare Driyorejo,4.2,134,Sutris Sukarno,5,2025-12-25T04:30:40.048Z,"bagus , sesuai nyaman tindakan dsini wenak ayu2 adem dokter muda muda",bagus sesuai nyaman tindakan dsini wenak ayu2 adem dokter muda muda,bagus sesuai nyaman tindakan dsini wenak ayu2 adem dokter muda muda,bagus sesuai nyaman tindakan dsini wenak ayu2 adem dokter muda muda,Fasilitas,Positif,0.9895
Kesehatan,Klinik & Praktek Dokter,Klinik Mitra Medicare Driyorejo,4.2,134,Putri Hartanto,1,2025-12-15T12:48:22.233Z,petugas konternya ketus-ketus. aturannya ruwet.,petugas konternya ketus ketus aturannya ruwet,petugas konternya ketus ketus aturannya ruwet,petugas konternya ketus ketus aturannya ruwet,Pelayanan,Negatif,0.9933
Kesehatan,Klinik & Praktek Dokter,Klinik Mitra Medicare Driyorejo,4.2,134,Chabibah Chusnah,3,2025-11-02T21:42:51.669Z,"Datang pagi tapi di resepsionis tidak ada yang jaga, di meja ditulis "" petugas didalam disuruh ketuk "" tapi sudah diketuk 3 kali tidak ada yg keluar. Menunggu lumayan lama juga",datang pagi tapi di resepsionis tidak ada yang jaga di meja ditulis petugas didalam disuruh ketuk tapi sudah diketuk kali tidak ada yg keluar menunggu lumayan lama juga,datang pagi tapi di resepsionis tidak ada yang jaga di meja ditulis petugas didalam disuruh ketuk tapi sudah diketuk kali tidak ada yang keluar menunggu lumayan lama juga,datang pagi resepsionis jaga meja ditulis petugas didalam disuruh ketuk diketuk kali keluar menunggu lumayan lama,Pelayanan,Netral,0.6883
Kesehatan,Klinik & Praktek Dokter,Klinik Mitra Medicare Driyorejo,4.2,134,Dinata Sadan,4,2025-10-24T08:30:33.957Z,Mau tanya untuk cek ibu hamil bisa kah di sini??,mau tanya untuk cek ibu hamil bisa kah di sini,mau tanya untuk cek ibu hamil bisa kah di sini,mau tanya cek ibu hamil sini,Lainnya,Netral,0.9977
Kesehatan,Klinik & Praktek Dokter,Klinik Mitra Medicare Driyorejo,4.2,134,DPrast 26,5,2025-09-03T05:10:08.799Z,Kalau mau cek lab sampai jam brp ya? Dan hari apa saja?,kalau mau cek lab sampai jam brp ya dan hari apa saja,kalau mau cek lab sampai jam brp ya dan hari apa saja,mau cek lab sampai jam brp ya hari apa saja,Lainnya,Netral,0.9944
Kesehatan,Klinik & Praktek Dokter,Klinik Mitra Medicare Driyorejo,4.2,134,REZZ Gaming99,1,2025-08-16T10:50:03.281Z,Datang jam 17.30 an .. dokter istirahat sampek jam 19.00 . Wajar?,datang jam an dokter istirahat sampek jam wajar,datang jam an dokter istirahat sampek jam wajar,datang jam an dokter istirahat sampek jam wajar,Kesehatan,Negatif,0.5265
Kesehatan,Klinik & Praktek Dokter,Klinik Mitra Medicare Driyorejo,4.2,134,Anaapriliya Na,5,2025-07-10T12:09:28.881Z,"Info dong kok gak keluar ya nama klinik medicare Driyorejo di mobile JKN,kok malah yg di dharmahusada 🥲🥲 Padahal mau pindah faskes ke sini biar dekat dari rumah",info dong kok gak keluar ya nama klinik medicare driyorejo di mobile jkn kok malah yg di dharmahusada padahal mau pindah faskes ke sini biar dekat dari rumah,info dong kok tidak keluar ya nama klinik medicare driyorejo di mobile jkn kok malah yang di dharmahusada padahal mau pindah faskes ke sini biar dekat dari rumah,info kok keluar ya nama klinik medicare driyorejo mobile jkn kok malah dharmahusada padahal mau pindah faskes sini biar dekat rumah,Administrasi,Netral,0.6468
Kesehatan,Klinik & Praktek Dokter,Klinik Mitra Medicare Driyorejo,4.2,134,Feby Eka,1,2025-05-15T15:53:12.363Z,"Dokternya ga komunikatif, ga dijelasin sakit apa, gadikasi tau makanan apa yg boleh & gaboleh. Staf yg di resepsionis juga kurang ramah. Cuma staf bagian farmasi yg kerjanya bener.",dokternya ga komunikatif ga dijelasin sakit apa gadikasi tau makanan apa yg boleh gaboleh staf yg di resepsionis juga kurang ramah cuma staf bagian farmasi yg kerjanya bener,dokternya tidak komunikatif tidak dijelasin sakit apa gadikasi tau makanan apa yang boleh gaboleh staf yang di resepsionis juga kurang ramah cuma staf bagian farmasi yang kerjanya bener,dokternya komunikatif dijelasin sakit apa gadikasi tau makanan apa boleh gaboleh staf resepsionis kurang ramah cuma staf bagian farmasi kerjanya bener,Pelayanan,Negatif,0.7897
Kesehatan,Klinik & Praktek Dokter,Klinik Mitra Medicare Driyorejo,4.2,134,Aldi Prasetyo Aji,5,2025-02-18T11:03:13.525Z,Pelayanan baik,pelayanan baik,pelayanan baik,pelayanan baik,Pelayanan,Positif,0.9952
Kesehatan,Klinik & Praktek Dokter,Klinik Mitra Medicare Driyorejo,4.2,134,rachmat Adi ANBU,5,2025-02-17T11:02:55.067Z,"Bagus,fast respon,ramah",bagus fast respon ramah,bagus fast respon ramah,bagus fast respon ramah,Pelayanan,Positif,0.9819
