Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Klinik Mitra Medicare Suci,4,221,Satrio Fabiansyah,1,2026-07-17T02:26:58.627Z,"Resepsionis tidak ramah, namanya orang tidak tahu dan bertanya kok jawabannya malah bentak"" tidak enak. Pokoknya tidak rekomended banget. Mending cari klinik lain saja. Resepsionis seperti itu kok masih dipertahankan. Kayak kenak darah tinggi tuh resepsionis. Aneh!!",resepsionis tidak ramah namanya orang tidak tahu dan bertanya kok jawabannya malah bentak tidak enak pokoknya tidak rekomended banget mending cari klinik lain saja resepsionis seperti itu kok masih dipertahankan kayak kenak darah tinggi tuh resepsionis aneh,resepsionis tidak ramah namanya orang tidak tahu dan bertanya kok jawabannya malah bentak tidak enak pokoknya tidak rekomended banget mending cari klinik lain saja resepsionis seperti itu kok masih dipertahankan kayak kenak darah tinggi tuh resepsionis aneh,resepsionis ramah namanya orang tahu bertanya kok jawabannya malah bentak enak pokoknya rekomended banget mending cari klinik lain saja resepsionis seperti kok dipertahankan kayak kenak darah tinggi tuh resepsionis aneh,Pelayanan,Positif,0.9939
Kesehatan,Klinik Mitra Medicare Suci,4,221,Bilqis Nur fitria,1,2026-07-04T14:35:22.485Z,"Buka 24 jam, tapi ga ada tanda² kehidupan Semuanya beristarahat didalam, harus dipanggil panggil Pelayanan tidak ramah, bahkan menatap mata pun engga Padahal pake asuransi apalagi yang pke bpjs Udah gitu ditolak lagi , padahal dari asuransinya tertera seluruh faskes yang bekerja sama Malah disamain kek bpjs harus di faskesnya 🙂‍↕️ Kalo males kerja dirumah aja deh mba🙃",buka jam tapi ga ada tanda kehidupan semuanya beristarahat didalam harus dipanggil panggil pelayanan tidak ramah bahkan menatap mata pun engga padahal pake asuransi apalagi yang pke bpjs udah gitu ditolak lagi padahal dari asuransinya tertera seluruh faskes yang bekerja sama malah disamain kek bpjs harus di faskesnya kalo males kerja dirumah aja deh mba,buka jam tapi tidak ada tanda kehidupan semuanya beristarahat didalam harus dipanggil panggil pelayanan tidak ramah bahkan menatap mata pun engga padahal pake asuransi apalagi yang pke bpjs udah gitu ditolak lagi padahal dari asuransinya tertera seluruh faskes yang bekerja sama malah disamain kek bpjs harus di faskesnya kalo males kerja dirumah aja deh mba,buka jam tanda kehidupan semuanya beristarahat didalam harus dipanggil panggil pelayanan ramah bahkan menatap mata engga padahal pake asuransi apalagi pke bpjs udah gitu ditolak padahal asuransinya tertera seluruh faskes bekerja sama malah disamain kek bpjs harus faskesnya kalo males kerja dirumah aja mba,Pelayanan,Positif,0.8021
Kesehatan,Klinik Mitra Medicare Suci,4,221,Syafa Joss,1,2026-05-30T11:41:47.088Z,Petugas jaga jam 18.00 ga ada Istirahat bareng2.... Pasien nunggu lama. Tolong diperbaiki dalam pelayanannya,petugas jaga jam ga ada istirahat bareng2 pasien nunggu lama tolong diperbaiki dalam pelayanannya,petugas jaga jam tidak ada istirahat bareng2 pasien nunggu lama tolong diperbaiki dalam pelayanannya,petugas jaga jam istirahat bareng2 pasien nunggu lama tolong diperbaiki pelayanannya,Pelayanan,Positif,0.9407
Kesehatan,Klinik Mitra Medicare Suci,4,221,cak_amin amin,3,2026-05-27T13:42:13.912Z,"Saya beli obat, pintu kaca depan minta tolong di betulkan, karena rusak parah,  Harap segera diperbaikai, karena membahayakan. Thks",saya beli obat pintu kaca depan minta tolong di betulkan karena rusak parah harap segera diperbaikai karena membahayakan thks,saya beli obat pintu kaca depan minta tolong di betulkan karena rusak parah harap segera diperbaikai karena membahayakan thks,beli obat pintu kaca depan minta tolong betulkan rusak parah harap segera diperbaikai membahayakan thks,Fasilitas,Positif,0.9226
Kesehatan,Klinik Mitra Medicare Suci,4,221,suprapto nur,1,2026-05-19T08:07:55.394Z,pelayanan gk ramah sumpah ngeselin yaampun padahal sama pengunjung kyk gitu,pelayanan gk ramah sumpah ngeselin yaampun padahal sama pengunjung kyk gitu,pelayanan tidak ramah sumpah ngeselin yaampun padahal sama pengunjung kyk gitu,pelayanan ramah sumpah ngeselin yaampun padahal sama pengunjung kyk gitu,Pelayanan,Positif,0.6159
Kesehatan,Klinik Mitra Medicare Suci,4,221,Irfan Muthohir,1,2026-04-13T12:46:09.283Z,Pelayanan buruk,pelayanan buruk,pelayanan buruk,pelayanan buruk,Pelayanan,Positif,0.998
Kesehatan,Klinik Mitra Medicare Suci,4,221,Eni Megawati,5,2026-04-07T07:51:53.523Z,"Tempatnya nyaman, dokternya juga nyaman, enak penjelasannya, komunikatif. Hanya mba2 resepsionisnya saja yang mungkin bisa di training lagi agar bisa lebih ramah. Karena yang datang berobat itu orang sedang sakit, mohon jangan ditambah jadi sakit hati karena diomelin. Biar makin oke pelayanannya.",tempatnya nyaman dokternya juga nyaman enak penjelasannya komunikatif hanya mba2 resepsionisnya saja yang mungkin bisa di training lagi agar bisa lebih ramah karena yang datang berobat itu orang sedang sakit mohon jangan ditambah jadi sakit hati karena diomelin biar makin oke pelayanannya,tempatnya nyaman dokternya juga nyaman enak penjelasannya komunikatif hanya mba2 resepsionisnya saja yang mungkin bisa di training lagi agar bisa lebih ramah karena yang datang berobat itu orang sedang sakit mohon jangan ditambah jadi sakit hati karena diomelin biar makin oke pelayanannya,tempatnya nyaman dokternya nyaman enak penjelasannya komunikatif hanya mba2 resepsionisnya saja mungkin training agar ramah datang berobat orang sedang sakit mohon jangan ditambah jadi sakit hati diomelin biar makin oke pelayanannya,Pelayanan,Negatif,0.9716
Kesehatan,Klinik Mitra Medicare Suci,4,221,Fahmi Kamal Ridho,5,2026-04-07T04:30:42.057Z,Pegawai responsif & sangat ramah,pegawai responsif sangat ramah,pegawai responsif sangat ramah,pegawai responsif ramah,Pelayanan,Negatif,0.9933
Kesehatan,Klinik Mitra Medicare Suci,4,221,Nadiya Fiolita,1,2026-03-30T08:29:15.223Z,bagian pelayanan lama,bagian pelayanan lama,bagian pelayanan lama,bagian pelayanan lama,Pelayanan,Positif,0.6587
Kesehatan,Klinik Mitra Medicare Suci,4,221,Intan Amilia,5,2026-03-16T00:30:16.621Z,"pelayanan dari dr.nur Rahma sangat memuaskan, penjelasannya sangat detail dan mudah dipahami sangat² bagus sekali pelayanannya ⭐⭐⭐⭐⭐",pelayanan dari dr nur rahma sangat memuaskan penjelasannya sangat detail dan mudah dipahami sangat bagus sekali pelayanannya,pelayanan dari dari nur rahma sangat memuaskan penjelasannya sangat detail dan mudah dipahami sangat bagus sekali pelayanannya,pelayanan nur rahma memuaskan penjelasannya detail mudah dipahami bagus pelayanannya,Pelayanan,Negatif,0.9947
