Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Klinik & Praktek Dokter,Klinik Panglima Sudirman,4.3,40,Ayu Nur Malasari,5,2026-08-08T03:39:23.412Z,Pelayanannya baik dan Penanganan cepat.,pelayanannya baik dan penanganan cepat,pelayanannya baik dan penanganan cepat,pelayanannya baik penanganan cepat,Pelayanan,Positif,0.995
Kesehatan,Klinik & Praktek Dokter,Klinik Panglima Sudirman,4.3,40,Rachman Ardiansyah,5,2026-07-29T11:55:51.404Z,"Pelayanannya baik, petugasnya ramah dan membantu utk proses administrasinya",pelayanannya baik petugasnya ramah dan membantu utk proses administrasinya,pelayanannya baik petugasnya ramah dan membantu untuk proses administrasinya,pelayanannya baik petugasnya ramah membantu proses administrasinya,Pelayanan,Positif,0.9961
Kesehatan,Klinik & Praktek Dokter,Klinik Panglima Sudirman,4.3,40,Tukangg Tabrak,5,2026-07-29T11:50:13.453Z,Bagus pelayanannya,bagus pelayanannya,bagus pelayanannya,bagus pelayanannya,Pelayanan,Positif,0.9973
Kesehatan,Klinik & Praktek Dokter,Klinik Panglima Sudirman,4.3,40,Mbes Channel,5,2026-07-29T11:29:08.477Z,Pelayanannya bagus,pelayanannya bagus,pelayanannya bagus,pelayanannya bagus,Pelayanan,Positif,0.9974
Kesehatan,Klinik & Praktek Dokter,Klinik Panglima Sudirman,4.3,40,dodot marmoyo,5,2026-07-29T11:12:30.717Z,"Terimakasih atas pelayanannya, sukses utk semua",terimakasih atas pelayanannya sukses utk semua,terimakasih atas pelayanannya sukses untuk semua,terimakasih atas pelayanannya sukses semua,Pelayanan,Positif,0.9898
Kesehatan,Klinik & Praktek Dokter,Klinik Panglima Sudirman,4.3,40,Chelsea 99,4,2026-02-02T03:05:39.874Z,Maaf ya lebih suka dokter cowok daripada dokter cewek judes,maaf ya lebih suka dokter cowok daripada dokter cewek judes,maaf ya lebih suka dokter cowok daripada dokter cewek judes,maaf ya suka dokter cowok daripada dokter cewek judes,Kesehatan,Positif,0.9963
Kesehatan,Klinik & Praktek Dokter,Klinik Panglima Sudirman,4.3,40,kelvin aryaaa,1,2026-01-20T12:35:15.561Z,pelayanan kurang,pelayanan kurang,pelayanan kurang,pelayanan kurang,Pelayanan,Negatif,0.9968
Kesehatan,Klinik & Praktek Dokter,Klinik Panglima Sudirman,4.3,40,yunita puspita sari,2,2025-12-05T10:56:24.808Z,Tolong ya buat dokter anggi pelayanannya jgn judes” sama orangtua saya 🙂‍↔️ tlng sedikit ada etika dan adab sama orang tua ya mbakk. Dan yg saya herankan lagi kmren di diagnosa sama dokter sebelumnya gejala usus buntu dan badannya lemes masih an setelah obatnya hbs.  Dan dtng kesana lagi  ini malah kata dia gpp gk usah rujukan. Ini cuman kembung aja😣😣😣,tolong ya buat dokter anggi pelayanannya jgn judes sama orangtua saya tlng sedikit ada etika dan adab sama orang tua ya mbakk dan yg saya herankan lagi kmren di diagnosa sama dokter sebelumnya gejala usus buntu dan badannya lemes masih an setelah obatnya hbs dan dtng kesana lagi ini malah kata dia gpp gk usah rujukan ini cuman kembung aja,tolong ya buat dokter anggi pelayanannya jgn judes sama orangtua saya tlng sedikit ada etika dan adab sama orang tua ya mbakk dan yang saya herankan lagi kmren di diagnosa sama dokter sebelumnya gejala usus buntu dan badannya lemes masih an setelah obatnya hbs dan dtng kesana lagi ini malah kata dia gpp tidak usah rujukan ini cuman kembung aja,tolong ya buat dokter anggi pelayanannya jgn judes sama orangtua tlng sedikit etika adab sama orang tua ya mbakk herankan kmren diagnosa sama dokter sebelumnya gejala usus buntu badannya lemes an obatnya hbs dtng kesana malah kata gpp usah rujukan cuman kembung aja,Pelayanan,Negatif,0.9959
Kesehatan,Klinik & Praktek Dokter,Klinik Panglima Sudirman,4.3,40,Rahma dyah Arifiani,5,2025-09-16T10:26:56.538Z,Semoga klinik pangsud semakin maju,semoga klinik pangsud semakin maju,semoga klinik pangsud semakin maju,semoga klinik pangsud semakin maju,Administrasi,Positif,0.9392
Kesehatan,Klinik & Praktek Dokter,Klinik Panglima Sudirman,4.3,40,tuhanku cuma satu,5,2025-09-16T09:50:10.092Z,Petugasnya baik saya sudah lama jadi pasien di klinik pangsud semoga klinik pangsud semakin jaya,petugasnya baik saya sudah lama jadi pasien di klinik pangsud semoga klinik pangsud semakin jaya,petugasnya baik saya sudah lama jadi pasien di klinik pangsud semoga klinik pangsud semakin jaya,petugasnya baik lama jadi pasien klinik pangsud semoga klinik pangsud semakin jaya,Pelayanan,Positif,0.9431
