Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Rumah Sakit,Klinik PKU Muhammadiyah Dukun,4.4,110,heffy 9,4,2026-08-17T05:38:40.303Z,Baik,baik,baik,baik,Lainnya,Positif,0.9844
Kesehatan,Rumah Sakit,Klinik PKU Muhammadiyah Dukun,4.4,110,Ndha fams,5,2026-08-17T02:33:19.906Z,"Petugas sumeh,gercep,baik hati dan merangkul🥰🥰",petugas sumeh gercep baik hati dan merangkul,petugas sumeh gercep baik hati dan merangkul,petugas sumeh gercep baik hati merangkul,Pelayanan,Positif,0.8945
Kesehatan,Rumah Sakit,Klinik PKU Muhammadiyah Dukun,4.4,110,widayanti ms,5,2026-08-16T01:06:49.865Z,"Pelayanan sudah baik, tempatnya juga bagus bersih dan nyaman",pelayanan sudah baik tempatnya juga bagus bersih dan nyaman,pelayanan sudah baik tempatnya juga bagus bersih dan nyaman,pelayanan baik tempatnya bagus bersih nyaman,Pelayanan,Positif,0.9971
Kesehatan,Rumah Sakit,Klinik PKU Muhammadiyah Dukun,4.4,110,Dewi Ayu,5,2026-08-14T06:27:25.337Z,Sangat ramah dan cepat pelayananny,sangat ramah dan cepat pelayananny,sangat ramah dan cepat pelayananny,ramah cepat pelayananny,Pelayanan,Positif,0.9957
Kesehatan,Rumah Sakit,Klinik PKU Muhammadiyah Dukun,4.4,110,Anin Dira,5,2026-08-04T03:37:33.327Z,Selama rawat inap d sini pelayananya sangat baik... dokternya baik.. perawatnya juga baik..... Semoga tambh jaya PKU Muhammadiyah dukun,selama rawat inap d sini pelayananya sangat baik dokternya baik perawatnya juga baik semoga tambh jaya pku muhammadiyah dukun,selama rawat inap d sini pelayananya sangat baik dokternya baik perawatnya juga baik semoga tambh jaya pku muhammadiyah dukun,selama rawat inap sini pelayananya baik dokternya baik perawatnya baik semoga tambh jaya pku muhammadiyah dukun,Pelayanan,Positif,0.9838
Kesehatan,Rumah Sakit,Klinik PKU Muhammadiyah Dukun,4.4,110,Fiyah Septiana,5,2026-07-26T01:47:38.576Z,"Fasilitas memuaskan, pelayanan juga memuaskan. Terimakasih banyak Klinik PKU Muhamadiyah Dukun",fasilitas memuaskan pelayanan juga memuaskan terimakasih banyak klinik pku muhamadiyah dukun,fasilitas memuaskan pelayanan juga memuaskan terimakasih banyak klinik pku muhamadiyah dukun,fasilitas memuaskan pelayanan memuaskan terimakasih banyak klinik pku muhamadiyah dukun,Pelayanan,Positif,0.9841
Kesehatan,Rumah Sakit,Klinik PKU Muhammadiyah Dukun,4.4,110,Wahyuni Yuni,5,2026-07-24T10:17:03.856Z,Pelayanannya baik n cukup ramah,pelayanannya baik n cukup ramah,pelayanannya baik n cukup ramah,pelayanannya baik cukup ramah,Pelayanan,Positif,0.9944
Kesehatan,Rumah Sakit,Klinik PKU Muhammadiyah Dukun,4.4,110,Muhammad sauqi,5,2026-07-24T04:55:29.509Z,"Sangat memuaskan.. perawatan.nya juga ramah"" 👍",sangat memuaskan perawatan nya juga ramah,sangat memuaskan perawatan nya juga ramah,memuaskan perawatan ramah,Pelayanan,Positif,0.9945
Kesehatan,Rumah Sakit,Klinik PKU Muhammadiyah Dukun,4.4,110,d 4,4,2026-07-13T01:58:40.393Z,"Alhamdulillah pelayananya bagus,ruangannya bersih,kamar mandinya juga sangat bersih",alhamdulillah pelayananya bagus ruangannya bersih kamar mandinya juga sangat bersih,alhamdulillah pelayananya bagus ruangannya bersih kamar mandinya juga sangat bersih,alhamdulillah pelayananya bagus ruangannya bersih kamar mandinya bersih,Pelayanan,Positif,0.9969
Kesehatan,Rumah Sakit,Klinik PKU Muhammadiyah Dukun,4.4,110,Cak Shodiq,5,2026-07-10T01:29:44.812Z,Pelayanan sangat baik,pelayanan sangat baik,pelayanan sangat baik,pelayanan baik,Pelayanan,Positif,0.9952
Kesehatan,Rumah Sakit,Klinik PKU Muhammadiyah Dukun,4.4,110,Syifaul Qolbiyah,5,2026-07-06T01:34:42.191Z,"Pelayanannya bagus dan rama,sangat sabar",pelayanannya bagus dan rama sangat sabar,pelayanannya bagus dan rama sangat sabar,pelayanannya bagus rama sabar,Pelayanan,Positif,0.9962
Kesehatan,Rumah Sakit,Klinik PKU Muhammadiyah Dukun,4.4,110,Nadiyah Stani,5,2026-07-01T07:55:19.308Z,Pelayanan baik.. Puas dengan pelayanannya,pelayanan baik puas dengan pelayanannya,pelayanan baik puas dengan pelayanannya,pelayanan baik puas pelayanannya,Pelayanan,Positif,0.9931
Kesehatan,Rumah Sakit,Klinik PKU Muhammadiyah Dukun,4.4,110,Sutris Trisno,5,2026-06-27T01:26:23.543Z,"Pelayanan sangat baik, dokter&susternya ramah, sangat memuaskan..",pelayanan sangat baik dokter susternya ramah sangat memuaskan,pelayanan sangat baik dokter susternya ramah sangat memuaskan,pelayanan baik dokter susternya ramah memuaskan,Pelayanan,Positif,0.9957
Kesehatan,Rumah Sakit,Klinik PKU Muhammadiyah Dukun,4.4,110,jamiah aaa,5,2026-06-24T02:44:51.202Z,pelayanan sangat baik dan petugasnya sopan semua,pelayanan sangat baik dan petugasnya sopan semua,pelayanan sangat baik dan petugasnya sopan semua,pelayanan baik petugasnya sopan semua,Pelayanan,Positif,0.9943
Kesehatan,Rumah Sakit,Klinik PKU Muhammadiyah Dukun,4.4,110,Tami Utami,5,2026-06-18T08:17:08.897Z,Pelayananya Nyamn dan ramah,pelayananya nyamn dan ramah,pelayananya nyamn dan ramah,pelayananya nyamn ramah,Pelayanan,Positif,0.9964
Kesehatan,Rumah Sakit,Klinik PKU Muhammadiyah Dukun,4.4,110,Ted Vai,5,2026-06-11T01:13:26.140Z,Pelayanan yang sangat memuaskan. Ada layanan home visit.,pelayanan yang sangat memuaskan ada layanan home visit,pelayanan yang sangat memuaskan ada layanan home visit,pelayanan memuaskan layanan home visit,Pelayanan,Positif,0.9872
Kesehatan,Rumah Sakit,Klinik PKU Muhammadiyah Dukun,4.4,110,moh lutfi,5,2026-06-02T03:01:53.571Z,pelayanan cepat dan baik,pelayanan cepat dan baik,pelayanan cepat dan baik,pelayanan cepat baik,Pelayanan,Positif,0.9945
