Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Klinik & Praktek Dokter,Klinik Pratama Al-Falah,4.5,271,Icha m,5,2026-08-10T04:03:58.365Z,pelayanan ramah suster dan dikternya baik dan cocok untuk berobat disini,pelayanan ramah suster dan dikternya baik dan cocok untuk berobat disini,pelayanan ramah suster dan dikternya baik dan cocok untuk berobat disini,pelayanan ramah suster dikternya baik cocok berobat disini,Pelayanan,Positif,0.9964
Kesehatan,Klinik & Praktek Dokter,Klinik Pratama Al-Falah,4.5,271,Annisa Decilia Arafah,5,2026-08-07T04:36:14.654Z,"Bersih, nyaman, pelayanannya cepet, dokternya ramah dan sharing ilmu banget",bersih nyaman pelayanannya cepet dokternya ramah dan sharing ilmu banget,bersih nyaman pelayanannya cepet dokternya ramah dan sharing ilmu banget,bersih nyaman pelayanannya cepet dokternya ramah sharing ilmu banget,Pelayanan,Positif,0.9964
Kesehatan,Klinik & Praktek Dokter,Klinik Pratama Al-Falah,4.5,271,Halo Duren Sawit,5,2026-08-06T23:39:52.143Z,"Kliniknya bersih dan bagus banget, kalau dari arah Pondok Bambu tinggl lurus sebelum naik jembatan klender. Baby spanya lucu gitu, di salam bathubnya ada lampu-lampu, selain poli umum, kia, di sini juga ada poli gigi serta klinik sunat. Ada teman juga yang anaknya khitan di klinik ini.  Buat yang mau pakai BPJS bisa juga ya guys, tapi syaratnya harus ubah Faskes dulu ke sini.",kliniknya bersih dan bagus banget kalau dari arah pondok bambu tinggl lurus sebelum naik jembatan klender baby spanya lucu gitu di salam bathubnya ada lampu lampu selain poli umum kia di sini juga ada poli gigi serta klinik sunat ada teman juga yang anaknya khitan di klinik ini buat yang mau pakai bpjs bisa juga ya guys tapi syaratnya harus ubah faskes dulu ke sini,kliniknya bersih dan bagus banget kalau dari arah pondok bambu tinggl lurus sebelum naik jembatan klender baby spanya lucu gitu di salam bathubnya ada lampu lampu selain poli umum kia di sini juga ada poli gigi serta klinik sunat ada teman juga yang anaknya khitan di klinik ini buat yang mau pakai bpjs bisa juga ya guys tapi syaratnya harus ubah faskes dulu ke sini,kliniknya bersih bagus banget arah pondok bambu tinggl lurus naik jembatan klender baby spanya lucu gitu salam bathubnya lampu lampu selain poli umum kia sini poli gigi serta klinik sunat teman anaknya khitan klinik buat mau pakai bpjs ya guys syaratnya harus ubah faskes dulu sini,Fasilitas,Positif,0.9775
Kesehatan,Klinik & Praktek Dokter,Klinik Pratama Al-Falah,4.5,271,Raffi Danendra Wibisono,5,2026-08-06T04:03:13.155Z,"Alhamdulillah, klinik dan pelayanannya ramah dan yaman dan cepat dilayani",alhamdulillah klinik dan pelayanannya ramah dan yaman dan cepat dilayani,alhamdulillah klinik dan pelayanannya ramah dan yaman dan cepat dilayani,alhamdulillah klinik pelayanannya ramah yaman cepat dilayani,Pelayanan,Positif,0.9941
Kesehatan,Klinik & Praktek Dokter,Klinik Pratama Al-Falah,4.5,271,Nimah Kairun,5,2026-08-04T03:04:07.667Z,Dokter nya ramah ramah,dokter nya ramah ramah,dokter nya ramah ramah,dokter ramah ramah,Pelayanan,Positif,0.9927
Kesehatan,Klinik & Praktek Dokter,Klinik Pratama Al-Falah,4.5,271,Nugroho Ardiyanto,5,2026-07-30T11:24:17.018Z,Pelayanan bagus dan ramah.,pelayanan bagus dan ramah,pelayanan bagus dan ramah,pelayanan bagus ramah,Pelayanan,Positif,0.9968
Kesehatan,Klinik & Praktek Dokter,Klinik Pratama Al-Falah,4.5,271,Tatadana Consulting,5,2026-07-16T04:44:16.346Z,"Kliniknya bersih, dokternya ramah",kliniknya bersih dokternya ramah,kliniknya bersih dokternya ramah,kliniknya bersih dokternya ramah,Pelayanan,Positif,0.9968
Kesehatan,Klinik & Praktek Dokter,Klinik Pratama Al-Falah,4.5,271,yuni arti,5,2026-07-14T06:21:10.794Z,Dokter sangat ramah dan menjelaskan dengan sejelas jelasnya,dokter sangat ramah dan menjelaskan dengan sejelas jelasnya,dokter sangat ramah dan menjelaskan dengan sejelas jelasnya,dokter ramah menjelaskan sejelas jelasnya,Pelayanan,Netral,0.9655
Kesehatan,Klinik & Praktek Dokter,Klinik Pratama Al-Falah,4.5,271,Muhammad Andika,5,2026-07-13T11:40:27.386Z,"Sudah jauh lebih baik, sekarang sudah renovasi dan berbenah. Pelayanan ramah dan dokternya solutif. Solusi untun berobat di sekitar klender",sudah jauh lebih baik sekarang sudah renovasi dan berbenah pelayanan ramah dan dokternya solutif solusi untun berobat di sekitar klender,sudah jauh lebih baik sekarang sudah renovasi dan berbenah pelayanan ramah dan dokternya solutif solusi untun berobat di sekitar klender,jauh baik sekarang renovasi berbenah pelayanan ramah dokternya solutif solusi untun berobat sekitar klender,Pelayanan,Positif,0.7636
Kesehatan,Klinik & Praktek Dokter,Klinik Pratama Al-Falah,4.5,271,Nabila Karim,5,2026-07-10T03:26:25.173Z,"Pelayan sangat baik...  Perawat dan dokter nya ramah semua. Ruangan sangat nyaman, bersih dan aman.  Semoga makin maju klinik Al Falah.",pelayan sangat baik perawat dan dokter nya ramah semua ruangan sangat nyaman bersih dan aman semoga makin maju klinik al falah,pelayan sangat baik perawat dan dokter nya ramah semua ruangan sangat nyaman bersih dan aman semoga makin maju klinik al falah,pelayan baik perawat dokter ramah semua ruangan nyaman bersih aman semoga makin maju klinik al falah,Pelayanan,Positif,0.9908
Kesehatan,Klinik & Praktek Dokter,Klinik Pratama Al-Falah,4.5,271,vitria hery hermanto,5,2026-07-10T03:23:41.414Z,Pelayanannya bagus. Humble. Tempat nyaman.,pelayanannya bagus humble tempat nyaman,pelayanannya bagus humble tempat nyaman,pelayanannya bagus humble tempat nyaman,Pelayanan,Positif,0.9973
