Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,KLINIK PRATAMA RAWAT INAP BULAN MEDIKA,4.9,21,Budi Wibowo,5,2026-07-15T10:22:30.908Z,"Alhamdulillah dilayani dengan baik, tarif nya terjangkau👍",alhamdulillah dilayani dengan baik tarif nya terjangkau,alhamdulillah dilayani dengan baik tarif nya terjangkau,alhamdulillah dilayani baik tarif terjangkau,Lainnya,Negatif,0.9938
Kesehatan,KLINIK PRATAMA RAWAT INAP BULAN MEDIKA,4.9,21,Adelia Kumara Alvionita,5,2026-07-15T10:21:43.777Z,"kliniknya masih baruu, tempat bersih nyaman, pelayanannya cepat juga ramah",kliniknya masih baruu tempat bersih nyaman pelayanannya cepat juga ramah,kliniknya masih baruu tempat bersih nyaman pelayanannya cepat juga ramah,kliniknya baruu tempat bersih nyaman pelayanannya cepat ramah,Pelayanan,Negatif,0.9968
Kesehatan,KLINIK PRATAMA RAWAT INAP BULAN MEDIKA,4.9,21,Ahsanul Fatikhin,5,2026-07-09T14:32:36.236Z,"pelayanan lengkap dan cepat, petugas2nya ramah 👍🏼",pelayanan lengkap dan cepat petugas2nya ramah,pelayanan lengkap dan cepat petugas2nya ramah,pelayanan lengkap cepat petugas2nya ramah,Pelayanan,Negatif,0.9957
Kesehatan,KLINIK PRATAMA RAWAT INAP BULAN MEDIKA,4.9,21,Goes Easy,2,2026-07-09T03:56:35.770Z,"Tempatnya bagus, mudah dijangkau, petugasnya ramah",tempatnya bagus mudah dijangkau petugasnya ramah,tempatnya bagus mudah dijangkau petugasnya ramah,tempatnya bagus mudah dijangkau petugasnya ramah,Pelayanan,Negatif,0.9974
Kesehatan,KLINIK PRATAMA RAWAT INAP BULAN MEDIKA,4.9,21,indra marghy,5,2026-07-09T03:52:33.519Z,"Fasilitasnya yang modern, lengkap, nyaman dengan tarif yang terjangkau untuk kebutuhan medis umum serta rawat inap dan ugd ambulance yang stay 24 jam seperti rumah sakit serta dokter yang komunikatif dan perawatnya cantik² juga😍 👍👍",fasilitasnya yang modern lengkap nyaman dengan tarif yang terjangkau untuk kebutuhan medis umum serta rawat inap dan ugd ambulance yang stay jam seperti rumah sakit serta dokter yang komunikatif dan perawatnya cantik juga,fasilitasnya yang modern lengkap nyaman dengan tarif yang terjangkau untuk kebutuhan medis umum serta rawat inap dan ugd ambulance yang stay jam seperti rumah sakit serta dokter yang komunikatif dan perawatnya cantik juga,fasilitasnya modern lengkap nyaman tarif terjangkau kebutuhan medis umum serta rawat inap ugd ambulance stay jam seperti rumah sakit serta dokter komunikatif perawatnya cantik,Fasilitas,Negatif,0.9973
Kesehatan,KLINIK PRATAMA RAWAT INAP BULAN MEDIKA,4.9,21,Sandra Huwae,5,2026-07-09T03:49:23.418Z,"Lokasi berada di ""one stop services"", ada indomaret, 8presso caffe dan fitness, ada Musholla dan toilet. Pelayanan Klinik lengkap dan baik",lokasi berada di one stop services ada indomaret 8presso caffe dan fitness ada musholla dan toilet pelayanan klinik lengkap dan baik,lokasi berada di one stop services ada indomaret 8presso caffe dan fitness ada musholla dan toilet pelayanan klinik lengkap dan baik,lokasi berada one stop services indomaret 8presso caffe fitness musholla toilet pelayanan klinik lengkap baik,Pelayanan,Negatif,0.7549
Kesehatan,KLINIK PRATAMA RAWAT INAP BULAN MEDIKA,4.9,21,Nadila Panca,5,2026-07-09T03:44:18.166Z,"Pelayanannya cepat, dokter dan perawatnya ramah.....",pelayanannya cepat dokter dan perawatnya ramah,pelayanannya cepat dokter dan perawatnya ramah,pelayanannya cepat dokter perawatnya ramah,Pelayanan,Negatif,0.9962
Kesehatan,KLINIK PRATAMA RAWAT INAP BULAN MEDIKA,4.9,21,Nuriyah Rifatul,5,2026-07-08T00:51:53.892Z,"Pelayanannya ramah dan cepat, dokter dan petugasnya sangat komunikatif sekali.",pelayanannya ramah dan cepat dokter dan petugasnya sangat komunikatif sekali,pelayanannya ramah dan cepat dokter dan petugasnya sangat komunikatif sekali,pelayanannya ramah cepat dokter petugasnya komunikatif,Pelayanan,Negatif,0.9957
Kesehatan,KLINIK PRATAMA RAWAT INAP BULAN MEDIKA,4.9,21,Annisa Mifta,5,2026-05-23T14:59:10.003Z,"Pelayanannya sangat memuaskan, semua pegawai ramah dan harganya terjangkau 😍",pelayanannya sangat memuaskan semua pegawai ramah dan harganya terjangkau,pelayanannya sangat memuaskan semua pegawai ramah dan harganya terjangkau,pelayanannya memuaskan semua pegawai ramah harganya terjangkau,Pelayanan,Negatif,0.9972
Kesehatan,KLINIK PRATAMA RAWAT INAP BULAN MEDIKA,4.9,21,Chininta Wibowo,5,2026-05-20T05:57:27.703Z,Good service..,good service,good service,good service,Lainnya,Negatif,0.9922
Kesehatan,KLINIK PRATAMA RAWAT INAP BULAN MEDIKA,4.9,21,Safira selvania azahra,5,2026-05-20T05:01:35.940Z,"Tempat ternyaman ,dr pelayanan dan dokter2nya sabar2 .thanks .",tempat ternyaman dr pelayanan dan dokter2nya sabar2 thanks,tempat ternyaman dari pelayanan dan dokter2nya sabar2 thanks,tempat ternyaman pelayanan dokter2nya sabar2 thanks,Pelayanan,Negatif,0.9928
Kesehatan,KLINIK PRATAMA RAWAT INAP BULAN MEDIKA,4.9,21,faniazahwa 0512,5,2026-05-20T04:59:49.658Z,"pelayanannya bagus,cepat ramah, tempatnya nyaman dan sangat bersih",pelayanannya bagus cepat ramah tempatnya nyaman dan sangat bersih,pelayanannya bagus cepat ramah tempatnya nyaman dan sangat bersih,pelayanannya bagus cepat ramah tempatnya nyaman bersih,Pelayanan,Negatif,0.9976
Kesehatan,KLINIK PRATAMA RAWAT INAP BULAN MEDIKA,4.9,21,Desi Munawaroh,5,2026-05-18T07:12:01.729Z,Pelayanan bagus👍,pelayanan bagus,pelayanan bagus,pelayanan bagus,Pelayanan,Negatif,0.9969
Kesehatan,KLINIK PRATAMA RAWAT INAP BULAN MEDIKA,4.9,21,Dinda Urfi Ulumy,5,2026-05-15T03:47:55.584Z,"Pertama kali kesini nyobain promo cek kesehatan gratis , pelayanannya bagus banget 😍",pertama kali kesini nyobain promo cek kesehatan gratis pelayanannya bagus banget,pertama kali kesini nyobain promo cek kesehatan gratis pelayanannya bagus banget,pertama kali kesini nyobain promo cek kesehatan gratis pelayanannya bagus banget,Pelayanan,Negatif,0.9973
