Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Rumah Sakit,Klinik Satelit Kalimantan,4.1,729,Anik Harijati,5,2026-08-19T02:02:42.876Z,"Pelayanannya baik, petugas ramah 👍",pelayanannya baik petugas ramah,pelayanannya baik petugas ramah,pelayanannya baik petugas ramah,Pelayanan,Positif,0.9959
Kesehatan,Rumah Sakit,Klinik Satelit Kalimantan,4.1,729,Nunik Chrisnawati,5,2026-08-12T03:10:15.414Z,"Pelayanan Klinik Satelit sudah bagus, perlu dipertahanlan",pelayanan klinik satelit sudah bagus perlu dipertahanlan,pelayanan klinik satelit sudah bagus perlu dipertahanlan,pelayanan klinik satelit bagus perlu dipertahanlan,Pelayanan,Positif,0.9696
Kesehatan,Rumah Sakit,Klinik Satelit Kalimantan,4.1,729,ghea Gabriellla,5,2026-07-28T08:14:22.559Z,Pengalaman berobat di sini sangat menyenangkan. Pelayanan cepat dan memuaskan,pengalaman berobat di sini sangat menyenangkan pelayanan cepat dan memuaskan,pengalaman berobat di sini sangat menyenangkan pelayanan cepat dan memuaskan,pengalaman berobat sini menyenangkan pelayanan cepat memuaskan,Pelayanan,Positif,0.997
Kesehatan,Rumah Sakit,Klinik Satelit Kalimantan,4.1,729,Risda Sufidiana,5,2026-07-28T07:32:38.202Z,"One of the best place, pelayanannya bagus, dan mudah dapat rujukan",one of the best place pelayanannya bagus dan mudah dapat rujukan,one of the best place pelayanannya bagus dan mudah dapat rujukan,one of the best place pelayanannya bagus mudah rujukan,Pelayanan,Positif,0.9967
Kesehatan,Rumah Sakit,Klinik Satelit Kalimantan,4.1,729,Umiriani Selam,5,2026-07-23T01:01:01.918Z,Pelayanan sudah baik,pelayanan sudah baik,pelayanan sudah baik,pelayanan baik,Pelayanan,Positif,0.9952
Kesehatan,Rumah Sakit,Klinik Satelit Kalimantan,4.1,729,Nifa Gresik,5,2026-07-17T03:18:34.661Z,puas pelayanannya sangat baik,puas pelayanannya sangat baik,puas pelayanannya sangat baik,puas pelayanannya baik,Pelayanan,Positif,0.9964
Kesehatan,Rumah Sakit,Klinik Satelit Kalimantan,4.1,729,Avant Garde,5,2026-07-17T02:03:13.552Z,pelayanannya bagus,pelayanannya bagus,pelayanannya bagus,pelayanannya bagus,Pelayanan,Positif,0.9974
Kesehatan,Rumah Sakit,Klinik Satelit Kalimantan,4.1,729,Sandy Agung,1,2026-07-16T16:35:30.916Z,Biarkan berita yang berbicara,biarkan berita yang berbicara,biarkan berita yang berbicara,biarkan berita berbicara,Lainnya,Netral,0.6007
Kesehatan,Rumah Sakit,Klinik Satelit Kalimantan,4.1,729,Neny Budiwiarti,5,2026-07-13T01:48:16.121Z,Menurut saya sudah baik pelayanan nya,menurut saya sudah baik pelayanan nya,menurut saya sudah baik pelayanan nya,menurut baik pelayanan,Pelayanan,Positif,0.8938
Kesehatan,Rumah Sakit,Klinik Satelit Kalimantan,4.1,729,andri kurniawan,1,2026-07-08T11:23:36.695Z,"Di sini antrian poli umum BPJS kurang terorganisir jadi pasti lama nunggunya dan kurang efektif ,apalagi saat dokter sedang istirahat,tidak ada pemberitahuan sama sekali ke pasien,sehingga pasien menunggu dengan tidak jelas",di sini antrian poli umum bpjs kurang terorganisir jadi pasti lama nunggunya dan kurang efektif apalagi saat dokter sedang istirahat tidak ada pemberitahuan sama sekali ke pasien sehingga pasien menunggu dengan tidak jelas,di sini antrian poli umum bpjs kurang terorganisir jadi pasti lama nunggunya dan kurang efektif apalagi saat dokter sedang istirahat tidak ada pemberitahuan sama sekali ke pasien sehingga pasien menunggu dengan tidak jelas,sini antrian poli umum bpjs kurang terorganisir jadi pasti lama nunggunya kurang efektif apalagi dokter sedang istirahat pemberitahuan sama pasien sehingga pasien menunggu jelas,Pelayanan,Negatif,0.9827
