Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Klinik & Praktek Dokter,Klinik utama Ar-rochmah,4.4,18,Dhiyas Adhiyastha,5,2026-05-09T09:35:36.358Z,"Klinik ar rochma pelayanannya sangat ramah,  perawatnya rama2 dan sopan2, dokternya sabar, kalau menjelaskan keluhan pasien sangat detail dan jelas",klinik ar rochma pelayanannya sangat ramah perawatnya rama2 dan sopan2 dokternya sabar kalau menjelaskan keluhan pasien sangat detail dan jelas,klinik ar rochma pelayanannya sangat ramah perawatnya rama2 dan sopan2 dokternya sabar kalau menjelaskan keluhan pasien sangat detail dan jelas,klinik ar rochma pelayanannya ramah perawatnya rama2 sopan2 dokternya sabar menjelaskan keluhan pasien detail jelas,Pelayanan,Positif,0.9914
Kesehatan,Klinik & Praktek Dokter,Klinik utama Ar-rochmah,4.4,18,IDA AMALIA,5,2026-05-09T09:23:38.900Z,"Mantaabbb bangett pelayanannya, gercep, perawatnya ramah, dokternya juga ramah. Bisa konsultasi ini itu dan dibantu sampai selesai. 👍👍👍",mantaabbb bangett pelayanannya gercep perawatnya ramah dokternya juga ramah bisa konsultasi ini itu dan dibantu sampai selesai,mantaabbb bangett pelayanannya gercep perawatnya ramah dokternya juga ramah bisa konsultasi ini itu dan dibantu sampai selesai,mantaabbb bangett pelayanannya gercep perawatnya ramah dokternya ramah konsultasi dibantu sampai selesai,Pelayanan,Positif,0.9969
Kesehatan,Klinik & Praktek Dokter,Klinik utama Ar-rochmah,4.4,18,diyah anggi,5,2026-05-09T07:48:42.106Z,"Pelayanannya bagus, tindakannya juga cepet pol, makin sukses dan lancar klinik arrochmah🥰",pelayanannya bagus tindakannya juga cepet pol makin sukses dan lancar klinik arrochmah,pelayanannya bagus tindakannya juga cepet pol makin sukses dan lancar klinik arrochmah,pelayanannya bagus tindakannya cepet pol makin sukses lancar klinik arrochmah,Pelayanan,Positif,0.9914
Kesehatan,Klinik & Praktek Dokter,Klinik utama Ar-rochmah,4.4,18,Laylatun Nadiyah,5,2026-05-09T07:00:49.305Z,"pindah faskes kesini karena bisa melayani bpjs 24 jam, jamnya fleksibel",pindah faskes kesini karena bisa melayani bpjs jam jamnya fleksibel,pindah faskes kesini karena bisa melayani bpjs jam jamnya fleksibel,pindah faskes kesini melayani bpjs jam jamnya fleksibel,Kesehatan,Netral,0.9639
Kesehatan,Klinik & Praktek Dokter,Klinik utama Ar-rochmah,4.4,18,Eny Zuhrotun Nisa,5,2026-05-09T06:56:08.426Z,"Alhamdulillah puas banget pakai BPJS di klinik Ar Rochmah,Pelayanannya cepat,tanggap,pegawainya ramah-ramah,semoga seperti ini selamanya..",alhamdulillah puas banget pakai bpjs di klinik ar rochmah pelayanannya cepat tanggap pegawainya ramah ramah semoga seperti ini selamanya,alhamdulillah puas banget pakai bpjs di klinik ar rochmah pelayanannya cepat tanggap pegawainya ramah ramah semoga seperti ini selamanya,alhamdulillah puas banget pakai bpjs klinik ar rochmah pelayanannya cepat tanggap pegawainya ramah ramah semoga seperti selamanya,Pelayanan,Positif,0.9957
Kesehatan,Klinik & Praktek Dokter,Klinik utama Ar-rochmah,4.4,18,Rohmad Yasin,5,2026-05-09T05:54:26.876Z,Alhamdulillah ... Klinik Arrochmah sdh bisa melayani BPJS.. TOP BGT.. 😍😍💯,alhamdulillah klinik arrochmah sdh bisa melayani bpjs top bgt,alhamdulillah klinik arrochmah sudah bisa melayani bpjs top banget,alhamdulillah klinik arrochmah melayani bpjs top banget,Kesehatan,Positif,0.9956
Kesehatan,Klinik & Praktek Dokter,Klinik utama Ar-rochmah,4.4,18,Ninda Ceria Fadillah,5,2026-05-09T05:47:24.798Z,"Pelayanan cepat, dokter profesional, tempatnya nyaman dan bersih. Worth it bgtt⭐️⭐️⭐️⭐️⭐️ pelayanan kesehatan terbaik!!!",pelayanan cepat dokter profesional tempatnya nyaman dan bersih worth it bgtt pelayanan kesehatan terbaik,pelayanan cepat dokter profesional tempatnya nyaman dan bersih worth it bgtt pelayanan kesehatan terbaik,pelayanan cepat dokter profesional tempatnya nyaman bersih worth it bgtt pelayanan kesehatan terbaik,Pelayanan,Positif,0.9961
Kesehatan,Klinik & Praktek Dokter,Klinik utama Ar-rochmah,4.4,18,sobat bersinar,1,2026-05-09T04:50:50.680Z,"saat menjelang DOKTER SELALU TIDAK ADA padahal jadwal pemeriksaan jam 07.00-13.00 tapi di jam 11.00 selalu tidak ada, disuruh balik sore. segera evaluasi ya, kalau memang jam kerja dokter pendek ditulis pendek aja gausah dilebihkan, padahal sudah registrasi online juga.",saat menjelang dokter selalu tidak ada padahal jadwal pemeriksaan jam tapi di jam selalu tidak ada disuruh balik sore segera evaluasi ya kalau memang jam kerja dokter pendek ditulis pendek aja gausah dilebihkan padahal sudah registrasi online juga,saat menjelang dokter selalu tidak ada padahal jadwal pemeriksaan jam tapi di jam selalu tidak ada disuruh balik sore segera evaluasi ya kalau memang jam kerja dokter pendek ditulis pendek aja gausah dilebihkan padahal sudah registrasi online juga,menjelang dokter selalu padahal jadwal pemeriksaan jam jam selalu disuruh balik sore segera evaluasi ya memang jam kerja dokter pendek ditulis pendek aja gausah dilebihkan padahal registrasi online,Kesehatan,Negatif,0.9256
Kesehatan,Klinik & Praktek Dokter,Klinik utama Ar-rochmah,4.4,18,jake roki,1,2026-03-17T06:37:34.464Z,"Pelayanannya sebenarnya bagus, hanya saja menunggu dokter nya lama, nunggu sampai setengah jam juga belum disuruh masuk. mau pesan ambulance juga di patok harga 200 ribu padahal dekat dengan rumah saya di jl raya sepat. Saran mending ke klinik yang lain aja atau puskesmas.",pelayanannya sebenarnya bagus hanya saja menunggu dokter nya lama nunggu sampai setengah jam juga belum disuruh masuk mau pesan ambulance juga di patok harga ribu padahal dekat dengan rumah saya di jl raya sepat saran mending ke klinik yang lain aja atau puskesmas,pelayanannya sebenarnya bagus hanya saja menunggu dokter nya lama nunggu sampai setengah jam juga belum disuruh masuk mau pesan ambulance juga di patok harga ribu padahal dekat dengan rumah saya di jl raya sepat saran mending ke klinik yang lain aja atau puskesmas,pelayanannya sebenarnya bagus hanya saja menunggu dokter lama nunggu sampai setengah jam disuruh masuk mau pesan ambulance patok harga ribu padahal dekat rumah jl raya sepat saran mending klinik lain aja puskesmas,Pelayanan,Negatif,0.5247
Kesehatan,Klinik & Praktek Dokter,Klinik utama Ar-rochmah,4.4,18,Ifud 854,5,2026-02-20T03:27:18.884Z,"terima kasih klinik ar-rochmah,datang ke sini untuk tambal gigi.dokternya bagus juga ramah.",terima kasih klinik ar rochmah datang ke sini untuk tambal gigi dokternya bagus juga ramah,terima kasih klinik ar rochmah datang ke sini untuk tambal gigi dokternya bagus juga ramah,terima kasih klinik ar rochmah datang sini tambal gigi dokternya bagus ramah,Pelayanan,Positif,0.9863
Kesehatan,Klinik & Praktek Dokter,Klinik utama Ar-rochmah,4.4,18,Mia Subiyanti,5,2026-01-10T14:29:53.037Z,Untuk USG adanya hari apa ya ???,untuk usg adanya hari apa ya,untuk usg adanya hari apa ya,usg adanya hari apa ya,Lainnya,Netral,0.8246
Kesehatan,Klinik & Praktek Dokter,Klinik utama Ar-rochmah,4.4,18,Aira R,2,2025-01-07T07:47:57.830Z,"pertama kali scalling gigi disini, saya kira klinik di desa harga terjangkau ternyata kena 400k, hasil scalling kurang bersih, drg nya ngerjain sendiri di awal"", perawat dtg telat. padahal kalau diklinik kota cuma kena 150k - 200k . not recommended.",pertama kali scalling gigi disini saya kira klinik di desa harga terjangkau ternyata kena 400k hasil scalling kurang bersih drg nya ngerjain sendiri di awal perawat dtg telat padahal kalau diklinik kota cuma kena 150k 200k not recommended,pertama kali scalling gigi disini saya kira klinik di desa harga terjangkau ternyata kena 400k hasil scalling kurang bersih drg nya ngerjain sendiri di awal perawat dtg telat padahal kalau diklinik kota cuma kena 150k 200k not recommended,pertama kali scalling gigi disini kira klinik desa harga terjangkau ternyata kena 400k hasil scalling kurang bersih drg ngerjain sendiri awal perawat dtg telat padahal diklinik kota cuma kena 150k 200k not recommended,Fasilitas,Negatif,0.9838
Kesehatan,Klinik & Praktek Dokter,Klinik utama Ar-rochmah,4.4,18,Anik Handayani,5,2024-12-09T23:31:23.674Z,"Sistem antriannya bener-bener memudahkan, pelayanannya oke, tempatnya nyaman, dan dokter serta perawatnya ramah",sistem antriannya bener bener memudahkan pelayanannya oke tempatnya nyaman dan dokter serta perawatnya ramah,sistem antriannya bener bener memudahkan pelayanannya oke tempatnya nyaman dan dokter serta perawatnya ramah,sistem antriannya bener bener memudahkan pelayanannya oke tempatnya nyaman dokter serta perawatnya ramah,Pelayanan,Positif,0.9972
Kesehatan,Klinik & Praktek Dokter,Klinik utama Ar-rochmah,4.4,18,MUHAMMAD ZAENAL ARIFIN,5,2024-04-25T12:28:37.369Z,"Tempatnya baguss, bersih, pelayanannya juga ramah, kami berharap kedepannya klinik ini segera membuka layanan untuk BPJS",tempatnya baguss bersih pelayanannya juga ramah kami berharap kedepannya klinik ini segera membuka layanan untuk bpjs,tempatnya baguss bersih pelayanannya juga ramah kami berharap kedepannya klinik ini segera membuka layanan untuk bpjs,tempatnya baguss bersih pelayanannya ramah berharap kedepannya klinik segera membuka layanan bpjs,Pelayanan,Positif,0.9925
Kesehatan,Klinik & Praktek Dokter,Klinik utama Ar-rochmah,4.4,18,Puppy Step,5,2023-12-05T00:53:35.943Z,Adminnya fast respon josss 👍👍,adminnya fast respon josss,adminnya fast respon josss,adminnya fast respon josss,Lainnya,Positif,0.9702
Kesehatan,Klinik & Praktek Dokter,Klinik utama Ar-rochmah,4.4,18,Utami Rehan,5,2023-10-05T08:22:12.081Z,"Cara melayani pasien sangat ramah, perhatian, sopan, dan cekatan.",cara melayani pasien sangat ramah perhatian sopan dan cekatan,cara melayani pasien sangat ramah perhatian sopan dan cekatan,cara melayani pasien ramah perhatian sopan cekatan,Pelayanan,Positif,0.9438
Kesehatan,Klinik & Praktek Dokter,Klinik utama Ar-rochmah,4.4,18,DEDDY AKHMALUDIN,5,2021-03-02T09:14:14.461Z,"Klinik utama Ar-rochmah siap melayani 24 jam,  dokter jaga 24 jam, Poli spesialis urologi Usg",klinik utama ar rochmah siap melayani jam dokter jaga jam poli spesialis urologi usg,klinik utama ar rochmah siap melayani jam dokter jaga jam poli spesialis urologi usg,klinik utama ar rochmah siap melayani jam dokter jaga jam poli spesialis urologi usg,Kesehatan,Netral,0.9917
