Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Lainnya,Lapangan Bola Trisakti Cibubur (Bogor Timur),4.6,611,Nasir Laiman,5,2026-07-20T02:32:35.524Z,Lapangannya bagus....,lapangannya bagus,lapangannya bagus,lapangannya bagus,Lainnya,Positif,0.9969
Lainnya,Lapangan Bola Trisakti Cibubur (Bogor Timur),4.6,611,Suprihadi,5,2026-06-20T12:34:50.151Z,"Lapangan bola nya luas, rumput cenderung terawat. Yang kurang hanya tribun penontonnya aja. Tersedia toilet dan mushola.",lapangan bola nya luas rumput cenderung terawat yang kurang hanya tribun penontonnya aja tersedia toilet dan mushola,lapangan bola nya luas rumput cenderung terawat yang kurang hanya tribun penontonnya aja tersedia toilet dan mushola,lapangan bola luas rumput cenderung terawat kurang hanya tribun penontonnya aja tersedia toilet mushola,Fasilitas,Positif,0.9783
Lainnya,Lapangan Bola Trisakti Cibubur (Bogor Timur),4.6,611,aulia mutiara,5,2026-05-30T18:37:37.050Z,lapangannya bagus dan rata,lapangannya bagus dan rata,lapangannya bagus dan rata,lapangannya bagus rata,Lainnya,Positif,0.997
Lainnya,Lapangan Bola Trisakti Cibubur (Bogor Timur),4.6,611,Uda Alen,4,2026-05-10T14:26:26.391Z,Lapangan cukup terawat. Toilet kalau bisa lebih diperhatikan lagi 🙏🙏🙏🙏,lapangan cukup terawat toilet kalau bisa lebih diperhatikan lagi,lapangan cukup terawat toilet kalau bisa lebih diperhatikan lagi,lapangan cukup terawat toilet diperhatikan,Fasilitas,Positif,0.925
Lainnya,Lapangan Bola Trisakti Cibubur (Bogor Timur),4.6,611,Yuli Eviana,5,2026-05-08T17:45:05.804Z,"Lapangan nya enk, rumput bagus, ada tukang jajanan juga musolah dan kamar mandi bersih.",lapangan nya enk rumput bagus ada tukang jajanan juga musolah dan kamar mandi bersih,lapangan nya enk rumput bagus ada tukang jajanan juga musolah dan kamar mandi bersih,lapangan enk rumput bagus tukang jajanan musolah kamar mandi bersih,Fasilitas,Positif,0.9925
Lainnya,Lapangan Bola Trisakti Cibubur (Bogor Timur),4.6,611,Alexi Achmad,5,2026-04-26T13:50:00.172Z,Cukup luas rumput terawat...saat ada event makanan dan minumannya harga standard,cukup luas rumput terawat saat ada event makanan dan minumannya harga standard,cukup luas rumput terawat saat ada event makanan dan minumannya harga standard,cukup luas rumput terawat event makanan minumannya harga standard,Kesehatan,Positif,0.9642
Lainnya,Lapangan Bola Trisakti Cibubur (Bogor Timur),4.6,611,Lugina interior,5,2026-02-15T08:02:43.600Z,Pemasangan gorden citra Sentul city Bogor Jawa Barat,pemasangan gorden citra sentul city bogor jawa barat,pemasangan gorden citra sentul city bogor jawa barat,pemasangan gorden citra sentul city bogor jawa barat,Lainnya,Netral,0.9971
Lainnya,Lapangan Bola Trisakti Cibubur (Bogor Timur),4.6,611,Tarso So,5,2026-01-14T11:47:10.090Z,Sejuk tempatnya,sejuk tempatnya,sejuk tempatnya,sejuk tempatnya,Lainnya,Positif,0.9973
Lainnya,Lapangan Bola Trisakti Cibubur (Bogor Timur),4.6,611,Novi Mama Alief,5,2025-12-18T08:44:34.652Z,rekomendasi layanan Pijat kerumah therapis nya profesional dan ramah,rekomendasi layanan pijat kerumah therapis nya profesional dan ramah,rekomendasi layanan pijat kerumah therapis nya profesional dan ramah,rekomendasi layanan pijat kerumah therapis profesional ramah,Pelayanan,Positif,0.9698
Lainnya,Lapangan Bola Trisakti Cibubur (Bogor Timur),4.6,611,Sahban Maliki,5,2025-12-07T00:58:07.659Z,"seru banget main di sini, lapangannya bagus rumput rata",seru banget main di sini lapangannya bagus rumput rata,seru banget main di sini lapangannya bagus rumput rata,seru banget main sini lapangannya bagus rumput rata,Lainnya,Positif,0.9977
Lainnya,Lapangan Bola Trisakti Cibubur (Bogor Timur),4.6,611,mamet_rianto T204,4,2025-09-23T07:15:44.283Z,Ini tanah kosong yg sebagian akan di bangun rumah sakit,ini tanah kosong yg sebagian akan di bangun rumah sakit,ini tanah kosong yang sebagian akan di bangun rumah sakit,tanah kosong sebagian bangun rumah sakit,Kesehatan,Netral,0.9916
Lainnya,Lapangan Bola Trisakti Cibubur (Bogor Timur),4.6,611,Apip Iskandar,5,2025-09-04T07:48:47.351Z,Kejurnas fossbi 2025 akademi pro nova arianto 🔥🔥🔥,kejurnas fossbi akademi pro nova arianto,kejurnas fossbi akademi pro nova arianto,kejurnas fossbi akademi pro nova arianto,Lainnya,Netral,0.9941
Lainnya,Lapangan Bola Trisakti Cibubur (Bogor Timur),4.6,611,Aldi Siregar,5,2025-08-13T05:32:23.205Z,"Rindang banget sejuk, enak untuk tujuan sepeda selain untuk sepak bola.",rindang banget sejuk enak untuk tujuan sepeda selain untuk sepak bola,rindang banget sejuk enak untuk tujuan sepeda selain untuk sepak bola,rindang banget sejuk enak tujuan sepeda selain sepak bola,Lainnya,Positif,0.9967
