Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Klinik & Praktek Dokter,Level up Aesthetic by Dr. Lela Nazila,5,48,Efi Anggraeni,5,2026-08-14T09:23:08.521Z,Tempat nya nyaman Rekomendet puas banget,tempat nya nyaman rekomendet puas banget,tempat nya nyaman rekomendet puas banget,tempat nyaman rekomendet puas banget,Fasilitas,Positif,0.9976
Kesehatan,Klinik & Praktek Dokter,Level up Aesthetic by Dr. Lela Nazila,5,48,Sariatul Azmi,5,2026-08-07T08:43:46.653Z,Baru pertama kali kesini layanannya sangat memuaskan dan orang nya juga ramah sekali Terimakasih,baru pertama kali kesini layanannya sangat memuaskan dan orang nya juga ramah sekali terimakasih,baru pertama kali kesini layanannya sangat memuaskan dan orang nya juga ramah sekali terimakasih,pertama kali kesini layanannya memuaskan orang ramah terimakasih,Pelayanan,Positif,0.9943
Kesehatan,Klinik & Praktek Dokter,Level up Aesthetic by Dr. Lela Nazila,5,48,Queen Um,5,2026-08-04T15:49:04.711Z,"Rekomen sii apalagi buat kantong pelajar masih oke bgt karna sering ada promo menarik, tempat nya nyaman bgt bersih, pelayanan nya juga ga kalah okee pokoknya",rekomen sii apalagi buat kantong pelajar masih oke bgt karna sering ada promo menarik tempat nya nyaman bgt bersih pelayanan nya juga ga kalah okee pokoknya,rekomen sii apalagi buat kantong pelajar masih oke banget karna sering ada promo menarik tempat nya nyaman banget bersih pelayanan nya juga tidak kalah okee pokoknya,rekomen sii apalagi buat kantong pelajar oke banget karna sering promo menarik tempat nyaman banget bersih pelayanan kalah okee pokoknya,Pelayanan,Positif,0.9972
Kesehatan,Klinik & Praktek Dokter,Level up Aesthetic by Dr. Lela Nazila,5,48,Viaaa aaa,5,2026-08-04T10:04:22.618Z,"Pelayanan bagus,dokter ramah dan telaten harga juga sangat terjangkau ❤️❤️❤️",pelayanan bagus dokter ramah dan telaten harga juga sangat terjangkau,pelayanan bagus dokter ramah dan telaten harga juga sangat terjangkau,pelayanan bagus dokter ramah telaten harga terjangkau,Pelayanan,Positif,0.9965
Kesehatan,Klinik & Praktek Dokter,Level up Aesthetic by Dr. Lela Nazila,5,48,Sutiyah,5,2026-08-04T09:06:52.643Z,"klinik ter best buat aku, ga nyesel perawatan berkali kali disini 🥰 dokter dan pelayan ramah, hasil juga buwagussss🫶🏻🫶🏻🫶🏻🫶🏻🤩🤩 thanks level up 🥳",klinik ter best buat aku ga nyesel perawatan berkali kali disini dokter dan pelayan ramah hasil juga buwagussss thanks level up,klinik ter best buat aku tidak nyesel perawatan berkali kali disini dokter dan pelayan ramah hasil juga buwagussss thanks level up,klinik ter best buat aku nyesel perawatan berkali kali disini dokter pelayan ramah hasil buwagussss thanks level up,Pelayanan,Positif,0.996
Kesehatan,Klinik & Praktek Dokter,Level up Aesthetic by Dr. Lela Nazila,5,48,nihayah Icha,5,2026-08-01T10:00:55.482Z,"Dokter dan terapisnya ramah semua, harga terjangkau, jenis treatment juga banyak, sudah coba facial dan massage dan hasilnya memuaskan",dokter dan terapisnya ramah semua harga terjangkau jenis treatment juga banyak sudah coba facial dan massage dan hasilnya memuaskan,dokter dan terapisnya ramah semua harga terjangkau jenis treatment juga banyak sudah coba facial dan massage dan hasilnya memuaskan,dokter terapisnya ramah semua harga terjangkau jenis treatment banyak coba facial massage hasilnya memuaskan,Pelayanan,Positif,0.9965
Kesehatan,Klinik & Praktek Dokter,Level up Aesthetic by Dr. Lela Nazila,5,48,Wulan Ihza,5,2026-07-30T06:30:30.750Z,"Pelayanan ramah, hasilnya baguss 💗💗",pelayanan ramah hasilnya baguss,pelayanan ramah hasilnya baguss,pelayanan ramah hasilnya baguss,Pelayanan,Positif,0.9969
Kesehatan,Klinik & Praktek Dokter,Level up Aesthetic by Dr. Lela Nazila,5,48,grace talaut,5,2026-07-30T00:27:21.494Z,"Senang bgt perawatan di level up, peralatan modern, perawatan nya bagus dan yg teristimewa sangat ramah di kantong. Sukses sll Level up",senang bgt perawatan di level up peralatan modern perawatan nya bagus dan yg teristimewa sangat ramah di kantong sukses sll level up,senang banget perawatan di level up peralatan modern perawatan nya bagus dan yang teristimewa sangat ramah di kantong sukses sll level up,senang banget perawatan level up peralatan modern perawatan bagus teristimewa ramah kantong sukses sll level up,Pelayanan,Positif,0.9963
Kesehatan,Klinik & Praktek Dokter,Level up Aesthetic by Dr. Lela Nazila,5,48,ovy ramadhani,5,2026-07-29T08:04:38.921Z,"pertama kali treatment disini puas bgt, ditangani dokter nya lsg, telaten dan sgt hati hati, next kalau ada rejeki pgn treatment kesini lagi hihi🥰😇",pertama kali treatment disini puas bgt ditangani dokter nya lsg telaten dan sgt hati hati next kalau ada rejeki pgn treatment kesini lagi hihi,pertama kali treatment disini puas banget ditangani dokter nya lsg telaten dan sangat hati hati next kalau ada rejeki pgn treatment kesini lagi hihi,pertama kali treatment disini puas banget ditangani dokter lsg telaten hati hati next rejeki pgn treatment kesini hihi,Kesehatan,Positif,0.9965
Kesehatan,Klinik & Praktek Dokter,Level up Aesthetic by Dr. Lela Nazila,5,48,nur mu'amaroh,5,2026-07-29T05:55:51.953Z,"Tempat yang sekarang lebih nyaman dan lebih luas dari tempat sebelum nya karena saya pelanggan lama. Pelayanan juga Ok, dengan penambahan jumlah pegawai nya, harga masih terjangkau dengan hasil nya, pokok nya worth it👍🥰",tempat yang sekarang lebih nyaman dan lebih luas dari tempat sebelum nya karena saya pelanggan lama pelayanan juga ok dengan penambahan jumlah pegawai nya harga masih terjangkau dengan hasil nya pokok nya worth it,tempat yang sekarang lebih nyaman dan lebih luas dari tempat sebelum nya karena saya pelanggan lama pelayanan juga oke dengan penambahan jumlah pegawai nya harga masih terjangkau dengan hasil nya pokok nya worth it,tempat sekarang nyaman luas tempat pelanggan lama pelayanan oke penambahan jumlah pegawai harga terjangkau hasil pokok worth it,Pelayanan,Positif,0.9942
