Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Wisata,"Makam Keramat Mbah Wira'i,salah Satu Punggawa Kerajaan Demak",4.8,22,Emi Ningsih,5,2024-09-08T07:09:57.815Z,Tenang dan asri,tenang dan asri,tenang dan asri,tenang asri,Lainnya,Negatif,0.9963
Wisata,"Makam Keramat Mbah Wira'i,salah Satu Punggawa Kerajaan Demak",4.8,22,Sifa Assyafii,5,2023-01-18T04:02:57.809Z,"Alhamdulillah... Berada di pemakaman umum,desa tlogobedah Menganti Gresik... Suasananya adem ayem... udaranya sejuk dan segar.... Membuat kita betah berlama-lama dzikir...",alhamdulillah berada di pemakaman umum desa tlogobedah menganti gresik suasananya adem ayem udaranya sejuk dan segar membuat kita betah berlama lama dzikir,alhamdulillah berada di pemakaman umum desa tlogobedah menganti gresik suasananya adem ayem udaranya sejuk dan segar membuat kita betah berlama lama dzikir,alhamdulillah berada pemakaman umum desa tlogobedah menganti gresik suasananya adem ayem udaranya sejuk segar membuat betah berlama lama dzikir,Keamanan,Negatif,0.9971
Wisata,"Makam Keramat Mbah Wira'i,salah Satu Punggawa Kerajaan Demak",4.8,22,mux mux,5,2022-11-22T09:31:08.788Z,Makam salah satu penyebar agama islam yang ada didaerah hulaan menganti.. Ada yang mengatakan beliau merupakan salah satu santri sunan Giri,makam salah satu penyebar agama islam yang ada didaerah hulaan menganti ada yang mengatakan beliau merupakan salah satu santri sunan giri,makam salah satu penyebar agama islam yang ada didaerah hulaan menganti ada yang mengatakan beliau merupakan salah satu santri sunan giri,makam salah satu penyebar agama islam didaerah hulaan menganti mengatakan beliau merupakan salah satu santri sunan giri,Pelayanan,Netral,0.9611
Wisata,"Makam Keramat Mbah Wira'i,salah Satu Punggawa Kerajaan Demak",4.8,22,Kebab_Turkish Admin,5,2019-10-19T17:47:50.889Z,Menurut Warga sekitar Mbah Wira'i adalah salah satu santri Sunan Giri Gresik dan menjadi benteng Kerajaan Giri Kedaton...,menurut warga sekitar mbah wira i adalah salah satu santri sunan giri gresik dan menjadi benteng kerajaan giri kedaton,menurut warga sekitar mbah wira i adalah salah satu santri sunan giri gresik dan menjadi benteng kerajaan giri kedaton,menurut warga sekitar mbah wira salah satu santri sunan giri gresik menjadi benteng kerajaan giri kedaton,Pelayanan,Netral,0.9409
Wisata,"Makam Keramat Mbah Wira'i,salah Satu Punggawa Kerajaan Demak",4.8,22,Ziarah Salafussholihin,5,2018-12-04T08:19:52.058Z,Bersih dan sejuk,bersih dan sejuk,bersih dan sejuk,bersih sejuk,Fasilitas,Negatif,0.9969
Wisata,"Makam Keramat Mbah Wira'i,salah Satu Punggawa Kerajaan Demak",4.8,22,Bawono Langgeng,3,2018-11-17T01:00:01.323Z,Suatu Tempat yg tenang jauh dr keramaian dan akses jalan tidak sulit,suatu tempat yg tenang jauh dr keramaian dan akses jalan tidak sulit,suatu tempat yang tenang jauh dari keramaian dan akses jalan tidak sulit,suatu tempat tenang jauh keramaian akses jalan sulit,Infrastruktur,Positif,0.9613
Wisata,"Makam Keramat Mbah Wira'i,salah Satu Punggawa Kerajaan Demak",4.8,22,kang beban,5,2018-09-16T02:44:00.931Z,Menyenangkan,menyenangkan,menyenangkan,menyenangkan,Lainnya,Negatif,0.997
Wisata,"Makam Keramat Mbah Wira'i,salah Satu Punggawa Kerajaan Demak",4.8,22,Adi Ristanto,5,2018-04-01T17:53:30.234Z,Doa,doa,doa,doa,Lainnya,Negatif,0.9448
Wisata,"Makam Keramat Mbah Wira'i,salah Satu Punggawa Kerajaan Demak",4.8,22,Abdul Ghoni,5,2018-03-14T10:23:19.230Z,Syahdu,syahdu,syahdu,syahdu,Lainnya,Negatif,0.9965
Wisata,"Makam Keramat Mbah Wira'i,salah Satu Punggawa Kerajaan Demak",4.8,22,Aziz Aziz,5,2018-01-13T08:48:34.976Z,Mantap,mantap,bagus,bagus,Lainnya,Negatif,0.9961
