Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Wisata,Makam mbah sayyid abdullah,4.8,62,Salmontie Wihardja,5,2026-07-12T12:07:11.956Z,sy berkunjung ke makam Mbah Sayid saat ada acara di Gresik,sy berkunjung ke makam mbah sayid saat ada acara di gresik,saya berkunjung ke makam mbah sayid saat ada acara di gresik,berkunjung makam mbah sayid acara gresik,Fasilitas,Netral,0.9925
Wisata,Makam mbah sayyid abdullah,4.8,62,Hadi Purwanto,5,2026-04-27T00:08:11.992Z,Suasana adem,suasana adem,suasana adem,suasana adem,Lainnya,Negatif,0.9964
Wisata,Makam mbah sayyid abdullah,4.8,62,Suwanto Suwanto,5,2026-02-05T12:58:26.824Z,Bengkel pembuatan mesin amanah dsn terpercaya,bengkel pembuatan mesin amanah dsn terpercaya,bengkel pembuatan mesin amanah dsn terpercaya,bengkel pembuatan mesin amanah dsn terpercaya,Keamanan,Negatif,0.9289
Wisata,Makam mbah sayyid abdullah,4.8,62,Ki Gondronk Alam,5,2026-01-05T10:52:06.320Z,Pakai Bus mini apa ada area parkir terdekat??,pakai bus mini apa ada area parkir terdekat,pakai bus mini apa ada area parkir terdekat,pakai bus mini apa area parkir terdekat,Fasilitas,Netral,0.9959
Wisata,Makam mbah sayyid abdullah,4.8,62,wulan cassava,5,2025-12-07T02:10:35.923Z,"Ziarah makam mbah Sayyid Abdullah, salah satu penyiar agama Islam di daerah Pelemwatu, Menganti, Gresik",ziarah makam mbah sayyid abdullah salah satu penyiar agama islam di daerah pelemwatu menganti gresik,ziarah makam mbah sayyid abdullah salah satu penyiar agama islam di daerah pelemwatu menganti gresik,ziarah makam mbah sayyid abdullah salah satu penyiar agama islam daerah pelemwatu menganti gresik,Lainnya,Netral,0.9936
Wisata,Makam mbah sayyid abdullah,4.8,62,Wafaul adhim,5,2025-07-29T05:36:05.721Z,"Panas luar biasa, wahana joss👍👍",panas luar biasa wahana joss,panas luar biasa wahana joss,panas luar biasa wahana joss,Lainnya,Negatif,0.9943
Wisata,Makam mbah sayyid abdullah,4.8,62,Dita Moms Triplets,5,2025-07-25T06:36:20.092Z,Dkt rmh,dkt rmh,dkt rmh,dkt rmh,Lainnya,Netral,0.5874
Wisata,Makam mbah sayyid abdullah,4.8,62,Achmad Zainudin,5,2025-04-24T13:26:06.892Z,Mantap,mantap,bagus,bagus,Lainnya,Negatif,0.9961
Wisata,Makam mbah sayyid abdullah,4.8,62,عمر الفارق,5,2024-10-11T07:58:09.648Z,Sangat support banget buat bertawassul bermuwajjahah dan tafaqqur.. Suasana dan tempat sangat memadai proses ruhani seorang salikin yang ingin bertaqorrub ilallah  .. Buka 24 jam dan petugas kebersihan selalu ada tiap hari .. SEMOGA semakin ditambah keberkahan orang yang istiqomah sowan ke makam mbah sayyid abdullah.. Dan segala hajad nya dikabulkan oleh allah azza jalaluh..,sangat support banget buat bertawassul bermuwajjahah dan tafaqqur suasana dan tempat sangat memadai proses ruhani seorang salikin yang ingin bertaqorrub ilallah buka jam dan petugas kebersihan selalu ada tiap hari semoga semakin ditambah keberkahan orang yang istiqomah sowan ke makam mbah sayyid abdullah dan segala hajad nya dikabulkan oleh allah azza jalaluh,sangat support banget buat bertawassul bermuwajjahah dan tafaqqur suasana dan tempat sangat memadai proses ruhani seorang salikin yang ingin bertaqorrub ilallah buka jam dan petugas kebersihan selalu ada tiap hari semoga semakin ditambah keberkahan orang yang istiqomah sowan ke makam mbah sayyid abdullah dan segala hajad nya dikabulkan oleh allah azza jalaluh,support banget buat bertawassul bermuwajjahah tafaqqur suasana tempat memadai proses ruhani seorang salikin ingin bertaqorrub ilallah buka jam petugas kebersihan selalu tiap hari semoga semakin ditambah keberkahan orang istiqomah sowan makam mbah sayyid abdullah segala hajad dikabulkan allah azza jalaluh,Pelayanan,Negatif,0.9885
Wisata,Makam mbah sayyid abdullah,4.8,62,Sugi Yati,5,2024-08-27T01:08:22.237Z,Acara haul Mbah Sayyid Abdullah,acara haul mbah sayyid abdullah,acara haul mbah sayyid abdullah,acara haul mbah sayyid abdullah,Fasilitas,Netral,0.9888
Wisata,Makam mbah sayyid abdullah,4.8,62,rafiqul fahmi,5,2024-07-26T04:14:14.469Z,Makam yang terawat,makam yang terawat,makam yang terawat,makam terawat,Kesehatan,Negatif,0.9909
Wisata,Makam mbah sayyid abdullah,4.8,62,Muhammad Syakir,5,2024-07-21T00:29:38.350Z,"Memperingati Haul Mbah Sayyid Abdulloh, sholawat bersama & dihadiri KH Abdulloh Qoyyum dari ponpes Al-hidayah Lasem.... Semoga bisa menambah taqwa kita.... Aamiin",memperingati haul mbah sayyid abdulloh sholawat bersama dihadiri kh abdulloh qoyyum dari ponpes al hidayah lasem semoga bisa menambah taqwa kita aamiin,memperingati haul mbah sayyid abdulloh sholawat bersama dihadiri kh abdulloh qoyyum dari ponpes al hidayah lasem semoga bisa menambah taqwa kita aamiin,memperingati haul mbah sayyid abdulloh sholawat bersama dihadiri kh abdulloh qoyyum ponpes al hidayah lasem semoga menambah taqwa aamiin,Lainnya,Netral,0.8707
Wisata,Makam mbah sayyid abdullah,4.8,62,Kang Habib,5,2024-05-03T16:35:13.138Z,Tempat nyaman,tempat nyaman,tempat nyaman,tempat nyaman,Fasilitas,Negatif,0.9971
