Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Wisata,Makam Sunan Giri,4.6,1626,Nazheer Ahmad Hafez,5,2026-07-19T04:59:08.429Z,"Letak makam nya ada di perbukitan, harus melewati puluhan anak tangga walau tak se ekstrem anak tangga di makam Sunan Muria, cukup lumayan berat lah buat anak anak dan lansia, area makam tertata dengan rapih, masih banyak peminta minta di dalam area makam walau tidak memaksa",letak makam nya ada di perbukitan harus melewati puluhan anak tangga walau tak se ekstrem anak tangga di makam sunan muria cukup lumayan berat lah buat anak anak dan lansia area makam tertata dengan rapih masih banyak peminta minta di dalam area makam walau tidak memaksa,letak makam nya ada di perbukitan harus melewati puluhan anak tangga walau tak se ekstrem anak tangga di makam sunan muria cukup lumayan berat lah buat anak anak dan lansia area makam tertata dengan rapih masih banyak peminta minta di dalam area makam walau tidak memaksa,letak makam perbukitan harus melewati puluhan anak tangga walau tak se ekstrem anak tangga makam sunan muria cukup lumayan berat buat anak anak lansia area makam tertata rapih banyak peminta minta area makam walau memaksa,Infrastruktur,Negatif,0.9938
Wisata,Makam Sunan Giri,4.6,1626,Arahman gantada,4,2026-07-18T07:47:37.166Z,Kita bisa langsung berdoa didepan malam kanjeng sunan,kita bisa langsung berdoa didepan malam kanjeng sunan,kita bisa langsung berdoa didepan malam kanjeng sunan,langsung berdoa didepan malam kanjeng sunan,Lainnya,Netral,0.9831
Wisata,Makam Sunan Giri,4.6,1626,Rayyan,5,2026-07-17T11:02:53.521Z,"Makam Sunan Giri merupakan salah satu peninggalan sejarah Islam yang memiliki nilai penting dalam perkembangan dakwah di Jawa. Sunan Giri dikenal sebagai ulama, pendidik, dan tokoh yang berperan besar dalam penyebaran Islam melalui pesantren, kebudayaan, dan pendidikan. Berada di kawasan perbukitan Giri, kompleks makam ini menghadirkan suasana religius sekaligus panorama sejarah yang kuat.",makam sunan giri merupakan salah satu peninggalan sejarah islam yang memiliki nilai penting dalam perkembangan dakwah di jawa sunan giri dikenal sebagai ulama pendidik dan tokoh yang berperan besar dalam penyebaran islam melalui pesantren kebudayaan dan pendidikan berada di kawasan perbukitan giri kompleks makam ini menghadirkan suasana religius sekaligus panorama sejarah yang kuat,makam sunan giri merupakan salah satu peninggalan sejarah islam yang memiliki nilai penting dalam perkembangan dakwah di jawa sunan giri dikenal sebagai ulama pendidik dan tokoh yang berperan besar dalam penyebaran islam melalui pesantren kebudayaan dan pendidikan berada di kawasan perbukitan giri kompleks makam ini menghadirkan suasana religius sekaligus panorama sejarah yang kuat,makam sunan giri merupakan salah satu peninggalan sejarah islam memiliki nilai penting perkembangan dakwah jawa sunan giri dikenal sebagai ulama pendidik tokoh berperan besar penyebaran islam melalui pesantren kebudayaan pendidikan berada kawasan perbukitan giri kompleks makam menghadirkan suasana religius sekaligus panorama sejarah kuat,Lainnya,Negatif,0.9737
Wisata,Makam Sunan Giri,4.6,1626,Muhammad Abdillah,5,2026-07-15T00:53:06.992Z,Wisata berdoa,wisata berdoa,wisata berdoa,wisata berdoa,Lainnya,Negatif,0.9583
Wisata,Makam Sunan Giri,4.6,1626,Cak Trisno,5,2026-07-12T22:09:23.329Z,"Suasana sakral dan kharisma sang wali masih terasa begitu menaiki tangga menuju makan, apalagi pas masuk ke makam sang wali.",suasana sakral dan kharisma sang wali masih terasa begitu menaiki tangga menuju makan apalagi pas masuk ke makam sang wali,suasana sakral dan kharisma sang wali masih terasa begitu menaiki tangga menuju makan apalagi pas masuk ke makam sang wali,suasana sakral kharisma sang wali terasa begitu menaiki tangga menuju makan apalagi pas masuk makam sang wali,Infrastruktur,Negatif,0.99
Wisata,Makam Sunan Giri,4.6,1626,roni bb,5,2026-07-12T10:37:07.223Z,Senja di Masjid Ainul Yaqin Sunan Giri,senja di masjid ainul yaqin sunan giri,senja di masjid ainul yaqin sunan giri,senja masjid ainul yaqin sunan giri,Lainnya,Netral,0.9858
Wisata,Makam Sunan Giri,4.6,1626,M. Imam Buhori,5,2026-07-12T10:13:17.471Z,Wali songo,wali songo,wali songo,wali songo,Lainnya,Positif,0.8857
Wisata,Makam Sunan Giri,4.6,1626,Farah Layla R,4,2026-07-12T04:23:02.966Z,Ramai pengunjung,ramai pengunjung,ramai pengunjung,ramai pengunjung,Lainnya,Negatif,0.9897
Wisata,Makam Sunan Giri,4.6,1626,Iin Laili,5,2026-07-11T22:24:39.570Z,"tempatnya ramai karena ke sini bertepatan 1 muharom,jalanannya nanjak ketika mau ke makam,seru untuk yang badannya fit.tapi aku sering ke sini.",tempatnya ramai karena ke sini bertepatan muharom jalanannya nanjak ketika mau ke makam seru untuk yang badannya fit tapi aku sering ke sini,tempatnya ramai karena ke sini bertepatan muharom jalanannya nanjak ketika mau ke makam seru untuk yang badannya fit tapi aku sering ke sini,tempatnya ramai sini bertepatan muharom jalanannya nanjak mau makam seru badannya fit aku sering sini,Infrastruktur,Negatif,0.9931
Wisata,Makam Sunan Giri,4.6,1626,Imelda Nasution,5,2026-07-07T12:06:09.022Z,Kawasan wisata religi yang bagus bersih dan indah Sekarang semua tertata rapi dan bersih,kawasan wisata religi yang bagus bersih dan indah sekarang semua tertata rapi dan bersih,kawasan wisata religi yang bagus bersih dan indah sekarang semua tertata rapi dan bersih,kawasan wisata religi bagus bersih indah sekarang semua tertata rapi bersih,Fasilitas,Negatif,0.9967
