Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Wisata,Makam Sunan Gresik (Malik Ibrahim),4.8,2715,Rizky Alfani,5,2026-08-06T03:06:20.369Z,"Makam salah satu wali dari wali songo di pulau Jawa, parkir motor di seberang jalan area makam, untuk rombongan bus besar parkir bus di area lain yg lumayan jauh, harus naik transportasi lain yg sudah disediakan, hari libur biasanya banyak pengunjung terutama dari kuar kota. Ada tempat istirahat dibawah aula, kamar mandi juga ada, di area makam juga ada komplek pemakaman bupati.",makam salah satu wali dari wali songo di pulau jawa parkir motor di seberang jalan area makam untuk rombongan bus besar parkir bus di area lain yg lumayan jauh harus naik transportasi lain yg sudah disediakan hari libur biasanya banyak pengunjung terutama dari kuar kota ada tempat istirahat dibawah aula kamar mandi juga ada di area makam juga ada komplek pemakaman bupati,makam salah satu wali dari wali songo di pulau jawa parkir motor di seberang jalan area makam untuk rombongan bus besar parkir bus di area lain yang lumayan jauh harus naik transportasi lain yang sudah disediakan hari libur biasanya banyak pengunjung terutama dari kuar kota ada tempat istirahat dibawah aula kamar mandi juga ada di area makam juga ada komplek pemakaman bupati,makam salah satu wali wali songo pulau jawa parkir motor seberang jalan area makam rombongan bus besar parkir bus area lain lumayan jauh harus naik transportasi lain disediakan hari libur biasanya banyak pengunjung terutama kuar kota tempat istirahat dibawah aula kamar mandi area makam komplek pemakaman bupati,Fasilitas,Positif,0.8662
Wisata,Makam Sunan Gresik (Malik Ibrahim),4.8,2715,hudha el shaarawy,5,2026-08-04T18:37:16.252Z,Masyaallah 🤲,masyaallah,masyaallah,masyaallah,Lainnya,Positif,0.987
Wisata,Makam Sunan Gresik (Malik Ibrahim),4.8,2715,Sidiq Faizal,5,2026-08-03T00:58:44.079Z,Wisata religi WaliSongo,wisata religi walisongo,wisata religi walisongo,wisata religi walisongo,Lainnya,Positif,0.8984
Wisata,Makam Sunan Gresik (Malik Ibrahim),4.8,2715,andrieka budi,5,2026-08-02T00:09:43.716Z,"Tempat wisata religi penyebar agama islam di pulau jawa dan sekitarnya, hingga saat ini sangat ramai dikunjungi baik siang malam tidak pernah sepi",tempat wisata religi penyebar agama islam di pulau jawa dan sekitarnya hingga saat ini sangat ramai dikunjungi baik siang malam tidak pernah sepi,tempat wisata religi penyebar agama islam di pulau jawa dan sekitarnya hingga saat ini sangat ramai dikunjungi baik siang malam tidak pernah sepi,tempat wisata religi penyebar agama islam pulau jawa sekitarnya hingga ramai dikunjungi baik siang malam pernah sepi,Lainnya,Positif,0.9929
Wisata,Makam Sunan Gresik (Malik Ibrahim),4.8,2715,Herinda Ikawati,4,2026-07-29T13:57:01.150Z,"1. Lokasi & Suasana  Makam Sunan Gresik adalah salah satu wisata religi yang bisa jadi pilihan untuk dikunjungi saat berada di Kabupaten Gresik. Untuk area makamnya letaknya ada di tengah kota, tidak jauh dari Alun-Alun Gresik. Area makamnya bersih, rapi dan cukup terawat. Kalau pas lagi banyak peziarah yang datang, maka pengunjung harus antri masuk secara bergantian karena tempatnya cukup terbatas.  2. Akses & Akomodasi  Untuk akses area makam utamanya jika anda berombongan ziarah menggunakan bus, maka busnya harus diparkir di terminal pemberhentian sebelum lanjut menggunakan mobil ompreng khusus atau sering disebut shuttle untuk menuju ke area makam. Untuk tiket mobil shuttle -nya sebesar 15.000 per orang, itu sudah termasuk tiket PP. Disarankan kalau tidak mau berdesak-desakan dan berebutan untuk naik mobil shuttle, sebaiknya bisa pakai kendaraan pribadi dan diparkir di sekitar alun-alun atau di area yang lebih dekat dengan area makam utama.",lokasi suasana makam sunan gresik adalah salah satu wisata religi yang bisa jadi pilihan untuk dikunjungi saat berada di kabupaten gresik untuk area makamnya letaknya ada di tengah kota tidak jauh dari alun alun gresik area makamnya bersih rapi dan cukup terawat kalau pas lagi banyak peziarah yang datang maka pengunjung harus antri masuk secara bergantian karena tempatnya cukup terbatas akses akomodasi untuk akses area makam utamanya jika anda berombongan ziarah menggunakan bus maka busnya harus diparkir di terminal pemberhentian sebelum lanjut menggunakan mobil ompreng khusus atau sering disebut shuttle untuk menuju ke area makam untuk tiket mobil shuttle nya sebesar per orang itu sudah termasuk tiket pp disarankan kalau tidak mau berdesak desakan dan berebutan untuk naik mobil shuttle sebaiknya bisa pakai kendaraan pribadi dan diparkir di sekitar alun alun atau di area yang lebih dekat dengan area makam utama,lokasi suasana makam sunan gresik adalah salah satu wisata religi yang bisa jadi pilihan untuk dikunjungi saat berada di kabupaten gresik untuk area makamnya letaknya ada di tengah kota tidak jauh dari alun alun gresik area makamnya bersih rapi dan cukup terawat kalau pas lagi banyak peziarah yang datang maka pengunjung harus antrian masuk secara bergantian karena tempatnya cukup terbatas akses akomodasi untuk akses area makam utamanya jika anda berombongan ziarah menggunakan bus maka busnya harus diparkir di terminal pemberhentian sebelum lanjut menggunakan mobil ompreng khusus atau sering disebut shuttle untuk menuju ke area makam untuk tiket mobil shuttle nya sebesar per orang itu sudah termasuk tiket pp disarankan kalau tidak mau berdesak desakan dan berebutan untuk naik mobil shuttle sebaiknya bisa pakai kendaraan pribadi dan diparkir di sekitar alun alun atau di area yang lebih dekat dengan area makam utama,lokasi suasana makam sunan gresik salah satu wisata religi jadi pilihan dikunjungi berada kabupaten gresik area makamnya letaknya tengah kota jauh alun alun gresik area makamnya bersih rapi cukup terawat pas banyak peziarah datang maka pengunjung harus antrian masuk secara bergantian tempatnya cukup terbatas akses akomodasi akses area makam utamanya berombongan ziarah menggunakan bus maka busnya harus diparkir terminal pemberhentian lanjut menggunakan mobil ompreng khusus sering disebut shuttle menuju area makam tiket mobil shuttle sebesar per orang termasuk tiket pp disarankan mau berdesak desakan berebutan naik mobil shuttle sebaiknya pakai kendaraan pribadi diparkir sekitar alun alun area dekat area makam utama,Pelayanan,Positif,0.9802
Wisata,Makam Sunan Gresik (Malik Ibrahim),4.8,2715,ASB SEBLAK MOWO,5,2026-07-29T04:45:15.263Z,Mantul,mantul,bagus,bagus,Lainnya,Positif,0.9961
Wisata,Makam Sunan Gresik (Malik Ibrahim),4.8,2715,Eko Dwiyanto,5,2026-07-28T23:45:18.898Z,Makam Walisongo,makam walisongo,makam walisongo,makam walisongo,Lainnya,Netral,0.5745
Wisata,Makam Sunan Gresik (Malik Ibrahim),4.8,2715,Akhmad Zainudin,5,2026-07-28T22:34:06.567Z,Salah satu wali songo. Ada 2 di kota gresik. 1 nya lagi sunan ainul yaqin / giri,salah satu wali songo ada di kota gresik nya lagi sunan ainul yaqin giri,salah satu wali songo ada di kota gresik nya lagi sunan ainul yaqin giri,salah satu wali songo kota gresik sunan ainul yaqin giri,Lainnya,Netral,0.9763
Wisata,Makam Sunan Gresik (Malik Ibrahim),4.8,2715,Masdi Rosi,4,2026-07-28T12:41:23.232Z,"Alhamdulillah bisa berziarah kesini, mushola bisa untuk istirahat cuma sampahnya udah banyak kok ga langsung diangkut",alhamdulillah bisa berziarah kesini mushola bisa untuk istirahat cuma sampahnya udah banyak kok ga langsung diangkut,alhamdulillah bisa berziarah kesini mushola bisa untuk istirahat cuma sampahnya udah banyak kok tidak langsung diangkut,alhamdulillah berziarah kesini mushola istirahat cuma sampahnya udah banyak kok langsung diangkut,Lainnya,Positif,0.9718
Wisata,Makam Sunan Gresik (Malik Ibrahim),4.8,2715,Bu Sirom,5,2026-07-26T22:28:48.077Z,Selamat menunaikan ibadah sholat subuh,selamat menunaikan ibadah sholat subuh,selamat menunaikan ibadah sholat subuh,selamat menunaikan ibadah sholat subuh,Lainnya,Positif,0.7559
