Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Perbankan,Mandiri Mitra Usaha,5,14,Billy Sabillah,5,2024-09-19T07:07:58.028Z,Pelayan mandiri Tangerang mutiara pasar modern Pelayanan bagus dan sopan,pelayan mandiri tangerang mutiara pasar modern pelayanan bagus dan sopan,pelayan mandiri tangerang mutiara pasar modern pelayanan bagus dan sopan,pelayan mandiri tangerang mutiara pasar modern pelayanan bagus sopan,Pelayanan,Positif,0.9875
Perbankan,Mandiri Mitra Usaha,5,14,Daffa Adipaesan,5,2024-08-02T01:41:37.263Z,bagus banget pelayanan nyaa,bagus banget pelayanan nyaa,bagus banget pelayanan nyaa,bagus banget pelayanan nyaa,Pelayanan,Positif,0.9971
Perbankan,Mandiri Mitra Usaha,5,14,Diana Setyowati,5,2024-07-26T04:23:27.634Z,Pelayanan bagus dan ramah,pelayanan bagus dan ramah,pelayanan bagus dan ramah,pelayanan bagus ramah,Pelayanan,Positif,0.9968
Perbankan,Mandiri Mitra Usaha,5,14,Arie Sandhi,5,2024-07-24T05:14:20.468Z,Terima kasih atas pelayanan nya,terima kasih atas pelayanan nya,terima kasih atas pelayanan nya,terima kasih atas pelayanan,Pelayanan,Positif,0.9405
Perbankan,Mandiri Mitra Usaha,5,14,Juned junaedi,5,2024-07-24T03:46:42.460Z,Pelayanannya sangat baik,pelayanannya sangat baik,pelayanannya sangat baik,pelayanannya baik,Pelayanan,Positif,0.9965
Perbankan,Mandiri Mitra Usaha,5,14,Inge Ange Lisa Ange lisa,5,2024-07-22T06:25:10.582Z,Sangat baik,sangat baik,sangat baik,baik,Lainnya,Positif,0.9844
Perbankan,Mandiri Mitra Usaha,5,14,Meri Yuspita,5,2024-07-22T05:25:12.601Z,Security teller dan cs nya ramah pelayanan cepat,security teller dan cs nya ramah pelayanan cepat,security teller dan cs nya ramah pelayanan cepat,security teller cs ramah pelayanan cepat,Pelayanan,Positif,0.9662
Perbankan,Mandiri Mitra Usaha,5,14,Nashda Aisyah,5,2024-07-10T04:34:09.782Z,good,good,good,good,Lainnya,Positif,0.9942
Perbankan,Mandiri Mitra Usaha,5,14,yosra martius,5,2024-07-05T05:08:24.257Z,Good,good,good,good,Lainnya,Positif,0.9942
Perbankan,Mandiri Mitra Usaha,5,14,rafly alfarezy,5,2024-02-22T08:05:52.956Z,kerenn,kerenn,kerenn,kerenn,Lainnya,Positif,0.9957
