Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Apotek & Farmasi,Mida Farma,3.8,38,Bumdes Giriasih,1,2026-07-20T09:49:47.417Z,"Sangat di sayangkan pelanang buruk sekali. Judess poll,",sangat di sayangkan pelanang buruk sekali judess poll,sangat di sayangkan pelanang buruk sekali judess poll,sayangkan pelanang buruk judess poll,Lainnya,Negatif,0.9768
Kesehatan,Apotek & Farmasi,Mida Farma,3.8,38,Salma Ulfah Nadiyah,4,2026-07-19T10:41:34.144Z,"obat lengkap dan harga bersaing, tapi sayang sekali pelayanan kurang ramah",obat lengkap dan harga bersaing tapi sayang sekali pelayanan kurang ramah,obat lengkap dan harga bersaing tapi sayang sekali pelayanan kurang ramah,obat lengkap harga bersaing sayang pelayanan kurang ramah,Pelayanan,Positif,0.9926
Kesehatan,Apotek & Farmasi,Mida Farma,3.8,38,Muhammad Syamsul Arifin,1,2026-07-09T13:48:37.941Z,"Kalau Pagi pelayanannya bagus kalau malam banyak2 istighfar ya, orang jualan kok kayak gak mau di beli jualannya, kasihan ownernya di bangun sedemikian rupa namun di rusak oleh pelayanan karyawannya, semoga mbak yg itu sehat2 ya",kalau pagi pelayanannya bagus kalau malam banyak2 istighfar ya orang jualan kok kayak gak mau di beli jualannya kasihan ownernya di bangun sedemikian rupa namun di rusak oleh pelayanan karyawannya semoga mbak yg itu sehat2 ya,kalau pagi pelayanannya bagus kalau malam banyak2 istighfar ya orang jualan kok kayak tidak mau di beli jualannya kasihan ownernya di bangun sedemikian rupa namun di rusak oleh pelayanan karyawannya semoga mbak yang itu sehat2 ya,pagi pelayanannya bagus malam banyak2 istighfar ya orang jualan kok kayak mau beli jualannya kasihan ownernya bangun sedemikian rupa rusak pelayanan karyawannya semoga mbak sehat2 ya,Pelayanan,Negatif,0.6885
Kesehatan,Apotek & Farmasi,Mida Farma,3.8,38,choirun nisa,1,2026-06-07T13:34:05.036Z,Petugas tidak ramah,petugas tidak ramah,petugas tidak ramah,petugas ramah,Pelayanan,Negatif,0.9945
Kesehatan,Apotek & Farmasi,Mida Farma,3.8,38,Firly Rosihani Abbas,1,2026-05-08T11:00:33.686Z,Judes!,judes,judes,judes,Lainnya,Negatif,0.9949
Kesehatan,Apotek & Farmasi,Mida Farma,3.8,38,Yahya M Aji,5,2026-04-08T12:55:52.553Z,Lokasinya strategis,lokasinya strategis,lokasinya strategis,lokasinya strategis,Lainnya,Positif,0.9955
Kesehatan,Apotek & Farmasi,Mida Farma,3.8,38,tuyul genshin,1,2025-08-04T17:43:08.239Z,"Sangat disayangkan sih, padahal sudah langganan tapi pelayanan nya kurang baik, seolah ga senang ketika aku menanyakan obat dari rumah sakit, meskipun ga ada harusnya tetap melayani dengan baik, bukan malah memperlihatkan muka yang mengejek",sangat disayangkan sih padahal sudah langganan tapi pelayanan nya kurang baik seolah ga senang ketika aku menanyakan obat dari rumah sakit meskipun ga ada harusnya tetap melayani dengan baik bukan malah memperlihatkan muka yang mengejek,sangat disayangkan sih padahal sudah langganan tapi pelayanan nya kurang baik seolah tidak senang ketika aku menanyakan obat dari rumah sakit meskipun tidak ada harusnya tetap melayani dengan baik bukan malah memperlihatkan muka yang mengejek,disayangkan padahal langganan pelayanan kurang baik seolah senang aku menanyakan obat rumah sakit meskipun harusnya tetap melayani baik bukan malah memperlihatkan muka mengejek,Pelayanan,Negatif,0.9946
Kesehatan,Apotek & Farmasi,Mida Farma,3.8,38,Ira Lutfia,4,2025-04-19T16:21:13.901Z,Tempatnya okey. Tapi bingung ini buka dari jam berapa tutup jam berapa .soalnya kadang butuh obat di jam 11 malem,tempatnya okey tapi bingung ini buka dari jam berapa tutup jam berapa soalnya kadang butuh obat di jam malem,tempatnya okey tapi bingung ini buka dari jam berapa tutup jam berapa soalnya kadang butuh obat di jam malem,tempatnya okey bingung buka jam berapa tutup jam berapa soalnya kadang butuh obat jam malem,Kesehatan,Netral,0.7173
Kesehatan,Apotek & Farmasi,Mida Farma,3.8,38,Ira Lutfiati,4,2025-04-19T16:19:29.246Z,Apotek ini buka dari jam berapa .tutup jam berapa ?,apotek ini buka dari jam berapa tutup jam berapa,apotek ini buka dari jam berapa tutup jam berapa,apotek buka jam berapa tutup jam berapa,Lainnya,Netral,0.9728
Kesehatan,Apotek & Farmasi,Mida Farma,3.8,38,Qorry Mahfudho,2,2024-10-12T10:05:01.959Z,"pelayanan ga ramah, ngomong kyk g dianggep padahal mau beli tp ga ditanyain trs ditinggal tinggal. tolong nanti ke depannya yang ramah ya kalau ada yang beli obat",pelayanan ga ramah ngomong kyk g dianggep padahal mau beli tp ga ditanyain trs ditinggal tinggal tolong nanti ke depannya yang ramah ya kalau ada yang beli obat,pelayanan tidak ramah ngomong kyk g dianggep padahal mau beli tapi tidak ditanyain trs ditinggal tinggal tolong nanti ke depannya yang ramah ya kalau ada yang beli obat,pelayanan ramah ngomong kyk dianggep padahal mau beli ditanyain trs ditinggal tinggal tolong nanti depannya ramah ya beli obat,Pelayanan,Negatif,0.8979
