Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Apotek & Farmasi,Mida Farma III Apotik,4.5,32,harist Lesmana,5,2026-04-13T15:19:57.403Z,Keren,keren,bagus,bagus,Lainnya,Positif,0.9961
Kesehatan,Apotek & Farmasi,Mida Farma III Apotik,4.5,32,eko pramono,5,2026-01-15T04:34:19.913Z,"Layanan cepat,,",layanan cepat,layanan cepat,layanan cepat,Pelayanan,Positif,0.9938
Kesehatan,Apotek & Farmasi,Mida Farma III Apotik,4.5,32,Rizky Hadi Saputra,5,2025-04-11T11:30:02.277Z,"apotek dengan ,harga bersaing , pilihannya lengkap , seharusnya melayani online jugha",apotek dengan harga bersaing pilihannya lengkap seharusnya melayani online jugha,apotek dengan harga bersaing pilihannya lengkap seharusnya melayani online jugha,apotek harga bersaing pilihannya lengkap seharusnya melayani online jugha,Lainnya,Positif,0.9422
Kesehatan,Apotek & Farmasi,Mida Farma III Apotik,4.5,32,Chamidah Alatas,5,2024-10-15T16:12:11.215Z,Pelayanannya baik.. Ramah sekali.. Terima kasih,pelayanannya baik ramah sekali terima kasih,pelayanannya baik ramah sekali terima kasih,pelayanannya baik ramah terima kasih,Pelayanan,Positif,0.9904
Kesehatan,Apotek & Farmasi,Mida Farma III Apotik,4.5,32,Yasin Sin,5,2024-09-07T03:42:14.742Z,"Baru di apotek ini saya cari obat tidak ada namun bisa langsung dipesankan,2 hari kemudian langsung dikabari obatnya sdh ready. Matur nuwun Mida, mbknya ramah masih muda2😁",baru di apotek ini saya cari obat tidak ada namun bisa langsung dipesankan hari kemudian langsung dikabari obatnya sdh ready matur nuwun mida mbknya ramah masih muda2,baru di apotek ini saya cari obat tidak ada namun bisa langsung dipesankan hari kemudian langsung dikabari obatnya sudah ready matur nuwun mida mbknya ramah masih muda2,apotek cari obat langsung dipesankan hari kemudian langsung dikabari obatnya ready matur nuwun mida mbknya ramah muda2,Pelayanan,Positif,0.8405
Kesehatan,Apotek & Farmasi,Mida Farma III Apotik,4.5,32,farrel Firdaus,5,2024-09-07T03:19:52.454Z,"Saya pendatang di Gresik. Saya may cari obat,dan saya menemukan apotik ini,  di apotek ini pelayanan nya top,  karyawan nya cantik2 dan ramah sekali, terima Kasih.....",saya pendatang di gresik saya may cari obat dan saya menemukan apotik ini di apotek ini pelayanan nya top karyawan nya cantik2 dan ramah sekali terima kasih,saya pendatang di gresik saya may cari obat dan saya menemukan apotik ini di apotek ini pelayanan nya top karyawan nya cantik2 dan ramah sekali terima kasih,pendatang gresik may cari obat menemukan apotik apotek pelayanan top karyawan cantik2 ramah terima kasih,Pelayanan,Positif,0.9128
Kesehatan,Apotek & Farmasi,Mida Farma III Apotik,4.5,32,anies syofyan,4,2024-04-17T05:54:24.146Z,"Apotek tidak seberapa besar sebetulnya, tapi lokasinya cukup strategis di jalan raya utama serta dekat dari rumah di BP Kulon, dibandingkan cabang mida farma yang lain selain itu harga juga tidak mahal dibandingkan dengan apotek sekitar, persediaan & ragam obat juga tersedia banyak",apotek tidak seberapa besar sebetulnya tapi lokasinya cukup strategis di jalan raya utama serta dekat dari rumah di bp kulon dibandingkan cabang mida farma yang lain selain itu harga juga tidak mahal dibandingkan dengan apotek sekitar persediaan ragam obat juga tersedia banyak,apotek tidak seberapa besar sebetulnya tapi lokasinya cukup strategis di jalan raya utama serta dekat dari rumah di bp kulon dibandingkan cabang mida farma yang lain selain itu harga juga tidak mahal dibandingkan dengan apotek sekitar persediaan ragam obat juga tersedia banyak,apotek seberapa besar sebetulnya lokasinya cukup strategis jalan raya utama serta dekat rumah bp kulon dibandingkan cabang mida farma lain selain harga mahal dibandingkan apotek sekitar persediaan ragam obat tersedia banyak,Kesehatan,Positif,0.9594
Kesehatan,Apotek & Farmasi,Mida Farma III Apotik,4.5,32,Dian Heri,4,2023-12-09T00:08:59.330Z,"Salah satu apotek mida di gresik jatim. Terletak di jl.kartini dekat dengan lampu merah ke arah giri  Lokasi tepat bersebelahan dengan istana boneka dan domino pizza  Parkir cukup utk 1 mobil saja dan kalo keluar agak susah krn dekat lampu merah. Kadang ada abang becak yg bantuin keluar dan tidak narif  Obat relatif lengkap meskipun ada ukuran gramasi yg kosong.. Jual kursi roda, kruk, dll juga",salah satu apotek mida di gresik jatim terletak di jl kartini dekat dengan lampu merah ke arah giri lokasi tepat bersebelahan dengan istana boneka dan domino pizza parkir cukup utk mobil saja dan kalo keluar agak susah krn dekat lampu merah kadang ada abang becak yg bantuin keluar dan tidak narif obat relatif lengkap meskipun ada ukuran gramasi yg kosong jual kursi roda kruk dll juga,salah satu apotek mida di gresik jatim terletak di jl kartini dekat dengan lampu merah ke arah giri lokasi tepat bersebelahan dengan istana boneka dan domino pizza parkir cukup untuk mobil saja dan kalo keluar agak susah karena dekat lampu merah kadang ada abang becak yang bantuin keluar dan tidak narif obat relatif lengkap meskipun ada ukuran gramasi yang kosong jual kursi roda kruk dll juga,salah satu apotek mida gresik jatim terletak jl kartini dekat lampu merah arah giri lokasi tepat bersebelahan istana boneka domino pizza parkir cukup mobil saja kalo keluar agak susah dekat lampu merah kadang abang becak bantuin keluar narif obat relatif lengkap meskipun ukuran gramasi kosong jual kursi roda kruk dll,Fasilitas,Positif,0.8301
Kesehatan,Apotek & Farmasi,Mida Farma III Apotik,4.5,32,FIRSTY YOGA R,5,2023-10-29T10:57:16.007Z,Lengkap mantap,lengkap mantap,lengkap bagus,lengkap bagus,Lainnya,Positif,0.9967
Kesehatan,Apotek & Farmasi,Mida Farma III Apotik,4.5,32,Wahyudi Oris,5,2023-05-16T09:11:02.339Z,Pelayanan nya sangat bagus.ramah sama pasien .apotek yg sangat recommended utk warga Gresik,pelayanan nya sangat bagus ramah sama pasien apotek yg sangat recommended utk warga gresik,pelayanan nya sangat bagus ramah sama pasien apotek yang sangat recommended untuk warga gresik,pelayanan bagus ramah sama pasien apotek recommended warga gresik,Pelayanan,Positif,0.997
