Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Wisata,Museum Sunan Giri,4.4,78,Kampar Asiansyah,1,2026-07-01T03:56:01.589Z,Jam10.55 museum tutup pegawai di depan nyantai rokokan gaji tetep lamcar,jam10 museum tutup pegawai di depan nyantai rokokan gaji tetep lamcar,jam10 museum tutup pegawai di depan nyantai rokokan gaji tetep lamcar,jam10 museum tutup pegawai depan nyantai rokokan gaji tetep lamcar,Pelayanan,Positif,0.7351
Wisata,Museum Sunan Giri,4.4,78,Ayu Febrianti,5,2026-06-25T08:06:21.359Z,"Pertama kali berkunjung kesini. Setelah sekian lama berziarah baru tau kalau ada museum. 🙈 Mnrt saya tempatnya nyaman, bersih, ada ruangan utk membaca buku ber-AC pula. Koleksi museum nya lumayan lengkap. Ada sunan Giri corner. Petugasnya ramah, dan sangat edukatif (tadi beliau menjelaskan dengan baik). Yuk yg mau ziarah sekalian nambah2 ilmu pengetahuan, bisa banget mampir ke museum ini. Masih 1 lokasi kok dengan arah ke makam Sunan Giri.. Sukses selalu.. Semoga koleksi nya makin lengkap..",pertama kali berkunjung kesini setelah sekian lama berziarah baru tau kalau ada museum mnrt saya tempatnya nyaman bersih ada ruangan utk membaca buku ber ac pula koleksi museum nya lumayan lengkap ada sunan giri corner petugasnya ramah dan sangat edukatif tadi beliau menjelaskan dengan baik yuk yg mau ziarah sekalian nambah2 ilmu pengetahuan bisa banget mampir ke museum ini masih lokasi kok dengan arah ke makam sunan giri sukses selalu semoga koleksi nya makin lengkap,pertama kali berkunjung kesini setelah sekian lama berziarah baru tau kalau ada museum mnrt saya tempatnya nyaman bersih ada ruangan untuk membaca buku ber ac pula koleksi museum nya lumayan lengkap ada sunan giri corner petugasnya ramah dan sangat edukatif tadi beliau menjelaskan dengan baik yuk yang mau ziarah sekalian nambah2 ilmu pengetahuan bisa banget mampir ke museum ini masih lokasi kok dengan arah ke makam sunan giri sukses selalu semoga koleksi nya makin lengkap,pertama kali berkunjung kesini sekian lama berziarah tau museum mnrt tempatnya nyaman bersih ruangan membaca buku ber ac koleksi museum lumayan lengkap sunan giri corner petugasnya ramah edukatif tadi beliau menjelaskan baik yuk mau ziarah sekalian nambah2 ilmu pengetahuan banget mampir museum lokasi kok arah makam sunan giri sukses selalu semoga koleksi makin lengkap,Pelayanan,Negatif,0.9954
Wisata,Museum Sunan Giri,4.4,78,Riki Adi,5,2025-12-03T12:38:18.094Z,Tempat yg bersih dan indah dan tempat pelatihan satpam yg luar biasa,tempat yg bersih dan indah dan tempat pelatihan satpam yg luar biasa,tempat yang bersih dan indah dan tempat pelatihan satpam yang luar biasa,tempat bersih indah tempat pelatihan satpam luar biasa,Fasilitas,Negatif,0.9969
Wisata,Museum Sunan Giri,4.4,78,Mifta Rizky Wiratnasari,5,2025-11-22T09:04:21.551Z,"Tempat mudah dijangkau karena berada di kawasan wisata religi sunan Giri, tempat yang penting untuk edukasi, memamerkan banyak peninggalan barang dan informasi sejarah di kabupaten Gresik, perkembangan agama islam dan kolonial. Tempat nya bagus, nyaman bagi pengunjung dewasa dan anak-anak, sudah ada fasilitas wifi. Ada toilet nya juga. Jika berkunjung gratis hanya mengisi buku tamu. Untuk koleksi semoga bisa bertambah. Semoga kedepan nya bisa dilengkapi diorama museum (Diorama ini berfungsi sebagai wahana visual untuk menyajikan informasi, sering kali dipadukan dengan latar belakang, patung, dan berbagai perincian untuk menciptakan adegan yang hidup dan realistis)",tempat mudah dijangkau karena berada di kawasan wisata religi sunan giri tempat yang penting untuk edukasi memamerkan banyak peninggalan barang dan informasi sejarah di kabupaten gresik perkembangan agama islam dan kolonial tempat nya bagus nyaman bagi pengunjung dewasa dan anak anak sudah ada fasilitas wifi ada toilet nya juga jika berkunjung gratis hanya mengisi buku tamu untuk koleksi semoga bisa bertambah semoga kedepan nya bisa dilengkapi diorama museum diorama ini berfungsi sebagai wahana visual untuk menyajikan informasi sering kali dipadukan dengan latar belakang patung dan berbagai perincian untuk menciptakan adegan yang hidup dan realistis,tempat mudah dijangkau karena berada di kawasan wisata religi sunan giri tempat yang penting untuk edukasi memamerkan banyak peninggalan barang dan informasi sejarah di kabupaten gresik perkembangan agama islam dan kolonial tempat nya bagus nyaman bagi pengunjung dewasa dan anak anak sudah ada fasilitas wifi ada toilet nya juga jika berkunjung gratis hanya mengisi buku tamu untuk koleksi semoga bisa bertambah semoga kedepan nya bisa dilengkapi diorama museum diorama ini berfungsi sebagai wahana visual untuk menyajikan informasi sering kali dipadukan dengan latar belakang patung dan berbagai perincian untuk menciptakan adegan yang hidup dan realistis,tempat mudah dijangkau berada kawasan wisata religi sunan giri tempat penting edukasi memamerkan banyak peninggalan barang informasi sejarah kabupaten gresik perkembangan agama islam kolonial tempat bagus nyaman bagi pengunjung dewasa anak anak fasilitas wifi toilet berkunjung gratis hanya mengisi buku tamu koleksi semoga bertambah semoga kedepan dilengkapi diorama museum diorama berfungsi sebagai wahana visual menyajikan informasi sering kali dipadukan latar belakang patung berbagai perincian menciptakan adegan hidup realistis,Fasilitas,Negatif,0.9182
Wisata,Museum Sunan Giri,4.4,78,Rob,5,2025-10-01T11:20:53.420Z,"Gresik selayaknya berbangga punya sejarah yang panjang dan seksi untuk diulas. Sebagai titik pertemuan antar budaya dan etnis pada masa lalu hingga sekarang, tentunya Gresik memiliki peninggalan cagar budaya yang  menawan.  Areanya tidak terlalu luas. Namun, yang dipamerkan cukup tertata rapi dan penjelasannya lengkap. Benda museumnya mulai dari masa klasik Hindu-Buddha, periode Islam, dan era kolonial. Semuanya terangkum dalam satu gedung.  Saat kemari, saya diberi brosur deskripsi, serta dijelaskan tentang alur kunjungan. Petugasnya ramah dan murah senyum. Layanan prima. Jangan khawatir, hawanya juga sejuk kok.  Tempat ini sangat cocok untuk anak sekolah, penggiat sejarah dan budaya, akademisi, juga warga Gresik sendiri dan sekitarnya. Semoga semakin berkembang dan tetap lestari.",gresik selayaknya berbangga punya sejarah yang panjang dan seksi untuk diulas sebagai titik pertemuan antar budaya dan etnis pada masa lalu hingga sekarang tentunya gresik memiliki peninggalan cagar budaya yang menawan areanya tidak terlalu luas namun yang dipamerkan cukup tertata rapi dan penjelasannya lengkap benda museumnya mulai dari masa klasik hindu buddha periode islam dan era kolonial semuanya terangkum dalam satu gedung saat kemari saya diberi brosur deskripsi serta dijelaskan tentang alur kunjungan petugasnya ramah dan murah senyum layanan prima jangan khawatir hawanya juga sejuk kok tempat ini sangat cocok untuk anak sekolah penggiat sejarah dan budaya akademisi juga warga gresik sendiri dan sekitarnya semoga semakin berkembang dan tetap lestari,gresik selayaknya berbangga punya sejarah yang panjang dan seksi untuk diulas sebagai titik pertemuan antar budaya dan etnis pada masa lalu hingga sekarang tentunya gresik memiliki peninggalan cagar budaya yang menawan areanya tidak terlalu luas namun yang dipamerkan cukup tertata rapi dan penjelasannya lengkap benda museumnya mulai dari masa klasik hindu buddha periode islam dan era kolonial semuanya terangkum dalam satu gedung saat kemari saya diberi brosur deskripsi serta dijelaskan tentang alur kunjungan petugasnya ramah dan murah senyum layanan prima jangan khawatir hawanya juga sejuk kok tempat ini sangat cocok untuk anak sekolah penggiat sejarah dan budaya akademisi juga warga gresik sendiri dan sekitarnya semoga semakin berkembang dan tetap lestari,gresik selayaknya berbangga punya sejarah panjang seksi diulas sebagai titik pertemuan antar budaya etnis masa lalu hingga sekarang tentunya gresik memiliki peninggalan cagar budaya menawan areanya terlalu luas dipamerkan cukup tertata rapi penjelasannya lengkap benda museumnya mulai masa klasik hindu buddha periode islam era kolonial semuanya terangkum satu gedung kemari diberi brosur deskripsi serta dijelaskan tentang alur kunjungan petugasnya ramah murah senyum layanan prima jangan khawatir hawanya sejuk kok tempat cocok anak sekolah penggiat sejarah budaya akademisi warga gresik sendiri sekitarnya semoga semakin berkembang tetap lestari,Pelayanan,Negatif,0.9923
Wisata,Museum Sunan Giri,4.4,78,Dedy Khasantary,5,2025-08-29T03:51:52.120Z,Keren,keren,bagus,bagus,Lainnya,Negatif,0.9961
Wisata,Museum Sunan Giri,4.4,78,Muhammad Raffasya Alfarizqi,5,2025-07-01T04:36:17.908Z,Pelayanan sangat ramah dan dingin (karena pakai ac). Cocok buat yang habis ziarah langsung mempelajari sejarah dan budaya gresik,pelayanan sangat ramah dan dingin karena pakai ac cocok buat yang habis ziarah langsung mempelajari sejarah dan budaya gresik,pelayanan sangat ramah dan dingin karena pakai ac cocok buat yang habis ziarah langsung mempelajari sejarah dan budaya gresik,pelayanan ramah dingin pakai ac cocok buat habis ziarah langsung mempelajari sejarah budaya gresik,Pelayanan,Negatif,0.9964
Wisata,Museum Sunan Giri,4.4,78,isak kalasore,2,2025-03-11T18:08:36.845Z,"4 Maret 2025 lalu saya berkunjung ke Museum Sunan Giri sekira pukul 11 siang. Waktu saya ke sana berbarengan ada kunjungan dari 2 orang, laki-laki dan perempuan sepertinya sedang mengulik info mengenai Museum Sunan Giri. 2 orang tersebut banyak ngobrol dengan salah satu petugas yang waktu itu terlihat masih muda berseragam warna putih. Yasudah, saya sebagai pengunjung umum sibuk membaca informasi-informasi saja yang ada di sekitar lobi. Di meja resepsionis, ada 4 atau 5 mahasiswa. Sepertinya mereka sedang magang di Museum Sunan Giri. Saat masih ada kunjungan dari 2 orang yang saya sebutkan sebelumnya, para mahasiswa tersebut bersikap sangat wajar. Duduk tenang sambil mendengarkan petugas berseragam putih sedang mengobrol dengan 2 pengunjung tersebut. Kemudian, 2 pengunjung itu berpamitan sambil sepertinya memberikan bingkisan kepada petugas berseragam putih. Tidak lama dari itu, saya naik ke lantai 2. Kebetulan saya datang bersama adik saya yang masih SD. Kalau tidak salah, pengunjung hanya saya dan adik saya. Jadi, di Museum Sunan Giri itu hanya ada saya, adik saya, dan beberapa mahasiswa magang tersebut. Saya juga tidak melihat petugas berseragam putih ada di dalam museum, entah ke mana. Mungkin keluar mengantar 2 pengunjung sebelumnya. Saat saya ada di lantai 2 sedang sibuk membaca dan melihat koleksi museum, entah apa yang dibicarakan oleh para mahasiswa magang di meja resepsionis, mereka bicara sangat keras sambil juga tertawa terbahak-bahak. Kebetulan juga waktu itu azan zuhur berkumandang. Namun mereka tetep saja terbahak-bahak. Sejujurnya saya sangat terganggu dengan sikap para mahasiswa magang tersebut. Merasa tidak nyaman, saya memutuskan pulang. Saat baru turun dari tangga, betapa kagetnya karena kaki salah satu mahasiswa diangkat ke meja resepsionis. Saya rasa itu sudah amat sangat tidak sopan. Jadi, demi kenyamanan pengunjung, mohon petugas mengingatkan dan menegur para mahasiswa agar tidak bertindak seperti itu lagi. Mohon maaf, saya sangat kecewa siang itu.",maret lalu saya berkunjung ke museum sunan giri sekira pukul siang waktu saya ke sana berbarengan ada kunjungan dari orang laki laki dan perempuan sepertinya sedang mengulik info mengenai museum sunan giri orang tersebut banyak ngobrol dengan salah satu petugas yang waktu itu terlihat masih muda berseragam warna putih yasudah saya sebagai pengunjung umum sibuk membaca informasi informasi saja yang ada di sekitar lobi di meja resepsionis ada atau mahasiswa sepertinya mereka sedang magang di museum sunan giri saat masih ada kunjungan dari orang yang saya sebutkan sebelumnya para mahasiswa tersebut bersikap sangat wajar duduk tenang sambil mendengarkan petugas berseragam putih sedang mengobrol dengan pengunjung tersebut kemudian pengunjung itu berpamitan sambil sepertinya memberikan bingkisan kepada petugas berseragam putih tidak lama dari itu saya naik ke lantai kebetulan saya datang bersama adik saya yang masih sd kalau tidak salah pengunjung hanya saya dan adik saya jadi di museum sunan giri itu hanya ada saya adik saya dan beberapa mahasiswa magang tersebut saya juga tidak melihat petugas berseragam putih ada di dalam museum entah ke mana mungkin keluar mengantar pengunjung sebelumnya saat saya ada di lantai sedang sibuk membaca dan melihat koleksi museum entah apa yang dibicarakan oleh para mahasiswa magang di meja resepsionis mereka bicara sangat keras sambil juga tertawa terbahak bahak kebetulan juga waktu itu azan zuhur berkumandang namun mereka tetep saja terbahak bahak sejujurnya saya sangat terganggu dengan sikap para mahasiswa magang tersebut merasa tidak nyaman saya memutuskan pulang saat baru turun dari tangga betapa kagetnya karena kaki salah satu mahasiswa diangkat ke meja resepsionis saya rasa itu sudah amat sangat tidak sopan jadi demi kenyamanan pengunjung mohon petugas mengingatkan dan menegur para mahasiswa agar tidak bertindak seperti itu lagi mohon maaf saya sangat kecewa siang itu,maret lalu saya berkunjung ke museum sunan giri sekira pukul siang waktu saya ke sana berbarengan ada kunjungan dari orang laki laki dan perempuan sepertinya sedang mengulik info mengenai museum sunan giri orang tersebut banyak ngobrol dengan salah satu petugas yang waktu itu terlihat masih muda berseragam warna putih yasudah saya sebagai pengunjung umum sibuk membaca informasi informasi saja yang ada di sekitar lobi di meja resepsionis ada atau mahasiswa sepertinya mereka sedang magang di museum sunan giri saat masih ada kunjungan dari orang yang saya sebutkan sebelumnya para mahasiswa tersebut bersikap sangat wajar duduk tenang sambil mendengarkan petugas berseragam putih sedang mengobrol dengan pengunjung tersebut kemudian pengunjung itu berpamitan sambil sepertinya memberikan bingkisan kepada petugas berseragam putih tidak lama dari itu saya naik ke lantai kebetulan saya datang bersama adik saya yang masih sd kalau tidak salah pengunjung hanya saya dan adik saya jadi di museum sunan giri itu hanya ada saya adik saya dan beberapa mahasiswa magang tersebut saya juga tidak melihat petugas berseragam putih ada di dalam museum entah ke mana mungkin keluar mengantar pengunjung sebelumnya saat saya ada di lantai sedang sibuk membaca dan melihat koleksi museum entah apa yang dibicarakan oleh para mahasiswa magang di meja resepsionis mereka bicara sangat keras sambil juga tertawa terbahak bahak kebetulan juga waktu itu azan zuhur berkumandang namun mereka tetep saja terbahak bahak sejujurnya saya sangat terganggu dengan sikap para mahasiswa magang tersebut merasa tidak nyaman saya memutuskan pulang saat baru turun dari tangga betapa kagetnya karena kaki salah satu mahasiswa diangkat ke meja resepsionis saya rasa itu sudah amat sangat tidak sopan jadi demi kenyamanan pengunjung mohon petugas mengingatkan dan menegur para mahasiswa agar tidak bertindak seperti itu lagi mohon maaf saya sangat kecewa siang itu,maret lalu berkunjung museum sunan giri sekira pukul siang waktu sana berbarengan kunjungan orang laki laki perempuan sepertinya sedang mengulik info mengenai museum sunan giri orang tersebut banyak ngobrol salah satu petugas waktu terlihat muda berseragam warna putih yasudah sebagai pengunjung umum sibuk membaca informasi informasi saja sekitar lobi meja resepsionis mahasiswa sepertinya sedang magang museum sunan giri kunjungan orang sebutkan sebelumnya para mahasiswa tersebut bersikap wajar duduk tenang sambil mendengarkan petugas berseragam putih sedang mengobrol pengunjung tersebut kemudian pengunjung berpamitan sambil sepertinya memberikan bingkisan kepada petugas berseragam putih lama naik lantai kebetulan datang bersama adik sd salah pengunjung hanya adik jadi museum sunan giri hanya adik beberapa mahasiswa magang tersebut melihat petugas berseragam putih museum entah mana mungkin keluar mengantar pengunjung sebelumnya lantai sedang sibuk membaca melihat koleksi museum entah apa dibicarakan para mahasiswa magang meja resepsionis bicara keras sambil tertawa terbahak bahak kebetulan waktu azan zuhur berkumandang tetep saja terbahak bahak sejujurnya terganggu sikap para mahasiswa magang tersebut merasa nyaman memutuskan pulang turun tangga betapa kagetnya kaki salah satu mahasiswa diangkat meja resepsionis rasa amat sopan jadi demi kenyamanan pengunjung mohon petugas mengingatkan menegur para mahasiswa agar bertindak seperti mohon maaf kecewa siang,Pelayanan,Positif,0.566
Wisata,Museum Sunan Giri,4.4,78,Eka Anggraeni,5,2024-06-19T00:24:09.186Z,"Tempat nyaman, sejuk, bersih, sayang banget sepi, padahal tempatnya edukatif. Cocok untuk anak-anak belajar tentang sejarah",tempat nyaman sejuk bersih sayang banget sepi padahal tempatnya edukatif cocok untuk anak anak belajar tentang sejarah,tempat nyaman sejuk bersih sayang banget sepi padahal tempatnya edukatif cocok untuk anak anak belajar tentang sejarah,tempat nyaman sejuk bersih sayang banget sepi padahal tempatnya edukatif cocok anak anak belajar tentang sejarah,Fasilitas,Negatif,0.997
Wisata,Museum Sunan Giri,4.4,78,Wong Giri,5,2024-06-04T11:17:46.904Z,Terimakasih pak Bambang atas materi yang sampean sampaikan semoga rezeki nya lancar dan mohon maaf sebesar besar nya kalau saya salah,terimakasih pak bambang atas materi yang sampean sampaikan semoga rezeki nya lancar dan mohon maaf sebesar besar nya kalau saya salah,terimakasih pak bambang atas materi yang sampean sampaikan semoga rezeki nya lancar dan mohon maaf sebesar besar nya kalau saya salah,terimakasih pak bambang atas materi sampean sampaikan semoga rezeki lancar mohon maaf sebesar besar salah,Lainnya,Netral,0.5052
