Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Klinik & Praktek Dokter,Natasha Skin Clinic Gresik,4.9,502,Vika Rahmadha,5,2026-07-25T05:03:47.761Z,"Pegawainya ramah, prosesnya cepat",pegawainya ramah prosesnya cepat,pegawainya ramah prosesnya cepat,pegawainya ramah prosesnya cepat,Pelayanan,Positif,0.9958
Kesehatan,Klinik & Praktek Dokter,Natasha Skin Clinic Gresik,4.9,502,Ichsan Naufali,5,2026-07-24T08:04:25.754Z,"Tempatnya nyaman, pelayanan ramah poll, untuk parkiran juga lega, bakalan rutin treatment disini 😊",tempatnya nyaman pelayanan ramah poll untuk parkiran juga lega bakalan rutin treatment disini,tempatnya nyaman pelayanan ramah poll untuk parkiran juga lega bakalan rutin treatment disini,tempatnya nyaman pelayanan ramah poll parkiran lega bakalan rutin treatment disini,Pelayanan,Positif,0.9969
Kesehatan,Klinik & Praktek Dokter,Natasha Skin Clinic Gresik,4.9,502,Mukaffi Hikmah Haikal,5,2026-07-24T02:25:50.184Z,"facial disini bersih banget, terapist nya telaten dan mbak nya ramah semua. thank you natasha gresik",facial disini bersih banget terapist nya telaten dan mbak nya ramah semua thank you natasha gresik,facial disini bersih banget terapist nya telaten dan mbak nya ramah semua thank you natasha gresik,facial disini bersih banget terapist telaten mbak ramah semua thank you natasha gresik,Pelayanan,Positif,0.9944
Kesehatan,Klinik & Praktek Dokter,Natasha Skin Clinic Gresik,4.9,502,HERNANDA SETIA RINDI,5,2026-06-23T08:47:53.541Z,"Pelayanan nya baik, dan harganya terjangkau",pelayanan nya baik dan harganya terjangkau,pelayanan nya baik dan harganya terjangkau,pelayanan baik harganya terjangkau,Pelayanan,Positif,0.9969
Kesehatan,Klinik & Praktek Dokter,Natasha Skin Clinic Gresik,4.9,502,ady priyana yudha,5,2026-02-18T06:30:22.050Z,Tempat nyaman dan pelayanannya juga cepat..dan treatment nya juga sangat bagus... #Skin_Terbaik_di_Gresik,tempat nyaman dan pelayanannya juga cepat dan treatment nya juga sangat bagus,tempat nyaman dan pelayanannya juga cepat dan treatment nya juga sangat bagus,tempat nyaman pelayanannya cepat treatment bagus,Pelayanan,Positif,0.9975
Kesehatan,Klinik & Praktek Dokter,Natasha Skin Clinic Gresik,4.9,502,Windi Putri Lestari,5,2025-10-05T03:31:20.862Z,"Pelayanan ramah, tempat nyaman, produk cocok sesuai dengan keluhan 😊👍🏻",pelayanan ramah tempat nyaman produk cocok sesuai dengan keluhan,pelayanan ramah tempat nyaman produk cocok sesuai dengan keluhan,pelayanan ramah tempat nyaman produk cocok sesuai keluhan,Pelayanan,Positif,0.9922
Kesehatan,Klinik & Praktek Dokter,Natasha Skin Clinic Gresik,4.9,502,Qiqi Icha,5,2025-10-01T02:25:50.783Z,Uda taonan Treatment dsni ..produk2nya jg cocokkkk smua...,uda taonan treatment dsni produk2nya jg cocokkkk smua,uda taonan treatment dsni produk2nya juga cocokkkk smua,uda taonan treatment dsni produk2nya cocokkkk smua,Administrasi,Positif,0.9924
Kesehatan,Klinik & Praktek Dokter,Natasha Skin Clinic Gresik,4.9,502,Annisa Febriananda Arumsari,5,2025-09-27T07:06:05.224Z,oke banget perawatan disini,oke banget perawatan disini,oke banget perawatan disini,oke banget perawatan disini,Kesehatan,Positif,0.9952
Kesehatan,Klinik & Praktek Dokter,Natasha Skin Clinic Gresik,4.9,502,Ayu Aprilina,5,2025-09-23T06:37:12.487Z,"Pelayanannya ramah, udah pakek Natasya dari 2016 sangat bagus banget❤️❤️🙏🙏🙏",pelayanannya ramah udah pakek natasya dari sangat bagus banget,pelayanannya ramah udah pakek natasya dari sangat bagus banget,pelayanannya ramah udah pakek natasya bagus banget,Pelayanan,Positif,0.9975
Kesehatan,Klinik & Praktek Dokter,Natasha Skin Clinic Gresik,4.9,502,eva irsyadillah,5,2025-09-21T03:38:33.356Z,Pelayanan dan produknya sangat bagus👍🏻,pelayanan dan produknya sangat bagus,pelayanan dan produknya sangat bagus,pelayanan produknya bagus,Pelayanan,Positif,0.9973
