Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Wisata,Pantai Somor-somor,4.4,23,Istianah,3,2023-12-24T06:02:59.938Z,"Akses via darat, sangat tidak direkomendasikan. Sunsetnya bagus, karena pantai menghadap barat.",akses via darat sangat tidak direkomendasikan sunsetnya bagus karena pantai menghadap barat,akses via darat sangat tidak direkomendasikan sunsetnya bagus karena pantai menghadap barat,akses via darat direkomendasikan sunsetnya bagus pantai menghadap barat,Infrastruktur,Negatif,0.9965
Wisata,Pantai Somor-somor,4.4,23,Nila Sito,4,2023-08-08T22:28:00.367Z,"Sebenarnya view ke arah laut cantik. Tapi karena ini tempat singgah nelayan, jadi agak kotor. Juga sebagai tempat sewa perahu menuju Tanjung Ga'ang",sebenarnya view ke arah laut cantik tapi karena ini tempat singgah nelayan jadi agak kotor juga sebagai tempat sewa perahu menuju tanjung ga ang,sebenarnya view ke arah laut cantik tapi karena ini tempat singgah nelayan jadi agak kotor juga sebagai tempat sewa perahu menuju tanjung tidak ang,sebenarnya view arah laut cantik tempat singgah nelayan jadi agak kotor sebagai tempat sewa perahu menuju tanjung ang,Fasilitas,Negatif,0.6006
Wisata,Pantai Somor-somor,4.4,23,Putri Rani,5,2023-07-25T13:57:08.789Z,"Fyi pantai ini baru aja dipublik, sebelumnya cuma emang daratan pinggir pantai banyak sampah dan tempat buat singgah kapal para nelayan. Tapi bukan itu utamanya. Salah satu alasan kenapa ada pantai ini adalah sebagai salah satu cara untuk menghentikan penambangan pasir lagi di area pantai. Makannya di Uruk dan dijadikan tempat wisata. Ada yang tanya kenapa masih kotor? Jelek? Ya iya karena air laut kan bawa sampah juga. Tapi yang harus di apresiasi pemuda dan warga sana sangat sadar jadi ada kegiatan Jum'at bersih. Saya bukan orang sana tapi saya pernah tinggal disana dan tanpa aba-aba tiap Jumat pasti para anak"" dan remaja kesana buat bebersih. Itu adalah daratan pinggir pantai paling bersih, sekitarnya semak dan bebatuan. Pantai somor-somor juga sebagai tempat untuk nyewa perahu atau tempat kumpul sebelum jalan ke tanjung ga'ang. Support terus ya pantai ini biar buat berkah buat masyarakatnya.",fyi pantai ini baru aja dipublik sebelumnya cuma emang daratan pinggir pantai banyak sampah dan tempat buat singgah kapal para nelayan tapi bukan itu utamanya salah satu alasan kenapa ada pantai ini adalah sebagai salah satu cara untuk menghentikan penambangan pasir lagi di area pantai makannya di uruk dan dijadikan tempat wisata ada yang tanya kenapa masih kotor jelek ya iya karena air laut kan bawa sampah juga tapi yang harus di apresiasi pemuda dan warga sana sangat sadar jadi ada kegiatan jum at bersih saya bukan orang sana tapi saya pernah tinggal disana dan tanpa aba aba tiap jumat pasti para anak dan remaja kesana buat bebersih itu adalah daratan pinggir pantai paling bersih sekitarnya semak dan bebatuan pantai somor somor juga sebagai tempat untuk nyewa perahu atau tempat kumpul sebelum jalan ke tanjung ga ang support terus ya pantai ini biar buat berkah buat masyarakatnya,fyi pantai ini baru aja dipublik sebelumnya cuma emang daratan pinggir pantai banyak sampah dan tempat buat singgah kapal para nelayan tapi bukan itu utamanya salah satu alasan kenapa ada pantai ini adalah sebagai salah satu cara untuk menghentikan penambangan pasir lagi di area pantai makannya di uruk dan dijadikan tempat wisata ada yang tanya kenapa masih kotor jelek ya iya karena air laut kan bawa sampah juga tapi yang harus di apresiasi pemuda dan warga sana sangat sadar jadi ada kegiatan jum at bersih saya bukan orang sana tapi saya pernah tinggal disana dan tanpa aba aba tiap jumat pasti para anak dan remaja kesana buat bebersih itu adalah daratan pinggir pantai paling bersih sekitarnya semak dan bebatuan pantai somor somor juga sebagai tempat untuk nyewa perahu atau tempat kumpul sebelum jalan ke tanjung tidak ang support terus ya pantai ini biar buat berkah buat masyarakatnya,fyi pantai aja dipublik sebelumnya cuma emang daratan pinggir pantai banyak sampah tempat buat singgah kapal para nelayan bukan utamanya salah satu alasan kenapa pantai sebagai salah satu cara menghentikan penambangan pasir area pantai makannya uruk dijadikan tempat wisata tanya kenapa kotor jelek ya iya air laut kan bawa sampah harus apresiasi pemuda warga sana sadar jadi kegiatan jum at bersih bukan orang sana pernah tinggal disana tanpa aba aba tiap jumat pasti para anak remaja kesana buat bebersih daratan pinggir pantai paling bersih sekitarnya semak bebatuan pantai somor somor sebagai tempat nyewa perahu tempat kumpul jalan tanjung ang support terus ya pantai biar buat berkah buat masyarakatnya,Fasilitas,Positif,0.8813
Wisata,Pantai Somor-somor,4.4,23,Noor Aufa Shiddiq,3,2023-06-04T05:25:07.540Z,kotor. pantai nelayan,kotor pantai nelayan,kotor pantai nelayan,kotor pantai nelayan,Fasilitas,Positif,0.9976
Wisata,Pantai Somor-somor,4.4,23,EddieAbroad,1,2023-04-07T11:55:54.753Z,Way to much rubbish on beach front 😣😣 @Eddie_Abroad,way to much rubbish on beach front,way to much rubbish on beach front,way to much rubbish on beach front,Fasilitas,Netral,0.8048
Wisata,Pantai Somor-somor,4.4,23,Rafiq Rabbani,4,2021-06-01T04:23:34.426Z,"A beach that stretch for about 500m. You need to find the right spot to swim cause there's various section on the beach that are not swimming friendly. For example like there's spot to park fisherman boat, spot to find clam, and spot that have sharp corrals.",a beach that stretch for about 500m you need to find the right spot to swim cause there s various section on the beach that are not swimming friendly for example like there s spot to park fisherman boat spot to find clam and spot that have sharp corrals,a beach that stretch for about 500m you need to find the right spot to swim cause there s various section on the beach that are not swimming friendly for example like there s spot to park fisherman boat spot to find clam and spot that have sharp corrals,beach that stretch for about 500m you need to find the right spot to swim cause there various section on the beach that are not swimming friendly for example like there spot to park fisherman boat spot to find clam and spot that have sharp corrals,Fasilitas,Negatif,0.464
Wisata,Pantai Somor-somor,4.4,23,Feri Wicak,5,2019-12-07T20:00:36.409Z,Kangen pulau bawean😌,kangen pulau bawean,kangen pulau bawean,kangen pulau bawean,Lainnya,Negatif,0.9932
Wisata,Pantai Somor-somor,4.4,23,BAWEANIS,5,2019-09-28T03:01:02.208Z,Landscape,landscape,landscape,landscape,Lainnya,Negatif,0.9759
Wisata,Pantai Somor-somor,4.4,23,Muhammad Irfan,5,2019-07-18T14:04:47.620Z,Terdapat sumber air tawar di sekitar pantai ini,terdapat sumber air tawar di sekitar pantai ini,terdapat sumber air tawar di sekitar pantai ini,terdapat sumber air tawar sekitar pantai,Lainnya,Netral,0.9038
Wisata,Pantai Somor-somor,4.4,23,Abiellss N Abiemmss,5,2018-07-10T01:42:19.723Z,tempatnya sangat indah,tempatnya sangat indah,tempatnya sangat indah,tempatnya indah,Lainnya,Negatif,0.9974
