Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Lainnya,Pemkab Gresik Desa Gapurosukolilo,3.3,15,Sinar Embun Mentari,1,2026-07-01T09:10:44.961Z,"Kota industri tapi masyarakat gresiknya sendiri susah dapat kerja, entry level pun di isi orang dari luar gresik",kota industri tapi masyarakat gresiknya sendiri susah dapat kerja entry level pun di isi orang dari luar gresik,kota industri tapi masyarakat gresiknya sendiri susah dapat kerja entry level pun di isi orang dari luar gresik,kota industri masyarakat gresiknya sendiri susah kerja entry level isi orang luar gresik,Lainnya,Positif,0.9963
Lainnya,Pemkab Gresik Desa Gapurosukolilo,3.3,15,Fabio Pedrosa,1,2026-04-15T06:56:00.528Z,Alun alun gresik kumuh kotor pedagang amburadul lebih jadi pasar malam dr pada alun2 kota... Kalau orang2 pemkab yg tanganin alun2 gak sanggup lebih baik mundur...sadar diri,alun alun gresik kumuh kotor pedagang amburadul lebih jadi pasar malam dr pada alun2 kota kalau orang2 pemkab yg tanganin alun2 gak sanggup lebih baik mundur sadar diri,alun alun gresik kumuh kotor pedagang amburadul lebih jadi pasar malam dari pada alun2 kota kalau orang2 pemkab yang tanganin alun2 tidak sanggup lebih baik mundur sadar diri,alun alun gresik kumuh kotor pedagang amburadul jadi pasar malam alun2 kota orang2 pemkab tanganin alun2 sanggup baik mundur sadar diri,Fasilitas,Positif,0.9972
Lainnya,Pemkab Gresik Desa Gapurosukolilo,3.3,15,Fuadi Insyi,1,2026-01-25T13:38:17.197Z,Mohon di perbaiki di sunan giri banyak pungli masuk ajah di tarik infaq 2 kali blom biaya parkir 150k,mohon di perbaiki di sunan giri banyak pungli masuk ajah di tarik infaq kali blom biaya parkir 150k,mohon di perbaiki di sunan giri banyak pungli masuk ajah di tarik infaq kali blom biaya parkir 150k,mohon perbaiki sunan giri banyak pungli masuk ajah tarik infaq kali blom biaya parkir 150k,Fasilitas,Positif,0.9906
Lainnya,Pemkab Gresik Desa Gapurosukolilo,3.3,15,Nada,2,2025-07-01T10:33:26.747Z,"Tolong diperbaiki parkir area depan makam sunan malik ibrahim. Tarif mobil 10.000 giliran diminta karcis ""Katanya iya diambilan dulu"". Begitu dibayar, ditungguin, tukang parkir gak berani balik kasih karcis 🤣 PARKIR LIAR TOLONG DITINDAK",tolong diperbaiki parkir area depan makam sunan malik ibrahim tarif mobil giliran diminta karcis katanya iya diambilan dulu begitu dibayar ditungguin tukang parkir gak berani balik kasih karcis parkir liar tolong ditindak,tolong diperbaiki parkir area depan makam sunan malik ibrahim tarif mobil giliran diminta karcis katanya iya diambilan dulu begitu dibayar ditungguin tukang parkir tidak berani balik kasih karcis parkir liar tolong ditindak,tolong diperbaiki parkir area depan makam sunan malik ibrahim tarif mobil giliran diminta karcis katanya iya diambilan dulu begitu dibayar ditungguin tukang parkir berani balik kasih karcis parkir liar tolong ditindak,Fasilitas,Positif,0.9442
Lainnya,Pemkab Gresik Desa Gapurosukolilo,3.3,15,Mukhlisun SE,5,2025-03-19T09:38:12.496Z,Festival Arabian Food Banyak jenis makanan has arab,festival arabian food banyak jenis makanan has arab,festival arabian food banyak jenis makanan has arab,festival arabian food banyak jenis makanan has arab,Lainnya,Netral,0.8142
Lainnya,Pemkab Gresik Desa Gapurosukolilo,3.3,15,moh arifin,5,2024-08-03T06:49:51.912Z,Alhamdulillah selama jadi pengurus LKS Gresik saya dan pengurus lainnya sering diundang acara Dinas Sosial.,alhamdulillah selama jadi pengurus lks gresik saya dan pengurus lainnya sering diundang acara dinas sosial,alhamdulillah selama jadi pengurus lks gresik saya dan pengurus lainnya sering diundang acara dinas sosial,alhamdulillah selama jadi pengurus lks gresik pengurus lainnya sering diundang acara dinas sosial,Fasilitas,Netral,0.7231
Lainnya,Pemkab Gresik Desa Gapurosukolilo,3.3,15,Ranger Merah,5,2023-04-08T01:06:07.032Z,Kantor bupati,kantor bupati,kantor bupati,kantor bupati,Lainnya,Netral,0.9855
Lainnya,Pemkab Gresik Desa Gapurosukolilo,3.3,15,Rifani,5,2020-10-29T23:19:13.318Z,Bagus,bagus,bagus,bagus,Lainnya,Negatif,0.9961
Lainnya,Pemkab Gresik Desa Gapurosukolilo,3.3,15,Jia Hilwa,1,2019-09-26T06:48:22.176Z,"Setiap minta suket, pak lurahnya gapernah ada, jd hrus nunggu lagi",setiap minta suket pak lurahnya gapernah ada jd hrus nunggu lagi,setiap minta suket pak lurahnya gapernah ada jd hrus nunggu lagi,setiap minta suket pak lurahnya gapernah jd hrus nunggu,Lainnya,Netral,0.768
Lainnya,Pemkab Gresik Desa Gapurosukolilo,3.3,15,Bendy Np channel,4,2018-04-17T06:02:53.219Z,Nyaman..,nyaman,nyaman,nyaman,Fasilitas,Negatif,0.9972
