Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Pemerintahan,Kelurahan/Desa,Perumahan Cerme Indah,4.1,763,C2 games,1,2026-06-04T05:07:32.687Z,"satpam minta iuran ke orang paket yang mebawah mobil, minta tolong untuk pengelola perumahan cerme indah untuk diurus, minta uang retribusi tim pembangunan padahal kita bukan penghuni sana tapi diminta retribusi",satpam minta iuran ke orang paket yang mebawah mobil minta tolong untuk pengelola perumahan cerme indah untuk diurus minta uang retribusi tim pembangunan padahal kita bukan penghuni sana tapi diminta retribusi,satpam minta iuran ke orang paket yang mebawah mobil minta tolong untuk pengelola perumahan cerme indah untuk diurus minta uang retribusi tim pembangunan padahal kita bukan penghuni sana tapi diminta retribusi,satpam minta iuran orang paket mebawah mobil minta tolong pengelola perumahan cerme indah diurus minta uang retribusi tim pembangunan padahal bukan penghuni sana diminta retribusi,Infrastruktur,Negatif,0.5009
Pemerintahan,Kelurahan/Desa,Perumahan Cerme Indah,4.1,763,Faris Irfanto,5,2026-04-11T19:13:02.043Z,Jemputan penumpang disitu,jemputan penumpang disitu,jemputan penumpang disitu,jemputan penumpang disitu,Lainnya,Positif,0.8143
Pemerintahan,Kelurahan/Desa,Perumahan Cerme Indah,4.1,763,Andhy _Renatha,5,2026-02-25T18:57:13.384Z,sejuk asri keindahan mempesona,sejuk asri keindahan mempesona,sejuk asri keindahan mempesona,sejuk asri keindahan mempesona,Lainnya,Positif,0.997
Pemerintahan,Kelurahan/Desa,Perumahan Cerme Indah,4.1,763,Indah Rakhmawati,5,2026-02-04T11:19:31.887Z,Bagus,bagus,bagus,bagus,Lainnya,Positif,0.9961
Pemerintahan,Kelurahan/Desa,Perumahan Cerme Indah,4.1,763,49_Bowman_Rizka Tsania F,5,2026-01-07T09:46:53.704Z,"perumahan nyaman, PDAM, listrik, jarang mati, jalanan juga mulus",perumahan nyaman pdam listrik jarang mati jalanan juga mulus,perumahan nyaman pdam listrik jarang mati jalanan juga mulus,perumahan nyaman pdam listrik jarang mati jalanan mulus,Fasilitas,Positif,0.9824
Pemerintahan,Kelurahan/Desa,Perumahan Cerme Indah,4.1,763,Warkop Situraja,5,2025-11-14T05:55:44.378Z,"Rumahku adalah surga duniaku Makmur , damai selalu ARCELAS",rumahku adalah surga duniaku makmur damai selalu arcelas,rumahku adalah surga duniaku makmur damai selalu arcelas,rumahku surga duniaku makmur damai selalu arcelas,Lainnya,Positif,0.9934
Pemerintahan,Kelurahan/Desa,Perumahan Cerme Indah,4.1,763,Yhofy art Galery,5,2025-09-26T09:50:19.996Z,Bagus..,bagus,bagus,bagus,Lainnya,Positif,0.9961
Pemerintahan,Kelurahan/Desa,Perumahan Cerme Indah,4.1,763,Nadya Ferdhita,5,2025-09-12T06:56:05.645Z,Nyaman jg tinggal disini dari kecil smpek sekarang udh kuliah,nyaman jg tinggal disini dari kecil smpek sekarang udh kuliah,nyaman juga tinggal disini dari kecil smpek sekarang udh kuliah,nyaman tinggal disini kecil smpek sekarang udh kuliah,Fasilitas,Positif,0.9912
Pemerintahan,Kelurahan/Desa,Perumahan Cerme Indah,4.1,763,dian putri,5,2025-07-01T18:41:02.014Z,Bagus perumahannya dekat dengan pasar dan akses jalan mudah diakses,bagus perumahannya dekat dengan pasar dan akses jalan mudah diakses,bagus perumahannya dekat dengan pasar dan akses jalan mudah diakses,bagus perumahannya dekat pasar akses jalan mudah diakses,Infrastruktur,Positif,0.9956
Pemerintahan,Kelurahan/Desa,Perumahan Cerme Indah,4.1,763,Feny Varanita,5,2025-07-01T16:50:32.310Z,Bagus banget,bagus banget,bagus banget,bagus banget,Lainnya,Positif,0.9969
Pemerintahan,Kelurahan/Desa,Perumahan Cerme Indah,4.1,763,Zahir,5,2025-04-23T11:25:07.597Z,"perumahan asri dan sejuk daerah Cerme, Gresik",perumahan asri dan sejuk daerah cerme gresik,perumahan asri dan sejuk daerah cerme gresik,perumahan asri sejuk daerah cerme gresik,Lainnya,Positif,0.9895
Pemerintahan,Kelurahan/Desa,Perumahan Cerme Indah,4.1,763,Dwi Wuri Wulandari,5,2025-03-19T15:58:18.169Z,Mau tanya area disini Banjir engga ?,mau tanya area disini banjir engga,mau tanya area disini banjir engga,mau tanya area disini banjir engga,Lainnya,Positif,0.8632
