Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Lainnya,Perumahan Griya Kencana Driyorejo Kabupaten Gresik,4.3,176,dania p,5,2026-04-18T05:51:02.984Z,Sangat ramah,sangat ramah,sangat ramah,ramah,Pelayanan,Negatif,0.9959
Lainnya,Perumahan Griya Kencana Driyorejo Kabupaten Gresik,4.3,176,sofyan ashari,5,2025-12-24T12:23:49.338Z,Perumahan adem ayem tentrem sembarang murah,perumahan adem ayem tentrem sembarang murah,perumahan adem ayem tentrem sembarang murah,perumahan adem ayem tentrem sembarang murah,Lainnya,Negatif,0.9929
Lainnya,Perumahan Griya Kencana Driyorejo Kabupaten Gresik,4.3,176,boy boy,5,2025-12-19T05:37:43.697Z,City jooosss,city jooosss,city jooosss,city jooosss,Lainnya,Negatif,0.9082
Lainnya,Perumahan Griya Kencana Driyorejo Kabupaten Gresik,4.3,176,Pipit Dian,5,2024-10-25T04:37:23.461Z,Bagus rumahnya,bagus rumahnya,bagus rumahnya,bagus rumahnya,Lainnya,Negatif,0.9964
Lainnya,Perumahan Griya Kencana Driyorejo Kabupaten Gresik,4.3,176,Dzikrul Amin,5,2023-12-17T08:45:45.757Z,Bagus,bagus,bagus,bagus,Lainnya,Negatif,0.9961
Lainnya,Perumahan Griya Kencana Driyorejo Kabupaten Gresik,4.3,176,panin pratama limasan,5,2023-04-19T15:03:52.400Z,Keren,keren,bagus,bagus,Lainnya,Negatif,0.9961
Lainnya,Perumahan Griya Kencana Driyorejo Kabupaten Gresik,4.3,176,MOKHAMAD ROSIDI,5,2023-02-21T03:39:59.649Z,Lokasi aman dan nyaman,lokasi aman dan nyaman,lokasi aman dan nyaman,lokasi aman nyaman,Fasilitas,Negatif,0.995
Lainnya,Perumahan Griya Kencana Driyorejo Kabupaten Gresik,4.3,176,Juni Awan,5,2023-01-14T04:09:29.514Z,Sederhana namun indah dan penuh kedamaian,sederhana namun indah dan penuh kedamaian,sederhana namun indah dan penuh kedamaian,sederhana indah penuh kedamaian,Lainnya,Negatif,0.9952
Lainnya,Perumahan Griya Kencana Driyorejo Kabupaten Gresik,4.3,176,Isfandi Se,4,2022-12-22T03:12:19.864Z,Lingkungan yang masih asri sebagai tempat hunian,lingkungan yang masih asri sebagai tempat hunian,lingkungan yang masih asri sebagai tempat hunian,lingkungan asri sebagai tempat hunian,Lainnya,Negatif,0.9907
Lainnya,Perumahan Griya Kencana Driyorejo Kabupaten Gresik,4.3,176,sabastianus wuryana,4,2022-11-29T23:34:57.400Z,Tambah rame,tambah rame,tambah rame,tambah rame,Lainnya,Negatif,0.9952
Lainnya,Perumahan Griya Kencana Driyorejo Kabupaten Gresik,4.3,176,nurkholis triyoga,5,2022-10-15T03:17:26.189Z,Mantap,mantap,bagus,bagus,Lainnya,Negatif,0.9961
