Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Pelayanan Publik,Pos Pantau Polowijo Gosari,4.2,17,Doni Ganteng,5,2025-07-27T15:34:57.353Z,"apakah tempat ini masih ada, dan letaknya dimana mohon bantu jawab",apakah tempat ini masih ada dan letaknya dimana mohon bantu jawab,apakah tempat ini masih ada dan letaknya dimana mohon bantu jawab,apakah tempat letaknya dimana mohon bantu jawab,Lainnya,Netral,0.9864
Pelayanan Publik,Pos Pantau Polowijo Gosari,4.2,17,Vicks Andro,5,2022-03-16T06:32:12.693Z,Mantul,mantul,bagus,bagus,Lainnya,Negatif,0.9961
Pelayanan Publik,Pos Pantau Polowijo Gosari,4.2,17,Abdullah Badik,5,2020-03-08T05:34:30.221Z,"Keren banget viewnya laut dan perbukitan, pokoknya keren",keren banget viewnya laut dan perbukitan pokoknya keren,bagus banget viewnya laut dan perbukitan pokoknya bagus,bagus banget viewnya laut perbukitan pokoknya bagus,Lainnya,Negatif,0.9978
Pelayanan Publik,Pos Pantau Polowijo Gosari,4.2,17,Hamizatun Miza,5,2018-09-01T11:28:04.516Z,Keren,keren,bagus,bagus,Lainnya,Negatif,0.9961
Pelayanan Publik,Pos Pantau Polowijo Gosari,4.2,17,Helmy K Bachtiar,5,2018-07-04T13:48:44.032Z,nice view,nice view,nice view,nice view,Lainnya,Negatif,0.9912
Pelayanan Publik,Pos Pantau Polowijo Gosari,4.2,17,Heri Prast,5,2018-05-23T10:54:54.871Z,View point sunset,view point sunset,view point sunset,view point sunset,Lainnya,Negatif,0.9392
Pelayanan Publik,Pos Pantau Polowijo Gosari,4.2,17,Surya Pratama,5,2018-04-16T05:58:08.900Z,Indah,indah,indah,indah,Lainnya,Negatif,0.9963
Pelayanan Publik,Pos Pantau Polowijo Gosari,4.2,17,Fahmi Syaifuddin,4,2018-01-03T15:15:59.921Z,"Spot bagus untuk melihat desa Banyuurip dari atas, kita bisa lihat view sawah, pantai, dan panorama desa secara luas. Nice place pokoknya😁",spot bagus untuk melihat desa banyuurip dari atas kita bisa lihat view sawah pantai dan panorama desa secara luas nice place pokoknya,spot bagus untuk melihat desa banyuurip dari atas kita bisa lihat view sawah pantai dan panorama desa secara luas nice place pokoknya,spot bagus melihat desa banyuurip atas lihat view sawah pantai panorama desa secara luas nice place pokoknya,Fasilitas,Negatif,0.9974
Pelayanan Publik,Pos Pantau Polowijo Gosari,4.2,17,Ap_Rider 11,3,2018-01-02T07:24:40.643Z,pemandangan yang bagus,pemandangan yang bagus,pemandangan yang bagus,pemandangan bagus,Lainnya,Negatif,0.9967
Pelayanan Publik,Pos Pantau Polowijo Gosari,4.2,17,Mas Yan,5,2017-08-23T09:10:09.731Z,Terlihat indah senja di atas sini,terlihat indah senja di atas sini,terlihat indah senja di atas sini,terlihat indah senja atas sini,Lainnya,Negatif,0.9881
