Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Klinik & Praktek Dokter,Praktek Dokter Umum dr. Farida Yan Pratiwi K,5,37,Azifah Anggraini,5,2026-04-29T09:19:16.349Z,"Dokternya cantik, ramah, menjelaskan diagnosa penyakit ke pasien secara detail, klinik bersih dan harga ramah di kantong",dokternya cantik ramah menjelaskan diagnosa penyakit ke pasien secara detail klinik bersih dan harga ramah di kantong,dokternya cantik ramah menjelaskan diagnosa penyakit ke pasien secara detail klinik bersih dan harga ramah di kantong,dokternya cantik ramah menjelaskan diagnosa penyakit pasien secara detail klinik bersih harga ramah kantong,Pelayanan,Positif,0.9953
Kesehatan,Klinik & Praktek Dokter,Praktek Dokter Umum dr. Farida Yan Pratiwi K,5,37,Jasmine Salsabiluna,5,2026-02-09T10:05:39.587Z,"Dokter nya ramah baik, tempat bersih nyaman",dokter nya ramah baik tempat bersih nyaman,dokter nya ramah baik tempat bersih nyaman,dokter ramah baik tempat bersih nyaman,Pelayanan,Positif,0.9946
Kesehatan,Klinik & Praktek Dokter,Praktek Dokter Umum dr. Farida Yan Pratiwi K,5,37,DECHA WISNU,5,2026-01-13T12:37:20.924Z,"Pelayanan nya cepat dan ramah, untuk ruangan nya juga sangat bersih 👍🏻",pelayanan nya cepat dan ramah untuk ruangan nya juga sangat bersih,pelayanan nya cepat dan ramah untuk ruangan nya juga sangat bersih,pelayanan cepat ramah ruangan bersih,Pelayanan,Positif,0.9949
Kesehatan,Klinik & Praktek Dokter,Praktek Dokter Umum dr. Farida Yan Pratiwi K,5,37,dava wulaaan,5,2026-01-09T10:57:00.397Z,"tempat periksa nyaman , dokter dan staff nya baik dan ramah ramah banget.",tempat periksa nyaman dokter dan staff nya baik dan ramah ramah banget,tempat periksa nyaman dokter dan staff nya baik dan ramah ramah banget,tempat periksa nyaman dokter staff baik ramah ramah banget,Pelayanan,Positif,0.9958
Kesehatan,Klinik & Praktek Dokter,Praktek Dokter Umum dr. Farida Yan Pratiwi K,5,37,Agus Suwanto,5,2025-12-04T07:24:56.118Z,dokter ramah.. pelayanan sat set..,dokter ramah pelayanan sat set,dokter ramah pelayanan sat set,dokter ramah pelayanan sat set,Pelayanan,Positif,0.9391
Kesehatan,Klinik & Praktek Dokter,Praktek Dokter Umum dr. Farida Yan Pratiwi K,5,37,Nyamnyam,5,2025-11-07T13:52:49.632Z,Dokternya ramah baik,dokternya ramah baik,dokternya ramah baik,dokternya ramah baik,Pelayanan,Positif,0.9944
Kesehatan,Klinik & Praktek Dokter,Praktek Dokter Umum dr. Farida Yan Pratiwi K,5,37,Dewi leliana,5,2025-07-21T01:16:09.421Z,"Bu dokternya baik sekali, ramah, informatif, sabar, selalu cocok dengan obat yang diberikan. Tempatnya bersih dan rapi. Pokoknya periksa di sini sangat memuaskan . ❤❤",bu dokternya baik sekali ramah informatif sabar selalu cocok dengan obat yang diberikan tempatnya bersih dan rapi pokoknya periksa di sini sangat memuaskan,bu dokternya baik sekali ramah informatif sabar selalu cocok dengan obat yang diberikan tempatnya bersih dan rapi pokoknya periksa di sini sangat memuaskan,bu dokternya baik ramah informatif sabar selalu cocok obat diberikan tempatnya bersih rapi pokoknya periksa sini memuaskan,Pelayanan,Positif,0.9969
Kesehatan,Klinik & Praktek Dokter,Praktek Dokter Umum dr. Farida Yan Pratiwi K,5,37,perdana surya,5,2025-06-21T02:41:38.355Z,Ramah,ramah,ramah,ramah,Pelayanan,Positif,0.9959
Kesehatan,Klinik & Praktek Dokter,Praktek Dokter Umum dr. Farida Yan Pratiwi K,5,37,Hesthi Tyo,5,2024-07-28T04:45:53.806Z,"Dokternya ramah, menjelaskan dgn bahasa yg mudah dimengerti orang awam... Ruang tunggu kekinian, nyaman, ber AC.. Banyak pelayanannya..",dokternya ramah menjelaskan dgn bahasa yg mudah dimengerti orang awam ruang tunggu kekinian nyaman ber ac banyak pelayanannya,dokternya ramah menjelaskan dengan bahasa yang mudah dimengerti orang awam ruang tunggu kekinian nyaman ber ac banyak pelayanannya,dokternya ramah menjelaskan bahasa mudah dimengerti orang awam ruang tunggu kekinian nyaman ber ac banyak pelayanannya,Pelayanan,Positif,0.9935
Kesehatan,Klinik & Praktek Dokter,Praktek Dokter Umum dr. Farida Yan Pratiwi K,5,37,Wahyuono alfian nugroho,5,2024-07-25T12:13:47.426Z,Dokternya ramah. Semua Pertanyaan2 dijawab dengan ramah. Ruangan bersih. Sayang tidak sempat foto tempatnya.,dokternya ramah semua pertanyaan2 dijawab dengan ramah ruangan bersih sayang tidak sempat foto tempatnya,dokternya ramah semua pertanyaan2 dijawab dengan ramah ruangan bersih sayang tidak sempat foto tempatnya,dokternya ramah semua pertanyaan2 dijawab ramah ruangan bersih sayang sempat foto tempatnya,Pelayanan,Positif,0.9802
