Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Klinik & Praktek Dokter,Praktek Dokter Umum dr. Vivi,5,28,Keysa Keysa fita,5,2026-08-01T08:07:04.384Z,Pelayanannya sangat baik tempatnya bersih dan dokternya sangat ramah penjelasannya jelas dan detail,pelayanannya sangat baik tempatnya bersih dan dokternya sangat ramah penjelasannya jelas dan detail,pelayanannya sangat baik tempatnya bersih dan dokternya sangat ramah penjelasannya jelas dan detail,pelayanannya baik tempatnya bersih dokternya ramah penjelasannya jelas detail,Pelayanan,Positif,0.9941
Kesehatan,Klinik & Praktek Dokter,Praktek Dokter Umum dr. Vivi,5,28,EB Veronica W,5,2026-05-18T09:40:59.016Z,"Pelayanan sangat ramah, informatif, menyenangkan. Tempatnya juga bersih dan nyaman. Bisa konsultasi dulu dan bisa datang langsung ditangani dengan baik👍",pelayanan sangat ramah informatif menyenangkan tempatnya juga bersih dan nyaman bisa konsultasi dulu dan bisa datang langsung ditangani dengan baik,pelayanan sangat ramah informatif menyenangkan tempatnya juga bersih dan nyaman bisa konsultasi dulu dan bisa datang langsung ditangani dengan baik,pelayanan ramah informatif menyenangkan tempatnya bersih nyaman konsultasi dulu datang langsung ditangani baik,Pelayanan,Positif,0.9957
Kesehatan,Klinik & Praktek Dokter,Praktek Dokter Umum dr. Vivi,5,28,Mujiati Sayang,5,2026-02-25T11:58:16.402Z,Pelayanan nya bagus dokter sangat kooperatif dalam menjelaskan  perawat sama dokternya ramah harga terjangkau 🥰 Infus boosternya manjur muajarap baget Bagun tidur badan kerasa enteng 🥰 Sukses trus buat Ningrum care 🥰,pelayanan nya bagus dokter sangat kooperatif dalam menjelaskan perawat sama dokternya ramah harga terjangkau infus boosternya manjur muajarap baget bagun tidur badan kerasa enteng sukses trus buat ningrum care,pelayanan nya bagus dokter sangat kooperatif dalam menjelaskan perawat sama dokternya ramah harga terjangkau infus boosternya manjur muajarap baget bagun tidur badan kerasa enteng sukses trus buat ningrum care,pelayanan bagus dokter kooperatif menjelaskan perawat sama dokternya ramah harga terjangkau infus boosternya manjur muajarap baget bagun tidur badan kerasa enteng sukses trus buat ningrum care,Pelayanan,Positif,0.9951
Kesehatan,Klinik & Praktek Dokter,Praktek Dokter Umum dr. Vivi,5,28,Fuji Isnawati,5,2026-02-25T08:44:07.125Z,Pelayanan bagus dokternya ramah sekali tempatnya dingin,pelayanan bagus dokternya ramah sekali tempatnya dingin,pelayanan bagus dokternya ramah sekali tempatnya dingin,pelayanan bagus dokternya ramah tempatnya dingin,Pelayanan,Positif,0.9966
Kesehatan,Klinik & Praktek Dokter,Praktek Dokter Umum dr. Vivi,5,28,Ardita Ayun,5,2026-02-17T08:42:44.772Z,"Dokternya dan perawatnya sangat ramah, pelayanan cepat, tempatnya nyaman bersih dan sejuk.",dokternya dan perawatnya sangat ramah pelayanan cepat tempatnya nyaman bersih dan sejuk,dokternya dan perawatnya sangat ramah pelayanan cepat tempatnya nyaman bersih dan sejuk,dokternya perawatnya ramah pelayanan cepat tempatnya nyaman bersih sejuk,Pelayanan,Positif,0.9965
Kesehatan,Klinik & Praktek Dokter,Praktek Dokter Umum dr. Vivi,5,28,Hanif Pranata,5,2026-02-09T12:41:15.324Z,"Pelayanan baik, memuaskan",pelayanan baik memuaskan,pelayanan baik memuaskan,pelayanan baik memuaskan,Pelayanan,Positif,0.9949
Kesehatan,Klinik & Praktek Dokter,Praktek Dokter Umum dr. Vivi,5,28,asma'iya 17,5,2026-02-05T12:59:12.228Z,"Dokternya ramah dan sangat informatif , adminnya juga ramah. Harganya sangat terjangkau. Sangat rekomended berobat disini apalagi yang rumahnya dekat.",dokternya ramah dan sangat informatif adminnya juga ramah harganya sangat terjangkau sangat rekomended berobat disini apalagi yang rumahnya dekat,dokternya ramah dan sangat informatif adminnya juga ramah harganya sangat terjangkau sangat rekomended berobat disini apalagi yang rumahnya dekat,dokternya ramah informatif adminnya ramah harganya terjangkau rekomended berobat disini apalagi rumahnya dekat,Pelayanan,Positif,0.9973
Kesehatan,Klinik & Praktek Dokter,Praktek Dokter Umum dr. Vivi,5,28,Biratama Putri,5,2026-02-04T11:02:48.312Z,Bagus dan pelayanan ramah,bagus dan pelayanan ramah,bagus dan pelayanan ramah,bagus pelayanan ramah,Pelayanan,Positif,0.9967
Kesehatan,Klinik & Praktek Dokter,Praktek Dokter Umum dr. Vivi,5,28,Novita Amelia,5,2026-02-04T11:01:37.115Z,"pelayanan ramah, cepat, dan harga terjangkau😍",pelayanan ramah cepat dan harga terjangkau,pelayanan ramah cepat dan harga terjangkau,pelayanan ramah cepat harga terjangkau,Pelayanan,Positif,0.9963
Kesehatan,Klinik & Praktek Dokter,Praktek Dokter Umum dr. Vivi,5,28,Retro Saputra,5,2026-02-04T08:55:53.072Z,"Pelayanan ramah, tempatnya juga terasa klasik bersih dan nyaman Dokternya juga respect banget dan ramah. Makasih ya🙏🏻😊",pelayanan ramah tempatnya juga terasa klasik bersih dan nyaman dokternya juga respect banget dan ramah makasih ya,pelayanan ramah tempatnya juga terasa klasik bersih dan nyaman dokternya juga respect banget dan ramah makasih ya,pelayanan ramah tempatnya terasa klasik bersih nyaman dokternya respect banget ramah makasih ya,Pelayanan,Positif,0.9961
Kesehatan,Klinik & Praktek Dokter,Praktek Dokter Umum dr. Vivi,5,28,Qathrunnada Salsabila,5,2026-01-29T09:37:42.555Z,"Pelayanan sangat baik, fasilitas bagus, dokter menjawab semua pertanyaan pasien dan sangat informatif ✨",pelayanan sangat baik fasilitas bagus dokter menjawab semua pertanyaan pasien dan sangat informatif,pelayanan sangat baik fasilitas bagus dokter menjawab semua pertanyaan pasien dan sangat informatif,pelayanan baik fasilitas bagus dokter menjawab semua pertanyaan pasien informatif,Pelayanan,Positif,0.9902
Kesehatan,Klinik & Praktek Dokter,Praktek Dokter Umum dr. Vivi,5,28,Putri Devisa,5,2026-01-28T10:49:20.066Z,"Pelayanan ramah, cepet dan dokter juga perawatnya baik.",pelayanan ramah cepet dan dokter juga perawatnya baik,pelayanan ramah cepet dan dokter juga perawatnya baik,pelayanan ramah cepet dokter perawatnya baik,Pelayanan,Positif,0.9949
Kesehatan,Klinik & Praktek Dokter,Praktek Dokter Umum dr. Vivi,5,28,amelia firdatin,5,2026-01-28T09:50:24.470Z,Joss. Pelayanan bagus. Cepat,joss pelayanan bagus cepat,joss pelayanan bagus cepat,joss pelayanan bagus cepat,Pelayanan,Positif,0.9957
Kesehatan,Klinik & Praktek Dokter,Praktek Dokter Umum dr. Vivi,5,28,Den Noise,5,2026-01-17T14:41:56.175Z,"Periksa disini sangat menyenangkan, sakit jadi gak kerasa sakit. Dokternya kalau ngejelasin jelas dan mudah di pahami, malah dijelaskan lewat gambar. The best pokoknya dokternya. Perawatnya cekatan dan ramah, suka bercanda. Harga terjangkau. Sukses buat ningrum care",periksa disini sangat menyenangkan sakit jadi gak kerasa sakit dokternya kalau ngejelasin jelas dan mudah di pahami malah dijelaskan lewat gambar the best pokoknya dokternya perawatnya cekatan dan ramah suka bercanda harga terjangkau sukses buat ningrum care,periksa disini sangat menyenangkan sakit jadi tidak kerasa sakit dokternya kalau ngejelasin jelas dan mudah di pahami malah dijelaskan lewat gambar the best pokoknya dokternya perawatnya cekatan dan ramah suka bercanda harga terjangkau sukses buat ningrum care,periksa disini menyenangkan sakit jadi kerasa sakit dokternya ngejelasin jelas mudah pahami malah dijelaskan lewat gambar the best pokoknya dokternya perawatnya cekatan ramah suka bercanda harga terjangkau sukses buat ningrum care,Pelayanan,Positif,0.9972
Kesehatan,Klinik & Praktek Dokter,Praktek Dokter Umum dr. Vivi,5,28,Mela Mela,5,2026-01-17T12:29:14.898Z,Dokter sama perawatnya rama pelayanan nya bagus sukses selalu buat ningrum care 🤩,dokter sama perawatnya rama pelayanan nya bagus sukses selalu buat ningrum care,dokter sama perawatnya rama pelayanan nya bagus sukses selalu buat ningrum care,dokter sama perawatnya rama pelayanan bagus sukses selalu buat ningrum care,Pelayanan,Positif,0.9937
Kesehatan,Klinik & Praktek Dokter,Praktek Dokter Umum dr. Vivi,5,28,Alley God,5,2026-01-17T05:32:06.949Z,Pelayanannya ramah dokter sama perawatnya cekatan harga terjangkau pokok nya GK mengecewahkan kalau berobat disini.  Sukses trus buat Ningrum care👍👍,pelayanannya ramah dokter sama perawatnya cekatan harga terjangkau pokok nya gk mengecewahkan kalau berobat disini sukses trus buat ningrum care,pelayanannya ramah dokter sama perawatnya cekatan harga terjangkau pokok nya tidak mengecewahkan kalau berobat disini sukses trus buat ningrum care,pelayanannya ramah dokter sama perawatnya cekatan harga terjangkau pokok mengecewahkan berobat disini sukses trus buat ningrum care,Pelayanan,Positif,0.9967
Kesehatan,Klinik & Praktek Dokter,Praktek Dokter Umum dr. Vivi,5,28,Wakhit Setiawan,5,2026-01-14T13:55:45.228Z,Pelayanan sangat memuaskan,pelayanan sangat memuaskan,pelayanan sangat memuaskan,pelayanan memuaskan,Pelayanan,Positif,0.996
Kesehatan,Klinik & Praktek Dokter,Praktek Dokter Umum dr. Vivi,5,28,Rizki romadhona,5,2026-01-07T10:26:53.470Z,Pelayanannya ramah dokter sama perawatnya cekatan harga terjangkau pokok nya GK mengecewahkan kalau berobat disini bisa Home care juga loh  Sukses trus buat Ningrum care ☺️🫶,pelayanannya ramah dokter sama perawatnya cekatan harga terjangkau pokok nya gk mengecewahkan kalau berobat disini bisa home care juga loh sukses trus buat ningrum care,pelayanannya ramah dokter sama perawatnya cekatan harga terjangkau pokok nya tidak mengecewahkan kalau berobat disini bisa home care juga loh sukses trus buat ningrum care,pelayanannya ramah dokter sama perawatnya cekatan harga terjangkau pokok mengecewahkan berobat disini home care loh sukses trus buat ningrum care,Pelayanan,Positif,0.9967
Kesehatan,Klinik & Praktek Dokter,Praktek Dokter Umum dr. Vivi,5,28,Erna Susanti,5,2026-01-06T15:17:51.168Z,"perawatnya ramah dan cekatan , tempatnya bersih dan nyaman ❤️",perawatnya ramah dan cekatan tempatnya bersih dan nyaman,perawatnya ramah dan cekatan tempatnya bersih dan nyaman,perawatnya ramah cekatan tempatnya bersih nyaman,Pelayanan,Positif,0.9965
Kesehatan,Klinik & Praktek Dokter,Praktek Dokter Umum dr. Vivi,5,28,Kron Maulana23,5,2026-01-06T11:48:05.052Z,Mantap sekali 🔥🔥🔥🔥,mantap sekali,bagus sekali,bagus,Lainnya,Positif,0.9961
Kesehatan,Klinik & Praktek Dokter,Praktek Dokter Umum dr. Vivi,5,28,Adinda Putri,5,2026-01-06T08:54:51.452Z,"Praktekny di greenhill, tempatnya strategis deket jalan utama, dokternya ramaahhh baikk hati kalo tanya2 jd gak sungkan. Yg paling penting bisa ditelp dadakan dan mau membantu meskipun klinik lg tutup tp tetep diterima dan ditangani huhuu terima kasih dokter viviii❤❤❤",praktekny di greenhill tempatnya strategis deket jalan utama dokternya ramaahhh baikk hati kalo tanya2 jd gak sungkan yg paling penting bisa ditelp dadakan dan mau membantu meskipun klinik lg tutup tp tetep diterima dan ditangani huhuu terima kasih dokter viviii,praktekny di greenhill tempatnya strategis deket jalan utama dokternya ramaahhh baikk hati kalo tanya2 jd tidak sungkan yang paling penting bisa ditelp dadakan dan mau membantu meskipun klinik lg tutup tapi tetep diterima dan ditangani huhuu terima kasih dokter viviii,praktekny greenhill tempatnya strategis deket jalan utama dokternya ramaahhh baikk hati kalo tanya2 jd sungkan paling penting ditelp dadakan mau membantu meskipun klinik lg tutup tetep diterima ditangani huhuu terima kasih dokter viviii,Kesehatan,Positif,0.9933
Kesehatan,Klinik & Praktek Dokter,Praktek Dokter Umum dr. Vivi,5,28,epok fox,5,2025-12-31T10:58:09.578Z,Ibu docter baik friendly tebaik la👍👍👍,ibu docter baik friendly tebaik la,ibu docter baik friendly tebaik la,ibu docter baik friendly tebaik la,Lainnya,Positif,0.9875
Kesehatan,Klinik & Praktek Dokter,Praktek Dokter Umum dr. Vivi,5,28,elQieZhara Channel,5,2025-12-31T10:35:53.350Z,"Pelayanan maksimal, biaya terjangkau dan ramah .. pokoke The best lah klo periksa atau berobat ke klinik dr. Vivi. Thx Bu dokter",pelayanan maksimal biaya terjangkau dan ramah pokoke the best lah klo periksa atau berobat ke klinik dr vivi thx bu dokter,pelayanan maksimal biaya terjangkau dan ramah pokoke the best lah kalau periksa atau berobat ke klinik dari vivi thx bu dokter,pelayanan maksimal biaya terjangkau ramah pokoke the best periksa berobat klinik vivi thx bu dokter,Pelayanan,Positif,0.9914
Kesehatan,Klinik & Praktek Dokter,Praktek Dokter Umum dr. Vivi,5,28,Irani Ulieana,5,2025-11-02T22:55:40.481Z,"Pelayanan the best, bisa home care juga. Dokter informatif & cekatan, obat suntik yg dikasih langsung kerasa di badan jadi enakan. Sukses terus buat ningrum care & Dokvi",pelayanan the best bisa home care juga dokter informatif cekatan obat suntik yg dikasih langsung kerasa di badan jadi enakan sukses terus buat ningrum care dokvi,pelayanan the best bisa home care juga dokter informatif cekatan obat suntik yang dikasih langsung kerasa di badan jadi enakan sukses terus buat ningrum care dokvi,pelayanan the best home care dokter informatif cekatan obat suntik dikasih langsung kerasa badan jadi enakan sukses terus buat ningrum care dokvi,Pelayanan,Positif,0.996
Kesehatan,Klinik & Praktek Dokter,Praktek Dokter Umum dr. Vivi,5,28,Sinta Dwi Apriliya,5,2024-12-06T11:41:16.603Z,Pelayanan nya bagus👍,pelayanan nya bagus,pelayanan nya bagus,pelayanan bagus,Pelayanan,Positif,0.9969
