Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Perbankan,PT Bank Mandiri KCP Gresik Manyar,4.7,352,Since 2014,5,2026-07-17T02:45:02.848Z,Teller dan scrty ramaah dan gercep,teller dan scrty ramaah dan gercep,teller dan scrty ramaah dan gercep,teller scrty ramaah gercep,Lainnya,Netral,0.8525
Perbankan,PT Bank Mandiri KCP Gresik Manyar,4.7,352,Muhammad Birrul,5,2026-07-15T05:19:39.956Z,Teller ramah dan cepat,teller ramah dan cepat,teller ramah dan cepat,teller ramah cepat,Pelayanan,Negatif,0.9927
Perbankan,PT Bank Mandiri KCP Gresik Manyar,4.7,352,Edi Edi,5,2026-07-14T02:34:24.073Z,Teller nya ramah dan cepet,teller nya ramah dan cepet,teller nya ramah dan cepet,teller ramah cepet,Pelayanan,Negatif,0.9938
Perbankan,PT Bank Mandiri KCP Gresik Manyar,4.7,352,Tantri Ramya,5,2026-07-02T11:46:16.162Z,Good service,good service,good service,good service,Lainnya,Negatif,0.9922
Perbankan,PT Bank Mandiri KCP Gresik Manyar,4.7,352,Meydina Anugrahaini,3,2026-07-01T02:21:13.829Z,"Pukul 08.04 pintu baru dibuka, 08.10 msih still menunggu CS masih belum ready melayani..",pukul pintu baru dibuka msih still menunggu cs masih belum ready melayani,pukul pintu baru dibuka msih still menunggu cs masih belum ready melayani,pukul pintu dibuka msih still menunggu cs ready melayani,Lainnya,Netral,0.9216
Perbankan,PT Bank Mandiri KCP Gresik Manyar,4.7,352,Ilman Oryza,5,2026-06-05T02:57:45.188Z,"Cabang baru, bangunan makin bagus, suka sama designnya, pelayanan jg cepat, proses kredit mikro juga cepat, petugas ramah",cabang baru bangunan makin bagus suka sama designnya pelayanan jg cepat proses kredit mikro juga cepat petugas ramah,cabang baru bangunan makin bagus suka sama designnya pelayanan juga cepat proses kredit mikro juga cepat petugas ramah,cabang bangunan makin bagus suka sama designnya pelayanan cepat proses kredit mikro cepat petugas ramah,Pelayanan,Negatif,0.9973
Perbankan,PT Bank Mandiri KCP Gresik Manyar,4.7,352,Febrin Nur fianti,5,2026-06-04T07:11:39.202Z,Cs nya cepat,cs nya cepat,cs nya cepat,cs cepat,Pelayanan,Negatif,0.979
Perbankan,PT Bank Mandiri KCP Gresik Manyar,4.7,352,Rozaq Akhmad,5,2026-06-04T01:42:41.000Z,Pelayanan baik dan cepat,pelayanan baik dan cepat,pelayanan baik dan cepat,pelayanan baik cepat,Pelayanan,Negatif,0.9949
Perbankan,PT Bank Mandiri KCP Gresik Manyar,4.7,352,Ian Fabregas,5,2026-06-02T01:55:12.288Z,Layanan ramah dan cepat,layanan ramah dan cepat,layanan ramah dan cepat,layanan ramah cepat,Pelayanan,Negatif,0.9952
Perbankan,PT Bank Mandiri KCP Gresik Manyar,4.7,352,nanik 09,5,2026-05-21T12:04:22.147Z,Pelayanan teller kak Sherly cepat dan ramah🤩👍 cabangnya besar dan harum👍👍,pelayanan teller kak sherly cepat dan ramah cabangnya besar dan harum,pelayanan teller kak sherly cepat dan ramah cabangnya besar dan harum,pelayanan teller kak sherly cepat ramah cabangnya besar harum,Pelayanan,Negatif,0.9961
