Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Pendidikan,PT.BISMA INDO RAYA,5,18,Erick Ervana,5,2022-07-31T12:13:11.469Z,Semoga semakin goooo maju,semoga semakin goooo maju,semoga semakin goooo maju,semoga semakin goooo maju,Lainnya,Negatif,0.9789
Pendidikan,PT.BISMA INDO RAYA,5,18,Ilham Ilham,5,2021-11-12T08:42:13.802Z,"Perusahaan Perlengkapan Jalan Profesional, Kreatifitas tinggi serta Pengembangan Teknologi Luar Biasa",perusahaan perlengkapan jalan profesional kreatifitas tinggi serta pengembangan teknologi luar biasa,perusahaan perlengkapan jalan profesional kreatifitas tinggi serta pengembangan teknologi luar biasa,perusahaan perlengkapan jalan profesional kreatifitas tinggi serta pengembangan teknologi luar biasa,Infrastruktur,Netral,0.6187
Pendidikan,PT.BISMA INDO RAYA,5,18,affan rz,5,2021-03-19T05:40:37.529Z,Ikut bangga dengan hasil produk yang berbasis bahan baku negeri sendiri... Maju terus inovasi anak negri,ikut bangga dengan hasil produk yang berbasis bahan baku negeri sendiri maju terus inovasi anak negri,ikut bangga dengan hasil produk yang berbasis bahan baku negeri sendiri maju terus inovasi anak negri,ikut bangga hasil produk berbasis bahan baku negeri sendiri maju terus inovasi anak negri,Lainnya,Negatif,0.9933
Pendidikan,PT.BISMA INDO RAYA,5,18,Dorkas Daniek,5,2020-02-06T06:32:43.045Z,Mantap,mantap,bagus,bagus,Lainnya,Negatif,0.9961
Pendidikan,PT.BISMA INDO RAYA,5,18,must tyothest,5,2020-02-06T05:17:35.873Z,Cat dan marka jalan sudah banyak tersebar di Tol  Jawa,cat dan marka jalan sudah banyak tersebar di tol jawa,cat dan marka jalan sudah banyak tersebar di tol jawa,cat marka jalan banyak tersebar tol jawa,Infrastruktur,Netral,0.9692
Pendidikan,PT.BISMA INDO RAYA,5,18,DOe Kris,5,2020-02-06T05:13:05.101Z,distributor pengerjaan jalan raya yg lagi hits,distributor pengerjaan jalan raya yg lagi hits,distributor pengerjaan jalan raya yang lagi hits,distributor pengerjaan jalan raya hits,Infrastruktur,Netral,0.9826
Pendidikan,PT.BISMA INDO RAYA,5,18,Indria Solichah,5,2020-02-06T04:57:57.924Z,Pekerjaan Bagus ... maju terus dan semangat,pekerjaan bagus maju terus dan semangat,pekerjaan bagus maju terus dan semangat,pekerjaan bagus maju terus semangat,Lainnya,Negatif,0.9927
Pendidikan,PT.BISMA INDO RAYA,5,18,Nur Kholis,5,2020-02-05T13:05:47.548Z,BISMA GROUP yes,bisma group yes,bisma group yes,bisma group yes,Lainnya,Netral,0.991
Pendidikan,PT.BISMA INDO RAYA,5,18,Izal 39,5,2020-02-05T11:37:20.945Z,Pelayanan cepat,pelayanan cepat,pelayanan cepat,pelayanan cepat,Pelayanan,Negatif,0.9954
Pendidikan,PT.BISMA INDO RAYA,5,18,Tejo Keren,5,2020-02-05T11:19:10.196Z,"Cat markanya oke, rambunya berkualitas",cat markanya oke rambunya berkualitas,cat markanya oke rambunya berkualitas,cat markanya oke rambunya berkualitas,Lainnya,Negatif,0.9963
Pendidikan,PT.BISMA INDO RAYA,5,18,Sukri Ridho,5,2020-02-05T11:04:29.462Z,"Pelayanan bagu, cepat, barang lengkap.",pelayanan bagu cepat barang lengkap,pelayanan bagu cepat barang lengkap,pelayanan bagu cepat barang lengkap,Pelayanan,Negatif,0.9908
