Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Apotek & Farmasi,PT. Hacaca setio abadi central wringinanom,3.5,25,Damian Permana,1,2026-07-03T00:47:25.184Z,bongkaran gudang garudafood.. Antrian nya ga jelas... Gak sesuai urutan bongkar nya...,bongkaran gudang garudafood antrian nya ga jelas gak sesuai urutan bongkar nya,bongkaran gudang garudafood antrian nya tidak jelas tidak sesuai urutan bongkar nya,bongkaran gudang garudafood antrian jelas sesuai urutan bongkar,Pelayanan,Netral,0.9637
Kesehatan,Apotek & Farmasi,PT. Hacaca setio abadi central wringinanom,3.5,25,Anas syarafhuddin,5,2025-10-30T12:07:37.269Z,Good job,good job,good job,good job,Lainnya,Positif,0.993
Kesehatan,Apotek & Farmasi,PT. Hacaca setio abadi central wringinanom,3.5,25,Achmadainur Rochman,5,2025-08-25T13:19:19.505Z,Mantap sekali,mantap sekali,bagus sekali,bagus,Lainnya,Positif,0.9961
Kesehatan,Apotek & Farmasi,PT. Hacaca setio abadi central wringinanom,3.5,25,Roby,4,2025-08-12T09:49:15.493Z,Apakah ada lowongan kerja,apakah ada lowongan kerja,apakah ada lowongan kerja,apakah lowongan kerja,Lainnya,Netral,0.9482
Kesehatan,Apotek & Farmasi,PT. Hacaca setio abadi central wringinanom,3.5,25,Aditia Sugiarto,5,2025-07-25T09:57:01.274Z,komplex pergudangan yg lengkap dan modern,komplex pergudangan yg lengkap dan modern,komplex pergudangan yang lengkap dan modern,komplex pergudangan lengkap modern,Lainnya,Positif,0.9077
Kesehatan,Apotek & Farmasi,PT. Hacaca setio abadi central wringinanom,3.5,25,MAS_AL intan212,3,2025-04-15T16:14:59.217Z,Apa ada lowongan pekerjaan untuk perempuan 🙏🏻,apa ada lowongan pekerjaan untuk perempuan,apa ada lowongan pekerjaan untuk perempuan,apa lowongan pekerjaan perempuan,Lainnya,Netral,0.5526
Kesehatan,Apotek & Farmasi,PT. Hacaca setio abadi central wringinanom,3.5,25,Toffan_ A.S,5,2024-10-01T11:40:38.275Z,Apakah ada lowongan pekerjaan di sini,apakah ada lowongan pekerjaan di sini,apakah ada lowongan pekerjaan di sini,apakah lowongan pekerjaan sini,Lainnya,Netral,0.9689
Kesehatan,Apotek & Farmasi,PT. Hacaca setio abadi central wringinanom,3.5,25,muhammad rifai,5,2024-05-20T08:57:51.534Z,Mantap,mantap,bagus,bagus,Lainnya,Positif,0.9961
Kesehatan,Apotek & Farmasi,PT. Hacaca setio abadi central wringinanom,3.5,25,ZERO WELL,1,2022-05-12T09:28:38.598Z,"Mesin produksi eva settingannya terlalu cepat,walaupun g ada target Istirahat 30 mnt Sampai"" g bisa ke wc durasi normal(gopoh)",mesin produksi eva settingannya terlalu cepat walaupun g ada target istirahat mnt sampai g bisa ke wc durasi normal gopoh,mesin produksi eva settingannya terlalu cepat walaupun g ada target istirahat mnt sampai g bisa ke wc durasi normal gopoh,mesin produksi eva settingannya terlalu cepat walaupun target istirahat mnt sampai wc durasi normal gopoh,Pelayanan,Negatif,0.9958
Kesehatan,Apotek & Farmasi,PT. Hacaca setio abadi central wringinanom,3.5,25,Aguz Rianto,2,2022-03-20T04:54:59.037Z,Apa di pabrik ini ada sandal ob nya,apa di pabrik ini ada sandal ob nya,apa di pabrik ini ada sandal ob nya,apa pabrik sandal ob,Lainnya,Netral,0.9191
Kesehatan,Apotek & Farmasi,PT. Hacaca setio abadi central wringinanom,3.5,25,Bungzu Suak,4,2021-05-20T03:10:36.274Z,"Suka,, Pingin kerja..",suka pingin kerja,suka pingin kerja,suka pingin kerja,Lainnya,Positif,0.9929
Kesehatan,Apotek & Farmasi,PT. Hacaca setio abadi central wringinanom,3.5,25,Adhi Rantau Wicaksono,5,2018-01-03T15:36:32.974Z,indah dari Atass,indah dari atass,indah dari atass,indah atass,Lainnya,Positif,0.9938
