Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Apotek & Farmasi,PT. HERBACORE,4.7,28,Rahmadila Abila Fitri,5,2026-02-08T11:21:12.640Z,Nyaman,nyaman,nyaman,nyaman,Fasilitas,Positif,0.9972
Kesehatan,Apotek & Farmasi,PT. HERBACORE,4.7,28,budi makmur,5,2025-03-06T04:31:00.493Z,"Pabrik herbal, lokasi luas sejuk",pabrik herbal lokasi luas sejuk,pabrik herbal lokasi luas sejuk,pabrik herbal lokasi luas sejuk,Lainnya,Positif,0.9924
Kesehatan,Apotek & Farmasi,PT. HERBACORE,4.7,28,Zavier & Nafara Taekwondo,5,2023-07-14T16:08:59.214Z,Pabrik yang cukup luas,pabrik yang cukup luas,pabrik yang cukup luas,pabrik cukup luas,Lainnya,Positif,0.9727
Kesehatan,Apotek & Farmasi,PT. HERBACORE,4.7,28,Keysa Octavia,5,2021-09-17T01:13:38.072Z,Asri,asri,asri,asri,Lainnya,Positif,0.9951
Kesehatan,Apotek & Farmasi,PT. HERBACORE,4.7,28,CebolL,5,2021-03-17T11:14:57.902Z,Jam kerjanya hari apa dan sampai jam berapa?,jam kerjanya hari apa dan sampai jam berapa,jam kerjanya hari apa dan sampai jam berapa,jam kerjanya hari apa sampai jam berapa,Lainnya,Netral,0.9419
Kesehatan,Apotek & Farmasi,PT. HERBACORE,4.7,28,May Lukmana,5,2021-01-26T08:32:48.828Z,"Banyak pohon di pabrik sehingga sejuk, ini salah satu tanaman yg terdapat di PT Herbacore",banyak pohon di pabrik sehingga sejuk ini salah satu tanaman yg terdapat di pt herbacore,banyak pohon di pabrik sehingga sejuk ini salah satu tanaman yang terdapat di pt herbacore,banyak pohon pabrik sehingga sejuk salah satu tanaman terdapat pt herbacore,Fasilitas,Positif,0.5683
Kesehatan,Apotek & Farmasi,PT. HERBACORE,4.7,28,Abdur Rahman,5,2020-11-26T08:43:26.154Z,Besar,besar,besar,besar,Lainnya,Positif,0.9835
Kesehatan,Apotek & Farmasi,PT. HERBACORE,4.7,28,PUR WANTORO,5,2019-12-31T10:46:17.747Z,Seru,seru,seru,seru,Lainnya,Positif,0.997
Kesehatan,Apotek & Farmasi,PT. HERBACORE,4.7,28,Sella Artanti,4,2019-07-05T23:49:22.916Z,Pabrik ter steril,pabrik ter steril,pabrik ter steril,pabrik ter steril,Lainnya,Positif,0.5179
Kesehatan,Apotek & Farmasi,PT. HERBACORE,4.7,28,non valent,5,2019-07-04T01:32:06.090Z,Jamu,jamu,jamu,jamu,Lainnya,Positif,0.9354
Kesehatan,Apotek & Farmasi,PT. HERBACORE,4.7,28,Mei Purwantoro,5,2019-04-21T10:10:28.086Z,Baik,baik,baik,baik,Lainnya,Positif,0.9844
Kesehatan,Apotek & Farmasi,PT. HERBACORE,4.7,28,Choirul Hadi Fakhri,5,2019-02-27T14:32:19.976Z,Herbs Medicine & Processing Industry,herbs medicine processing industry,herbs medicine processing industry,herbs medicine processing industry,Lainnya,Netral,0.9872
Kesehatan,Apotek & Farmasi,PT. HERBACORE,4.7,28,Tzadkiel channel,5,2019-01-16T15:39:32.581Z,Nice,nice,nice,nice,Lainnya,Positif,0.9923
Kesehatan,Apotek & Farmasi,PT. HERBACORE,4.7,28,Nasi Kotak Muah Gresik,4,2018-09-28T21:12:14.505Z,Produk herbal,produk herbal,produk herbal,produk herbal,Lainnya,Positif,0.8468
Kesehatan,Apotek & Farmasi,PT. HERBACORE,4.7,28,melati puspitasari,5,2017-12-05T23:23:38.076Z,It is industri who made traditional medicine,it is industri who made traditional medicine,it is industri who made traditional medicine,it is industri who made traditional medicine,Lainnya,Netral,0.6667
