Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Pendidikan,PT. KIA Keramik Mas Cileungsi Plant 2,3.7,50,Sri Wahyuni,2,2026-05-24T11:55:15.792Z,Ada info mengenai sales penjualan?,ada info mengenai sales penjualan,ada info mengenai sales penjualan,info mengenai sales penjualan,Lainnya,Netral,0.9938
Pendidikan,PT. KIA Keramik Mas Cileungsi Plant 2,3.7,50,Fadli Taufiq,1,2026-05-14T04:45:50.143Z,tolong perbaiki link nya sudah busuk susah untuk masuk nya ini,tolong perbaiki link nya sudah busuk susah untuk masuk nya ini,tolong perbaiki link nya sudah busuk susah untuk masuk nya ini,tolong perbaiki link busuk susah masuk,Lainnya,Negatif,0.9953
Pendidikan,PT. KIA Keramik Mas Cileungsi Plant 2,3.7,50,Ismail Teuku,4,2026-02-08T16:00:53.295Z,Boleh saya mintak nomor kontak penjualan ?,boleh saya mintak nomor kontak penjualan,boleh saya mintak nomor kontak penjualan,boleh mintak nomor kontak penjualan,Lainnya,Netral,0.9976
Pendidikan,PT. KIA Keramik Mas Cileungsi Plant 2,3.7,50,Bowo Santoso,1,2025-05-03T04:26:02.687Z,"Kok telpon nya daerah Karo Medan, ini bener KIA atau bukan",kok telpon nya daerah karo medan ini bener kia atau bukan,kok telpon nya daerah karo medan ini bener kia atau bukan,kok telpon daerah karo medan bener kia bukan,Lainnya,Negatif,0.9282
Pendidikan,PT. KIA Keramik Mas Cileungsi Plant 2,3.7,50,IRPAN Nolastname,2,2025-01-06T22:23:41.373Z,Apakah keramik bs san/rijek pabrik boleh di jual? Saya beli kramik bs san KIa warnanya pada belang2,apakah keramik bs san rijek pabrik boleh di jual saya beli kramik bs san kia warnanya pada belang2,apakah keramik bs san rijek pabrik boleh di jual saya beli kramik bs san kia warnanya pada belang2,apakah keramik bs san rijek pabrik boleh jual beli kramik bs san kia warnanya belang2,Lainnya,Negatif,0.5609
Pendidikan,PT. KIA Keramik Mas Cileungsi Plant 2,3.7,50,aris tobe,5,2024-02-22T09:05:32.633Z,"Pabrik KIA C asri , adem",pabrik kia c asri adem,pabrik kia c asri adem,pabrik kia asri adem,Lainnya,Positif,0.9769
Pendidikan,PT. KIA Keramik Mas Cileungsi Plant 2,3.7,50,Sella Novita,1,2023-10-21T03:27:08.433Z,"Bapak saya kemarin beli keramik disini. Sudah pilih keramiknya, sudah lunas pembayarannya. Besoknya mau diambil, sudah effort bawa pickup. Ternyata keramik yg dipesan kemarin stoknya tidak ada/habis. Karyawan tidak ada solusi sama sekali, tidak bertanggung jawab. Ini gimana stok opnamenya kok bisa ada kesalahan fatal. Akhirnya mau gamau pilih keramik yg warnanya sama sekali ga sinkron apa yg kita mau. Keramik itu buat jangka panjang pak/bu, lain kali diperhatikan. Kalau stoknya gak ada mending gausah didisplay. Belajar buat stok opname lagi, biar ga merugikan orang lain.",bapak saya kemarin beli keramik disini sudah pilih keramiknya sudah lunas pembayarannya besoknya mau diambil sudah effort bawa pickup ternyata keramik yg dipesan kemarin stoknya tidak ada habis karyawan tidak ada solusi sama sekali tidak bertanggung jawab ini gimana stok opnamenya kok bisa ada kesalahan fatal akhirnya mau gamau pilih keramik yg warnanya sama sekali ga sinkron apa yg kita mau keramik itu buat jangka panjang pak bu lain kali diperhatikan kalau stoknya gak ada mending gausah didisplay belajar buat stok opname lagi biar ga merugikan orang lain,bapak saya kemarin beli keramik disini sudah pilih keramiknya sudah lunas pembayarannya besoknya mau diambil sudah effort bawa pickup ternyata keramik yang dipesan kemarin stoknya tidak ada habis karyawan tidak ada solusi sama sekali tidak bertanggung jawab ini gimana stok opnamenya kok bisa ada kesalahan fatal akhirnya mau gamau pilih keramik yang warnanya sama sekali tidak sinkron apa yang kita mau keramik itu buat jangka panjang pak bu lain kali diperhatikan kalau stoknya tidak ada mending gausah didisplay belajar buat stok opname lagi biar tidak merugikan orang lain,bapak kemarin beli keramik disini pilih keramiknya lunas pembayarannya besoknya mau diambil effort bawa pickup ternyata keramik dipesan kemarin stoknya habis karyawan solusi sama bertanggung jawab gimana stok opnamenya kok kesalahan fatal akhirnya mau gamau pilih keramik warnanya sama sinkron apa mau keramik buat jangka panjang pak bu lain kali diperhatikan stoknya mending gausah didisplay belajar buat stok opname biar merugikan orang lain,Lainnya,Negatif,0.989
Pendidikan,PT. KIA Keramik Mas Cileungsi Plant 2,3.7,50,CV. Dua Jaya Abadi,5,2023-08-26T10:09:41.019Z,bisa minta kontak Sales penjualan?,bisa minta kontak sales penjualan,bisa minta kontak sales penjualan,minta kontak sales penjualan,Lainnya,Netral,0.9975
Pendidikan,PT. KIA Keramik Mas Cileungsi Plant 2,3.7,50,Don Dodson,1,2022-11-16T00:14:27.388Z,Manajemen buruk,manajemen buruk,manajemen buruk,manajemen buruk,Lainnya,Negatif,0.998
Pendidikan,PT. KIA Keramik Mas Cileungsi Plant 2,3.7,50,Dendaa Adebayor,5,2022-07-10T06:08:46.645Z,"Izin bertanaya ka, apakah PT. KIA ada kebutuhan untuk batu bara? Jika ada saya ingin menawarkan batu bara ke PT. KIA, adakah kontak yg bisa saya hubungi untuk penawaran ini?  Best regards Denda aderyana",izin bertanaya ka apakah pt kia ada kebutuhan untuk batu bara jika ada saya ingin menawarkan batu bara ke pt kia adakah kontak yg bisa saya hubungi untuk penawaran ini best regards denda aderyana,izin bertanaya ka apakah pt kia ada kebutuhan untuk batu bara jika ada saya ingin menawarkan batu bara ke pt kia adakah kontak yang bisa saya hubungi untuk penawaran ini best regards denda aderyana,izin bertanaya ka apakah pt kia kebutuhan batu bara ingin menawarkan batu bara pt kia adakah kontak hubungi penawaran best regards denda aderyana,Administrasi,Netral,0.9948
Pendidikan,PT. KIA Keramik Mas Cileungsi Plant 2,3.7,50,saputra gugun,5,2022-02-24T11:49:09.105Z,Permisi apakah benar pt keramika ada loker ?,permisi apakah benar pt keramika ada loker,permisi apakah benar pt keramika ada loker,permisi apakah benar pt keramika loker,Lainnya,Netral,0.9897
Pendidikan,PT. KIA Keramik Mas Cileungsi Plant 2,3.7,50,Mister F,5,2022-01-03T15:56:26.922Z,Apakah disini tersedia juga genteng keramik?,apakah disini tersedia juga genteng keramik,apakah disini tersedia juga genteng keramik,apakah disini tersedia genteng keramik,Lainnya,Netral,0.9936
Pendidikan,PT. KIA Keramik Mas Cileungsi Plant 2,3.7,50,Robi Suhendar,5,2021-09-16T19:43:00.879Z,Assalamualaikum Mohon maaf sebelumnya saya mau bertanya apakah pt kia menerima murid pkl jurusan otomotif?,assalamualaikum mohon maaf sebelumnya saya mau bertanya apakah pt kia menerima murid pkl jurusan otomotif,assalamualaikum mohon maaf sebelumnya saya mau bertanya apakah pt kia menerima murid pkl jurusan otomotif,assalamualaikum mohon maaf sebelumnya mau bertanya apakah pt kia menerima murid pkl jurusan otomotif,Lainnya,Netral,0.9931
Pendidikan,PT. KIA Keramik Mas Cileungsi Plant 2,3.7,50,Siti Aisyah,5,2021-09-08T07:31:28.414Z,Hasilnya bagus dan rekomended banget,hasilnya bagus dan rekomended banget,hasilnya bagus dan rekomended banget,hasilnya bagus rekomended banget,Lainnya,Positif,0.9969
Pendidikan,PT. KIA Keramik Mas Cileungsi Plant 2,3.7,50,Samudra jaya las (Komeng),5,2021-06-03T13:56:25.343Z,Mantap,mantap,bagus,bagus,Lainnya,Positif,0.9961
Pendidikan,PT. KIA Keramik Mas Cileungsi Plant 2,3.7,50,danu faturrohman,5,2021-01-22T18:54:01.459Z,Saya ucapkan Trimakasih banyak buat semua yg ada di pt. KIA.,saya ucapkan trimakasih banyak buat semua yg ada di pt kia,saya ucapkan trimakasih banyak buat semua yang ada di pt kia,ucapkan trimakasih banyak buat semua pt kia,Lainnya,Netral,0.9176
Pendidikan,PT. KIA Keramik Mas Cileungsi Plant 2,3.7,50,Ikbal Tawakal,5,2020-08-08T15:00:02.964Z,Bang minta no wa nyah boleh,bang minta no wa nyah boleh,bang minta no wa nyah boleh,bang minta no wa nyah boleh,Lainnya,Netral,0.9968
Pendidikan,PT. KIA Keramik Mas Cileungsi Plant 2,3.7,50,adam harry,4,2020-06-09T02:45:59.303Z,Apakah bisa belanja langsung seperti satu kamar 4x4?,apakah bisa belanja langsung seperti satu kamar 4x4,apakah bisa belanja langsung seperti satu kamar 4x4,apakah belanja langsung seperti satu kamar 4x4,Lainnya,Netral,0.9947
Pendidikan,PT. KIA Keramik Mas Cileungsi Plant 2,3.7,50,Elsa Ratulangi,3,2020-05-21T18:07:50.525Z,Min mau nanya dong .gimana cara belanja langsung ke pabrik .syarat2 nya seperti apa  saja .saya jualan keramik juga tapi ngambil dari toko2 .sekarang saya mau belanja langsung ke pabrik,min mau nanya dong gimana cara belanja langsung ke pabrik syarat2 nya seperti apa saja saya jualan keramik juga tapi ngambil dari toko2 sekarang saya mau belanja langsung ke pabrik,min mau nanya dong gimana cara belanja langsung ke pabrik syarat2 nya seperti apa saja saya jualan keramik juga tapi ngambil dari toko2 sekarang saya mau belanja langsung ke pabrik,min mau nanya gimana cara belanja langsung pabrik syarat2 seperti apa saja jualan keramik ngambil toko2 sekarang mau belanja langsung pabrik,Lainnya,Netral,0.9789
Pendidikan,PT. KIA Keramik Mas Cileungsi Plant 2,3.7,50,Aditya Nugroho,5,2019-10-24T04:34:02.788Z,"Muat di KIA Cileungsi parah banget pelayanan nya masuk hari Selasa Sampek hari Kamis gak dimuat2 padahal do nya udah ada di hari Selasa. Pelayanan lelet bgt lebih mementingkan motornya pabrik sendiri ketimbang motor dari luar, thx",muat di kia cileungsi parah banget pelayanan nya masuk hari selasa sampek hari kamis gak dimuat2 padahal do nya udah ada di hari selasa pelayanan lelet bgt lebih mementingkan motornya pabrik sendiri ketimbang motor dari luar thx,muat di kia cileungsi parah banget pelayanan nya masuk hari selasa sampek hari kamis tidak dimuat2 padahal do nya udah ada di hari selasa pelayanan lelet banget lebih mementingkan motornya pabrik sendiri ketimbang motor dari luar thx,muat kia cileungsi parah banget pelayanan masuk hari selasa sampek hari kamis dimuat2 padahal do udah hari selasa pelayanan lelet banget mementingkan motornya pabrik sendiri ketimbang motor luar thx,Pelayanan,Positif,0.9976
Pendidikan,PT. KIA Keramik Mas Cileungsi Plant 2,3.7,50,L Motovlog,1,2019-08-28T00:21:08.848Z,tolong itu selokan yg depan KIA diperbaiki airnya sampe kejalan banyak motor yg kepeleset,tolong itu selokan yg depan kia diperbaiki airnya sampe kejalan banyak motor yg kepeleset,tolong itu selokan yang depan kia diperbaiki airnya sampe kejalan banyak motor yang kepeleset,tolong selokan depan kia diperbaiki airnya sampe kejalan banyak motor kepeleset,Infrastruktur,Negatif,0.8508
Pendidikan,PT. KIA Keramik Mas Cileungsi Plant 2,3.7,50,Alivia Aja,2,2019-01-10T08:59:42.386Z,Lama banget ... pembayaran di print jam 15.13 ...jam 16.00 blm ada keramik nya ..😅😅😅,lama banget pembayaran di print jam jam blm ada keramik nya,lama banget pembayaran di print jam jam belum ada keramik nya,lama banget pembayaran print jam jam keramik,Lainnya,Negatif,0.9973
