Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Pendidikan,PT Sangkaya Makmur Abadi (PT SMA),4.5,41,Rizaldi Cahya,5,2026-06-16T00:16:12.262Z,Adakah nomor marketing yang bisa dihubungi? No yang tertera dimaps tidak terhubung oleh whatsapp mohon dibantu,adakah nomor marketing yang bisa dihubungi no yang tertera dimaps tidak terhubung oleh whatsapp mohon dibantu,adakah nomor marketing yang bisa dihubungi no yang tertera dimaps tidak terhubung oleh whatsapp mohon dibantu,adakah nomor marketing dihubungi no tertera dimaps terhubung whatsapp mohon dibantu,Lainnya,Netral,0.9975
Pendidikan,PT Sangkaya Makmur Abadi (PT SMA),4.5,41,Khoirul Anam,5,2026-05-07T08:47:23.055Z,Makasih yg Uda mengunjungi,makasih yg uda mengunjungi,makasih yang uda mengunjungi,makasih uda mengunjungi,Lainnya,Negatif,0.6593
Pendidikan,PT Sangkaya Makmur Abadi (PT SMA),4.5,41,Indarko Budiutama,5,2026-03-24T19:05:09.966Z,Ramah sopan,ramah sopan,ramah sopan,ramah sopan,Pelayanan,Negatif,0.9931
Pendidikan,PT Sangkaya Makmur Abadi (PT SMA),4.5,41,Cakdi ayaeRyo AyaeRyo,5,2026-02-16T02:46:38.195Z,SMA pancen👍,sma pancen,sma pancen,sma pancen,Lainnya,Positif,0.6991
Pendidikan,PT Sangkaya Makmur Abadi (PT SMA),4.5,41,Lika Violet,4,2026-02-11T04:19:19.453Z,Apa ada lowongan kerja untuk laki laki ? Terimakasih,apa ada lowongan kerja untuk laki laki terimakasih,apa ada lowongan kerja untuk laki laki terimakasih,apa lowongan kerja laki laki terimakasih,Lainnya,Netral,0.8355
Pendidikan,PT Sangkaya Makmur Abadi (PT SMA),4.5,41,Hariri Demak,5,2026-02-09T08:11:25.825Z,Jos jiss,jos jiss,bagus jiss,bagus jiss,Lainnya,Negatif,0.9953
Pendidikan,PT Sangkaya Makmur Abadi (PT SMA),4.5,41,Aditya bagaskara,5,2025-12-24T06:16:22.705Z,Bagus bersih dan Ramah,bagus bersih dan ramah,bagus bersih dan ramah,bagus bersih ramah,Pelayanan,Negatif,0.9968
Pendidikan,PT Sangkaya Makmur Abadi (PT SMA),4.5,41,saipul hasan,4,2025-11-30T13:49:30.626Z,Oke,oke,oke,oke,Lainnya,Negatif,0.9063
Pendidikan,PT Sangkaya Makmur Abadi (PT SMA),4.5,41,Yuni Purwanti,5,2025-10-14T14:50:47.411Z,Pabrik baru di wilayah Sumengko Wringinanom,pabrik baru di wilayah sumengko wringinanom,pabrik baru di wilayah sumengko wringinanom,pabrik wilayah sumengko wringinanom,Lainnya,Netral,0.996
Pendidikan,PT Sangkaya Makmur Abadi (PT SMA),4.5,41,Evi Widiyawati,5,2025-09-25T11:39:19.409Z,"Tempatnya bersih, Bos dan karyawanya ramah",tempatnya bersih bos dan karyawanya ramah,tempatnya bersih bos dan karyawanya ramah,tempatnya bersih bos karyawanya ramah,Pelayanan,Negatif,0.9968
