Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Pendidikan,PT. Sumber Intan Mandiri,4.3,15,Donila Rianu,3,2026-05-11T06:16:37.702Z,Ada lowongan kah ?,ada lowongan kah,ada lowongan kah,lowongan,Lainnya,Netral,0.8241
Pendidikan,PT. Sumber Intan Mandiri,4.3,15,yanti lita,5,2025-06-24T01:55:24.949Z,"Pabrik karton custom yg top. Admin, staff nya ramah dan solutif.",pabrik karton custom yg top admin staff nya ramah dan solutif,pabrik karton custom yang top admin staff nya ramah dan solutif,pabrik karton custom top admin staff ramah solutif,Pelayanan,Positif,0.9328
Pendidikan,PT. Sumber Intan Mandiri,4.3,15,Nasywa Alif87,5,2024-12-06T08:14:46.240Z,ada lowongan apa tidak kak buat cowok umur 19 lulusan smk,ada lowongan apa tidak kak buat cowok umur lulusan smk,ada lowongan apa tidak kak buat cowok umur lulusan smk,lowongan apa kak buat cowok umur lulusan smk,Lainnya,Netral,0.7609
Pendidikan,PT. Sumber Intan Mandiri,4.3,15,Pratiwi Listiya,5,2023-01-31T07:02:17.049Z,"Kualitas kartonnya sangat bagus, pengiriman tepat waktu, berulangkali order disini tidak pernah mengecewakan👍",kualitas kartonnya sangat bagus pengiriman tepat waktu berulangkali order disini tidak pernah mengecewakan,kualitas kartonnya sangat bagus pengiriman tepat waktu berulangkali order disini tidak pernah mengecewakan,kualitas kartonnya bagus pengiriman tepat waktu berulangkali order disini pernah mengecewakan,Lainnya,Positif,0.5016
Pendidikan,PT. Sumber Intan Mandiri,4.3,15,Ervin Mei Priyanti,5,2023-01-31T06:58:19.151Z,"Kwalitas cetakan nya bagus,tulisan kecil2 nya bisa terbaca dengan jelas, pengiriman nya cepat, harga lebih miring, sejauh ini kerjasama sudah beberapa tahun tetap memuaskan untuk kwalitas dan pelayanan nya 😁😁 Terima kasih PT.SIM",kwalitas cetakan nya bagus tulisan kecil2 nya bisa terbaca dengan jelas pengiriman nya cepat harga lebih miring sejauh ini kerjasama sudah beberapa tahun tetap memuaskan untuk kwalitas dan pelayanan nya terima kasih pt sim,kwalitas cetakan nya bagus tulisan kecil2 nya bisa terbaca dengan jelas pengiriman nya cepat harga lebih miring sejauh ini kerjasama sudah beberapa tahun tetap memuaskan untuk kwalitas dan pelayanan nya terima kasih pt sim,kwalitas cetakan bagus tulisan kecil2 terbaca jelas pengiriman cepat harga miring sejauh kerjasama beberapa tahun tetap memuaskan kwalitas pelayanan terima kasih pt sim,Pelayanan,Positif,0.9705
Pendidikan,PT. Sumber Intan Mandiri,4.3,15,Linda Fatimah,5,2023-01-31T06:55:06.541Z,Baik.. 👍👍,baik,baik,baik,Lainnya,Positif,0.9844
Pendidikan,PT. Sumber Intan Mandiri,4.3,15,Shayna Vienji,5,2023-01-31T06:53:33.967Z,Recomended 😁,recomended,recomended,recomended,Lainnya,Positif,0.9975
Pendidikan,PT. Sumber Intan Mandiri,4.3,15,Dita Naradita,5,2023-01-31T06:52:17.364Z,"Mantab betul, kualitas kardus nya OK, pengiriman tepat waktu, bisa diandalkan saat urgent(permintaan sak jet sak nyet) sehari bisa jadi (dengan catatan, stoknya ada Lo ya), marketing nya super duper ramah sekali, untuk harga jauh lebih murah dari supplier yang lama, the best lah pokoknya...recomeded sekali...next bakal order lagi disini PT. Sumber Intan Mandiri👍👍",mantab betul kualitas kardus nya ok pengiriman tepat waktu bisa diandalkan saat urgent permintaan sak jet sak nyet sehari bisa jadi dengan catatan stoknya ada lo ya marketing nya super duper ramah sekali untuk harga jauh lebih murah dari supplier yang lama the best lah pokoknya recomeded sekali next bakal order lagi disini pt sumber intan mandiri,mantab betul kualitas kardus nya oke pengiriman tepat waktu bisa diandalkan saat urgent permintaan sak jet sak nyet sehari bisa jadi dengan catatan stoknya ada kamu ya marketing nya super duper ramah sekali untuk harga jauh lebih murah dari supplier yang lama the best lah pokoknya recomeded sekali next bakal order lagi disini pt sumber intan mandiri,mantab betul kualitas kardus oke pengiriman tepat waktu diandalkan urgent permintaan sak jet sak nyet sehari jadi catatan stoknya ya marketing super duper ramah harga jauh murah supplier lama the best pokoknya recomeded next bakal order disini pt sumber intan mandiri,Pelayanan,Positif,0.9942
Pendidikan,PT. Sumber Intan Mandiri,4.3,15,Sano Vienji Sanditama,5,2023-01-31T06:48:32.931Z,Hasilnya memuasakan.. Sesuai request.. Thanks ya..,hasilnya memuasakan sesuai request thanks ya,hasilnya memuasakan sesuai request thanks ya,hasilnya memuasakan sesuai request thanks ya,Lainnya,Positif,0.9537
Pendidikan,PT. Sumber Intan Mandiri,4.3,15,Lidia Vitri,5,2023-01-31T06:47:47.109Z,"Supplier karton/kardus terpercaya, kualitas bagus, harga terjangkau. Marketing dan staffnya ramah sangat membantu. Pengiriman cepat.. Selalu langganan order disini.",supplier karton kardus terpercaya kualitas bagus harga terjangkau marketing dan staffnya ramah sangat membantu pengiriman cepat selalu langganan order disini,supplier karton kardus terpercaya kualitas bagus harga terjangkau marketing dan staffnya ramah sangat membantu pengiriman cepat selalu langganan order disini,supplier karton kardus terpercaya kualitas bagus harga terjangkau marketing staffnya ramah membantu pengiriman cepat selalu langganan order disini,Pelayanan,Positif,0.9815
Pendidikan,PT. Sumber Intan Mandiri,4.3,15,Dony Lalitan,5,2021-07-23T06:42:03.513Z,Kualitasnya mantap,kualitasnya mantap,kualitasnya bagus,kualitasnya bagus,Lainnya,Positif,0.9968
