Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Apotek & Farmasi,PT. UNIChemCandi Indonesia,4.6,98,su yono,5,2026-03-01T13:06:12.520Z,pt yg bagus,pt yg bagus,pt yang bagus,pt bagus,Lainnya,Positif,0.9827
Kesehatan,Apotek & Farmasi,PT. UNIChemCandi Indonesia,4.6,98,Andi Arfian,1,2022-12-27T21:30:39.778Z,Kalau jualan harus jujur sales..dan tanggung jawab.jagan menipu,kalau jualan harus jujur sales dan tanggung jawab jagan menipu,kalau jualan harus jujur sales dan tanggung jawab jagan menipu,jualan harus jujur sales tanggung jawab jagan menipu,Lainnya,Negatif,0.9961
Kesehatan,Apotek & Farmasi,PT. UNIChemCandi Indonesia,4.6,98,Taufan Effendy,5,2022-12-16T17:19:29.643Z,Pinggir jalan setelah polsek candi,pinggir jalan setelah polsek candi,pinggir jalan setelah polsek candi,pinggir jalan polsek candi,Infrastruktur,Netral,0.9605
Kesehatan,Apotek & Farmasi,PT. UNIChemCandi Indonesia,4.6,98,Yosiro Garam,5,2022-12-03T04:24:13.439Z,Hati2 buat temen2 yg mau order garam cap daun lewat sosmed banyak penipuan. .. Mending langsung tanya ke pabrik aja,hati2 buat temen2 yg mau order garam cap daun lewat sosmed banyak penipuan mending langsung tanya ke pabrik aja,hati2 buat temen2 yang mau order garam cap daun lewat sosmed banyak penipuan mending langsung tanya ke pabrik aja,hati2 buat temen2 mau order garam cap daun lewat sosmed banyak penipuan mending langsung tanya pabrik aja,Lainnya,Positif,0.8124
Kesehatan,Apotek & Farmasi,PT. UNIChemCandi Indonesia,4.6,98,Titik Sulistyowati 99,1,2022-12-02T05:46:53.260Z,penipu!! uang sdh di tf barang gk prnh dikirim,penipu uang sdh di tf barang gk prnh dikirim,penipu uang sudah di tf barang tidak prnh dikirim,penipu uang tf barang prnh dikirim,Lainnya,Negatif,0.9874
Kesehatan,Apotek & Farmasi,PT. UNIChemCandi Indonesia,4.6,98,ustadi khosidin,5,2022-11-24T06:47:57.802Z,"Perusahaan yang bagus, rapi dan bisa bekerjasama",perusahaan yang bagus rapi dan bisa bekerjasama,perusahaan yang bagus rapi dan bisa bekerjasama,perusahaan bagus rapi bekerjasama,Lainnya,Positif,0.9928
Kesehatan,Apotek & Farmasi,PT. UNIChemCandi Indonesia,4.6,98,Mustakim Dany,5,2022-11-19T04:41:32.558Z,Refina joss,refina joss,refina joss,refina joss,Lainnya,Positif,0.9904
Kesehatan,Apotek & Farmasi,PT. UNIChemCandi Indonesia,4.6,98,DIAN NOFIANTO,5,2022-11-16T14:23:30.152Z,"Manteb Iki, Sudah lama pakai (yg) refina. Garam'e Lembut",manteb iki sudah lama pakai yg refina garam e lembut,manteb iki sudah lama pakai yang refina garam e lembut,manteb iki lama pakai refina garam lembut,Lainnya,Positif,0.9235
Kesehatan,Apotek & Farmasi,PT. UNIChemCandi Indonesia,4.6,98,roma wibawa,5,2022-11-16T08:53:52.802Z,good company,good company,good company,good company,Lainnya,Positif,0.9905
Kesehatan,Apotek & Farmasi,PT. UNIChemCandi Indonesia,4.6,98,P U T R I 187,5,2022-11-16T08:34:42.507Z,Masih menjadi salah satu garam andalan kalau pas lagi masak,masih menjadi salah satu garam andalan kalau pas lagi masak,masih menjadi salah satu garam andalan kalau pas lagi masak,menjadi salah satu garam andalan pas masak,Lainnya,Positif,0.9798
Kesehatan,Apotek & Farmasi,PT. UNIChemCandi Indonesia,4.6,98,Ivanka H,5,2022-11-16T04:12:49.268Z,"PT. UNIChem ini produk ~ produknya memang luar biasa. Kualitas produk dan Service karyawan nya sangat memuaskan. Seluruh kebutuhan dapur saya, saya beli produk perusahaan ini.  Dari garam, lada, beras, ketumbar, kunyit dan lain ~ lain, saya belinya dari PT. UNIChem.  Terima kasih PT. UNIChem sudah menjadi teman terbaik dapur saya ❤️❤️",pt unichem ini produk produknya memang luar biasa kualitas produk dan service karyawan nya sangat memuaskan seluruh kebutuhan dapur saya saya beli produk perusahaan ini dari garam lada beras ketumbar kunyit dan lain lain saya belinya dari pt unichem terima kasih pt unichem sudah menjadi teman terbaik dapur saya,pt unichem ini produk produknya memang luar biasa kualitas produk dan service karyawan nya sangat memuaskan seluruh kebutuhan dapur saya saya beli produk perusahaan ini dari garam lada beras ketumbar kunyit dan lain lain saya belinya dari pt unichem terima kasih pt unichem sudah menjadi teman terbaik dapur saya,pt unichem produk produknya memang luar biasa kualitas produk service karyawan memuaskan seluruh kebutuhan dapur beli produk perusahaan garam lada beras ketumbar kunyit lain lain belinya pt unichem terima kasih pt unichem menjadi teman terbaik dapur,Lainnya,Positif,0.9888
Kesehatan,Apotek & Farmasi,PT. UNIChemCandi Indonesia,4.6,98,Rita Kusuma,5,2022-11-16T02:47:15.137Z,"Garam nya bersih, mutu nya terjaga, puuaaas deeh, mantaaaap 👍👍👍👍👍👍👍👍",garam nya bersih mutu nya terjaga puuaaas deeh mantaaaap,garam nya bersih mutu nya terjaga puuaaas deeh mantaaaap,garam bersih mutu terjaga puuaaas deeh mantaaaap,Fasilitas,Positif,0.9966
Kesehatan,Apotek & Farmasi,PT. UNIChemCandi Indonesia,4.6,98,Maymunah,5,2022-11-16T02:43:55.223Z,Garamnya joss,garamnya joss,garamnya joss,garamnya joss,Lainnya,Positif,0.996
Kesehatan,Apotek & Farmasi,PT. UNIChemCandi Indonesia,4.6,98,ailis elis,5,2022-11-16T02:42:18.720Z,Mantap produknya👍👍👍,mantap produknya,bagus produknya,bagus produknya,Lainnya,Positif,0.9972
Kesehatan,Apotek & Farmasi,PT. UNIChemCandi Indonesia,4.6,98,Retno Nugroho,5,2022-11-16T02:38:40.225Z,"Kemasan oke, kualitas Garamnya  juga Oke, Putih dan bersih,..👍👍👍",kemasan oke kualitas garamnya juga oke putih dan bersih,kemasan oke kualitas garamnya juga oke putih dan bersih,kemasan oke kualitas garamnya oke putih bersih,Fasilitas,Positif,0.9894
Kesehatan,Apotek & Farmasi,PT. UNIChemCandi Indonesia,4.6,98,Avira Restyanti,5,2022-11-16T02:37:52.182Z,Produknya Ciamik 👍,produknya ciamik,produknya ciamik,produknya ciamik,Lainnya,Positif,0.9973
Kesehatan,Apotek & Farmasi,PT. UNIChemCandi Indonesia,4.6,98,fian pontoh,5,2022-11-15T08:24:57.196Z,"Pabrik Garam Rafinasi dan satu-satunya hingga saat ini, Pelayanan Marketing yang ramah dan sabar 🫰🏽👍🏼 Sukses selalu PT. UCI",pabrik garam rafinasi dan satu satunya hingga saat ini pelayanan marketing yang ramah dan sabar sukses selalu pt uci,pabrik garam rafinasi dan satu satunya hingga saat ini pelayanan marketing yang ramah dan sabar sukses selalu pt uci,pabrik garam rafinasi satu satunya hingga pelayanan marketing ramah sabar sukses selalu pt uci,Pelayanan,Positif,0.9635
Kesehatan,Apotek & Farmasi,PT. UNIChemCandi Indonesia,4.6,98,Sherly Angelina,5,2022-11-15T07:54:49.422Z,"Produk dari Unichem ga pernah gagal bikin masakan jadi enak dan gurih 👍🏻 Kualitas no kaleng-kaleng!  Selain garam, ada juga lada bubuk, ketumbar bubuk, dan kunyit bubuk.. Semakin lengkap per-bumbuannya, jadi ga perlu pusing2 klo sedia bumbu dapur di rumah 😃",produk dari unichem ga pernah gagal bikin masakan jadi enak dan gurih kualitas no kaleng kaleng selain garam ada juga lada bubuk ketumbar bubuk dan kunyit bubuk semakin lengkap per bumbuannya jadi ga perlu pusing2 klo sedia bumbu dapur di rumah,produk dari unichem tidak pernah gagal bikin masakan jadi enak dan gurih kualitas no kaleng kaleng selain garam ada juga lada bubuk ketumbar bubuk dan kunyit bubuk semakin lengkap per bumbuannya jadi tidak perlu pusing2 kalau sedia bumbu dapur di rumah,produk unichem pernah gagal bikin masakan jadi enak gurih kualitas no kaleng kaleng selain garam lada bubuk ketumbar bubuk kunyit bubuk semakin lengkap per bumbuannya jadi perlu pusing2 sedia bumbu dapur rumah,Lainnya,Positif,0.9874
Kesehatan,Apotek & Farmasi,PT. UNIChemCandi Indonesia,4.6,98,Ignatius Edgar,5,2022-11-15T07:48:45.108Z,Kualitas no 1... Garam ny oke lhoo 👍,kualitas no garam ny oke lhoo,kualitas no garam ny oke lhoo,kualitas no garam ny oke lhoo,Lainnya,Positif,0.9961
