Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Puskesmas,Puskesmas Bungah,4.3,178,Berlian Johan,5,2026-08-19T03:53:20.914Z,Poli lansia selama ini aman,poli lansia selama ini aman,poli lansia selama ini aman,poli lansia selama aman,Keamanan,Netral,0.8637
Kesehatan,Puskesmas,Puskesmas Bungah,4.3,178,Yunus Khizil,5,2026-08-18T02:24:40.995Z,Rawat inap di Puskesmas Bungah pelayanan baik terutama perawat UGD baik dan tanggap,rawat inap di puskesmas bungah pelayanan baik terutama perawat ugd baik dan tanggap,rawat inap di puskesmas bungah pelayanan baik terutama perawat ugd baik dan tanggap,rawat inap puskesmas bungah pelayanan baik terutama perawat ugd baik tanggap,Pelayanan,Positif,0.9448
Kesehatan,Puskesmas,Puskesmas Bungah,4.3,178,A Dyatmah,5,2026-08-13T01:43:24.142Z,Pelayanannya Alhadulillah baik petugasnya sportif &ramah saya kembali sehat lagi,pelayanannya alhadulillah baik petugasnya sportif ramah saya kembali sehat lagi,pelayanannya alhadulillah baik petugasnya sportif ramah saya kembali sehat lagi,pelayanannya alhadulillah baik petugasnya sportif ramah kembali sehat,Pelayanan,Positif,0.9943
Kesehatan,Puskesmas,Puskesmas Bungah,4.3,178,Ahmad Reyhan,5,2026-08-13T01:36:55.539Z,pelayanan disini bagus banget perawatnya juga ramah banget vasilitasnya juga bagus bangett😍😍,pelayanan disini bagus banget perawatnya juga ramah banget vasilitasnya juga bagus bangett,pelayanan disini bagus banget perawatnya juga ramah banget vasilitasnya juga bagus bangett,pelayanan disini bagus banget perawatnya ramah banget vasilitasnya bagus bangett,Pelayanan,Positif,0.9968
Kesehatan,Puskesmas,Puskesmas Bungah,4.3,178,Zuli Antok,5,2026-08-10T03:48:54.160Z,Pelayanannya cepat langsung d tangani,pelayanannya cepat langsung d tangani,pelayanannya cepat langsung d tangani,pelayanannya cepat langsung tangani,Pelayanan,Positif,0.9936
Kesehatan,Puskesmas,Puskesmas Bungah,4.3,178,Aldy Tripeezy,5,2026-08-06T02:07:59.065Z,"rawat luka dan poli lansia di puskesmas bungah sangat bagus, pelayanan ramah",rawat luka dan poli lansia di puskesmas bungah sangat bagus pelayanan ramah,rawat luka dan poli lansia di puskesmas bungah sangat bagus pelayanan ramah,rawat luka poli lansia puskesmas bungah bagus pelayanan ramah,Pelayanan,Positif,0.9899
Kesehatan,Puskesmas,Puskesmas Bungah,4.3,178,M bagus Wava kurniawan,5,2026-08-05T01:26:58.673Z,Pelayanan puskesmas dan perawatnya sangat baik,pelayanan puskesmas dan perawatnya sangat baik,pelayanan puskesmas dan perawatnya sangat baik,pelayanan puskesmas perawatnya baik,Pelayanan,Positif,0.986
Kesehatan,Puskesmas,Puskesmas Bungah,4.3,178,Gajah,5,2026-08-03T04:00:51.039Z,Mkasih puskesmas saya rawat luka disni selama 2bulan penanganan cepat dokter dan perawatnya ramah ramah,mkasih puskesmas saya rawat luka disni selama 2bulan penanganan cepat dokter dan perawatnya ramah ramah,mkasih puskesmas saya rawat luka disni selama 2bulan penanganan cepat dokter dan perawatnya ramah ramah,mkasih puskesmas rawat luka disni selama 2bulan penanganan cepat dokter perawatnya ramah ramah,Pelayanan,Positif,0.9835
Kesehatan,Puskesmas,Puskesmas Bungah,4.3,178,Kopi bubukselera,5,2026-08-03T03:59:16.048Z,"Ngantar Tante rawat luka di UGD dari yang masih basah sampai kering penanganan sangat satset perawat dan dokternya Ramah""",ngantar tante rawat luka di ugd dari yang masih basah sampai kering penanganan sangat satset perawat dan dokternya ramah,ngantar tante rawat luka di ugd dari yang masih basah sampai kering penanganan sangat satset perawat dan dokternya ramah,ngantar tante rawat luka ugd basah sampai kering penanganan satset perawat dokternya ramah,Pelayanan,Positif,0.5442
Kesehatan,Puskesmas,Puskesmas Bungah,4.3,178,ZADIB Birds,5,2026-07-31T01:54:46.177Z,Pelayanan Baik,pelayanan baik,pelayanan baik,pelayanan baik,Pelayanan,Positif,0.9952
