Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,PUSKESMAS KESAMBEN KULON,4.2,70,HRH George,5,2026-07-07T09:07:34.813Z,Best ramah semua,best ramah semua,best ramah semua,best ramah semua,Pelayanan,Positif,0.9963
Kesehatan,PUSKESMAS KESAMBEN KULON,4.2,70,Deva Audio,5,2026-06-10T02:28:11.433Z,Nyaman dan bersih pelayanan bagus,nyaman dan bersih pelayanan bagus,nyaman dan bersih pelayanan bagus,nyaman bersih pelayanan bagus,Pelayanan,Positif,0.9971
Kesehatan,PUSKESMAS KESAMBEN KULON,4.2,70,joyo sticker,5,2026-06-02T01:11:38.073Z,menyenangkan,menyenangkan,menyenangkan,menyenangkan,Lainnya,Positif,0.997
Kesehatan,PUSKESMAS KESAMBEN KULON,4.2,70,indah dwi Rahmawati,5,2026-05-25T12:14:20.345Z,"Selain pelayanannya yang bagus, Fasilitasnyapun semakin baik",selain pelayanannya yang bagus fasilitasnyapun semakin baik,selain pelayanannya yang bagus fasilitasnyapun semakin baik,selain pelayanannya bagus fasilitasnyapun semakin baik,Pelayanan,Positif,0.9968
Kesehatan,PUSKESMAS KESAMBEN KULON,4.2,70,Ulan Ilul,5,2026-05-25T05:38:56.277Z,"Sekarang pelayanan sudah ada perbaikan,pelayanan sangat memuaskan mulai dari dokter perawat dll ramah dan baik",sekarang pelayanan sudah ada perbaikan pelayanan sangat memuaskan mulai dari dokter perawat dll ramah dan baik,sekarang pelayanan sudah ada perbaikan pelayanan sangat memuaskan mulai dari dokter perawat dll ramah dan baik,sekarang pelayanan perbaikan pelayanan memuaskan mulai dokter perawat dll ramah baik,Pelayanan,Positif,0.9857
Kesehatan,PUSKESMAS KESAMBEN KULON,4.2,70,H Run,5,2026-05-21T07:30:31.672Z,Pelayanan baik & Sangat membantu masyarakat sekitar,pelayanan baik sangat membantu masyarakat sekitar,pelayanan baik sangat membantu masyarakat sekitar,pelayanan baik membantu masyarakat sekitar,Pelayanan,Positif,0.9856
Kesehatan,PUSKESMAS KESAMBEN KULON,4.2,70,Nabilatul azizah Hurainin,5,2026-05-21T05:56:07.995Z,Pelayanan ya cepat dan ramah,pelayanan ya cepat dan ramah,pelayanan ya cepat dan ramah,pelayanan ya cepat ramah,Pelayanan,Positif,0.9951
Kesehatan,PUSKESMAS KESAMBEN KULON,4.2,70,Nanda riza Syah putra,5,2026-05-21T05:55:25.594Z,Perawat giginya ramah 🫶,perawat giginya ramah,perawat giginya ramah,perawat giginya ramah,Pelayanan,Positif,0.9945
Kesehatan,PUSKESMAS KESAMBEN KULON,4.2,70,miavenda Lesta,5,2026-05-21T05:53:26.857Z,"Saat berobat di puskesmas kesamben kulon mulai dari pendaftaran, dokter, perawatnya sampai apotik petugasnya ramah* dan informatif.",saat berobat di puskesmas kesamben kulon mulai dari pendaftaran dokter perawatnya sampai apotik petugasnya ramah dan informatif,saat berobat di puskesmas kesamben kulon mulai dari pendaftaran dokter perawatnya sampai apotik petugasnya ramah dan informatif,berobat puskesmas kesamben kulon mulai pendaftaran dokter perawatnya sampai apotik petugasnya ramah informatif,Pelayanan,Positif,0.9917
Kesehatan,PUSKESMAS KESAMBEN KULON,4.2,70,Fichia sweet,5,2026-05-21T04:52:47.892Z,"Terimakasih untuk para perawat dan Bu bidan telah membantu saya dan keluarga kecil saya dengan sangat baik❤️❤️❤️ dan untuk alm.bu evi semoga Allah tempatkan pada surganya, selama hidup, beliau telah berjasa menolong anak bayi sy saat berjuang kala di DR SOETOMO Surabaya🤲❤️",terimakasih untuk para perawat dan bu bidan telah membantu saya dan keluarga kecil saya dengan sangat baik dan untuk alm bu evi semoga allah tempatkan pada surganya selama hidup beliau telah berjasa menolong anak bayi sy saat berjuang kala di dr soetomo surabaya,terimakasih untuk para perawat dan bu bidan telah membantu saya dan keluarga kecil saya dengan sangat baik dan untuk alm bu evi semoga allah tempatkan pada surganya selama hidup beliau telah berjasa menolong anak bayi saya saat berjuang kala di dari soetomo surabaya,terimakasih para perawat bu bidan telah membantu keluarga kecil baik alm bu evi semoga allah tempatkan surganya selama hidup beliau telah berjasa menolong anak bayi berjuang kala soetomo surabaya,Kesehatan,Positif,0.9366
Kesehatan,PUSKESMAS KESAMBEN KULON,4.2,70,yogi istana,5,2026-05-21T04:31:25.782Z,Sangat baik pelayanan nya,sangat baik pelayanan nya,sangat baik pelayanan nya,baik pelayanan,Pelayanan,Positif,0.9878
Kesehatan,PUSKESMAS KESAMBEN KULON,4.2,70,Eka Yuniarti,5,2026-05-20T08:00:30.174Z,"Petugas ramah dan sopan, pelayanan yg baik 👍",petugas ramah dan sopan pelayanan yg baik,petugas ramah dan sopan pelayanan yang baik,petugas ramah sopan pelayanan baik,Pelayanan,Positif,0.9854
Kesehatan,PUSKESMAS KESAMBEN KULON,4.2,70,Meiri Saditi Maulidiyah,1,2026-05-07T15:31:51.037Z,"Pelayanane di ugd tolong di perbaiki di omongi juga ojo galak"" nek nakoni pasien",pelayanane di ugd tolong di perbaiki di omongi juga ojo galak nek nakoni pasien,pelayanane di ugd tolong di perbaiki di omongi juga ojo galak nek nakoni pasien,pelayanane ugd tolong perbaiki omongi ojo galak nek nakoni pasien,Pelayanan,Negatif,0.9966
Kesehatan,PUSKESMAS KESAMBEN KULON,4.2,70,Ahmad Hamzaniy,1,2026-03-21T11:30:47.736Z,"Cuma puskesmas ini yang ga menyediakan imunisasi, tanya jadwal imunisasi malah disuruh ke posyandu",cuma puskesmas ini yang ga menyediakan imunisasi tanya jadwal imunisasi malah disuruh ke posyandu,cuma puskesmas ini yang tidak menyediakan imunisasi tanya jadwal imunisasi malah disuruh ke posyandu,cuma puskesmas menyediakan imunisasi tanya jadwal imunisasi malah disuruh posyandu,Kesehatan,Netral,0.6746
Kesehatan,PUSKESMAS KESAMBEN KULON,4.2,70,Ardi Hamzah,5,2025-12-12T07:43:29.194Z,Petugas loketnya ramah sekali. Semoga semakin ditingkatkan lagi👍,petugas loketnya ramah sekali semoga semakin ditingkatkan lagi,petugas loketnya ramah sekali semoga semakin ditingkatkan lagi,petugas loketnya ramah semoga semakin ditingkatkan,Pelayanan,Positif,0.99
Kesehatan,PUSKESMAS KESAMBEN KULON,4.2,70,Sri Ismiati,5,2025-11-22T01:33:59.810Z,Pelayanan bagus,pelayanan bagus,pelayanan bagus,pelayanan bagus,Pelayanan,Positif,0.9969
Kesehatan,PUSKESMAS KESAMBEN KULON,4.2,70,Siti Mafulah,5,2025-11-21T03:07:32.036Z,"Berobat 3x Krn batuk pilek, makasih banyak",berobat 3x krn batuk pilek makasih banyak,berobat 3x karena batuk pilek makasih banyak,berobat 3x batuk pilek makasih banyak,Kesehatan,Positif,0.5249
Kesehatan,PUSKESMAS KESAMBEN KULON,4.2,70,Herviyah Phyza,5,2025-11-19T02:34:47.576Z,dokternya ok,dokternya ok,dokternya oke,dokternya oke,Kesehatan,Positif,0.9871
Kesehatan,PUSKESMAS KESAMBEN KULON,4.2,70,Me Mey,5,2025-11-19T01:31:20.577Z,baik,baik,baik,baik,Lainnya,Positif,0.9844
Kesehatan,PUSKESMAS KESAMBEN KULON,4.2,70,Ahmad Akbar,5,2025-11-19T01:06:31.757Z,Iberobat di puskesmas di layani dg baik,iberobat di puskesmas di layani dg baik,iberobat di puskesmas di layani dengan baik,iberobat puskesmas layani baik,Kesehatan,Positif,0.6172
Kesehatan,PUSKESMAS KESAMBEN KULON,4.2,70,yusri roman,5,2025-11-18T02:05:25.179Z,"Terimakasih , ramah2 pegawainya",terimakasih ramah2 pegawainya,terimakasih ramah2 pegawainya,terimakasih ramah2 pegawainya,Pelayanan,Positif,0.9929
Kesehatan,PUSKESMAS KESAMBEN KULON,4.2,70,Yang Mania,2,2025-10-29T14:42:01.401Z,Istri saya di marahi sama salah satu bidan di puskesmas ini saya mohon dengan sangat untuk di perbaiki untuk pelayanan bidan nya dalam hal komunikasi,istri saya di marahi sama salah satu bidan di puskesmas ini saya mohon dengan sangat untuk di perbaiki untuk pelayanan bidan nya dalam hal komunikasi,istri saya di marahi sama salah satu bidan di puskesmas ini saya mohon dengan sangat untuk di perbaiki untuk pelayanan bidan nya dalam hal komunikasi,istri marahi sama salah satu bidan puskesmas mohon perbaiki pelayanan bidan hal komunikasi,Pelayanan,Negatif,0.9812
Kesehatan,PUSKESMAS KESAMBEN KULON,4.2,70,Intan Puspitasari,5,2025-10-16T02:02:20.376Z,Best untuk pelayanannya 🥰,best untuk pelayanannya,best untuk pelayanannya,best pelayanannya,Pelayanan,Positif,0.997
Kesehatan,PUSKESMAS KESAMBEN KULON,4.2,70,andromeda apparel,5,2025-10-11T14:46:23.305Z,"Rawat inap nyaman, pelayanannya bagus, ac nya sejuk, ada playground jg buat anak² dan semua gratis 👍",rawat inap nyaman pelayanannya bagus ac nya sejuk ada playground jg buat anak dan semua gratis,rawat inap nyaman pelayanannya bagus ac nya sejuk ada playground juga buat anak dan semua gratis,rawat inap nyaman pelayanannya bagus ac sejuk playground buat anak semua gratis,Pelayanan,Positif,0.9947
Kesehatan,PUSKESMAS KESAMBEN KULON,4.2,70,Nabilah Fairusiyyah,5,2025-10-09T06:29:52.886Z,Pelayanannya cepat dan tepat ❤️,pelayanannya cepat dan tepat,pelayanannya cepat dan tepat,pelayanannya cepat tepat,Pelayanan,Positif,0.9961
