Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Puskesmas,Puskesmas Menganti,3.9,546,Syaiful Ulum,5,2026-08-18T13:59:04.748Z,"Puskesmas Menganti ini gw datangi kebetulan karena sedang mampir ke rumah teman di Gresik. Secara keseluruhan, pengalaman gw berkunjung ke sini cukup baik dan pelayanannya menurut gw sudah sesuai dengan yang diharapkan dari fasilitas kesehatan tingkat pertama.  Yang paling berkesan justru bagian farmasinya. Setelah mendapatkan pelayanan, obat yang diberikan juga dijelaskan dengan cukup jelas, mulai dari cara penggunaannya sampai hal-hal yang perlu diperhatikan. Buat gw, penjelasan seperti ini penting karena pasien jadi tidak sekadar menerima obat lalu pulang, tapi benar-benar tahu cara menggunakannya.  Dari sisi waktu tunggu, menurut pengalaman gw antreannya juga tidak terlalu lama. Memang tetap harus menunggu karena ada proses pelayanan dan pasien lain, tapi masih dalam batas yang cukup nyaman dan tidak terasa berlarut-larut.  Untuk fasilitas, Puskesmas Menganti juga menurut gw sudah cukup lengkap untuk ukuran puskesmas daerah. Area pelayanan tertata dengan baik dan fasilitas pendukung yang dibutuhkan pasien tersedia. Secara umum tempatnya juga cukup nyaman untuk digunakan selama proses pemeriksaan dan pengambilan obat.  Gw memang tidak datang untuk menggunakan seluruh layanan yang tersedia, jadi penilaian ini lebih berdasarkan pengalaman saat berobat dan mengambil obat. Tapi dari pengalaman tersebut, pelayanan yang gw terima cukup memuaskan, terutama dari sisi farmasi.  Secara keseluruhan, Puskesmas Menganti bisa menjadi pilihan fasilitas kesehatan yang cukup baik bagi masyarakat sekitar Gresik, dengan pelayanan yang ramah, antrean relatif manageable, dan edukasi obat yang menurut gw sudah bagus.",puskesmas menganti ini gw datangi kebetulan karena sedang mampir ke rumah teman di gresik secara keseluruhan pengalaman gw berkunjung ke sini cukup baik dan pelayanannya menurut gw sudah sesuai dengan yang diharapkan dari fasilitas kesehatan tingkat pertama yang paling berkesan justru bagian farmasinya setelah mendapatkan pelayanan obat yang diberikan juga dijelaskan dengan cukup jelas mulai dari cara penggunaannya sampai hal hal yang perlu diperhatikan buat gw penjelasan seperti ini penting karena pasien jadi tidak sekadar menerima obat lalu pulang tapi benar benar tahu cara menggunakannya dari sisi waktu tunggu menurut pengalaman gw antreannya juga tidak terlalu lama memang tetap harus menunggu karena ada proses pelayanan dan pasien lain tapi masih dalam batas yang cukup nyaman dan tidak terasa berlarut larut untuk fasilitas puskesmas menganti juga menurut gw sudah cukup lengkap untuk ukuran puskesmas daerah area pelayanan tertata dengan baik dan fasilitas pendukung yang dibutuhkan pasien tersedia secara umum tempatnya juga cukup nyaman untuk digunakan selama proses pemeriksaan dan pengambilan obat gw memang tidak datang untuk menggunakan seluruh layanan yang tersedia jadi penilaian ini lebih berdasarkan pengalaman saat berobat dan mengambil obat tapi dari pengalaman tersebut pelayanan yang gw terima cukup memuaskan terutama dari sisi farmasi secara keseluruhan puskesmas menganti bisa menjadi pilihan fasilitas kesehatan yang cukup baik bagi masyarakat sekitar gresik dengan pelayanan yang ramah antrean relatif manageable dan edukasi obat yang menurut gw sudah bagus,puskesmas menganti ini saya datangi kebetulan karena sedang mampir ke rumah teman di gresik secara keseluruhan pengalaman saya berkunjung ke sini cukup baik dan pelayanannya menurut saya sudah sesuai dengan yang diharapkan dari fasilitas kesehatan tingkat pertama yang paling berkesan justru bagian farmasinya setelah mendapatkan pelayanan obat yang diberikan juga dijelaskan dengan cukup jelas mulai dari cara penggunaannya sampai hal hal yang perlu diperhatikan buat saya penjelasan seperti ini penting karena pasien jadi tidak sekadar menerima obat lalu pulang tapi benar benar tahu cara menggunakannya dari sisi waktu tunggu menurut pengalaman saya antreannya juga tidak terlalu lama memang tetap harus menunggu karena ada proses pelayanan dan pasien lain tapi masih dalam batas yang cukup nyaman dan tidak terasa berlarut larut untuk fasilitas puskesmas menganti juga menurut saya sudah cukup lengkap untuk ukuran puskesmas daerah area pelayanan tertata dengan baik dan fasilitas pendukung yang dibutuhkan pasien tersedia secara umum tempatnya juga cukup nyaman untuk digunakan selama proses pemeriksaan dan pengambilan obat saya memang tidak datang untuk menggunakan seluruh layanan yang tersedia jadi penilaian ini lebih berdasarkan pengalaman saat berobat dan mengambil obat tapi dari pengalaman tersebut pelayanan yang saya terima cukup memuaskan terutama dari sisi farmasi secara keseluruhan puskesmas menganti bisa menjadi pilihan fasilitas kesehatan yang cukup baik bagi masyarakat sekitar gresik dengan pelayanan yang ramah antrean relatif manageable dan edukasi obat yang menurut saya sudah bagus,puskesmas menganti datangi kebetulan sedang mampir rumah teman gresik secara keseluruhan pengalaman berkunjung sini cukup baik pelayanannya menurut sesuai diharapkan fasilitas kesehatan tingkat pertama paling berkesan justru bagian farmasinya mendapatkan pelayanan obat diberikan dijelaskan cukup jelas mulai cara penggunaannya sampai hal hal perlu diperhatikan buat penjelasan seperti penting pasien jadi sekadar menerima obat lalu pulang benar benar tahu cara menggunakannya sisi waktu tunggu menurut pengalaman antreannya terlalu lama memang tetap harus menunggu proses pelayanan pasien lain batas cukup nyaman terasa berlarut larut fasilitas puskesmas menganti menurut cukup lengkap ukuran puskesmas daerah area pelayanan tertata baik fasilitas pendukung dibutuhkan pasien tersedia secara umum tempatnya cukup nyaman digunakan selama proses pemeriksaan pengambilan obat memang datang menggunakan seluruh layanan tersedia jadi penilaian berdasarkan pengalaman berobat mengambil obat pengalaman tersebut pelayanan terima cukup memuaskan terutama sisi farmasi secara keseluruhan puskesmas menganti menjadi pilihan fasilitas kesehatan cukup baik bagi masyarakat sekitar gresik pelayanan ramah antrean relatif manageable edukasi obat menurut bagus,Pelayanan,Positif,0.7558
Kesehatan,Puskesmas,Puskesmas Menganti,3.9,546,kicikici,5,2026-08-06T01:36:42.954Z,"pelayanan farmasinya memuaskan, petugas ramah gercep dan informasi yg diberikan sangat mudah dipahami. sukses terus Puskesmas Menganti 👍🏻👍🏻",pelayanan farmasinya memuaskan petugas ramah gercep dan informasi yg diberikan sangat mudah dipahami sukses terus puskesmas menganti,pelayanan farmasinya memuaskan petugas ramah gercep dan informasi yang diberikan sangat mudah dipahami sukses terus puskesmas menganti,pelayanan farmasinya memuaskan petugas ramah gercep informasi diberikan mudah dipahami sukses terus puskesmas menganti,Pelayanan,Positif,0.9913
Kesehatan,Puskesmas,Puskesmas Menganti,3.9,546,Tri Sudik Wiyono,5,2026-08-06T01:32:26.136Z,"Puskesmas Menganti sipp keren pelayanannya, gak kalah sama klinik kesehatan swasta yg berbayar, layanan farmasi nya bagus, responsif & keren  ..",puskesmas menganti sipp keren pelayanannya gak kalah sama klinik kesehatan swasta yg berbayar layanan farmasi nya bagus responsif keren,puskesmas menganti sipp bagus pelayanannya tidak kalah sama klinik kesehatan swasta yang berbayar layanan farmasi nya bagus responsif bagus,puskesmas menganti sipp bagus pelayanannya kalah sama klinik kesehatan swasta berbayar layanan farmasi bagus responsif bagus,Pelayanan,Positif,0.9895
Kesehatan,Puskesmas,Puskesmas Menganti,3.9,546,Endah Suryani,5,2026-08-06T01:25:57.332Z,Kerennnn,kerennnn,kerennnn,kerennnn,Lainnya,Positif,0.9971
Kesehatan,Puskesmas,Puskesmas Menganti,3.9,546,Nurul Azizah (zbtly),5,2026-08-06T01:05:18.673Z,"Pelayanan obatnya sudah lebih cepat dibanding yang dulu, penjelasan tentang obatnya juga lengkap dan jelas. Terimakasih sudah dilayani dengan baik. Semoga semakin jos pelayanannya!",pelayanan obatnya sudah lebih cepat dibanding yang dulu penjelasan tentang obatnya juga lengkap dan jelas terimakasih sudah dilayani dengan baik semoga semakin jos pelayanannya,pelayanan obatnya sudah lebih cepat dibanding yang dulu penjelasan tentang obatnya juga lengkap dan jelas terimakasih sudah dilayani dengan baik semoga semakin bagus pelayanannya,pelayanan obatnya cepat dibanding dulu penjelasan tentang obatnya lengkap jelas terimakasih dilayani baik semoga semakin bagus pelayanannya,Pelayanan,Positif,0.9755
Kesehatan,Puskesmas,Puskesmas Menganti,3.9,546,Siti Khoiriyah,5,2026-08-05T03:34:02.858Z,"Pelayanan di Puskesmas ini sangat baik dan cepat. Petugas pendaftaran ramah, serta dokter dan perawatnya sangat komunikatif dan informatif saat memberikan penjelasan obat maupun tindakan. Tempatnya juga bersih dan nyaman. Terima kasih atas pelayanannya!",pelayanan di puskesmas ini sangat baik dan cepat petugas pendaftaran ramah serta dokter dan perawatnya sangat komunikatif dan informatif saat memberikan penjelasan obat maupun tindakan tempatnya juga bersih dan nyaman terima kasih atas pelayanannya,pelayanan di puskesmas ini sangat baik dan cepat petugas pendaftaran ramah serta dokter dan perawatnya sangat komunikatif dan informatif saat memberikan penjelasan obat maupun tindakan tempatnya juga bersih dan nyaman terima kasih atas pelayanannya,pelayanan puskesmas baik cepat petugas pendaftaran ramah serta dokter perawatnya komunikatif informatif memberikan penjelasan obat maupun tindakan tempatnya bersih nyaman terima kasih atas pelayanannya,Pelayanan,Positif,0.9905
Kesehatan,Puskesmas,Puskesmas Menganti,3.9,546,Michella Audry Anjarwati,1,2026-08-03T03:14:52.848Z,Staff bagian pengambilan obat judes banget tolong diperbaiki pelayanannya masa pasien tanya jawabnya nggak senyum nggak ramah,staff bagian pengambilan obat judes banget tolong diperbaiki pelayanannya masa pasien tanya jawabnya nggak senyum nggak ramah,staff bagian pengambilan obat judes banget tolong diperbaiki pelayanannya masa pasien tanya jawabnya tidak senyum tidak ramah,staff bagian pengambilan obat judes banget tolong diperbaiki pelayanannya masa pasien tanya jawabnya senyum ramah,Pelayanan,Negatif,0.9948
Kesehatan,Puskesmas,Puskesmas Menganti,3.9,546,Aji Prayitno,1,2026-07-22T01:36:50.573Z,"Pelayanan sangat buruk, Loket pendaftaran sangat tidak ramah, tidak memberikan informasi dengan jelas,",pelayanan sangat buruk loket pendaftaran sangat tidak ramah tidak memberikan informasi dengan jelas,pelayanan sangat buruk loket pendaftaran sangat tidak ramah tidak memberikan informasi dengan jelas,pelayanan buruk loket pendaftaran ramah memberikan informasi jelas,Pelayanan,Negatif,0.9951
Kesehatan,Puskesmas,Puskesmas Menganti,3.9,546,Kikisny Fadli,5,2026-07-20T01:50:26.410Z,Pelayanan sangat baik n membantu,pelayanan sangat baik n membantu,pelayanan sangat baik n membantu,pelayanan baik membantu,Pelayanan,Positif,0.9938
Kesehatan,Puskesmas,Puskesmas Menganti,3.9,546,Musafa Dewi Nasihatullila,5,2026-07-01T03:47:00.712Z,"pelayanan yang sangat ramahh,",pelayanan yang sangat ramahh,pelayanan yang sangat ramahh,pelayanan ramahh,Pelayanan,Positif,0.9962
