Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Puskesmas Mentaras,4,50,handy Wiratman,5,2026-07-15T04:25:53.714Z,Petugas sabar dan telaten mengajari saya pendaftaran mjkn dan menjelaskan setiap langkahnya dg jelas,petugas sabar dan telaten mengajari saya pendaftaran mjkn dan menjelaskan setiap langkahnya dg jelas,petugas sabar dan telaten mengajari saya pendaftaran mjkn dan menjelaskan setiap langkahnya dengan jelas,petugas sabar telaten mengajari pendaftaran mjkn menjelaskan setiap langkahnya jelas,Pelayanan,Positif,0.8634
Kesehatan,Puskesmas Mentaras,4,50,Kaylisthaa,5,2026-07-06T03:00:48.487Z,Petugas ramah siap membantu pendaftaran akun mjkn dengan mudah,petugas ramah siap membantu pendaftaran akun mjkn dengan mudah,petugas ramah siap membantu pendaftaran akun mjkn dengan mudah,petugas ramah siap membantu pendaftaran akun mjkn mudah,Pelayanan,Positif,0.6734
Kesehatan,Puskesmas Mentaras,4,50,Jas Ri,5,2026-06-26T01:21:23.980Z,petugas membantu pindah faskes dengan ramah,petugas membantu pindah faskes dengan ramah,petugas membantu pindah faskes dengan ramah,petugas membantu pindah faskes ramah,Pelayanan,Positif,0.9798
Kesehatan,Puskesmas Mentaras,4,50,Aldi Auliyak,1,2026-06-25T04:12:44.986Z,"Pelayanan terlalu lama, saya menunggu 3jam",pelayanan terlalu lama saya menunggu 3jam,pelayanan terlalu lama saya menunggu 3jam,pelayanan terlalu lama menunggu 3jam,Pelayanan,Negatif,0.998
Kesehatan,Puskesmas Mentaras,4,50,Joko Satriyo,5,2025-12-29T13:36:30.920Z,"Puskesmas dengan pegawai pendaftaran terbaik yang pernah saya temui. Disini anda diperlakukan layaknya seorang tamu kerajaan, disambut dan diarahkan dengan sabar dan telaten. Tidak ada wajah masam, tidak ada wajah cemberut, yang ada hanya senyum manis pegawai yang dapat membuat siapapun betah dan ingin kembali lagi ke puskesmas mentaras sekedar untuk bertegur sapa dengan mbak resepsionis pendaftaran.",puskesmas dengan pegawai pendaftaran terbaik yang pernah saya temui disini anda diperlakukan layaknya seorang tamu kerajaan disambut dan diarahkan dengan sabar dan telaten tidak ada wajah masam tidak ada wajah cemberut yang ada hanya senyum manis pegawai yang dapat membuat siapapun betah dan ingin kembali lagi ke puskesmas mentaras sekedar untuk bertegur sapa dengan mbak resepsionis pendaftaran,puskesmas dengan pegawai pendaftaran terbaik yang pernah saya temui disini anda diperlakukan layaknya seorang tamu kerajaan disambut dan diarahkan dengan sabar dan telaten tidak ada wajah masam tidak ada wajah cemberut yang ada hanya senyum manis pegawai yang dapat membuat siapapun betah dan ingin kembali lagi ke puskesmas mentaras sekedar untuk bertegur sapa dengan mbak resepsionis pendaftaran,puskesmas pegawai pendaftaran terbaik pernah temui disini diperlakukan layaknya seorang tamu kerajaan disambut diarahkan sabar telaten wajah masam wajah cemberut hanya senyum manis pegawai membuat siapapun betah ingin kembali puskesmas mentaras sekedar bertegur sapa mbak resepsionis pendaftaran,Pelayanan,Positif,0.8957
Kesehatan,Puskesmas Mentaras,4,50,Adel Yabtija,5,2025-12-23T02:39:56.621Z,Terimakasih sudah dipasang AC di ruang tunggu,terimakasih sudah dipasang ac di ruang tunggu,terimakasih sudah dipasang ac di ruang tunggu,terimakasih dipasang ac ruang tunggu,Fasilitas,Netral,0.8882
Kesehatan,Puskesmas Mentaras,4,50,Harti Ser,5,2025-12-02T02:00:03.638Z,"Pelayanannya bagus banget,memuaskan.tiap bln datang kesana minta rujukan,nggak ribet.layanan poli anak pun bagus,the best pokoknya👍🏻👍🏻",pelayanannya bagus banget memuaskan tiap bln datang kesana minta rujukan nggak ribet layanan poli anak pun bagus the best pokoknya,pelayanannya bagus banget memuaskan tiap bln datang kesana minta rujukan tidak ribet layanan poli anak pun bagus the best pokoknya,pelayanannya bagus banget memuaskan tiap bln datang kesana minta rujukan ribet layanan poli anak bagus the best pokoknya,Pelayanan,Positif,0.9978
Kesehatan,Puskesmas Mentaras,4,50,wonderkids edutourism,5,2025-10-23T06:15:35.389Z,"Pelayanan baik, petugas solutif ruang tunggu nyaman.",pelayanan baik petugas solutif ruang tunggu nyaman,pelayanan baik petugas solutif ruang tunggu nyaman,pelayanan baik petugas solutif ruang tunggu nyaman,Pelayanan,Positif,0.9848
Kesehatan,Puskesmas Mentaras,4,50,Mas Vero,5,2025-10-23T06:13:08.709Z,"Semuanya jelas, ada mesin antrean jadi cepat tidak seperti dulu-dulu, semangat menuju lebih baik",semuanya jelas ada mesin antrean jadi cepat tidak seperti dulu dulu semangat menuju lebih baik,semuanya jelas ada mesin antrean jadi cepat tidak seperti dulu dulu semangat menuju lebih baik,semuanya jelas mesin antrean jadi cepat seperti dulu dulu semangat menuju baik,Pelayanan,Positif,0.8861
Kesehatan,Puskesmas Mentaras,4,50,andi maulana,5,2025-10-23T06:12:30.350Z,keren,keren,bagus,bagus,Lainnya,Positif,0.9961
