Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Puskesmas Sidayu,3.9,77,Rafika Aisyah,1,2025-11-14T00:42:50.710Z,"Pelayanannya lama banget, udh ada dokternya dan udah antri banyak tapi tetep gak dipanggil-panggil padahal udah jam operasional",pelayanannya lama banget udh ada dokternya dan udah antri banyak tapi tetep gak dipanggil panggil padahal udah jam operasional,pelayanannya lama banget udh ada dokternya dan udah antrian banyak tapi tetep tidak dipanggil panggil padahal udah jam operasional,pelayanannya lama banget udh dokternya udah antrian banyak tetep dipanggil panggil padahal udah jam operasional,Pelayanan,Positif,0.9978
Kesehatan,Puskesmas Sidayu,3.9,77,youtubeku001,1,2025-08-19T02:17:54.006Z,Kurang prefesional,kurang prefesional,kurang prefesional,kurang prefesional,Lainnya,Positif,0.9932
Kesehatan,Puskesmas Sidayu,3.9,77,Adhe Adhecha,1,2025-08-09T01:41:34.143Z,"puskesmas terburuk, pelayanan buruk",puskesmas terburuk pelayanan buruk,puskesmas terburuk pelayanan buruk,puskesmas terburuk pelayanan buruk,Pelayanan,Positif,0.997
Kesehatan,Puskesmas Sidayu,3.9,77,Faisol Afriyansah,1,2025-07-14T02:15:30.911Z,Pelayanan untuk ibu hamil sangat lama sekali Padahal tidak antri TPI untuk USG  membutuhkan waktu lebih dari 3 jam,pelayanan untuk ibu hamil sangat lama sekali padahal tidak antri tpi untuk usg membutuhkan waktu lebih dari jam,pelayanan untuk ibu hamil sangat lama sekali padahal tidak antrian tapi untuk usg membutuhkan waktu lebih dari jam,pelayanan ibu hamil lama padahal antrian usg membutuhkan waktu jam,Pelayanan,Positif,0.954
Kesehatan,Puskesmas Sidayu,3.9,77,rizky Caesariaputri,5,2025-03-24T04:17:05.906Z,"Pengalaman melahirkan anak pertama disini pakai bpjs alhamdulillah bidannya baik”, sabar nghadepin pasien, anak lahir langsung diajari menyusui, suasana juga nyaman, makasih buat bidan” yg sudah membantu🫶🏻 melahirkan di faskes 1 pelayanannya cukup baik kok, makanan nya ya lumayan enak hehe",pengalaman melahirkan anak pertama disini pakai bpjs alhamdulillah bidannya baik sabar nghadepin pasien anak lahir langsung diajari menyusui suasana juga nyaman makasih buat bidan yg sudah membantu melahirkan di faskes pelayanannya cukup baik kok makanan nya ya lumayan enak hehe,pengalaman melahirkan anak pertama disini pakai bpjs alhamdulillah bidannya baik sabar nghadepin pasien anak lahir langsung diajari menyusui suasana juga nyaman makasih buat bidan yang sudah membantu melahirkan di faskes pelayanannya cukup baik kok makanan nya ya lumayan enak,pengalaman melahirkan anak pertama disini pakai bpjs alhamdulillah bidannya baik sabar nghadepin pasien anak lahir langsung diajari menyusui suasana nyaman makasih buat bidan membantu melahirkan faskes pelayanannya cukup baik kok makanan ya lumayan enak,Pelayanan,Negatif,0.9972
Kesehatan,Puskesmas Sidayu,3.9,77,Faiz Jun,2,2024-12-23T04:15:42.660Z,"Kinerja dokternya kurang satset, istri saya periksa tes lab tapi tidak dikasih print hasil test lab terus tulisan yg di buku kia tidak ditulis harus ngomong dulu baru dikasih hasil lab tapi nulisnya hasil lab fi buku juga keliru  Tolong diperbaiki lagi untuk kedepannya",kinerja dokternya kurang satset istri saya periksa tes lab tapi tidak dikasih print hasil test lab terus tulisan yg di buku kia tidak ditulis harus ngomong dulu baru dikasih hasil lab tapi nulisnya hasil lab fi buku juga keliru tolong diperbaiki lagi untuk kedepannya,kinerja dokternya kurang satset istri saya periksa tes lab tapi tidak dikasih print hasil test lab terus tulisan yang di buku kia tidak ditulis harus ngomong dulu baru dikasih hasil lab tapi nulisnya hasil lab fi buku juga keliru tolong diperbaiki lagi untuk kedepannya,kinerja dokternya kurang satset istri periksa tes lab dikasih print hasil test lab terus tulisan buku kia ditulis harus ngomong dulu dikasih hasil lab nulisnya hasil lab fi buku keliru tolong diperbaiki kedepannya,Kesehatan,Positif,0.9937
Kesehatan,Puskesmas Sidayu,3.9,77,Masri Haryo,5,2024-12-09T13:26:25.061Z,Pelayanan ramah dan cepat... terimakasih Hasil lab pun keluar cepat,pelayanan ramah dan cepat terimakasih hasil lab pun keluar cepat,pelayanan ramah dan cepat terimakasih hasil lab pun keluar cepat,pelayanan ramah cepat terimakasih hasil lab keluar cepat,Pelayanan,Negatif,0.9803
Kesehatan,Puskesmas Sidayu,3.9,77,Fitri Dinaagustin,1,2024-10-22T02:36:13.687Z,"Tolonggg dengan sangat""pelayanan d perbaiki dengan BAIK!!!!!!",tolonggg dengan sangat pelayanan d perbaiki dengan baik,tolonggg dengan sangat pelayanan d perbaiki dengan baik,tolonggg pelayanan perbaiki baik,Pelayanan,Positif,0.9572
Kesehatan,Puskesmas Sidayu,3.9,77,Ishrokhiyah Maulidina,1,2024-10-04T01:07:54.978Z,"Dateng dulu, dipanggil terakhir",dateng dulu dipanggil terakhir,dateng dulu dipanggil terakhir,dateng dulu dipanggil terakhir,Lainnya,Netral,0.9932
Kesehatan,Puskesmas Sidayu,3.9,77,Icha Ichoo,2,2023-12-05T04:01:56.000Z,"Petugas pendaftarannya jutek poll, riweh, nggak senyum sama sekali. Yg bikin males ke puskesmas ya gini",petugas pendaftarannya jutek poll riweh nggak senyum sama sekali yg bikin males ke puskesmas ya gini,petugas pendaftarannya jutek poll riweh tidak senyum sama sekali yang bikin males ke puskesmas ya gini,petugas pendaftarannya jutek poll riweh senyum sama bikin males puskesmas ya gini,Pelayanan,Positif,0.9979
