Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Puskesmas Sukomulyo,4.4,435,Nadif Muhammad,5,2026-07-01T12:44:56.969Z,"Pelayanannya dengan baik dan ramah, dan cepat , bertahan terus buat kedepan nya Terimakasih puskemas sukomulyo🙏🏻",pelayanannya dengan baik dan ramah dan cepat bertahan terus buat kedepan nya terimakasih puskemas sukomulyo,pelayanannya dengan baik dan ramah dan cepat bertahan terus buat kedepan nya terimakasih puskemas sukomulyo,pelayanannya baik ramah cepat bertahan terus buat kedepan terimakasih puskemas sukomulyo,Pelayanan,Negatif,0.9669
Kesehatan,Puskesmas Sukomulyo,4.4,435,Puji Nur Jayanti,5,2026-07-01T12:39:13.684Z,UGD pelayanman sore nya lembut. Baik,ugd pelayanman sore nya lembut baik,ugd pelayanman sore nya lembut baik,ugd pelayanman sore lembut baik,Lainnya,Negatif,0.9916
Kesehatan,Puskesmas Sukomulyo,4.4,435,Misda Chintya,5,2026-07-01T12:10:14.519Z,Ke ugd Pelayanan nya ramah dan cekatan,ke ugd pelayanan nya ramah dan cekatan,ke ugd pelayanan nya ramah dan cekatan,ugd pelayanan ramah cekatan,Pelayanan,Negatif,0.9899
Kesehatan,Puskesmas Sukomulyo,4.4,435,Indun Wastuti,5,2026-07-01T11:50:08.900Z,Pelayanan di UGD Puskesmas Sukomulyo sangat baik. Gercep dan solutif banget🥰,pelayanan di ugd puskesmas sukomulyo sangat baik gercep dan solutif banget,pelayanan di ugd puskesmas sukomulyo sangat baik gercep dan solutif banget,pelayanan ugd puskesmas sukomulyo baik gercep solutif banget,Pelayanan,Negatif,0.9897
Kesehatan,Puskesmas Sukomulyo,4.4,435,anhira veida,1,2026-06-26T19:28:56.217Z,"Ada satu petugas igd yang sering bilang,""kenapa gak di bawa ke poli"" Trs tugase igd ngapain klo semua di bawa ke poli,ini sudah ke tiga kali nya saya ke igd dan ketemu petugas itu selalu bad respon. Dan kata suami juga sering bilang ke pasien lainya kalo pas periksa ke igd",ada satu petugas igd yang sering bilang kenapa gak di bawa ke poli trs tugase igd ngapain klo semua di bawa ke poli ini sudah ke tiga kali nya saya ke igd dan ketemu petugas itu selalu bad respon dan kata suami juga sering bilang ke pasien lainya kalo pas periksa ke igd,ada satu petugas igd yang sering bilang kenapa tidak di bawa ke poli trs tugase igd ngapain kalau semua di bawa ke poli ini sudah ke tiga kali nya saya ke igd dan ketemu petugas itu selalu bad respon dan kata suami juga sering bilang ke pasien lainya kalo pas periksa ke igd,satu petugas igd sering bilang kenapa bawa poli trs tugase igd ngapain semua bawa poli tiga kali igd ketemu petugas selalu bad respon kata suami sering bilang pasien lainya kalo pas periksa igd,Pelayanan,Positif,0.8157
Kesehatan,Puskesmas Sukomulyo,4.4,435,Yaumelani Wuryanturi,5,2026-06-13T10:57:30.927Z,Pelayanan yang sangat baik dan ramah,pelayanan yang sangat baik dan ramah,pelayanan yang sangat baik dan ramah,pelayanan baik ramah,Pelayanan,Negatif,0.995
Kesehatan,Puskesmas Sukomulyo,4.4,435,Andi 26,4,2026-06-12T10:50:54.330Z,"Pelayanan udah nggak kayak dulu, udah lebih bagus, mungkin puskesmasnya aja yang perlu renovasi, atau paling nggak di cat, kayak suram banget.",pelayanan udah nggak kayak dulu udah lebih bagus mungkin puskesmasnya aja yang perlu renovasi atau paling nggak di cat kayak suram banget,pelayanan udah tidak kayak dulu udah lebih bagus mungkin puskesmasnya aja yang perlu renovasi atau paling tidak di cat kayak suram banget,pelayanan udah kayak dulu udah bagus mungkin puskesmasnya aja perlu renovasi paling cat kayak suram banget,Pelayanan,Positif,0.9961
Kesehatan,Puskesmas Sukomulyo,4.4,435,Nur saidatur Rokhmah,1,2026-05-15T11:02:52.439Z,"Dokter dan pegawai harus belajar lagi terutama attitudenya, sekian terimakasih.",dokter dan pegawai harus belajar lagi terutama attitudenya sekian terimakasih,dokter dan pegawai harus belajar lagi terutama attitudenya sekian terimakasih,dokter pegawai harus belajar terutama attitudenya sekian terimakasih,Pelayanan,Netral,0.4577
Kesehatan,Puskesmas Sukomulyo,4.4,435,Alvira Indri Puspita sari,1,2026-05-02T19:22:47.521Z,UGD nya pelayananya kurang ramah.,ugd nya pelayananya kurang ramah,ugd nya pelayananya kurang ramah,ugd pelayananya kurang ramah,Pelayanan,Positif,0.9976
Kesehatan,Puskesmas Sukomulyo,4.4,435,Rishta Umu Habibah,4,2026-04-15T06:50:52.973Z,"Mungkin bisa lebih ramah lagi ya kepada pasien khususnya imunisasi. Buk bidan, namanya bawa anak pasti riweh. Sabar dikit gausah digupuh gupuh in. Dan jangan pilih kasih, senyum Bu senyum itu ibadah",mungkin bisa lebih ramah lagi ya kepada pasien khususnya imunisasi buk bidan namanya bawa anak pasti riweh sabar dikit gausah digupuh gupuh in dan jangan pilih kasih senyum bu senyum itu ibadah,mungkin bisa lebih ramah lagi ya kepada pasien khususnya imunisasi buk bidan namanya bawa anak pasti riweh sabar dikit gausah digupuh gupuh in dan jangan pilih kasih senyum bu senyum itu ibadah,mungkin ramah ya kepada pasien khususnya imunisasi buk bidan namanya bawa anak pasti riweh sabar dikit gausah digupuh gupuh in jangan pilih kasih senyum bu senyum ibadah,Pelayanan,Negatif,0.972
