Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Puskesmas Tambak Pulau Bawean Gresik Jawa Timur,4.9,31,Isty Arista,5,2026-05-11T02:53:56.845Z,Sgt bagus. Berharap kedepannya ruang laktasi nya lebih layak. Biar tertutup baik. Dan bukan di duduki oleh yg tdk berkepentingan. Selainnya oke. Kebersihan sudah sgt baik d banding duluuuu. Pelayanan bagus,sgt bagus berharap kedepannya ruang laktasi nya lebih layak biar tertutup baik dan bukan di duduki oleh yg tdk berkepentingan selainnya oke kebersihan sudah sgt baik d banding duluuuu pelayanan bagus,sangat bagus berharap kedepannya ruang laktasi nya lebih layak biar tertutup baik dan bukan di duduki oleh yang tidak berkepentingan selainnya oke kebersihan sudah sangat baik d banding duluuuu pelayanan bagus,bagus berharap kedepannya ruang laktasi layak biar tertutup baik bukan duduki berkepentingan selainnya oke kebersihan baik banding duluuuu pelayanan bagus,Pelayanan,Negatif,0.9907
Kesehatan,Puskesmas Tambak Pulau Bawean Gresik Jawa Timur,4.9,31,Ipo Syaifullah,5,2026-04-06T13:49:28.888Z,Pelayana ok ngg,pelayana ok ngg,pelayana oke ngg,pelayana oke ngg,Lainnya,Negatif,0.9933
Kesehatan,Puskesmas Tambak Pulau Bawean Gresik Jawa Timur,4.9,31,Wahyu Sulistiyani,5,2026-04-06T08:03:55.297Z,Pelayanannya mantap🫶🫶🫶,pelayanannya mantap,pelayanannya bagus,pelayanannya bagus,Pelayanan,Negatif,0.9974
Kesehatan,Puskesmas Tambak Pulau Bawean Gresik Jawa Timur,4.9,31,fadilah riafiana,5,2026-04-06T06:07:15.137Z,Pelayanan ada kemajuan,pelayanan ada kemajuan,pelayanan ada kemajuan,pelayanan kemajuan,Pelayanan,Negatif,0.9814
Kesehatan,Puskesmas Tambak Pulau Bawean Gresik Jawa Timur,4.9,31,Farhatuz Zakiyah,5,2026-04-06T05:28:38.645Z,Pelayanan ramah dan baik,pelayanan ramah dan baik,pelayanan ramah dan baik,pelayanan ramah baik,Pelayanan,Negatif,0.9951
Kesehatan,Puskesmas Tambak Pulau Bawean Gresik Jawa Timur,4.9,31,Hot Hotimah,5,2026-04-06T05:23:16.864Z,"Pelayanan baik ramah,murah senyum",pelayanan baik ramah murah senyum,pelayanan baik ramah murah senyum,pelayanan baik ramah murah senyum,Pelayanan,Negatif,0.9952
Kesehatan,Puskesmas Tambak Pulau Bawean Gresik Jawa Timur,4.9,31,novaliaa n,5,2026-04-06T05:21:27.438Z,Terima kasih atas pelayanan yang sudah diberikan,terima kasih atas pelayanan yang sudah diberikan,terima kasih atas pelayanan yang sudah diberikan,terima kasih atas pelayanan diberikan,Pelayanan,Negatif,0.9126
Kesehatan,Puskesmas Tambak Pulau Bawean Gresik Jawa Timur,4.9,31,mukminah,5,2026-04-06T05:09:47.542Z,Pelayanan gratis,pelayanan gratis,pelayanan gratis,pelayanan gratis,Pelayanan,Negatif,0.9936
Kesehatan,Puskesmas Tambak Pulau Bawean Gresik Jawa Timur,4.9,31,Lutvia Lutvi,5,2026-04-06T05:09:36.189Z,Petugas nya ramah,petugas nya ramah,petugas nya ramah,petugas ramah,Pelayanan,Negatif,0.9945
Kesehatan,Puskesmas Tambak Pulau Bawean Gresik Jawa Timur,4.9,31,nur qomariyah,5,2026-04-06T05:09:14.812Z,"Pelayanan yang ramah dan profesional, petugasnya baik dan murah senyum.. Sukses terus untuk puskesmas Tambak..",pelayanan yang ramah dan profesional petugasnya baik dan murah senyum sukses terus untuk puskesmas tambak,pelayanan yang ramah dan profesional petugasnya baik dan murah senyum sukses terus untuk puskesmas tambak,pelayanan ramah profesional petugasnya baik murah senyum sukses terus puskesmas tambak,Pelayanan,Negatif,0.9934
