Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Klinik & Praktek Dokter,Rahmie Clinic Premiere Kebomas,5,290,Nurul Faizah,5,2026-08-18T16:25:30.896Z,"Banyak sekali promonya,dan kaka nya juga ramah sekali",banyak sekali promonya dan kaka nya juga ramah sekali,banyak sekali promonya dan kaka nya juga ramah sekali,banyak promonya kaka ramah,Pelayanan,Positif,0.9932
Kesehatan,Klinik & Praktek Dokter,Rahmie Clinic Premiere Kebomas,5,290,Muhammad Abidzar Ridho Fitrian,5,2026-08-18T13:01:41.584Z,Lagi promo josjis 🥰🥰,lagi promo josjis,lagi promo josjis,promo josjis,Lainnya,Positif,0.9276
Kesehatan,Klinik & Praktek Dokter,Rahmie Clinic Premiere Kebomas,5,290,Gilang Ramadhan,5,2026-08-18T11:48:39.425Z,"Banyak sekali promoan dan kakanya ramah""",banyak sekali promoan dan kakanya ramah,banyak sekali promoan dan kakanya ramah,banyak promoan kakanya ramah,Pelayanan,Positif,0.9919
Kesehatan,Klinik & Praktek Dokter,Rahmie Clinic Premiere Kebomas,5,290,Fuwaida Fithriah,5,2026-08-18T11:43:58.994Z,"Self reward berkedok treatment yg paling worth it ya kesini aja❤ Bersih, staffnya sopan+ramah, air mawarnya juara💯",self reward berkedok treatment yg paling worth it ya kesini aja bersih staffnya sopan ramah air mawarnya juara,self reward berkedok treatment yang paling worth it ya kesini aja bersih staffnya sopan ramah air mawarnya juara,self reward berkedok treatment paling worth it ya kesini aja bersih staffnya sopan ramah air mawarnya juara,Pelayanan,Positif,0.9974
Kesehatan,Klinik & Praktek Dokter,Rahmie Clinic Premiere Kebomas,5,290,April Lia,5,2026-08-18T11:42:12.276Z,Josjis promonya Setaun pisan kapan maneh🤗,josjis promonya setaun pisan kapan maneh,josjis promonya setaun pisan kapan maneh,josjis promonya setaun pisan kapan maneh,Lainnya,Positif,0.9482
Kesehatan,Klinik & Praktek Dokter,Rahmie Clinic Premiere Kebomas,5,290,Rosyda Zakiyah,5,2026-08-18T11:29:09.031Z,"Pegawai ramah, tempat nyaman, bersih dan aestetik 👍",pegawai ramah tempat nyaman bersih dan aestetik,pegawai ramah tempat nyaman bersih dan aestetik,pegawai ramah tempat nyaman bersih aestetik,Pelayanan,Positif,0.9946
Kesehatan,Klinik & Praktek Dokter,Rahmie Clinic Premiere Kebomas,5,290,Mazzida Qurrotu Aini,5,2026-08-18T11:19:00.146Z,"Gak nyesel sih perawatan disini, harganya terjangkau mana promonya banyak lagi, tempatnya bagus dan nyaman, bisa kali ah sebulan sekali kesini 😊",gak nyesel sih perawatan disini harganya terjangkau mana promonya banyak lagi tempatnya bagus dan nyaman bisa kali ah sebulan sekali kesini,tidak nyesel sih perawatan disini harganya terjangkau mana promonya banyak lagi tempatnya bagus dan nyaman bisa kali ah sebulan sekali kesini,nyesel perawatan disini harganya terjangkau mana promonya banyak tempatnya bagus nyaman kali ah sebulan kesini,Fasilitas,Positif,0.9015
Kesehatan,Klinik & Praktek Dokter,Rahmie Clinic Premiere Kebomas,5,290,Widatun Nisa,5,2026-08-18T10:32:17.226Z,"Tempat rekomen buat yg mau mempercantikkk diri, tempatnyaaa bersih,pelayanannya jga OKE",tempat rekomen buat yg mau mempercantikkk diri tempatnyaaa bersih pelayanannya jga oke,tempat rekomen buat yang mau mempercantikkk diri tempatnyaaa bersih pelayanannya jga oke,tempat rekomen buat mau mempercantikkk diri tempatnyaaa bersih pelayanannya jga oke,Pelayanan,Positif,0.9975
Kesehatan,Klinik & Praktek Dokter,Rahmie Clinic Premiere Kebomas,5,290,Maulidya Eka Natasya,5,2026-08-18T09:59:13.586Z,"harga affordable, pembersihan komedonya juga bersih. pelayanannya ramah",harga affordable pembersihan komedonya juga bersih pelayanannya ramah,harga affordable pembersihan komedonya juga bersih pelayanannya ramah,harga affordable pembersihan komedonya bersih pelayanannya ramah,Pelayanan,Positif,0.9969
Kesehatan,Klinik & Praktek Dokter,Rahmie Clinic Premiere Kebomas,5,290,Fety Diyah Werdiningsih,5,2026-08-18T08:52:17.145Z,"Klinik kesayangan, cocok bgt treatmen diasini 🫰",klinik kesayangan cocok bgt treatmen diasini,klinik kesayangan cocok banget treatmen diasini,klinik kesayangan cocok banget treatmen diasini,Administrasi,Positif,0.9954
